Day,Open,High,Low,Close,Volume,Market Cap
"Sep 21, 2022",$0.00723,$0.007305,$0.00539,$0.005643,"$358,574","$358,574"
"Sep 20, 2022",$0.005536,$0.007332,$0.00532,$0.00723,"$531,092","$531,092"
"Sep 19, 2022",$0.005829,$0.00583,$0.005515,$0.005536,"$387,939","$387,939"
"Sep 18, 2022",$0.005818,$0.005871,$0.005612,$0.005829,"$194,078","$194,078"
"Sep 17, 2022",$0.006085,$0.006086,$0.005732,$0.005818,"$297,733","$297,733"
"Sep 16, 2022",$0.005616,$0.006344,$0.005411,$0.006085,"$366,168","$366,168"
"Sep 15, 2022",$0.005503,$0.005729,$0.005189,$0.005616,"$388,941","$388,941"
"Sep 14, 2022",$0.005661,$0.005891,$0.005282,$0.005503,"$369,768","$369,768"
"Sep 13, 2022",$0.005714,$0.005879,$0.005143,$0.005671,"$1,333,419","$1,333,419"
"Sep 12, 2022",$0.005862,$0.005914,$0.005354,$0.005714,"$303,632","$303,632"
"Sep 11, 2022",$0.00589,$0.00593,$0.005601,$0.005862,"$183,083","$183,083"
"Sep 10, 2022",$0.00585,$0.005961,$0.005741,$0.00589,"$172,153","$172,153"
"Sep 09, 2022",$0.005708,$0.005851,$0.005506,$0.00585,"$142,839","$142,839"
"Sep 08, 2022",$0.00588,$0.005881,$0.005582,$0.005708,"$181,646","$181,646"
"Sep 07, 2022",$0.005993,$0.006004,$0.005735,$0.00588,"$154,671","$154,671"
"Sep 06, 2022",$0.005845,$0.00608,$0.005696,$0.005993,"$165,329","$165,329"
"Sep 05, 2022",$0.005328,$0.005963,$0.005321,$0.005845,"$137,701","$137,701"
"Sep 04, 2022",$0.004799,$0.005472,$0.004799,$0.005328,"$287,801","$287,801"
"Sep 03, 2022",$0.004631,$0.005101,$0.004304,$0.004799,"$139,816","$139,816"
"Sep 02, 2022",$0.004683,$0.004729,$0.004583,$0.004631,"$125,795","$125,795"
"Sep 01, 2022",$0.004636,$0.004902,$0.004452,$0.004683,"$149,995","$149,995"
"Aug 31, 2022",$0.0041,$0.004963,$0.003909,$0.004636,"$124,408","$124,408"
"Aug 30, 2022",$0.004016,$0.004311,$0.004015,$0.0041,"$218,553","$218,553"
"Aug 29, 2022",$0.004304,$0.004351,$0.004006,$0.004016,"$85,918","$85,918"
"Aug 28, 2022",$0.0045,$0.0045,$0.004128,$0.004304,"$66,543","$66,543"
"Aug 27, 2022",$0.0046,$0.00462,$0.004262,$0.0045,"$91,730","$91,730"
"Aug 26, 2022",$0.00473,$0.00473,$0.004417,$0.0046,"$102,486","$102,486"
"Aug 25, 2022",$0.004439,$0.004738,$0.004437,$0.00473,"$97,609","$97,609"
"Aug 24, 2022",$0.004646,$0.004646,$0.004127,$0.004439,"$164,119","$164,119"
"Aug 23, 2022",$0.004664,$0.004798,$0.00398,$0.004646,"$110,667","$110,667"
"Aug 22, 2022",$0.004339,$0.004683,$0.004251,$0.004664,"$63,426","$63,426"
"Aug 21, 2022",$0.003899,$0.004404,$0.00371,$0.004339,"$67,617","$67,617"
"Aug 20, 2022",$0.003756,$0.00391,$0.003665,$0.003899,"$58,751","$58,751"
"Aug 19, 2022",$0.00331,$0.003805,$0.00331,$0.003756,"$46,514","$46,514"
"Aug 18, 2022",$0.003571,$0.003766,$0.003055,$0.00331,"$54,538","$54,538"
"Aug 17, 2022",$0.003358,$0.00386,$0.003358,$0.003571,"$61,044","$61,044"
"Aug 16, 2022",$0.003023,$0.003508,$0.002916,$0.003358,"$63,301","$63,301"
"Aug 15, 2022",$0.002555,$0.00306,$0.002271,$0.003023,"$50,091","$50,091"
"Aug 14, 2022",$0.002435,$0.00256,$0.002322,$0.002555,"$65,423","$65,423"
"Aug 13, 2022",$0.002197,$0.002463,$0.001977,$0.002435,"$31,778","$31,778"
"Aug 12, 2022",$0.001951,$0.002281,$0.001934,$0.002197,"$58,807","$58,807"
"Aug 11, 2022",$0.001863,$0.001976,$0.001754,$0.001951,"$26,613","$26,613"
"Aug 10, 2022",$0.001671,$0.001887,$0.001601,$0.001863,"$23,456","$23,456"
"Aug 09, 2022",$0.001593,$0.001671,$0.001564,$0.001671,"$9,719","$9,719"
"Aug 08, 2022",$0.001798,$0.00181,$0.001593,$0.001593,"$4,010","$4,010"
"Aug 07, 2022",$0.001824,$0.001824,$0.001712,$0.001798,"$1,401","$1,401"
"Aug 06, 2022",$0.0018,$0.001837,$0.001782,$0.001824,"$2,568","$2,568"
"Aug 05, 2022",$0.001802,$0.00188,$0.001799,$0.0018,"$5,031","$5,031"
"Aug 04, 2022",$0.001861,$0.001861,$0.00176,$0.001802,"$2,610","$2,610"
"Aug 03, 2022",$0.001764,$0.001861,$0.001756,$0.001861,"$6,280","$6,280"
"Aug 02, 2022",$0.001387,$0.001766,$0.001387,$0.001764,"$9,428","$9,428"
"Aug 01, 2022",$0.001426,$0.001447,$0.001294,$0.001387,"$19,383","$19,383"
"Jul 31, 2022",$0.001548,$0.001548,$0.0014,$0.001426,"$20,454","$20,454"
"Jul 30, 2022",$0.001677,$0.001695,$0.001531,$0.001548,"$15,516","$15,516"
"Jul 29, 2022",$0.001835,$0.001836,$0.001677,$0.001677,"$7,710","$7,710"
"Jul 28, 2022",$0.001801,$0.001835,$0.0017,$0.001835,"$6,399","$6,399"
"Jul 27, 2022",$0.001811,$0.001823,$0.0018,$0.0018,"$1,402","$1,402"
"Jul 26, 2022",$0.001772,$0.001829,$0.001772,$0.001811,"$18,847","$18,847"
"Jul 25, 2022",$0.001775,$0.001799,$0.001714,$0.001772,"$3,116","$3,116"
"Jul 24, 2022",$0.0017,$0.001776,$0.0017,$0.001775,"$1,362","$1,362"
"Jul 23, 2022",$0.001762,$0.001775,$0.0017,$0.0017,$579,$579
"Jul 22, 2022",$0.001777,$0.001778,$0.001721,$0.001762,"$1,365","$1,365"
"Jul 21, 2022",$0.001872,$0.001872,$0.001754,$0.001777,"$2,848","$2,848"
"Jul 20, 2022",$0.001857,$0.001911,$0.001803,$0.001872,"$1,878","$1,878"
"Jul 19, 2022",$0.001851,$0.00188,$0.001709,$0.001857,"$1,337","$1,337"
"Jul 18, 2022",$0.001899,$0.0019,$0.001767,$0.001851,"$5,988","$5,988"
"Jul 17, 2022",$0.001879,$0.002,$0.001805,$0.001899,"$2,905","$2,905"
"Jul 16, 2022",$0.001966,$0.001973,$0.001878,$0.001879,"$2,610","$2,610"
"Jul 15, 2022",$0.001991,$0.001996,$0.001907,$0.001966,"$5,912","$5,912"
"Jul 14, 2022",$0.001882,$0.001991,$0.001841,$0.001991,"$5,922","$5,922"
"Jul 13, 2022",$0.001969,$0.002036,$0.001868,$0.001882,"$5,403","$5,403"
"Jul 12, 2022",$0.002049,$0.002061,$0.001942,$0.001969,"$5,379","$5,379"
"Jul 11, 2022",$0.002087,$0.002169,$0.001989,$0.002049,"$5,685","$5,685"
"Jul 10, 2022",$0.002051,$0.002092,$0.00202,$0.002087,"$5,195","$5,195"
"Jul 09, 2022",$0.002066,$0.002166,$0.002044,$0.002051,$978,$978
"Jul 08, 2022",$0.00212,$0.002292,$0.002041,$0.002066,"$5,108","$5,108"
"Jul 07, 2022",$0.002232,$0.002287,$0.002047,$0.00212,"$7,583","$7,583"
"Jul 06, 2022",$0.00258,$0.002589,$0.002232,$0.002232,"$7,536","$7,536"
"Jul 05, 2022",$0.002689,$0.002796,$0.002579,$0.00258,"$10,408","$10,408"
"Jul 04, 2022",$0.00287,$0.00291,$0.002689,$0.002689,"$4,042","$4,042"
"Jul 03, 2022",$0.002848,$0.002876,$0.002802,$0.00287,$931,$931
"Jul 02, 2022",$0.002846,$0.002968,$0.002804,$0.002848,"$3,993","$3,993"
"Jul 01, 2022",$0.002902,$0.003913,$0.002838,$0.002846,"$1,998","$1,998"
"Jun 30, 2022",$0.00296,$0.003002,$0.002887,$0.002902,"$1,316","$1,316"
"Jun 29, 2022",$0.002794,$0.003013,$0.002778,$0.00296,"$9,610","$9,610"
"Jun 28, 2022",$0.002772,$0.002822,$0.00276,$0.002794,"$2,924","$2,924"
"Jun 27, 2022",$0.002706,$0.002773,$0.002695,$0.002772,"$4,572","$4,572"
"Jun 26, 2022",$0.002547,$0.002706,$0.002514,$0.002705,"$2,070","$2,070"
"Jun 25, 2022",$0.002407,$0.00263,$0.002407,$0.002547,"$2,332","$2,332"
"Jun 24, 2022",$0.002574,$0.002574,$0.002406,$0.002406,$713,$713
"Jun 23, 2022",$0.002419,$0.002574,$0.002312,$0.002574,"$3,796","$3,796"
"Jun 22, 2022",$0.002284,$0.002446,$0.002205,$0.002419,"$4,556","$4,556"
"Jun 21, 2022",$0.00242,$0.002599,$0.002262,$0.002284,"$10,738","$10,738"
"Jun 20, 2022",$0.00267,$0.002736,$0.00242,$0.00242,"$1,585","$1,585"
"Jun 19, 2022",$0.002822,$0.0074,$0.002497,$0.00267,"$2,080","$2,080"
"Jun 18, 2022",$0.002515,$0.002823,$0.002515,$0.002822,$648,$648
"Jun 17, 2022",$0.002603,$0.002812,$0.002515,$0.002515,$826,$826
"Jun 16, 2022",$0.00269,$0.00269,$0.00236,$0.002603,$951,$951
