Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.1568,$0.1592,$0.1488,$0.1488,"$997,523","$997,523"
"Sep 24, 2022",$0.1619,$0.1673,$0.1559,$0.1568,"$1,384,933","$1,384,933"
"Sep 23, 2022",$0.1564,$0.1712,$0.153,$0.162,"$2,354,105","$2,354,105"
"Sep 22, 2022",$0.1534,$0.1609,$0.1528,$0.1565,"$1,380,238","$1,380,238"
"Sep 21, 2022",$0.1504,$0.163,$0.1475,$0.1535,"$1,109,324","$1,109,324"
"Sep 20, 2022",$0.1561,$0.1591,$0.1502,$0.1503,"$876,453","$876,453"
"Sep 19, 2022",$0.159,$0.159,$0.148,$0.156,"$1,365,533","$1,365,533"
"Sep 18, 2022",$0.1693,$0.1734,$0.1588,$0.159,"$870,976","$870,976"
"Sep 17, 2022",$0.1611,$0.1707,$0.1605,$0.1692,"$1,026,624","$1,026,624"
"Sep 16, 2022",$0.1593,$0.1641,$0.1452,$0.1613,"$1,448,126","$1,448,126"
"Sep 15, 2022",$0.1842,$0.1919,$0.1534,$0.1594,"$2,342,198","$2,342,198"
"Sep 14, 2022",$0.1691,$0.2013,$0.1687,$0.1839,"$2,715,339","$2,715,339"
"Sep 13, 2022",$0.1838,$0.2002,$0.1687,$0.1708,"$1,965,746","$1,965,746"
"Sep 12, 2022",$0.1741,$0.1944,$0.1734,$0.1838,"$2,161,810","$2,161,810"
"Sep 11, 2022",$0.1908,$0.2195,$0.1718,$0.174,"$3,709,217","$3,709,217"
"Sep 10, 2022",$0.1472,$0.198,$0.1452,$0.1916,"$5,015,176","$5,015,176"
"Sep 09, 2022",$0.1302,$0.1504,$0.1297,$0.1472,"$1,598,747","$1,598,747"
"Sep 08, 2022",$0.1256,$0.1335,$0.1244,$0.1301,"$1,048,981","$1,048,981"
"Sep 07, 2022",$0.1228,$0.1262,$0.1212,$0.1257,"$794,523","$794,523"
"Sep 06, 2022",$0.1247,$0.1324,$0.1217,$0.1229,"$954,273","$954,273"
"Sep 05, 2022",$0.1356,$0.1362,$0.1228,$0.1247,"$984,553","$984,553"
"Sep 04, 2022",$0.1402,$0.1406,$0.1354,$0.1356,"$631,345","$631,345"
"Sep 03, 2022",$0.1358,$0.144,$0.1352,$0.1401,"$953,744","$953,744"
"Sep 02, 2022",$0.141,$0.1414,$0.1352,$0.1358,"$768,673","$768,673"
"Sep 01, 2022",$0.1403,$0.1448,$0.1371,$0.141,"$911,274","$911,274"
"Aug 31, 2022",$0.1358,$0.1435,$0.1329,$0.1405,"$1,337,267","$1,337,267"
"Aug 30, 2022",$0.1363,$0.147,$0.1326,$0.1358,"$1,250,153","$1,250,153"
"Aug 29, 2022",$0.1346,$0.1394,$0.1288,$0.1364,"$1,168,364","$1,168,364"
"Aug 28, 2022",$0.139,$0.1431,$0.1345,$0.1345,"$656,161","$656,161"
"Aug 27, 2022",$0.1528,$0.153,$0.1376,$0.139,"$705,100","$705,100"
"Aug 26, 2022",$0.1512,$0.1585,$0.1507,$0.1528,"$964,862","$964,862"
"Aug 25, 2022",$0.1599,$0.1656,$0.1507,$0.1511,"$1,206,946","$1,206,946"
"Aug 24, 2022",$0.1598,$0.1689,$0.1523,$0.1599,"$1,388,813","$1,388,813"
"Aug 23, 2022",$0.1487,$0.182,$0.1468,$0.1599,"$2,442,588","$2,442,588"
"Aug 22, 2022",$0.1578,$0.1615,$0.1449,$0.1487,"$1,111,913","$1,111,913"
"Aug 21, 2022",$0.1537,$0.1594,$0.1522,$0.1577,"$790,229","$790,229"
"Aug 20, 2022",$0.144,$0.1788,$0.1427,$0.1538,"$2,650,186","$2,650,186"
"Aug 19, 2022",$0.1502,$0.1502,$0.1317,$0.1441,"$1,165,738","$1,165,738"
"Aug 18, 2022",$0.1618,$0.1638,$0.1504,$0.1505,"$783,045","$783,045"
"Aug 17, 2022",$0.1748,$0.1784,$0.1619,$0.1619,"$892,804","$892,804"
"Aug 16, 2022",$0.1846,$0.1861,$0.1727,$0.1749,"$669,865","$669,865"
