Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$0.05409,$0.06257,$0.04571,$0.04895,"$15,218,983","$15,218,983"
"Sep 21, 2022",$0.05234,$0.06605,$0.04413,$0.05419,"$17,423,443","$17,423,443"
"Sep 20, 2022",$0.05824,$0.06639,$0.05029,$0.05198,"$19,177,960","$19,177,960"
"Sep 19, 2022",$0.04993,$0.06381,$0.04165,$0.05823,"$18,849,105","$18,849,105"
"Sep 18, 2022",$0.05192,$0.05963,$0.04475,$0.04976,"$13,230,900","$13,230,900"
"Sep 17, 2022",$0.04931,$0.05829,$0.04174,$0.05194,"$20,438,065","$20,438,065"
"Sep 16, 2022",$0.03233,$0.05539,$0.02915,$0.04885,"$26,301,132","$26,301,132"
"Sep 15, 2022",$0.0263,$0.03945,$0.0243,$0.03231,"$11,196,750","$11,196,750"
"Sep 14, 2022",$0.03713,$0.04261,$0.02447,$0.0263,"$12,442,972","$12,442,972"
"Sep 13, 2022",$0.03113,$0.04889,$0.02842,$0.03715,"$28,046,080","$28,046,080"
"Sep 12, 2022",$0.02419,$0.03385,$0.02408,$0.03069,"$8,716,785","$8,716,785"
"Sep 11, 2022",$0.02101,$0.02637,$0.02073,$0.02419,"$5,613,386","$5,613,386"
"Sep 10, 2022",$0.01923,$0.02257,$0.01899,$0.02103,"$3,445,548","$3,445,548"
"Sep 09, 2022",$0.02009,$0.02229,$0.01867,$0.01903,"$3,229,619","$3,229,619"
"Sep 08, 2022",$0.02006,$0.02425,$0.01699,$0.0201,"$10,876,148","$10,876,148"
"Sep 07, 2022",$0.01469,$0.02575,$0.0142,$0.02006,"$16,219,387","$16,219,387"
"Sep 06, 2022",$0.01544,$0.0164,$0.01431,$0.01452,"$1,006,803","$1,006,803"
"Sep 05, 2022",$0.01661,$0.01664,$0.01514,$0.01544,"$820,414","$820,414"
"Sep 04, 2022",$0.01607,$0.01784,$0.0157,$0.01661,"$1,562,065","$1,562,065"
"Sep 03, 2022",$0.01537,$0.01767,$0.01458,$0.01607,"$1,917,205","$1,917,205"
"Sep 02, 2022",$0.0147,$0.01692,$0.01445,$0.01517,"$1,376,076","$1,376,076"
"Sep 01, 2022",$0.01505,$0.01598,$0.01425,$0.0147,"$965,843","$965,843"
"Aug 31, 2022",$0.01524,$0.01809,$0.01486,$0.01504,"$1,798,883","$1,798,883"
"Aug 30, 2022",$0.01725,$0.01763,$0.01493,$0.01524,"$896,560","$896,560"
"Aug 29, 2022",$0.0176,$0.01906,$0.01665,$0.01725,"$1,696,267","$1,696,267"
"Aug 28, 2022",$0.01583,$0.01943,$0.01406,$0.0178,"$4,181,463","$4,181,463"
"Aug 27, 2022",$0.01843,$0.01891,$0.0149,$0.01584,"$3,548,264","$3,548,264"
"Aug 26, 2022",$0.01709,$0.02265,$0.01424,$0.01844,"$12,414,247","$12,414,247"
"Aug 25, 2022",$0.01561,$0.01897,$0.01412,$0.0171,"$3,009,421","$3,009,421"
"Aug 24, 2022",$0.0168,$0.01961,$0.01518,$0.01581,"$4,920,179","$4,920,179"
"Aug 23, 2022",$0.024,$0.03028,$0.01589,$0.01679,"$11,239,189","$11,239,189"
"Aug 22, 2022",$0.008768,$0.0354,$0.008193,$0.0238,"$29,798,685","$29,798,685"
"Aug 21, 2022",$0.008437,$0.00865,$0.007936,$0.008593,"$182,406","$182,406"
"Aug 20, 2022",$0.00774,$0.008515,$0.00774,$0.008439,"$213,594","$213,594"
"Aug 19, 2022",$0.00882,$0.00882,$0.007737,$0.007937,"$332,172","$332,172"
"Aug 18, 2022",$0.009804,$0.01079,$0.00837,$0.008818,"$1,089,645","$1,089,645"
"Aug 17, 2022",$0.008387,$0.01122,$0.007982,$0.009574,"$1,495,061","$1,495,061"
"Aug 16, 2022",$0.008921,$0.008961,$0.008142,$0.008392,"$155,346","$155,346"
"Aug 15, 2022",$0.009253,$0.009557,$0.008618,$0.008734,"$202,422","$202,422"
"Aug 14, 2022",$0.009304,$0.009722,$0.008958,$0.009017,"$303,109","$303,109"
"Aug 13, 2022",$0.00926,$0.009793,$0.009014,$0.0093,"$352,050","$352,050"
"Aug 12, 2022",$0.009112,$0.009396,$0.008704,$0.009259,"$217,724","$217,724"
"Aug 11, 2022",$0.009552,$0.009799,$0.008994,$0.009115,"$279,115","$279,115"
"Aug 10, 2022",$0.008583,$0.009575,$0.008428,$0.009341,"$292,037","$292,037"
"Aug 09, 2022",$0.009297,$0.009551,$0.008534,$0.008578,"$306,325","$306,325"
"Aug 08, 2022",$0.009734,$0.009807,$0.009079,$0.009293,"$466,650","$466,650"
"Aug 07, 2022",$0.01079,$0.01079,$0.009268,$0.009733,"$1,214,673","$1,214,673"
"Aug 06, 2022",$0.009089,$0.01102,$0.008592,$0.01055,"$1,380,571","$1,380,571"
"Aug 05, 2022",$0.0104,$0.01089,$0.008829,$0.009087,"$871,977","$871,977"
"Aug 04, 2022",$0.01187,$0.01232,$0.009666,$0.01018,"$1,607,957","$1,607,957"
"Aug 03, 2022",$0.01035,$0.01613,$0.01034,$0.01188,"$9,652,452","$9,652,452"
"Aug 02, 2022",$0.007217,$0.01661,$0.006819,$0.01034,"$8,221,173","$8,221,173"
"Aug 01, 2022",$0.007037,$0.007489,$0.006761,$0.007207,"$170,815","$170,815"
"Jul 31, 2022",$0.007119,$0.007817,$0.007023,$0.007038,"$143,415","$143,415"
"Jul 30, 2022",$0.007152,$0.00785,$0.006933,$0.007119,"$196,743","$196,743"
"Jul 29, 2022",$0.007002,$0.007444,$0.006855,$0.007159,"$140,608","$140,608"
"Jul 28, 2022",$0.006731,$0.007372,$0.0067,$0.006997,"$79,182","$79,182"
"Jul 27, 2022",$0.006041,$0.007021,$0.005994,$0.00673,"$102,052","$102,052"
"Jul 26, 2022",$0.006514,$0.006589,$0.005987,$0.006042,"$93,767","$93,767"
"Jul 25, 2022",$0.006849,$0.007023,$0.006501,$0.006515,"$80,323","$80,323"
"Jul 24, 2022",$0.006972,$0.007122,$0.006737,$0.006851,"$69,359","$69,359"
"Jul 23, 2022",$0.007307,$0.007564,$0.006671,$0.006971,"$156,566","$156,566"
"Jul 22, 2022",$0.007405,$0.007802,$0.007079,$0.007322,"$134,960","$134,960"
"Jul 21, 2022",$0.00701,$0.007686,$0.006877,$0.007403,"$270,115","$270,115"
"Jul 20, 2022",$0.007239,$0.007706,$0.006955,$0.007009,"$107,566","$107,566"
"Jul 19, 2022",$0.00719,$0.007401,$0.00668,$0.007235,"$204,686","$204,686"
"Jul 18, 2022",$0.006646,$0.007817,$0.006544,$0.007224,"$481,281","$481,281"
"Jul 17, 2022",$0.00631,$0.008183,$0.006132,$0.006646,"$781,117","$781,117"
"Jul 16, 2022",$0.006026,$0.006347,$0.005759,$0.006308,"$80,903","$80,903"
"Jul 15, 2022",$0.005938,$0.006113,$0.005774,$0.006024,"$58,873","$58,873"
"Jul 14, 2022",$0.005768,$0.005991,$0.005515,$0.005937,"$71,946","$71,946"
"Jul 13, 2022",$0.005246,$0.005768,$0.00516,$0.005767,"$90,574","$90,574"
"Jul 12, 2022",$0.005499,$0.005571,$0.005244,$0.005246,"$90,939","$90,939"
"Jul 11, 2022",$0.005762,$0.005884,$0.005483,$0.005499,"$47,761","$47,761"
"Jul 10, 2022",$0.006221,$0.006221,$0.005746,$0.005763,"$59,210","$59,210"
"Jul 09, 2022",$0.00627,$0.006307,$0.006006,$0.006221,"$35,595","$35,595"
"Jul 08, 2022",$0.006274,$0.006417,$0.005771,$0.006282,"$84,483","$84,483"
"Jul 07, 2022",$0.005548,$0.006481,$0.00548,$0.006276,"$139,628","$139,628"
"Jul 06, 2022",$0.005453,$0.005768,$0.005156,$0.005548,"$54,949","$54,949"
"Jul 05, 2022",$0.005459,$0.005721,$0.005036,$0.005452,"$26,900","$26,900"
"Jul 04, 2022",$0.005399,$0.005678,$0.005144,$0.005463,"$32,941","$32,941"
"Jul 03, 2022",$0.005386,$0.005573,$0.005079,$0.005399,"$56,568","$56,568"
"Jul 02, 2022",$0.005204,$0.005421,$0.004953,$0.005386,"$71,471","$71,471"
"Jul 01, 2022",$0.005179,$0.005383,$0.00485,$0.005203,"$89,264","$89,264"
"Jun 30, 2022",$0.00543,$0.005439,$0.004766,$0.005141,"$100,226","$100,226"
"Jun 29, 2022",$0.005473,$0.005698,$0.005175,$0.005427,"$118,307","$118,307"
"Jun 28, 2022",$0.005597,$0.005906,$0.005264,$0.005475,"$538,711","$538,711"
"Jun 27, 2022",$0.00946,$0.01016,$0.005184,$0.0056,"$2,635,182","$2,635,182"
"Jun 26, 2022",$0.005365,$0.009681,$0.005127,$0.009462,"$926,245","$926,245"
"Jun 25, 2022",$0.005523,$0.005735,$0.005034,$0.005165,"$78,212","$78,212"
"Jun 24, 2022",$0.004853,$0.005582,$0.004829,$0.00552,"$124,187","$124,187"
"Jun 23, 2022",$0.004593,$0.005078,$0.004576,$0.005061,"$43,345","$43,345"
"Jun 22, 2022",$0.005178,$0.005183,$0.00436,$0.004593,"$71,844","$71,844"
"Jun 21, 2022",$0.004937,$0.00562,$0.004915,$0.005175,"$47,006","$47,006"
"Jun 20, 2022",$0.004943,$0.005243,$0.004743,$0.004938,"$19,178","$19,178"
"Jun 19, 2022",$0.004369,$0.005184,$0.004173,$0.004946,"$58,438","$58,438"
"Jun 18, 2022",$0.004913,$0.005108,$0.004078,$0.004377,"$31,761","$31,761"
"Jun 17, 2022",$0.005104,$0.005618,$0.004697,$0.004916,"$103,729","$103,729"
