Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$0.1349,$0.1466,$0.13,$0.1402,"$22,088","$22,088"
"Sep 21, 2022",$0.139,$0.1441,$0.1291,$0.135,"$17,515","$17,515"
"Sep 20, 2022",$0.1419,$0.1579,$0.1342,$0.1397,"$23,234","$23,234"
"Sep 19, 2022",$0.1495,$0.1587,$0.1205,$0.1419,"$27,694","$27,694"
"Sep 18, 2022",$0.1497,$0.1589,$0.1392,$0.1495,"$23,706","$23,706"
"Sep 17, 2022",$0.1578,$0.1644,$0.1406,$0.1497,"$17,191","$17,191"
"Sep 16, 2022",$0.1482,$0.1591,$0.137,$0.1578,"$21,295","$21,295"
"Sep 15, 2022",$0.1627,$0.1757,$0.1391,$0.1478,"$22,295","$22,295"
"Sep 14, 2022",$0.1576,$0.1808,$0.155,$0.1625,"$21,052","$21,052"
"Sep 13, 2022",$0.1761,$0.19,$0.1522,$0.1733,"$25,644","$25,644"
"Sep 12, 2022",$0.1554,$0.1958,$0.1521,$0.176,"$23,195","$23,195"
"Sep 11, 2022",$0.158,$0.1647,$0.1516,$0.155,"$16,442","$16,442"
"Sep 10, 2022",$0.1548,$0.1609,$0.1495,$0.1578,"$12,432","$12,432"
"Sep 09, 2022",$0.1357,$0.1616,$0.1357,$0.1548,"$9,621","$9,621"
"Sep 08, 2022",$0.146,$0.1591,$0.1348,$0.1357,"$12,282","$12,282"
"Sep 07, 2022",$0.1379,$0.159,$0.133,$0.1463,"$20,021","$20,021"
"Sep 06, 2022",$0.1504,$0.1518,$0.1329,$0.1381,"$20,209","$20,209"
"Sep 05, 2022",$0.1463,$0.1561,$0.131,$0.1504,"$26,230","$26,230"
"Sep 04, 2022",$0.1509,$0.1509,$0.134,$0.1463,"$18,832","$18,832"
"Sep 03, 2022",$0.1511,$0.163,$0.1486,$0.1505,"$16,902","$16,902"
"Sep 02, 2022",$0.157,$0.1643,$0.1495,$0.1514,"$21,913","$21,913"
"Sep 01, 2022",$0.1657,$0.1659,$0.1507,$0.157,"$17,166","$17,166"
