Day,Open,High,Low,Close,Volume,Market Cap
"Sep 21, 2022",$54.99,$57.70,$53.91,$54.76,"$3,581,877","$3,581,877"
"Sep 20, 2022",$59.26,$59.26,$54.91,$54.98,"$4,247,813","$4,247,813"
"Sep 19, 2022",$64.08,$64.61,$55.87,$59.30,"$9,793,294","$9,793,294"
"Sep 18, 2022",$60.23,$77.42,$59.73,$64.13,"$31,552,870","$31,552,870"
"Sep 17, 2022",$57.17,$61.65,$57.13,$60.22,"$2,370,062","$2,370,062"
"Sep 16, 2022",$56.36,$57.53,$55.76,$57.17,"$2,443,101","$2,443,101"
"Sep 15, 2022",$59.01,$59.23,$56.28,$56.33,"$2,465,343","$2,465,343"
"Sep 14, 2022",$59.39,$60.06,$57.91,$59.03,"$4,840,590","$4,840,590"
"Sep 13, 2022",$64.17,$64.36,$59.35,$59.51,"$2,770,685","$2,770,685"
"Sep 12, 2022",$64.73,$64.90,$63.15,$64.17,"$2,409,928","$2,409,928"
"Sep 11, 2022",$65.66,$66.03,$64.41,$64.74,"$2,301,148","$2,301,148"
"Sep 10, 2022",$64.43,$65.74,$64.10,$65.66,"$2,537,013","$2,537,013"
"Sep 09, 2022",$61.11,$64.95,$61.11,$64.43,"$3,097,509","$3,097,509"
"Sep 08, 2022",$60.58,$61.65,$60.14,$61.11,"$2,203,535","$2,203,535"
"Sep 07, 2022",$59.53,$61.21,$58.29,$60.59,"$1,996,838","$1,996,838"
"Sep 06, 2022",$63.17,$64.82,$59.50,$59.50,"$2,720,128","$2,720,128"
"Sep 05, 2022",$65.93,$66.25,$62.96,$63.17,"$2,233,177","$2,233,177"
"Sep 04, 2022",$64.84,$65.97,$64.65,$65.92,"$1,729,083","$1,729,083"
"Sep 03, 2022",$64.76,$66.37,$64.38,$64.86,"$2,084,290","$2,084,290"
"Sep 02, 2022",$65.09,$65.75,$63.99,$64.75,"$2,561,715","$2,561,715"
"Sep 01, 2022",$64.08,$65.66,$62.99,$65.11,"$2,153,428","$2,153,428"
"Aug 31, 2022",$62.80,$66.15,$62.80,$64.09,"$2,920,066","$2,920,066"
"Aug 30, 2022",$65.78,$66.13,$62.27,$62.80,"$3,017,825","$3,017,825"
"Aug 29, 2022",$62.68,$68.03,$62.29,$65.78,"$4,870,245","$4,870,245"
"Aug 28, 2022",$63.89,$64.90,$62.62,$62.68,"$2,712,326","$2,712,326"
"Aug 27, 2022",$64.86,$65.42,$61.93,$63.88,"$2,755,770","$2,755,770"
"Aug 26, 2022",$72.08,$72.08,$64.86,$64.86,"$4,240,360","$4,240,360"
"Aug 25, 2022",$72.42,$74.95,$71.92,$72.08,"$2,982,702","$2,982,702"
"Aug 24, 2022",$72.58,$74.04,$70.63,$72.44,"$2,998,346","$2,998,346"
"Aug 23, 2022",$70.71,$73.01,$70.56,$72.60,"$2,560,064","$2,560,064"
"Aug 22, 2022",$71.78,$71.82,$68.35,$70.75,"$2,280,670","$2,280,670"
"Aug 21, 2022",$69.00,$72.78,$68.34,$71.79,"$3,127,020","$3,127,020"
"Aug 20, 2022",$69.01,$73.63,$67.65,$69.00,"$3,242,162","$3,242,162"
"Aug 19, 2022",$79.50,$79.51,$68.76,$69.07,"$4,087,181","$4,087,181"
"Aug 18, 2022",$81.32,$83.49,$79.54,$79.54,"$2,257,779","$2,257,779"
"Aug 17, 2022",$84.21,$86.32,$81.20,$81.33,"$3,229,864","$3,229,864"
"Aug 16, 2022",$85.65,$85.93,$83.79,$84.20,"$3,060,704","$3,060,704"
"Aug 15, 2022",$86.76,$89.42,$84.40,$85.65,"$3,690,876","$3,690,876"
"Aug 14, 2022",$94.95,$95.14,$84.61,$86.78,"$7,686,203","$7,686,203"
"Aug 13, 2022",$88.42,$100.24,$88.17,$94.93,"$12,681,068","$12,681,068"
"Aug 12, 2022",$86.34,$88.39,$86.05,$88.37,"$3,365,629","$3,365,629"
"Aug 11, 2022",$88.16,$89.67,$85.92,$86.33,"$4,732,481","$4,732,481"
"Aug 10, 2022",$86.72,$90.63,$84.59,$88.14,"$4,313,560","$4,313,560"
"Aug 09, 2022",$90.01,$91.13,$85.77,$86.72,"$5,937,923","$5,937,923"
"Aug 08, 2022",$87.98,$91.33,$87.98,$90.00,"$5,192,113","$5,192,113"
"Aug 07, 2022",$88.89,$89.50,$87.60,$87.98,"$3,845,139","$3,845,139"
"Aug 06, 2022",$90.02,$91.65,$88.53,$88.89,"$5,394,884","$5,394,884"
"Aug 05, 2022",$88.01,$93.62,$87.94,$90.02,"$6,955,215","$6,955,215"
"Aug 04, 2022",$84.92,$89.29,$84.92,$88.03,"$5,775,550","$5,775,550"
"Aug 03, 2022",$84.56,$88.94,$83.62,$84.92,"$5,636,654","$5,636,654"
"Aug 02, 2022",$85.11,$87.05,$81.07,$84.57,"$6,263,124","$6,263,124"
"Aug 01, 2022",$85.08,$87.89,$82.55,$85.11,"$9,057,725","$9,057,725"
"Jul 31, 2022",$85.07,$100.99,$84.42,$85.07,"$23,053,182","$23,053,182"
"Jul 30, 2022",$82.42,$92.20,$81.88,$85.07,"$13,952,590","$13,952,590"
"Jul 29, 2022",$81.61,$87.73,$80.77,$82.42,"$11,528,751","$11,528,751"
"Jul 28, 2022",$80.73,$84.57,$78.86,$81.57,"$9,912,153","$9,912,153"
"Jul 27, 2022",$76.57,$81.17,$74.85,$80.74,"$12,353,803","$12,353,803"
"Jul 26, 2022",$74.27,$83.56,$68.98,$76.58,"$9,760,720","$9,760,720"
"Jul 25, 2022",$81.48,$81.48,$74.28,$74.28,"$5,267,559","$5,267,559"
"Jul 24, 2022",$84.44,$85.01,$80.54,$81.47,"$5,492,148","$5,492,148"
"Jul 23, 2022",$83.25,$86.48,$83.11,$84.44,"$7,574,284","$7,574,284"
"Jul 22, 2022",$87.48,$89.26,$82.90,$83.25,"$8,651,064","$8,651,064"
"Jul 21, 2022",$81.15,$91.01,$80.82,$87.49,"$12,778,558","$12,778,558"
"Jul 20, 2022",$87.88,$89.49,$80.38,$81.19,"$11,744,462","$11,744,462"
"Jul 19, 2022",$94.15,$95.98,$83.00,$87.91,"$37,531,085","$37,531,085"
"Jul 18, 2022",$68.43,$110.48,$68.18,$94.23,"$91,056,415","$91,056,415"
"Jul 17, 2022",$72.69,$76.12,$67.21,$68.42,"$11,338,804","$11,338,804"
"Jul 16, 2022",$75.23,$76.68,$69.75,$72.66,"$32,759,572","$32,759,572"
"Jul 15, 2022",$80.13,$117.39,$72.23,$75.24,"$126,479,528","$126,479,528"
"Jul 14, 2022",$54.58,$80.64,$54.58,$80.22,"$30,068,673","$30,068,673"
"Jul 13, 2022",$51.84,$54.76,$50.12,$54.58,"$4,859,987","$4,859,987"
"Jul 12, 2022",$54.80,$55.19,$51.84,$51.84,"$3,897,000","$3,897,000"
"Jul 11, 2022",$59.51,$59.57,$54.69,$54.80,"$5,638,571","$5,638,571"
"Jul 10, 2022",$62.63,$62.83,$58.29,$59.52,"$8,671,922","$8,671,922"
"Jul 09, 2022",$57.80,$65.56,$57.45,$62.63,"$14,341,565","$14,341,565"
"Jul 08, 2022",$57.06,$58.98,$55.51,$57.85,"$4,931,289","$4,931,289"
"Jul 07, 2022",$54.44,$57.85,$53.57,$57.05,"$4,603,586","$4,603,586"
"Jul 06, 2022",$52.44,$54.84,$52.01,$54.43,"$4,352,176","$4,352,176"
"Jul 05, 2022",$55.18,$56.36,$51.56,$52.44,"$5,814,307","$5,814,307"
"Jul 04, 2022",$52.66,$55.30,$52.50,$55.18,"$6,316,427","$6,316,427"
"Jul 03, 2022",$56.47,$58.54,$52.52,$52.66,"$13,757,325","$13,757,325"
"Jul 02, 2022",$50.05,$60.55,$49.38,$56.49,"$11,857,143","$11,857,143"
"Jul 01, 2022",$51.36,$53.05,$49.67,$50.05,"$5,806,899","$5,806,899"
"Jun 30, 2022",$53.10,$54.65,$48.65,$51.30,"$9,363,600","$9,363,600"
"Jun 29, 2022",$50.36,$56.83,$49.23,$53.10,"$7,091,674","$7,091,674"
"Jun 28, 2022",$51.79,$54.23,$50.27,$50.37,"$5,098,197","$5,098,197"
"Jun 27, 2022",$51.06,$54.29,$49.81,$51.80,"$5,378,660","$5,378,660"
"Jun 26, 2022",$54.53,$55.61,$51.03,$51.04,"$5,910,033","$5,910,033"
"Jun 25, 2022",$58.48,$58.70,$51.93,$54.49,"$11,824,693","$11,824,693"
"Jun 24, 2022",$46.91,$61.22,$46.81,$58.41,"$23,921,774","$23,921,774"
"Jun 23, 2022",$44.61,$47.11,$44.30,$46.92,"$5,507,033","$5,507,033"
"Jun 22, 2022",$45.20,$46.56,$43.85,$44.61,"$4,961,339","$4,961,339"
"Jun 21, 2022",$45.22,$48.44,$44.71,$45.20,"$9,226,619","$9,226,619"
"Jun 20, 2022",$43.46,$53.77,$41.30,$45.23,"$18,245,311","$18,245,311"
