Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.1584,$0.1897,$0.1581,$0.1711,"$1,991,317","$1,991,317"
"Sep 18, 2022",$0.1531,$0.1587,$0.1513,$0.1584,"$617,116","$617,116"
"Sep 17, 2022",$0.16,$0.1652,$0.151,$0.1531,"$8,303,483","$8,303,483"
"Sep 16, 2022",$0.1351,$0.1656,$0.1348,$0.16,"$11,024,417","$11,024,417"
"Sep 15, 2022",$0.1369,$0.1422,$0.1343,$0.1351,"$10,230,337","$10,230,337"
"Sep 14, 2022",$0.135,$0.1406,$0.1248,$0.1369,"$10,010,592","$10,010,592"
"Sep 13, 2022",$0.1498,$0.151,$0.1348,$0.1396,"$12,343,607","$12,343,607"
"Sep 12, 2022",$0.1501,$0.1512,$0.1472,$0.1498,"$8,135,203","$8,135,203"
"Sep 11, 2022",$0.1501,$0.1506,$0.1479,$0.1501,"$9,219,128","$9,219,128"
"Sep 10, 2022",$0.1517,$0.1526,$0.1489,$0.1501,"$4,317,399","$4,317,399"
"Sep 09, 2022",$0.15,$0.1529,$0.148,$0.1517,"$7,281,591","$7,281,591"
"Sep 08, 2022",$0.1524,$0.1627,$0.1481,$0.15,"$6,545,290","$6,545,290"
"Sep 07, 2022",$0.1589,$0.1637,$0.1522,$0.1524,"$7,690,375","$7,690,375"
"Sep 06, 2022",$0.1557,$0.1688,$0.1512,$0.1596,"$10,748,950","$10,748,950"
"Sep 05, 2022",$0.163,$0.1756,$0.1556,$0.1557,"$6,965,880","$6,965,880"
"Sep 04, 2022",$0.1627,$0.1774,$0.1475,$0.163,"$14,340,835","$14,340,835"
"Sep 03, 2022",$0.1307,$0.181,$0.1298,$0.1619,"$12,745,377","$12,745,377"
"Sep 02, 2022",$0.1328,$0.1367,$0.1307,$0.1308,"$7,113,089","$7,113,089"
"Sep 01, 2022",$0.1357,$0.1359,$0.1301,$0.1328,"$7,840,419","$7,840,419"
"Aug 31, 2022",$0.1338,$0.1395,$0.1326,$0.1357,"$7,123,879","$7,123,879"
"Aug 30, 2022",$0.1387,$0.1389,$0.1322,$0.1338,"$7,720,921","$7,720,921"
"Aug 29, 2022",$0.1538,$0.1614,$0.1356,$0.1387,"$9,558,298","$9,558,298"
"Aug 28, 2022",$0.1733,$0.184,$0.1361,$0.1531,"$10,509,107","$10,509,107"
"Aug 27, 2022",$0.147,$0.1969,$0.1438,$0.1742,"$10,674,521","$10,674,521"
"Aug 26, 2022",$0.1121,$0.2262,$0.1092,$0.147,"$29,947,037","$29,947,037"
"Aug 25, 2022",$0.1116,$0.1139,$0.1063,$0.1119,"$3,547,053","$3,547,053"
"Aug 24, 2022",$0.1092,$0.1209,$0.109,$0.1116,"$2,694,712","$2,694,712"
"Aug 23, 2022",$0.11,$0.1127,$0.1073,$0.1092,"$395,534","$395,534"
"Aug 22, 2022",$0.1047,$0.1129,$0.1044,$0.11,"$570,838","$570,838"
"Aug 21, 2022",$0.1109,$0.1172,$0.1039,$0.1047,"$657,123","$657,123"
"Aug 20, 2022",$0.1099,$0.1135,$0.1072,$0.1109,"$493,126","$493,126"
"Aug 19, 2022",$0.1083,$0.1183,$0.1073,$0.1099,"$1,392,577","$1,392,577"
"Aug 18, 2022",$0.1103,$0.1127,$0.1069,$0.1082,"$473,897","$473,897"
"Aug 17, 2022",$0.1106,$0.1153,$0.107,$0.1103,"$658,518","$658,518"
"Aug 16, 2022",$0.114,$0.1174,$0.1106,$0.1106,"$610,515","$610,515"
"Aug 15, 2022",$0.1081,$0.1357,$0.1069,$0.114,"$3,697,230","$3,697,230"
"Aug 14, 2022",$0.1065,$0.1165,$0.1055,$0.1081,"$770,821","$770,821"
"Aug 13, 2022",$0.1076,$0.1135,$0.1058,$0.1065,"$550,007","$550,007"
"Aug 12, 2022",$0.109,$0.1167,$0.106,$0.1076,"$1,668,540","$1,668,540"
"Aug 11, 2022",$0.1208,$0.1261,$0.1056,$0.1092,"$2,770,498","$2,770,498"
"Aug 10, 2022",$0.1333,$0.1804,$0.1161,$0.1187,"$20,105,964","$20,105,964"
"Aug 09, 2022",$0.09067,$0.1753,$0.08969,$0.1355,"$15,065,592","$15,065,592"
"Aug 08, 2022",$0.08862,$0.09543,$0.08787,$0.09067,"$377,435","$377,435"
"Aug 07, 2022",$0.08868,$0.09486,$0.08355,$0.08867,"$440,680","$440,680"
"Aug 06, 2022",$0.08147,$0.08998,$0.08146,$0.08868,"$315,388","$315,388"
"Aug 05, 2022",$0.08234,$0.0884,$0.0814,$0.08148,"$254,065","$254,065"
"Aug 04, 2022",$0.08675,$0.09008,$0.08236,$0.08236,"$291,484","$291,484"
"Aug 03, 2022",$0.08409,$0.08881,$0.08138,$0.08661,"$561,930","$561,930"
"Aug 02, 2022",$0.08191,$0.08989,$0.07606,$0.08409,"$502,982","$502,982"
"Aug 01, 2022",$0.07833,$0.08638,$0.07517,$0.08174,"$367,696","$367,696"
"Jul 31, 2022",$0.07927,$0.08312,$0.07693,$0.07834,"$282,829","$282,829"
"Jul 30, 2022",$0.07932,$0.08581,$0.07759,$0.07925,"$392,306","$392,306"
"Jul 29, 2022",$0.08003,$0.08481,$0.07838,$0.07941,"$351,124","$351,124"
"Jul 28, 2022",$0.07971,$0.08469,$0.07717,$0.0801,"$455,529","$455,529"
"Jul 27, 2022",$0.07616,$0.08048,$0.07568,$0.07975,"$317,700","$317,700"
"Jul 26, 2022",$0.07836,$0.07951,$0.07606,$0.07627,"$323,066","$323,066"
"Jul 25, 2022",$0.08133,$0.08158,$0.07711,$0.07844,"$304,479","$304,479"
"Jul 24, 2022",$0.07843,$0.08189,$0.07798,$0.08138,"$354,414","$354,414"
"Jul 23, 2022",$0.08115,$0.08205,$0.07682,$0.07841,"$361,314","$361,314"
"Jul 22, 2022",$0.08551,$0.08551,$0.0806,$0.08145,"$485,453","$485,453"
"Jul 21, 2022",$0.08229,$0.09734,$0.08183,$0.08554,"$1,187,963","$1,187,963"
"Jul 20, 2022",$0.08107,$0.0961,$0.07932,$0.08229,"$1,353,691","$1,353,691"
"Jul 19, 2022",$0.07866,$0.08241,$0.07703,$0.08105,"$523,718","$523,718"
"Jul 18, 2022",$0.07749,$0.08993,$0.07686,$0.07867,"$423,730","$423,730"
"Jul 17, 2022",$0.07553,$0.07915,$0.07316,$0.07748,"$419,188","$419,188"
"Jul 16, 2022",$0.07448,$0.07827,$0.07437,$0.07544,"$401,395","$401,395"
"Jul 15, 2022",$0.07723,$0.07792,$0.07441,$0.07448,"$333,934","$333,934"
"Jul 14, 2022",$0.07813,$0.08053,$0.07586,$0.07724,"$661,136","$661,136"
"Jul 13, 2022",$0.07816,$0.08185,$0.07501,$0.07816,"$877,558","$877,558"
"Jul 12, 2022",$0.08021,$0.08175,$0.06915,$0.07816,"$742,053","$742,053"
"Jul 11, 2022",$0.07825,$0.08117,$0.07606,$0.08027,"$480,279","$480,279"
"Jul 10, 2022",$0.07979,$0.08098,$0.07682,$0.07825,"$603,525","$603,525"
"Jul 09, 2022",$0.08176,$0.08266,$0.07861,$0.07975,"$1,648,689","$1,648,689"
"Jul 08, 2022",$0.0842,$0.08658,$0.08084,$0.08197,"$1,737,488","$1,737,488"
"Jul 07, 2022",$0.08646,$0.08756,$0.08392,$0.08429,"$1,811,179","$1,811,179"
"Jul 06, 2022",$0.08521,$0.08765,$0.08366,$0.08644,"$1,381,649","$1,381,649"
"Jul 05, 2022",$0.0832,$0.08543,$0.0822,$0.08517,"$669,480","$669,480"
"Jul 04, 2022",$0.08255,$0.08618,$0.08128,$0.08351,"$570,909","$570,909"
"Jul 03, 2022",$0.08336,$0.08801,$0.07552,$0.08257,"$990,307","$990,307"
"Jul 02, 2022",$0.08063,$0.08733,$0.07467,$0.08339,"$605,687","$605,687"
"Jul 01, 2022",$0.08263,$0.08708,$0.07845,$0.08057,"$561,041","$561,041"
"Jun 30, 2022",$0.08396,$0.09975,$0.08037,$0.08189,"$778,998","$778,998"
"Jun 29, 2022",$0.08342,$0.09355,$0.07837,$0.08412,"$974,846","$974,846"
"Jun 28, 2022",$0.08095,$0.08859,$0.07383,$0.08352,"$732,559","$732,559"
"Jun 27, 2022",$0.08096,$0.09438,$0.0784,$0.0809,"$992,447","$992,447"
"Jun 26, 2022",$0.08097,$0.08431,$0.07872,$0.08104,"$556,876","$556,876"
"Jun 25, 2022",$0.08246,$0.08464,$0.08049,$0.08104,"$538,979","$538,979"
"Jun 24, 2022",$0.08272,$0.08621,$0.08134,$0.08278,"$690,986","$690,986"
"Jun 23, 2022",$0.08755,$0.0886,$0.08124,$0.0827,"$1,267,018","$1,267,018"
"Jun 22, 2022",$0.0842,$0.08816,$0.0829,$0.08719,"$822,026","$822,026"
"Jun 21, 2022",$0.08347,$0.08845,$0.08233,$0.08425,"$519,138","$519,138"
"Jun 20, 2022",$0.07837,$0.105,$0.07476,$0.08348,"$687,162","$687,162"
"Jun 19, 2022",$0.08065,$0.08808,$0.06687,$0.07838,"$907,167","$907,167"
"Jun 18, 2022",$0.08183,$0.08717,$0.06053,$0.08066,"$1,209,505","$1,209,505"
"Jun 17, 2022",$0.07725,$0.08584,$0.07666,$0.08209,"$451,618","$451,618"
"Jun 16, 2022",$0.08422,$0.09216,$0.07668,$0.07716,"$527,757","$527,757"
"Jun 15, 2022",$0.08071,$0.08897,$0.07571,$0.08428,"$652,043","$652,043"
"Jun 14, 2022",$0.07743,$0.09318,$0.07284,$0.08084,"$552,673","$552,673"
"Jun 13, 2022",$0.08936,$0.08936,$0.07572,$0.07789,"$673,042","$673,042"
"Jun 12, 2022",$0.0978,$0.09791,$0.08643,$0.08777,"$605,962","$605,962"
"Jun 11, 2022",$0.1041,$0.1141,$0.09755,$0.0978,"$546,959","$546,959"
"Jun 10, 2022",$0.1019,$0.1125,$0.1019,$0.104,"$724,164","$724,164"
"Jun 09, 2022",$0.1032,$0.1087,$0.1017,$0.1019,"$526,353","$526,353"
"Jun 08, 2022",$0.1054,$0.1076,$0.1029,$0.1033,"$507,144","$507,144"
"Jun 07, 2022",$0.111,$0.135,$0.1023,$0.1056,"$719,933","$719,933"
"Jun 06, 2022",$0.1074,$0.1114,$0.1047,$0.111,"$482,214","$482,214"
"Jun 05, 2022",$0.1075,$0.1093,$0.1072,$0.1078,"$433,231","$433,231"
"Jun 04, 2022",$0.1099,$0.1115,$0.1052,$0.1077,"$451,844","$451,844"
"Jun 03, 2022",$0.1089,$0.113,$0.1054,$0.1099,"$517,656","$517,656"
"Jun 02, 2022",$0.1099,$0.1131,$0.1061,$0.1095,"$539,032","$539,032"
"Jun 01, 2022",$0.109,$0.1158,$0.109,$0.1099,"$473,949","$473,949"
"May 31, 2022",$0.1086,$0.1103,$0.1079,$0.1091,"$847,775","$847,775"
"May 30, 2022",$0.1052,$0.109,$0.1049,$0.1086,"$1,538,468","$1,538,468"
"May 29, 2022",$0.1055,$0.1066,$0.1045,$0.1052,"$1,738,020","$1,738,020"
"May 28, 2022",$0.1053,$0.1067,$0.1044,$0.1055,"$1,672,551","$1,672,551"
"May 27, 2022",$0.1111,$0.1112,$0.1035,$0.106,"$1,921,605","$1,921,605"
"May 26, 2022",$0.1098,$0.137,$0.1066,$0.1111,"$1,985,219","$1,985,219"
"May 25, 2022",$0.1092,$0.1145,$0.1083,$0.1098,"$1,866,117","$1,866,117"
"May 24, 2022",$0.1147,$0.116,$0.1057,$0.1092,"$2,030,250","$2,030,250"
"May 23, 2022",$0.1197,$0.1205,$0.1135,$0.1147,"$2,287,685","$2,287,685"
"May 22, 2022",$0.1198,$0.1215,$0.1165,$0.1195,"$460,944","$460,944"
"May 21, 2022",$0.1207,$0.123,$0.1171,$0.1199,"$637,213","$637,213"
"May 20, 2022",$0.1208,$0.1233,$0.1193,$0.1208,"$507,667","$507,667"
"May 19, 2022",$0.1169,$0.1233,$0.1129,$0.1208,"$573,540","$573,540"
"May 18, 2022",$0.1241,$0.127,$0.1156,$0.1167,"$562,822","$562,822"
"May 17, 2022",$0.1235,$0.1281,$0.1222,$0.1241,"$558,474","$558,474"
