Day,Open,High,Low,Close,Volume,Market Cap
"Sep 21, 2022",$2.85,$2.89,$2.84,$2.85,"$658,043","$658,043"
"Sep 20, 2022",$2.85,$2.88,$2.84,$2.85,"$1,094,880","$1,094,880"
"Sep 19, 2022",$2.86,$2.89,$2.80,$2.85,"$793,865","$793,865"
"Sep 18, 2022",$2.87,$2.88,$2.85,$2.86,"$687,688","$687,688"
"Sep 17, 2022",$2.87,$2.88,$2.86,$2.87,"$677,113","$677,113"
"Sep 16, 2022",$2.88,$2.89,$2.86,$2.87,"$685,669","$685,669"
"Sep 15, 2022",$2.90,$2.91,$2.86,$2.88,"$1,368,097","$1,368,097"
"Sep 14, 2022",$2.88,$2.91,$2.87,$2.90,"$2,074,237","$2,074,237"
"Sep 13, 2022",$2.88,$2.89,$2.87,$2.88,"$1,869,777","$1,869,777"
"Sep 12, 2022",$2.88,$2.89,$2.86,$2.88,"$606,271","$606,271"
"Sep 11, 2022",$2.90,$2.90,$2.86,$2.88,"$724,585","$724,585"
"Sep 10, 2022",$2.90,$2.91,$2.89,$2.90,"$914,827","$914,827"
"Sep 09, 2022",$2.91,$2.93,$2.90,$2.90,"$452,407","$452,407"
"Sep 08, 2022",$2.91,$2.93,$2.90,$2.91,"$1,570,758","$1,570,758"
"Sep 07, 2022",$2.93,$2.94,$2.90,$2.91,"$524,727","$524,727"
"Sep 06, 2022",$2.89,$2.94,$2.86,$2.93,"$2,559,280","$2,559,280"
"Sep 05, 2022",$2.90,$2.90,$2.88,$2.89,"$272,047","$272,047"
"Sep 04, 2022",$2.89,$2.90,$2.88,$2.90,"$1,638,044","$1,638,044"
"Sep 03, 2022",$2.89,$2.90,$2.87,$2.89,"$289,070","$289,070"
"Sep 02, 2022",$2.89,$2.91,$2.88,$2.90,"$517,725","$517,725"
"Sep 01, 2022",$2.90,$2.91,$2.87,$2.89,"$547,982","$547,982"
"Aug 31, 2022",$2.89,$2.92,$2.88,$2.90,"$435,972","$435,972"
"Aug 30, 2022",$2.91,$2.92,$2.88,$2.89,"$863,738","$863,738"
"Aug 29, 2022",$2.90,$2.92,$2.89,$2.91,"$647,811","$647,811"
"Aug 28, 2022",$2.92,$2.92,$2.89,$2.90,"$585,003","$585,003"
"Aug 27, 2022",$2.91,$2.93,$2.90,$2.92,"$647,742","$647,742"
"Aug 26, 2022",$2.91,$2.92,$2.88,$2.91,"$1,204,597","$1,204,597"
"Aug 25, 2022",$2.90,$2.92,$2.89,$2.91,"$408,353","$408,353"
"Aug 24, 2022",$2.92,$2.93,$2.90,$2.90,"$262,067","$262,067"
"Aug 23, 2022",$2.92,$2.94,$2.91,$2.92,"$463,116","$463,116"
"Aug 22, 2022",$2.91,$2.94,$2.90,$2.92,"$464,164","$464,164"
"Aug 21, 2022",$2.92,$2.94,$2.91,$2.91,"$299,421","$299,421"
"Aug 20, 2022",$2.93,$2.94,$2.91,$2.92,"$415,687","$415,687"
"Aug 19, 2022",$2.93,$2.94,$2.90,$2.93,"$3,559,851","$3,559,851"
"Aug 18, 2022",$2.93,$2.94,$2.93,$2.93,"$1,361,531","$1,361,531"
