Day,Open,High,Low,Close,Volume,Market Cap
"Sep 26, 2022",$0.05848,$0.05954,$0.05436,$0.05659,"$38,664","$38,664"
"Sep 25, 2022",$0.05867,$0.05954,$0.05632,$0.05865,"$23,464","$23,464"
"Sep 24, 2022",$0.05665,$0.05875,$0.05494,$0.05867,"$20,452","$20,452"
"Sep 23, 2022",$0.06219,$0.06229,$0.05622,$0.05665,"$20,518","$20,518"
"Sep 22, 2022",$0.0605,$0.06274,$0.06005,$0.06219,"$26,098","$26,098"
"Sep 21, 2022",$0.06454,$0.06457,$0.06004,$0.06037,"$30,845","$30,845"
"Sep 20, 2022",$0.06021,$0.06597,$0.05992,$0.06454,"$44,482","$44,482"
"Sep 19, 2022",$0.05149,$0.06064,$0.04628,$0.06021,"$50,327","$50,327"
"Sep 18, 2022",$0.05452,$0.05452,$0.05055,$0.05149,"$43,677","$43,677"
"Sep 17, 2022",$0.05512,$0.05919,$0.05317,$0.05433,"$36,566","$36,566"
"Sep 16, 2022",$0.05014,$0.06265,$0.05012,$0.0551,"$46,011","$46,011"
"Sep 15, 2022",$0.05153,$0.05256,$0.04985,$0.05029,"$20,405","$20,405"
"Sep 14, 2022",$0.05352,$0.05403,$0.04907,$0.0517,"$21,937","$21,937"
"Sep 13, 2022",$0.05526,$0.05629,$0.05027,$0.05384,"$49,023","$49,023"
"Sep 12, 2022",$0.05813,$0.06248,$0.05515,$0.05525,"$50,434","$50,434"
"Sep 11, 2022",$0.0568,$0.06502,$0.05656,$0.05812,"$48,658","$48,658"
"Sep 10, 2022",$0.05594,$0.05919,$0.04727,$0.0568,"$50,232","$50,232"
"Sep 09, 2022",$0.04687,$0.06096,$0.04554,$0.05573,"$58,459","$58,459"
"Sep 08, 2022",$0.04812,$0.04827,$0.0459,$0.04687,"$31,962","$31,962"
"Sep 07, 2022",$0.04812,$0.05219,$0.04723,$0.04815,"$37,574","$37,574"
"Sep 06, 2022",$0.04909,$0.05029,$0.04532,$0.04813,"$49,999","$49,999"
"Sep 05, 2022",$0.05609,$0.05623,$0.0472,$0.04909,"$29,363","$29,363"
"Sep 04, 2022",$0.05098,$0.05673,$0.0504,$0.05609,"$47,952","$47,952"
"Sep 03, 2022",$0.05335,$0.05443,$0.05017,$0.05114,"$17,450","$17,450"
"Sep 02, 2022",$0.05243,$0.05494,$0.05103,$0.05328,"$37,597","$37,597"
"Sep 01, 2022",$0.05759,$0.05759,$0.05025,$0.05248,"$52,120","$52,120"
"Aug 31, 2022",$0.06299,$0.06303,$0.05625,$0.05764,"$25,296","$25,296"
"Aug 30, 2022",$0.05199,$0.06516,$0.05181,$0.06295,"$47,868","$47,868"
"Aug 29, 2022",$0.06017,$0.06033,$0.05171,$0.05187,"$36,083","$36,083"
"Aug 28, 2022",$0.0625,$0.06402,$0.05672,$0.05997,"$34,365","$34,365"
"Aug 27, 2022",$0.05528,$0.06527,$0.05521,$0.06251,"$36,295","$36,295"
