Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$0.02629,$0.02631,$0.02392,$0.02415,"$1,185,627","$1,185,627"
"Sep 17, 2022",$0.02579,$0.02648,$0.0255,$0.02627,"$1,967,493","$1,967,493"
"Sep 16, 2022",$0.0248,$0.02668,$0.02477,$0.02578,"$2,247,815","$2,247,815"
"Sep 15, 2022",$0.02761,$0.02771,$0.0248,$0.02482,"$1,036,084","$1,036,084"
"Sep 14, 2022",$0.0277,$0.02804,$0.02718,$0.02761,"$965,999","$965,999"
"Sep 13, 2022",$0.02983,$0.03017,$0.02751,$0.02772,"$1,491,858","$1,491,858"
"Sep 12, 2022",$0.03072,$0.03116,$0.0297,$0.02984,"$1,349,697","$1,349,697"
"Sep 11, 2022",$0.03136,$0.03139,$0.03055,$0.03071,"$1,265,137","$1,265,137"
"Sep 10, 2022",$0.03139,$0.03166,$0.03086,$0.03138,"$2,609,478","$2,609,478"
"Sep 09, 2022",$0.03038,$0.03167,$0.03019,$0.03138,"$1,690,594","$1,690,594"
"Sep 08, 2022",$0.0326,$0.0327,$0.03031,$0.03036,"$2,724,908","$2,724,908"
"Sep 07, 2022",$0.02962,$0.03303,$0.02952,$0.03259,"$5,211,750","$5,211,750"
"Sep 06, 2022",$0.03004,$0.03108,$0.0291,$0.0296,"$1,914,764","$1,914,764"
"Sep 05, 2022",$0.02995,$0.03013,$0.02949,$0.03003,"$998,092","$998,092"
"Sep 04, 2022",$0.02997,$0.03011,$0.02971,$0.02997,"$862,807","$862,807"
"Sep 03, 2022",$0.0301,$0.03016,$0.02948,$0.02997,"$1,157,169","$1,157,169"
"Sep 02, 2022",$0.03056,$0.03145,$0.02982,$0.0301,"$2,152,110","$2,152,110"
"Sep 01, 2022",$0.03139,$0.03172,$0.03046,$0.03055,"$4,337,568","$4,337,568"
"Aug 31, 2022",$0.03017,$0.03457,$0.02996,$0.03141,"$5,504,540","$5,504,540"
"Aug 30, 2022",$0.03239,$0.03244,$0.02969,$0.03018,"$1,494,773","$1,494,773"
"Aug 29, 2022",$0.03147,$0.0324,$0.0305,$0.0324,"$893,480","$893,480"
"Aug 28, 2022",$0.03255,$0.03257,$0.03147,$0.03148,"$808,025","$808,025"
"Aug 27, 2022",$0.03224,$0.03263,$0.03192,$0.03255,"$1,017,875","$1,017,875"
"Aug 26, 2022",$0.03493,$0.03517,$0.03224,$0.03225,"$1,290,239","$1,290,239"
"Aug 25, 2022",$0.03553,$0.03579,$0.03484,$0.03494,"$1,002,254","$1,002,254"
"Aug 24, 2022",$0.03532,$0.03553,$0.0348,$0.03553,"$1,176,500","$1,176,500"
