Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$2.25,$3.07,$2.21,$2.75,"$2,060,118","$2,060,118"
"Sep 18, 2022",$2.31,$2.46,$2.25,$2.25,"$354,128","$354,128"
"Sep 17, 2022",$2.29,$2.37,$2.29,$2.31,"$181,058","$181,058"
"Sep 16, 2022",$2.29,$2.32,$2.26,$2.29,"$277,587","$277,587"
"Sep 15, 2022",$2.36,$2.39,$2.27,$2.29,"$272,100","$272,100"
"Sep 14, 2022",$2.36,$2.38,$2.33,$2.36,"$225,195","$225,195"
"Sep 13, 2022",$2.49,$2.56,$2.33,$2.37,"$427,524","$427,524"
"Sep 12, 2022",$2.50,$2.52,$2.45,$2.49,"$518,105","$518,105"
"Sep 11, 2022",$2.45,$2.55,$2.44,$2.50,"$243,344","$243,344"
"Sep 10, 2022",$2.46,$2.51,$2.41,$2.45,"$275,290","$275,290"
"Sep 09, 2022",$2.31,$2.51,$2.31,$2.46,"$308,935","$308,935"
"Sep 08, 2022",$2.43,$2.43,$2.30,$2.31,"$253,220","$253,220"
"Sep 07, 2022",$2.31,$2.45,$2.25,$2.43,"$249,288","$249,288"
"Sep 06, 2022",$2.42,$2.46,$2.31,$2.31,"$241,194","$241,194"
"Sep 05, 2022",$2.41,$2.43,$2.36,$2.42,"$156,457","$156,457"
"Sep 04, 2022",$2.43,$2.47,$2.37,$2.41,"$356,212","$356,212"
"Sep 03, 2022",$2.45,$2.50,$2.42,$2.43,"$180,129","$180,129"
"Sep 02, 2022",$2.49,$2.52,$2.45,$2.45,"$175,073","$175,073"
"Sep 01, 2022",$2.50,$2.52,$2.44,$2.49,"$205,406","$205,406"
"Aug 31, 2022",$2.51,$2.60,$2.50,$2.50,"$223,024","$223,024"
"Aug 30, 2022",$2.59,$2.66,$2.49,$2.51,"$341,254","$341,254"
"Aug 29, 2022",$2.50,$2.62,$2.49,$2.59,"$331,448","$331,448"
"Aug 28, 2022",$2.56,$2.58,$2.50,$2.50,"$236,902","$236,902"
"Aug 27, 2022",$2.52,$2.66,$2.49,$2.56,"$518,165","$518,165"
"Aug 26, 2022",$2.77,$2.80,$2.51,$2.52,"$492,136","$492,136"
"Aug 25, 2022",$2.80,$2.85,$2.76,$2.77,"$403,423","$403,423"
"Aug 24, 2022",$2.89,$2.89,$2.80,$2.80,"$348,149","$348,149"
"Aug 23, 2022",$2.83,$2.91,$2.79,$2.89,"$350,807","$350,807"
"Aug 22, 2022",$2.84,$2.85,$2.78,$2.83,"$311,060","$311,060"
"Aug 21, 2022",$2.69,$2.92,$2.66,$2.84,"$590,528","$590,528"
"Aug 20, 2022",$2.74,$2.80,$2.66,$2.69,"$347,170","$347,170"
"Aug 19, 2022",$3.13,$3.13,$2.73,$2.74,"$548,726","$548,726"
"Aug 18, 2022",$3.17,$3.25,$3.13,$3.13,"$465,377","$465,377"
"Aug 17, 2022",$3.27,$3.30,$3.13,$3.17,"$326,830","$326,830"
"Aug 16, 2022",$3.26,$3.37,$3.16,$3.27,"$572,652","$572,652"
"Aug 15, 2022",$3.44,$3.46,$3.25,$3.26,"$463,392","$463,392"
"Aug 14, 2022",$3.29,$3.45,$3.21,$3.44,"$1,085,217","$1,085,217"
"Aug 13, 2022",$3.35,$3.41,$3.29,$3.29,"$410,509","$410,509"
"Aug 12, 2022",$3.28,$3.48,$3.17,$3.35,"$668,050","$668,050"
"Aug 11, 2022",$3.19,$3.36,$3.19,$3.28,"$531,294","$531,294"
"Aug 10, 2022",$3.13,$3.28,$3.10,$3.19,"$629,537","$629,537"
"Aug 09, 2022",$3.33,$3.34,$3.12,$3.13,"$610,261","$610,261"
"Aug 08, 2022",$3.31,$3.39,$3.31,$3.33,"$759,751","$759,751"
"Aug 07, 2022",$3.32,$3.34,$3.24,$3.31,"$662,762","$662,762"
"Aug 06, 2022",$3.38,$3.43,$3.32,$3.32,"$664,028","$664,028"
"Aug 05, 2022",$3.27,$3.47,$3.19,$3.38,"$1,115,675","$1,115,675"
"Aug 04, 2022",$3.31,$3.39,$3.24,$3.27,"$692,196","$692,196"
"Aug 03, 2022",$3.36,$3.48,$3.30,$3.31,"$1,019,927","$1,019,927"
"Aug 02, 2022",$3.22,$3.53,$3.16,$3.36,"$1,700,016","$1,700,016"
"Aug 01, 2022",$3.22,$3.31,$3.19,$3.22,"$822,840","$822,840"
"Jul 31, 2022",$3.27,$3.30,$3.17,$3.22,"$689,066","$689,066"
"Jul 30, 2022",$3.35,$3.39,$3.26,$3.27,"$797,696","$797,696"
"Jul 29, 2022",$3.30,$3.39,$3.19,$3.35,"$863,300","$863,300"
"Jul 28, 2022",$3.24,$3.45,$3.11,$3.31,"$1,360,179","$1,360,179"
"Jul 27, 2022",$3.02,$3.40,$3.00,$3.24,"$1,662,224","$1,662,224"
"Jul 26, 2022",$2.96,$3.03,$2.83,$3.02,"$945,856","$945,856"
"Jul 25, 2022",$3.29,$3.29,$2.96,$2.96,"$1,000,110","$1,000,110"
"Jul 24, 2022",$3.37,$3.59,$3.21,$3.29,"$1,803,699","$1,803,699"
"Jul 23, 2022",$3.12,$3.99,$3.08,$3.37,"$6,477,546","$6,477,546"
"Jul 22, 2022",$2.71,$3.24,$2.70,$3.12,"$2,115,475","$2,115,475"
"Jul 21, 2022",$2.72,$2.75,$2.61,$2.71,"$520,738","$520,738"
"Jul 20, 2022",$2.78,$2.85,$2.69,$2.72,"$983,610","$983,610"
"Jul 19, 2022",$2.72,$2.86,$2.65,$2.79,"$753,397","$753,397"
"Jul 18, 2022",$2.73,$2.92,$2.65,$2.71,"$1,339,409","$1,339,409"
