Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$0.00917,$0.009683,$0.009167,$0.009655,"$231,214","$231,214"
"Sep 21, 2022",$0.009295,$0.009444,$0.00913,$0.009176,"$307,619","$307,619"
"Sep 20, 2022",$0.00978,$0.009819,$0.009282,$0.00929,"$229,920","$229,920"
"Sep 19, 2022",$0.009611,$0.009788,$0.009526,$0.009777,"$200,175","$200,175"
"Sep 18, 2022",$0.01045,$0.01047,$0.009579,$0.009616,"$213,581","$213,581"
"Sep 17, 2022",$0.01047,$0.01055,$0.01037,$0.01045,"$181,948","$181,948"
"Sep 16, 2022",$0.01073,$0.01078,$0.01045,$0.01047,"$239,966","$239,966"
"Sep 15, 2022",$0.01095,$0.0112,$0.01068,$0.01075,"$229,452","$229,452"
"Sep 14, 2022",$0.01098,$0.01109,$0.01078,$0.01093,"$139,617","$139,617"
"Sep 13, 2022",$0.01171,$0.01176,$0.01098,$0.01102,"$220,938","$220,938"
"Sep 12, 2022",$0.01175,$0.01182,$0.0116,$0.01169,"$166,043","$166,043"
"Sep 11, 2022",$0.01291,$0.01295,$0.01174,$0.01175,"$324,719","$324,719"
"Sep 10, 2022",$0.01134,$0.0129,$0.01129,$0.0129,"$6,126,402","$6,126,402"
"Sep 09, 2022",$0.009857,$0.01135,$0.009857,$0.01134,"$441,260","$441,260"
"Sep 08, 2022",$0.009411,$0.009862,$0.009378,$0.009858,"$196,550","$196,550"
"Sep 07, 2022",$0.009236,$0.009505,$0.009096,$0.009398,"$186,421","$186,421"
"Sep 06, 2022",$0.00953,$0.009612,$0.009236,$0.009236,"$229,952","$229,952"
"Sep 05, 2022",$0.009596,$0.009624,$0.009487,$0.009527,"$158,346","$158,346"
"Sep 04, 2022",$0.009599,$0.009636,$0.009536,$0.009597,"$90,974","$90,974"
"Sep 03, 2022",$0.00966,$0.009683,$0.009561,$0.009594,"$109,405","$109,405"
"Sep 02, 2022",$0.00961,$0.009855,$0.009567,$0.009675,"$278,113","$278,113"
"Sep 01, 2022",$0.009872,$0.009872,$0.009597,$0.00961,"$187,004","$187,004"
"Aug 31, 2022",$0.009957,$0.01004,$0.009791,$0.009869,"$287,859","$287,859"
"Aug 30, 2022",$0.01031,$0.01087,$0.009943,$0.009949,"$459,540","$459,540"
"Aug 29, 2022",$0.01008,$0.01032,$0.009992,$0.01032,"$289,196","$289,196"
"Aug 28, 2022",$0.01024,$0.01045,$0.01005,$0.01008,"$392,257","$392,257"
