Day,Open,High,Low,Close,Volume,Market Cap
"Sep 17, 2022",$0.005098,$0.005813,$0.005077,$0.005581,"$116,003,588","$116,003,588"
"Sep 16, 2022",$0.004736,$0.00512,$0.004736,$0.005097,"$71,986,828","$71,986,828"
"Sep 15, 2022",$0.005235,$0.00542,$0.00466,$0.004734,"$76,173,757","$76,173,757"
"Sep 14, 2022",$0.005694,$0.006157,$0.004869,$0.00523,"$234,346,710","$234,346,710"
"Sep 13, 2022",$0.005297,$0.006217,$0.004658,$0.005022,"$334,116,677","$334,116,677"
"Sep 12, 2022",$0.003845,$0.005787,$0.003787,$0.005298,"$203,534,700","$203,534,700"
"Sep 11, 2022",$0.003875,$0.003929,$0.00378,$0.003846,"$14,074,359","$14,074,359"
"Sep 10, 2022",$0.003889,$0.003942,$0.003839,$0.003876,"$18,195,012","$18,195,012"
"Sep 09, 2022",$0.003612,$0.003911,$0.00361,$0.003889,"$15,789,982","$15,789,982"
"Sep 08, 2022",$0.003594,$0.003622,$0.0035,$0.003611,"$11,879,112","$11,879,112"
"Sep 07, 2022",$0.00345,$0.00363,$0.0034,$0.003594,"$11,211,212","$11,211,212"
"Sep 06, 2022",$0.003734,$0.003786,$0.003449,$0.003451,"$18,627,076","$18,627,076"
"Sep 05, 2022",$0.003816,$0.003859,$0.003675,$0.003734,"$13,228,795","$13,228,795"
"Sep 04, 2022",$0.003771,$0.003827,$0.003751,$0.003816,"$5,755,988","$5,755,988"
"Sep 03, 2022",$0.00375,$0.003793,$0.003701,$0.003771,"$9,202,498","$9,202,498"
"Sep 02, 2022",$0.003734,$0.003825,$0.003688,$0.003748,"$11,248,663","$11,248,663"
"Sep 01, 2022",$0.003699,$0.00374,$0.003614,$0.003734,"$12,095,360","$12,095,360"
"Aug 31, 2022",$0.003715,$0.003804,$0.003691,$0.0037,"$13,080,341","$13,080,341"
"Aug 30, 2022",$0.003741,$0.003914,$0.003676,$0.003716,"$14,513,511","$14,513,511"
"Aug 29, 2022",$0.003486,$0.003749,$0.003461,$0.003744,"$9,878,023","$9,878,023"
"Aug 28, 2022",$0.00364,$0.003674,$0.003484,$0.003486,"$7,627,735","$7,627,735"
"Aug 27, 2022",$0.003621,$0.003696,$0.003584,$0.00364,"$9,561,273","$9,561,273"
"Aug 26, 2022",$0.003925,$0.003927,$0.003594,$0.003621,"$14,319,246","$14,319,246"
"Aug 25, 2022",$0.003877,$0.004008,$0.003873,$0.003925,"$12,169,137","$12,169,137"
"Aug 24, 2022",$0.003891,$0.003977,$0.003812,$0.003876,"$11,728,949","$11,728,949"
"Aug 23, 2022",$0.003793,$0.003913,$0.003708,$0.003891,"$8,640,044","$8,640,044"
"Aug 22, 2022",$0.003981,$0.003984,$0.003704,$0.003794,"$10,362,441","$10,362,441"
"Aug 21, 2022",$0.003724,$0.004488,$0.003699,$0.003978,"$34,817,482","$34,817,482"
"Aug 20, 2022",$0.003717,$0.003815,$0.003631,$0.003725,"$8,817,314","$8,817,314"
"Aug 19, 2022",$0.003994,$0.003994,$0.003673,$0.003718,"$10,793,858","$10,793,858"
"Aug 18, 2022",$0.004176,$0.004272,$0.003991,$0.003995,"$10,271,269","$10,271,269"
"Aug 17, 2022",$0.004405,$0.004536,$0.004163,$0.004175,"$11,324,805","$11,324,805"
"Aug 16, 2022",$0.004457,$0.004486,$0.004356,$0.004406,"$10,490,077","$10,490,077"
"Aug 15, 2022",$0.00452,$0.004637,$0.004405,$0.00446,"$10,413,254","$10,413,254"
"Aug 14, 2022",$0.004643,$0.004714,$0.004492,$0.004519,"$11,612,458","$11,612,458"
"Aug 13, 2022",$0.004676,$0.004737,$0.004628,$0.004642,"$11,187,803","$11,187,803"
"Aug 12, 2022",$0.004576,$0.00469,$0.004513,$0.004676,"$13,623,710","$13,623,710"
"Aug 11, 2022",$0.004531,$0.004793,$0.00452,$0.004576,"$14,632,795","$14,632,795"
"Aug 10, 2022",$0.004372,$0.004538,$0.004233,$0.004529,"$9,671,980","$9,671,980"
"Aug 09, 2022",$0.004617,$0.004669,$0.004323,$0.004374,"$15,503,298","$15,503,298"
"Aug 08, 2022",$0.004352,$0.004865,$0.004336,$0.004617,"$29,788,941","$29,788,941"
"Aug 07, 2022",$0.004346,$0.004431,$0.00428,$0.004352,"$8,166,527","$8,166,527"
"Aug 06, 2022",$0.004451,$0.0045,$0.00433,$0.004343,"$11,561,567","$11,561,567"
"Aug 05, 2022",$0.004195,$0.004454,$0.004158,$0.004449,"$12,762,065","$12,762,065"
