Day,Open,High,Low,Close,Volume,Market Cap
"Sep 26, 2022",$21.95,$22.34,$21.37,$21.51,"$173,766","$173,766"
"Sep 25, 2022",$21.53,$22.48,$21.46,$21.95,"$134,799","$134,799"
"Sep 24, 2022",$21.59,$21.99,$21.46,$21.53,"$133,654","$133,654"
"Sep 23, 2022",$21.17,$22.42,$20.76,$21.59,"$148,275","$148,275"
"Sep 22, 2022",$20.95,$21.32,$20.80,$21.17,"$126,517","$126,517"
"Sep 21, 2022",$22.57,$22.75,$20.65,$20.95,"$74,756","$74,756"
"Sep 20, 2022",$22.68,$23.34,$22.36,$22.58,"$94,255","$94,255"
"Sep 19, 2022",$22.11,$23.20,$21.24,$22.68,"$86,277","$86,277"
"Sep 18, 2022",$25.96,$26.02,$21.92,$22.10,"$171,969","$171,969"
"Sep 17, 2022",$24.23,$26.27,$23.43,$25.95,"$134,942","$134,942"
"Sep 16, 2022",$25.10,$25.40,$23.79,$24.23,"$89,760","$89,760"
"Sep 15, 2022",$28.01,$28.21,$25.03,$25.09,"$47,671","$47,671"
"Sep 14, 2022",$27.29,$28.13,$27.17,$28.01,"$53,264","$53,264"
"Sep 13, 2022",$30.09,$30.41,$27.17,$27.28,"$95,291","$95,291"
"Sep 12, 2022",$30.34,$30.49,$29.99,$30.08,"$53,200","$53,200"
"Sep 11, 2022",$29.19,$31.01,$28.93,$30.34,"$53,046","$53,046"
"Sep 10, 2022",$28.11,$29.32,$27.51,$29.19,"$82,737","$82,737"
"Sep 09, 2022",$28.35,$29.88,$27.22,$28.11,"$78,924","$78,924"
"Sep 08, 2022",$25.26,$28.48,$24.17,$28.35,"$242,458","$242,458"
"Sep 07, 2022",$25.15,$25.75,$24.10,$25.26,"$75,503","$75,503"
"Sep 06, 2022",$25.22,$25.51,$24.85,$25.15,"$99,705","$99,705"
"Sep 05, 2022",$25.10,$25.30,$24.94,$25.22,"$49,322","$49,322"
