Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022","$20,093.86","$20,172.92","$19,305.75","$19,408.12","$11,762,272","$11,762,272"
"Sep 17, 2022","$20,014.97","$20,147.15","$19,696.29","$20,090.40","$11,811,477","$11,811,477"
"Sep 16, 2022","$19,834.28","$20,105.02","$19,401.53","$20,020.34","$7,194,280","$7,194,280"
"Sep 15, 2022","$20,635.54","$20,635.54","$19,754.39","$19,887.13","$11,826,169","$11,826,169"
"Sep 14, 2022","$20,444.36","$20,677.45","$20,268.53","$20,644.18","$5,215,839","$5,215,839"
"Sep 13, 2022","$22,004.92","$22,415.32","$20,410.06","$20,479.34","$15,319,204","$15,319,204"
"Sep 12, 2022","$21,626.03","$22,374.42","$21,493.92","$21,999.57","$4,283,873","$4,283,873"
"Sep 11, 2022","$21,587.80","$21,809.20","$21,374.84","$21,623.91","$11,462,076","$11,462,076"
"Sep 10, 2022","$21,466.33","$21,651.94","$21,223.35","$21,625.23","$673,222","$673,222"
"Sep 09, 2022","$19,423.61","$21,466.64","$19,416.87","$21,466.64","$2,039,597","$2,039,597"
"Sep 08, 2022","$19,658.87","$19,723.50","$19,046.56","$19,437.71","$1,770,512","$1,770,512"
"Sep 07, 2022","$19,430.05","$19,842.09","$18,584.68","$19,659.05","$4,940,725","$4,940,725"
"Sep 06, 2022","$20,143.57","$20,471.78","$19,006.99","$19,430.51","$6,502,820","$6,502,820"
"Sep 05, 2022","$20,001.56","$20,246.79","$19,776.45","$20,129.72","$8,772,057","$8,772,057"
"Sep 04, 2022","$19,857.62","$20,057.40","$19,729.86","$20,000.15","$59,589,740","$59,589,740"
"Sep 03, 2022","$19,923.19","$20,040.34","$19,677.56","$19,856.22","$27,227,105","$27,227,105"
"Sep 02, 2022","$20,370.43","$20,575.95","$19,777.45","$19,940.25","$3,752,170","$3,752,170"
"Sep 01, 2022","$19,934.94","$20,377.87","$19,680.15","$20,369.24","$4,806,600","$4,806,600"
"Aug 31, 2022","$20,099.31","$20,829.83","$19,861.79","$19,928.86","$34,678,907","$34,678,907"
"Aug 30, 2022","$20,540.05","$20,809.47","$19,780.14","$20,101.29","$22,868,185","$22,868,185"
"Aug 29, 2022","$19,981.53","$20,586.90","$19,593.67","$20,586.90","$2,231,432","$2,231,432"
"Aug 28, 2022","$20,393.04","$20,428.65","$19,889.89","$19,985.51","$611,547","$611,547"
"Aug 27, 2022","$20,337.50","$20,626.32","$20,080.24","$20,412.93","$5,677,301","$5,677,301"
"Aug 26, 2022","$21,700.11","$21,858.94","$20,382.64","$20,426.68","$11,179,676","$11,179,676"
"Aug 25, 2022","$21,609.13","$21,894.16","$21,598.89","$21,703.40","$10,030,463","$10,030,463"
