Day,Open,High,Low,Close,Volume,Market Cap
"Sep 17, 2022",$0.4627,$0.487,$0.4575,$0.4824,"$17,455,988","$17,455,988"
"Sep 16, 2022",$0.4993,$0.5,$0.4204,$0.4628,"$27,122,539","$27,122,539"
"Sep 15, 2022",$0.5148,$0.5174,$0.4907,$0.4993,"$7,395,546","$7,395,546"
"Sep 14, 2022",$0.5088,$0.5279,$0.5055,$0.5149,"$9,185,225","$9,185,225"
"Sep 13, 2022",$0.5689,$0.5691,$0.5055,$0.5134,"$10,709,748","$10,709,748"
"Sep 12, 2022",$0.5637,$0.5831,$0.54,$0.569,"$12,824,708","$12,824,708"
"Sep 11, 2022",$0.5821,$0.6002,$0.5531,$0.5636,"$13,357,205","$13,357,205"
"Sep 10, 2022",$0.5642,$0.6276,$0.5601,$0.5822,"$24,590,018","$24,590,018"
"Sep 09, 2022",$0.5505,$0.569,$0.5358,$0.5643,"$19,865,815","$19,865,815"
"Sep 08, 2022",$0.5071,$0.622,$0.4912,$0.5509,"$44,263,476","$44,263,476"
"Sep 07, 2022",$0.4698,$0.5178,$0.4596,$0.5071,"$14,393,656","$14,393,656"
"Sep 06, 2022",$0.5001,$0.5073,$0.4693,$0.4698,"$9,924,324","$9,924,324"
"Sep 05, 2022",$0.5165,$0.5201,$0.4849,$0.5002,"$10,377,458","$10,377,458"
"Sep 04, 2022",$0.5093,$0.5186,$0.4978,$0.5165,"$4,796,504","$4,796,504"
"Sep 03, 2022",$0.5203,$0.5211,$0.5017,$0.5092,"$4,426,977","$4,426,977"
"Sep 02, 2022",$0.5231,$0.5394,$0.5096,$0.5203,"$9,301,721","$9,301,721"
"Sep 01, 2022",$0.5139,$0.5238,$0.5005,$0.5234,"$6,454,746","$6,454,746"
"Aug 31, 2022",$0.5223,$0.5403,$0.5131,$0.514,"$7,564,386","$7,564,386"
"Aug 30, 2022",$0.5444,$0.5476,$0.5089,$0.5221,"$9,622,150","$9,622,150"
"Aug 29, 2022",$0.506,$0.5485,$0.506,$0.5443,"$17,073,202","$17,073,202"
"Aug 28, 2022",$0.5171,$0.5646,$0.506,$0.506,"$18,731,500","$18,731,500"
"Aug 27, 2022",$0.5146,$0.561,$0.4952,$0.5171,"$16,409,526","$16,409,526"
"Aug 26, 2022",$0.5758,$0.579,$0.5059,$0.5143,"$14,355,113","$14,355,113"
"Aug 25, 2022",$0.5803,$0.5994,$0.5725,$0.5764,"$8,689,209","$8,689,209"
"Aug 24, 2022",$0.6037,$0.6104,$0.5711,$0.5805,"$13,171,060","$13,171,060"
"Aug 23, 2022",$0.6095,$0.6166,$0.583,$0.6038,"$14,048,307","$14,048,307"
"Aug 22, 2022",$0.6096,$0.6375,$0.5899,$0.6091,"$24,725,911","$24,725,911"
"Aug 21, 2022",$0.5446,$0.6836,$0.5432,$0.6107,"$44,765,820","$44,765,820"
"Aug 20, 2022",$0.5526,$0.5708,$0.531,$0.5447,"$8,292,117","$8,292,117"
"Aug 19, 2022",$0.6125,$0.6125,$0.5511,$0.5527,"$12,773,219","$12,773,219"
"Aug 18, 2022",$0.6414,$0.6564,$0.6082,$0.6126,"$10,250,061","$10,250,061"
"Aug 17, 2022",$0.6673,$0.707,$0.6272,$0.6415,"$15,226,450","$15,226,450"
"Aug 16, 2022",$0.6872,$0.6975,$0.659,$0.6674,"$9,824,858","$9,824,858"
"Aug 15, 2022",$0.7231,$0.7409,$0.6781,$0.6875,"$12,996,959","$12,996,959"
"Aug 14, 2022",$0.7876,$0.7909,$0.7206,$0.7232,"$18,892,757","$18,892,757"
"Aug 13, 2022",$0.7273,$0.7927,$0.7187,$0.7873,"$22,921,686","$22,921,686"
"Aug 12, 2022",$0.7051,$0.7276,$0.6944,$0.7272,"$10,889,303","$10,889,303"
