Day,Open,High,Low,Close,Volume,Market Cap
"Sep 17, 2022",$0.1107,$0.1136,$0.1106,$0.1131,"$2,407,529","$2,407,529"
"Sep 16, 2022",$0.1139,$0.1182,$0.1107,$0.1107,"$5,986,555","$5,986,555"
"Sep 15, 2022",$0.1193,$0.1198,$0.1138,$0.1139,"$2,258,285","$2,258,285"
"Sep 14, 2022",$0.1179,$0.1195,$0.1166,$0.1193,"$2,992,407","$2,992,407"
"Sep 13, 2022",$0.1322,$0.1345,$0.1176,$0.1182,"$5,007,493","$5,007,493"
"Sep 12, 2022",$0.1237,$0.1336,$0.1236,$0.1322,"$8,964,701","$8,964,701"
"Sep 11, 2022",$0.1224,$0.1266,$0.122,$0.1237,"$4,652,868","$4,652,868"
"Sep 10, 2022",$0.124,$0.1252,$0.1216,$0.1224,"$3,675,273","$3,675,273"
"Sep 09, 2022",$0.1185,$0.1274,$0.1181,$0.124,"$6,642,963","$6,642,963"
"Sep 08, 2022",$0.1217,$0.1229,$0.1185,$0.1186,"$7,214,773","$7,214,773"
"Sep 07, 2022",$0.1139,$0.1361,$0.113,$0.1216,"$28,145,229","$28,145,229"
"Sep 06, 2022",$0.1191,$0.1219,$0.1135,$0.1139,"$6,089,531","$6,089,531"
"Sep 05, 2022",$0.1133,$0.1342,$0.1116,$0.1191,"$42,113,886","$42,113,886"
"Sep 04, 2022",$0.1072,$0.12,$0.1063,$0.1133,"$10,547,137","$10,547,137"
"Sep 03, 2022",$0.1065,$0.1081,$0.1064,$0.1072,"$1,640,016","$1,640,016"
"Sep 02, 2022",$0.1085,$0.11,$0.1065,$0.1065,"$1,426,939","$1,426,939"
"Sep 01, 2022",$0.1097,$0.11,$0.1056,$0.1086,"$2,285,338","$2,285,338"
"Aug 31, 2022",$0.1075,$0.1226,$0.1075,$0.1097,"$9,295,783","$9,295,783"
"Aug 30, 2022",$0.1089,$0.111,$0.1049,$0.1075,"$2,239,148","$2,239,148"
"Aug 29, 2022",$0.1051,$0.1087,$0.1037,$0.1087,"$2,094,864","$2,094,864"
"Aug 28, 2022",$0.1086,$0.1105,$0.1051,$0.1051,"$2,067,768","$2,067,768"
"Aug 27, 2022",$0.1108,$0.1113,$0.1074,$0.1086,"$2,226,750","$2,226,750"
"Aug 26, 2022",$0.1188,$0.1193,$0.1109,$0.1109,"$3,445,641","$3,445,641"
"Aug 25, 2022",$0.1186,$0.1201,$0.118,$0.1189,"$2,248,128","$2,248,128"
"Aug 24, 2022",$0.1191,$0.1209,$0.1163,$0.1186,"$3,090,178","$3,090,178"
"Aug 23, 2022",$0.1189,$0.1201,$0.1167,$0.1191,"$3,453,708","$3,453,708"
"Aug 22, 2022",$0.1223,$0.1223,$0.1165,$0.1189,"$2,986,156","$2,986,156"
"Aug 21, 2022",$0.1214,$0.1244,$0.1201,$0.1224,"$4,947,127","$4,947,127"
"Aug 20, 2022",$0.1149,$0.1241,$0.1149,$0.1215,"$5,953,018","$5,953,018"
"Aug 19, 2022",$0.1268,$0.1268,$0.1149,$0.115,"$3,640,626","$3,640,626"
"Aug 18, 2022",$0.1309,$0.131,$0.1267,$0.1268,"$2,821,399","$2,821,399"
"Aug 17, 2022",$0.1335,$0.1367,$0.1307,$0.1308,"$2,547,655","$2,547,655"
"Aug 16, 2022",$0.1343,$0.1382,$0.1327,$0.1335,"$3,652,375","$3,652,375"
"Aug 15, 2022",$0.1353,$0.1393,$0.1335,$0.1343,"$3,865,210","$3,865,210"
"Aug 14, 2022",$0.1355,$0.1474,$0.135,$0.1354,"$8,609,373","$8,609,373"
