Day,Open,High,Low,Close,Volume,Market Cap
"Sep 16, 2022",$0.005742,$0.005901,$0.005691,$0.005818,"$7,890,347","$7,890,347"
"Sep 15, 2022",$0.005907,$0.005921,$0.005685,$0.005741,"$9,951,610","$9,951,610"
"Sep 14, 2022",$0.00579,$0.00596,$0.005739,$0.005908,"$9,765,060","$9,765,060"
"Sep 13, 2022",$0.006382,$0.006415,$0.00575,$0.005825,"$14,399,493","$14,399,493"
"Sep 12, 2022",$0.006202,$0.006563,$0.006117,$0.00638,"$15,212,362","$15,212,362"
"Sep 11, 2022",$0.006281,$0.006509,$0.006121,$0.006201,"$11,024,916","$11,024,916"
"Sep 10, 2022",$0.006271,$0.006439,$0.006195,$0.006282,"$10,478,525","$10,478,525"
"Sep 09, 2022",$0.006073,$0.006349,$0.006062,$0.006271,"$12,182,614","$12,182,614"
"Sep 08, 2022",$0.005963,$0.006141,$0.005858,$0.006073,"$9,609,128","$9,609,128"
"Sep 07, 2022",$0.005779,$0.006031,$0.005726,$0.005964,"$9,119,753","$9,119,753"
"Sep 06, 2022",$0.00643,$0.006557,$0.005778,$0.00578,"$14,326,302","$14,326,302"
"Sep 05, 2022",$0.006317,$0.006447,$0.006211,$0.006428,"$7,342,379","$7,342,379"
"Sep 04, 2022",$0.00623,$0.00633,$0.006137,$0.006317,"$6,260,516","$6,260,516"
"Sep 03, 2022",$0.006179,$0.006265,$0.006116,$0.006229,"$6,221,882","$6,221,882"
"Sep 02, 2022",$0.006385,$0.006461,$0.006063,$0.006179,"$11,038,017","$11,038,017"
"Sep 01, 2022",$0.006207,$0.006423,$0.006061,$0.006385,"$9,403,215","$9,403,215"
"Aug 31, 2022",$0.006444,$0.006586,$0.0062,$0.006208,"$14,056,253","$14,056,253"
"Aug 30, 2022",$0.006249,$0.006586,$0.005991,$0.006443,"$20,438,249","$20,438,249"
"Aug 29, 2022",$0.005651,$0.006251,$0.005587,$0.006249,"$10,204,384","$10,204,384"
"Aug 28, 2022",$0.005766,$0.005901,$0.005646,$0.005648,"$6,168,497","$6,168,497"
