Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.01713,$0.01734,$0.01699,$0.01712,"$595,125","$595,125"
"Sep 24, 2022",$0.01703,$0.01729,$0.01696,$0.01712,"$599,242","$599,242"
"Sep 23, 2022",$0.017,$0.01731,$0.01657,$0.01704,"$522,319","$522,319"
"Sep 22, 2022",$0.01593,$0.017,$0.01589,$0.017,"$620,386","$620,386"
"Sep 21, 2022",$0.01636,$0.01663,$0.01585,$0.01593,"$609,760","$609,760"
"Sep 20, 2022",$0.0169,$0.01695,$0.01627,$0.01635,"$526,930","$526,930"
"Sep 19, 2022",$0.01678,$0.01729,$0.01655,$0.0169,"$1,150,569","$1,150,569"
"Sep 18, 2022",$0.01776,$0.01791,$0.01676,$0.01677,"$712,780","$712,780"
"Sep 17, 2022",$0.01777,$0.01848,$0.01745,$0.01775,"$711,360","$711,360"
"Sep 16, 2022",$0.01788,$0.01898,$0.01752,$0.01778,"$1,074,836","$1,074,836"
"Sep 15, 2022",$0.01756,$0.01898,$0.01734,$0.01787,"$951,214","$951,214"
"Sep 14, 2022",$0.01734,$0.01772,$0.01732,$0.01757,"$612,991","$612,991"
"Sep 13, 2022",$0.01848,$0.01872,$0.0173,$0.01737,"$667,937","$667,937"
"Sep 12, 2022",$0.01831,$0.01874,$0.01828,$0.01849,"$549,732","$549,732"
"Sep 11, 2022",$0.0185,$0.01873,$0.01826,$0.0183,"$491,776","$491,776"
"Sep 10, 2022",$0.01763,$0.01855,$0.01757,$0.0185,"$536,778","$536,778"
"Sep 09, 2022",$0.01702,$0.01782,$0.01698,$0.01763,"$559,683","$559,683"
"Sep 08, 2022",$0.01679,$0.01708,$0.01661,$0.01703,"$480,227","$480,227"
"Sep 07, 2022",$0.01659,$0.01702,$0.01628,$0.0168,"$495,131","$495,131"
"Sep 06, 2022",$0.01741,$0.01764,$0.01659,$0.01659,"$419,258","$419,258"
"Sep 05, 2022",$0.0174,$0.01749,$0.01722,$0.01742,"$380,725","$380,725"
"Sep 04, 2022",$0.01707,$0.01747,$0.01694,$0.0174,"$420,911","$420,911"
"Sep 03, 2022",$0.01703,$0.01714,$0.01693,$0.01707,"$344,378","$344,378"
"Sep 02, 2022",$0.01718,$0.01731,$0.01694,$0.01705,"$378,628","$378,628"
