Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.01572,$0.02092,$0.01497,$0.01703,"$6,637,773","$6,637,773"
"Sep 18, 2022",$0.01595,$0.01817,$0.01522,$0.01572,"$765,181","$765,181"
"Sep 17, 2022",$0.01795,$0.01836,$0.0158,$0.01595,"$1,020,148","$1,020,148"
"Sep 16, 2022",$0.01445,$0.01866,$0.01431,$0.01789,"$3,521,155","$3,521,155"
"Sep 15, 2022",$0.01478,$0.01909,$0.01411,$0.01461,"$6,539,816","$6,539,816"
"Sep 14, 2022",$0.01376,$0.01516,$0.01348,$0.01478,"$571,806","$571,806"
"Sep 13, 2022",$0.01473,$0.01487,$0.01352,$0.01384,"$268,858","$268,858"
"Sep 12, 2022",$0.0144,$0.01491,$0.01406,$0.01473,"$162,038","$162,038"
"Sep 11, 2022",$0.01475,$0.01523,$0.01412,$0.0144,"$180,635","$180,635"
"Sep 10, 2022",$0.01513,$0.01558,$0.01475,$0.01475,"$225,385","$225,385"
"Sep 09, 2022",$0.01525,$0.01665,$0.01461,$0.01513,"$629,022","$629,022"
"Sep 08, 2022",$0.01609,$0.01662,$0.01495,$0.01525,"$135,902","$135,902"
"Sep 07, 2022",$0.01596,$0.01638,$0.0152,$0.01609,"$199,029","$199,029"
"Sep 06, 2022",$0.01591,$0.0164,$0.01575,$0.01598,"$149,206","$149,206"
"Sep 05, 2022",$0.01686,$0.01686,$0.01572,$0.01591,"$144,692","$144,692"
"Sep 04, 2022",$0.01652,$0.02004,$0.01605,$0.01686,"$104,267","$104,267"
"Sep 03, 2022",$0.01665,$0.01693,$0.0163,$0.01644,"$94,107","$94,107"
"Sep 02, 2022",$0.01657,$0.01697,$0.01565,$0.01665,"$162,081","$162,081"
"Sep 01, 2022",$0.01632,$0.01676,$0.01529,$0.01661,"$151,583","$151,583"
"Aug 31, 2022",$0.01646,$0.01744,$0.01586,$0.01626,"$122,657","$122,657"
