Day,Open,High,Low,Close,Volume,Market Cap
"Sep 17, 2022",$1.23,$1.27,$1.22,$1.25,"$10,638,233","$10,638,233"
"Sep 16, 2022",$1.21,$1.30,$1.20,$1.23,"$24,475,374","$24,475,374"
"Sep 15, 2022",$1.23,$1.30,$1.20,$1.21,"$14,103,079","$14,103,079"
"Sep 14, 2022",$1.25,$1.27,$1.20,$1.23,"$10,362,045","$10,362,045"
"Sep 13, 2022",$1.40,$1.45,$1.25,$1.26,"$27,543,063","$27,543,063"
"Sep 12, 2022",$1.31,$1.43,$1.29,$1.40,"$21,382,407","$21,382,407"
"Sep 11, 2022",$1.32,$1.38,$1.29,$1.31,"$10,804,586","$10,804,586"
"Sep 10, 2022",$1.35,$1.37,$1.30,$1.32,"$11,980,306","$11,980,306"
"Sep 09, 2022",$1.21,$1.36,$1.21,$1.35,"$16,376,534","$16,376,534"
"Sep 08, 2022",$1.24,$1.26,$1.19,$1.21,"$18,829,603","$18,829,603"
"Sep 07, 2022",$1.03,$1.26,$1.01,$1.24,"$20,413,848","$20,413,848"
"Sep 06, 2022",$1.14,$1.17,$1.03,$1.03,"$10,223,131","$10,223,131"
"Sep 05, 2022",$1.12,$1.14,$1.10,$1.14,"$6,191,130","$6,191,130"
"Sep 04, 2022",$1.13,$1.14,$1.11,$1.12,"$5,596,763","$5,596,763"
"Sep 03, 2022",$1.10,$1.14,$1.10,$1.13,"$6,851,290","$6,851,290"
"Sep 02, 2022",$1.14,$1.15,$1.08,$1.10,"$8,371,327","$8,371,327"
"Sep 01, 2022",$1.14,$1.15,$1.09,$1.14,"$8,187,043","$8,187,043"
"Aug 31, 2022",$1.19,$1.24,$1.13,$1.14,"$8,281,172","$8,281,172"
"Aug 30, 2022",$1.26,$1.30,$1.17,$1.19,"$13,337,470","$13,337,470"
"Aug 29, 2022",$1.20,$1.26,$1.20,$1.26,"$8,759,948","$8,759,948"
"Aug 28, 2022",$1.37,$1.38,$1.20,$1.20,"$12,055,779","$12,055,779"
"Aug 27, 2022",$1.25,$1.39,$1.24,$1.37,"$22,352,856","$22,352,856"
"Aug 26, 2022",$1.40,$1.41,$1.24,$1.26,"$12,474,879","$12,474,879"
"Aug 25, 2022",$1.55,$1.57,$1.39,$1.39,"$27,044,505","$27,044,505"
"Aug 24, 2022",$1.30,$1.63,$1.27,$1.55,"$49,313,876","$49,313,876"
"Aug 23, 2022",$1.36,$1.37,$1.26,$1.30,"$11,142,412","$11,142,412"
"Aug 22, 2022",$1.30,$1.40,$1.25,$1.36,"$16,587,361","$16,587,361"
"Aug 21, 2022",$1.37,$1.37,$1.27,$1.30,"$11,099,101","$11,099,101"
"Aug 20, 2022",$1.23,$1.40,$1.23,$1.37,"$25,015,428","$25,015,428"
"Aug 19, 2022",$1.40,$1.40,$1.18,$1.23,"$18,204,199","$18,204,199"
"Aug 18, 2022",$1.41,$1.45,$1.39,$1.40,"$16,412,571","$16,412,571"
"Aug 17, 2022",$1.47,$1.52,$1.40,$1.41,"$20,268,230","$20,268,230"
"Aug 16, 2022",$1.47,$1.49,$1.43,$1.47,"$21,685,700","$21,685,700"
"Aug 15, 2022",$1.45,$1.65,$1.42,$1.47,"$53,740,536","$53,740,536"
"Aug 14, 2022",$1.42,$1.46,$1.33,$1.45,"$14,768,334","$14,768,334"
"Aug 13, 2022",$1.43,$1.45,$1.38,$1.42,"$15,224,230","$15,224,230"
"Aug 12, 2022",$1.49,$1.58,$1.39,$1.43,"$26,754,935","$26,754,935"
