Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$3.07,$3.13,$2.79,$2.93,"$2,457,514","$2,457,514"
"Sep 18, 2022",$3.29,$3.36,$2.98,$3.06,"$8,875,079","$8,875,079"
"Sep 17, 2022",$2.94,$3.32,$2.91,$3.29,"$10,538,188","$10,538,188"
"Sep 16, 2022",$2.90,$2.99,$2.81,$2.94,"$8,533,283","$8,533,283"
"Sep 15, 2022",$3.05,$3.15,$2.90,$2.90,"$11,530,033","$11,530,033"
"Sep 14, 2022",$3.02,$3.05,$2.85,$3.05,"$10,954,662","$10,954,662"
"Sep 13, 2022",$3.25,$3.31,$3.00,$3.01,"$11,013,618","$11,013,618"
"Sep 12, 2022",$3.21,$3.28,$3.17,$3.25,"$10,975,698","$10,975,698"
"Sep 11, 2022",$3.44,$3.44,$3.16,$3.21,"$9,951,725","$9,951,725"
"Sep 10, 2022",$3.52,$3.53,$3.20,$3.43,"$10,661,770","$10,661,770"
"Sep 09, 2022",$3.33,$3.68,$3.32,$3.52,"$7,555,209","$7,555,209"
"Sep 08, 2022",$2.98,$3.41,$2.92,$3.33,"$2,427,284","$2,427,284"
"Sep 07, 2022",$2.52,$3.00,$2.43,$2.98,"$1,819,508","$1,819,508"
"Sep 06, 2022",$2.77,$3.11,$2.52,$2.52,"$2,503,137","$2,503,137"
"Sep 05, 2022",$2.96,$2.97,$2.69,$2.77,"$1,743,923","$1,743,923"
"Sep 04, 2022",$2.35,$2.96,$2.34,$2.96,"$1,478,600","$1,478,600"
"Sep 03, 2022",$2.34,$2.36,$2.27,$2.35,"$2,034,003","$2,034,003"
"Sep 02, 2022",$2.38,$2.43,$2.32,$2.34,"$2,487,535","$2,487,535"
"Sep 01, 2022",$2.40,$2.42,$2.33,$2.38,"$2,666,681","$2,666,681"
"Aug 31, 2022",$2.44,$2.50,$2.39,$2.40,"$2,460,173","$2,460,173"
"Aug 30, 2022",$2.41,$2.55,$2.36,$2.44,"$2,853,597","$2,853,597"
"Aug 29, 2022",$2.26,$2.41,$2.16,$2.41,"$3,638,344","$3,638,344"
"Aug 28, 2022",$2.39,$2.39,$2.26,$2.26,"$5,042,540","$5,042,540"
"Aug 27, 2022",$2.37,$2.46,$2.28,$2.39,"$3,770,410","$3,770,410"
"Aug 26, 2022",$2.82,$2.89,$2.36,$2.37,"$4,347,207","$4,347,207"
"Aug 25, 2022",$2.72,$2.89,$2.70,$2.82,"$3,281,472","$3,281,472"
"Aug 24, 2022",$2.71,$2.96,$2.61,$2.72,"$4,334,007","$4,334,007"
"Aug 23, 2022",$2.54,$2.74,$2.51,$2.72,"$3,110,128","$3,110,128"
"Aug 22, 2022",$2.76,$2.76,$2.47,$2.55,"$3,600,163","$3,600,163"
"Aug 21, 2022",$2.54,$2.85,$2.48,$2.76,"$3,560,657","$3,560,657"
"Aug 20, 2022",$2.32,$2.63,$2.32,$2.54,"$4,255,049","$4,255,049"
"Aug 19, 2022",$2.70,$2.71,$2.32,$2.32,"$6,883,428","$6,883,428"
"Aug 18, 2022",$2.77,$2.89,$2.67,$2.70,"$6,229,673","$6,229,673"
"Aug 17, 2022",$3.01,$3.30,$2.75,$2.77,"$8,238,985","$8,238,985"
"Aug 16, 2022",$3.44,$3.44,$2.98,$3.01,"$12,799,745","$12,799,745"
"Aug 15, 2022",$3.43,$3.49,$3.25,$3.44,"$12,832,380","$12,832,380"
"Aug 14, 2022",$3.86,$3.87,$3.41,$3.43,"$17,700,366","$17,700,366"
