Day,Open,High,Low,Close,Volume,Market Cap
"Sep 26, 2022",$0.8007,$0.9013,$0.8006,$0.9006,"$2,209","$2,209"
"Sep 25, 2022",$0.7968,$0.9436,$0.5914,$0.8006,"$2,128","$2,128"
"Sep 24, 2022",$0.6758,$0.8981,$0.6108,$0.7969,"$2,163","$2,163"
"Sep 23, 2022",$0.7182,$0.7808,$0.5548,$0.6759,"$1,284","$1,284"
"Sep 22, 2022",$0.743,$0.8477,$0.5522,$0.7183,"$1,114","$1,114"
"Sep 21, 2022",$0.8645,$0.9313,$0.5598,$0.7435,"$1,638","$1,638"
"Sep 20, 2022",$0.6749,$0.9352,$0.5791,$0.8644,"$1,542","$1,542"
"Sep 19, 2022",$0.6453,$0.8093,$0.5728,$0.6749,"$2,098","$2,098"
"Sep 18, 2022",$0.6916,$0.9001,$0.6439,$0.6454,"$2,924","$2,924"
"Sep 17, 2022",$0.7172,$0.738,$0.6654,$0.6916,"$29,760","$29,760"
"Sep 16, 2022",$0.7047,$0.8498,$0.6857,$0.7171,"$38,545","$38,545"
"Sep 15, 2022",$0.7265,$0.895,$0.6996,$0.7046,"$40,317","$40,317"
"Sep 14, 2022",$0.7551,$0.7888,$0.6941,$0.7265,"$35,904","$35,904"
"Sep 13, 2022",$0.8679,$0.8875,$0.7532,$0.7593,"$45,021","$45,021"
"Sep 12, 2022",$0.8165,$0.8879,$0.8088,$0.8679,"$48,529","$48,529"
"Sep 11, 2022",$0.888,$0.9231,$0.7974,$0.8165,"$46,020","$46,020"
"Sep 10, 2022",$0.9035,$1.01,$0.7733,$0.888,"$52,560","$52,560"
"Sep 09, 2022",$0.8893,$1.00,$0.8342,$0.9035,"$48,680","$48,680"
"Sep 08, 2022",$0.8973,$0.9306,$0.8515,$0.8894,"$48,250","$48,250"
"Sep 07, 2022",$0.8747,$0.9209,$0.835,$0.8973,"$48,525","$48,525"
"Sep 06, 2022",$0.9254,$0.9548,$0.873,$0.8747,"$49,440","$49,440"
"Sep 05, 2022",$0.9504,$0.9769,$0.88,$0.9252,"$53,680","$53,680"
"Sep 04, 2022",$0.9456,$0.9937,$0.9132,$0.9503,"$54,959","$54,959"
"Sep 03, 2022",$0.9179,$1.03,$0.8835,$0.9456,"$53,193","$53,193"
"Sep 02, 2022",$0.9732,$1.02,$0.9078,$0.9179,"$50,809","$50,809"
"Sep 01, 2022",$0.9443,$1.07,$0.8893,$0.9732,"$53,030","$53,030"
"Aug 31, 2022",$0.9519,$1.02,$0.8966,$0.9443,"$53,946","$53,946"
"Aug 30, 2022",$1.09,$1.12,$0.8964,$0.9517,"$51,572","$51,572"
"Aug 29, 2022",$0.8805,$1.10,$0.8679,$1.09,"$23,617","$23,617"
"Aug 28, 2022",$0.8962,$0.9038,$0.8616,$0.8806,$276,$276
"Aug 27, 2022",$0.9219,$0.9314,$0.8871,$0.8963,$221,$221
"Aug 26, 2022",$1.01,$1.01,$0.919,$0.9217,$200,$200
"Aug 25, 2022",$0.9717,$1.04,$0.9702,$1.01,$204,$204
"Aug 24, 2022",$0.9791,$0.9904,$0.963,$0.9717,$262,$262
"Aug 23, 2022",$1.03,$1.03,$0.9686,$0.9791,$306,$306
"Aug 22, 2022",$1.06,$1.06,$0.9509,$1.03,"$1,406","$1,406"
"Aug 21, 2022",$0.9886,$1.06,$0.9785,$1.06,"$1,528","$1,528"
"Aug 20, 2022",$0.9975,$1.02,$0.9726,$0.9888,"$1,730","$1,730"
"Aug 19, 2022",$1.13,$1.13,$0.9046,$0.9977,"$1,814","$1,814"
"Aug 18, 2022",$1.06,$1.16,$1.06,$1.13,"$1,808","$1,808"
"Aug 17, 2022",$1.07,$1.17,$1.06,$1.06,"$1,954","$1,954"
"Aug 16, 2022",$1.10,$1.10,$1.03,$1.07,"$1,802","$1,802"
"Aug 15, 2022",$1.11,$1.13,$1.04,$1.10,"$1,925","$1,925"
"Aug 14, 2022",$1.07,$1.16,$1.05,$1.11,"$1,898","$1,898"
"Aug 13, 2022",$1.15,$1.16,$1.07,$1.07,"$2,297","$2,297"
"Aug 12, 2022",$1.18,$1.20,$1.10,$1.15,"$2,109","$2,109"
"Aug 11, 2022",$1.19,$1.23,$1.18,$1.18,"$10,736","$10,736"
"Aug 10, 2022",$1.12,$1.20,$1.11,$1.19,"$20,887","$20,887"
"Aug 09, 2022",$1.19,$1.19,$1.12,$1.12,"$19,897","$19,897"
"Aug 08, 2022",$1.15,$1.21,$1.15,$1.19,"$25,319","$25,319"
"Aug 07, 2022",$1.14,$1.16,$1.13,$1.15,"$23,048","$23,048"
"Aug 06, 2022",$1.16,$1.17,$1.12,$1.14,"$21,200","$21,200"
"Aug 05, 2022",$1.15,$1.19,$1.09,$1.16,"$2,312","$2,312"
"Aug 04, 2022",$1.16,$1.20,$1.03,$1.15,"$2,015","$2,015"
"Aug 03, 2022",$1.15,$1.21,$1.06,$1.16,"$2,151","$2,151"
