Day,Open,High,Low,Close,Volume,Market Cap
"Sep 17, 2022",$9.61,$10.15,$8.66,$9.05,"$159,256","$159,256"
"Sep 16, 2022",$9.76,$10.06,$9.37,$9.61,"$184,228","$184,228"
"Sep 15, 2022",$10.18,$10.19,$8.28,$9.76,"$147,191","$147,191"
"Sep 14, 2022",$10.18,$10.22,$9.87,$10.18,"$127,777","$127,777"
"Sep 13, 2022",$8.17,$10.60,$8.17,$10.09,"$201,290","$201,290"
"Sep 12, 2022",$7.52,$8.63,$7.52,$8.17,"$208,138","$208,138"
"Sep 11, 2022",$7.50,$7.60,$7.47,$7.52,"$144,665","$144,665"
"Sep 10, 2022",$8.84,$8.95,$7.44,$7.50,"$150,087","$150,087"
"Sep 09, 2022",$9.35,$9.41,$8.76,$8.84,"$150,311","$150,311"
"Sep 08, 2022",$9.49,$9.55,$9.11,$9.35,"$133,122","$133,122"
"Sep 07, 2022",$10.90,$10.90,$9.46,$9.49,"$115,132","$115,132"
"Sep 06, 2022",$10.96,$11.12,$10.31,$10.90,"$281,100","$281,100"
"Sep 05, 2022",$11.00,$11.18,$10.82,$10.96,"$307,090","$307,090"
"Sep 04, 2022",$11.01,$11.18,$10.79,$11.00,$0,$0
"Sep 03, 2022",$12.07,$12.10,$10.85,$11.01,$0,$0
"Sep 02, 2022",$12.08,$12.14,$11.39,$12.07,$0,$0
"Sep 01, 2022",$11.86,$12.17,$11.20,$12.08,$0,$0
"Aug 31, 2022",$11.34,$11.94,$11.11,$11.86,$0,$0
"Aug 30, 2022",$11.66,$11.92,$11.12,$11.34,$0,$0
"Aug 29, 2022",$11.59,$11.87,$11.11,$11.66,$0,$0
"Aug 28, 2022",$11.74,$11.97,$11.18,$11.58,$0,$0
"Aug 27, 2022",$11.70,$11.94,$11.15,$11.75,$0,$0
"Aug 26, 2022",$11.85,$11.95,$11.54,$11.70,$0,$0
"Aug 25, 2022",$11.84,$11.96,$11.39,$11.85,$0,$0
"Aug 24, 2022",$11.35,$11.95,$11.15,$11.84,$0,$0
"Aug 23, 2022",$11.25,$11.88,$11.13,$11.35,$0,$0
"Aug 22, 2022",$11.13,$11.86,$11.13,$11.25,$0,$0
"Aug 21, 2022",$11.47,$11.86,$11.10,$11.13,$0,$0
"Aug 20, 2022",$12.61,$12.73,$10.99,$11.47,$0,$0
"Aug 19, 2022",$12.92,$12.97,$11.98,$12.61,$0,$0
"Aug 18, 2022",$12.55,$13.43,$12.55,$12.92,$0,$0
"Aug 17, 2022",$12.69,$12.80,$12.52,$12.55,$0,$0
"Aug 16, 2022",$12.59,$12.73,$12.54,$12.69,$0,$0
"Aug 15, 2022",$12.64,$12.74,$12.53,$12.59,$0,$0
"Aug 14, 2022",$12.73,$12.89,$12.60,$12.64,$0,$0
"Aug 13, 2022",$13.86,$14.11,$12.72,$12.73,$0,$0
"Aug 12, 2022",$13.85,$14.02,$13.08,$13.86,$0,$0
"Aug 11, 2022",$14.29,$14.29,$13.20,$13.85,$0,$0
"Aug 10, 2022",$16.37,$16.41,$13.63,$14.29,$0,$0
"Aug 09, 2022",$14.14,$16.45,$13.67,$16.37,$0,$0
"Aug 08, 2022",$12.59,$14.57,$12.58,$14.14,"$92,082","$92,082"
"Aug 07, 2022",$13.91,$14.02,$12.20,$12.59,"$130,347","$130,347"
"Aug 06, 2022",$13.17,$14.56,$13.02,$13.91,"$100,901","$100,901"
"Aug 05, 2022",$12.66,$13.41,$12.66,$13.17,"$72,928","$72,928"
"Aug 04, 2022",$11.95,$13.52,$11.81,$12.66,"$217,693","$217,693"
"Aug 03, 2022",$11.70,$13.00,$11.67,$11.95,"$134,565","$134,565"
"Aug 02, 2022",$11.93,$12.20,$11.64,$11.70,"$205,939","$205,939"
"Aug 01, 2022",$11.97,$12.11,$11.75,$11.93,"$68,464","$68,464"
"Jul 31, 2022",$11.97,$12.12,$11.40,$11.97,"$91,972","$91,972"
"Jul 30, 2022",$12.28,$12.58,$11.75,$11.97,"$133,377","$133,377"
"Jul 29, 2022",$12.23,$12.58,$11.82,$12.28,"$92,807","$92,807"
"Jul 28, 2022",$13.78,$13.78,$11.61,$12.23,"$251,645","$251,645"
"Jul 27, 2022",$10.68,$13.81,$10.67,$13.78,"$347,882","$347,882"
"Jul 26, 2022",$9.40,$11.09,$9.29,$10.68,"$227,690","$227,690"
"Jul 25, 2022",$9.31,$9.58,$8.35,$9.40,"$258,683","$258,683"
"Jul 24, 2022",$10.77,$10.87,$8.97,$9.31,"$504,544","$504,544"
"Jul 23, 2022",$11.95,$11.97,$10.59,$10.77,"$281,481","$281,481"
"Jul 22, 2022",$12.29,$12.30,$11.45,$11.95,"$200,225","$200,225"
"Jul 21, 2022",$11.56,$12.30,$11.47,$12.29,"$243,935","$243,935"
"Jul 20, 2022",$11.78,$11.99,$11.14,$11.56,"$191,905","$191,905"
"Jul 19, 2022",$12.30,$12.36,$10.59,$11.78,"$274,863","$274,863"
"Jul 18, 2022",$13.29,$13.43,$11.81,$12.30,"$212,991","$212,991"
"Jul 17, 2022",$13.29,$13.49,$13.12,$13.29,"$99,042","$99,042"
"Jul 16, 2022",$13.32,$13.70,$12.81,$13.29,"$175,321","$175,321"
"Jul 15, 2022",$13.53,$14.08,$12.71,$13.32,"$212,995","$212,995"
"Jul 14, 2022",$13.79,$14.29,$12.61,$13.54,"$319,887","$319,887"
"Jul 13, 2022",$12.30,$13.82,$12.27,$13.79,"$254,747","$254,747"
"Jul 12, 2022",$12.40,$12.61,$12.11,$12.30,"$124,248","$124,248"
"Jul 11, 2022",$12.14,$13.00,$12.14,$12.40,"$148,769","$148,769"
"Jul 10, 2022",$11.27,$12.27,$11.27,$12.14,"$139,044","$139,044"
"Jul 09, 2022",$10.89,$11.46,$10.55,$11.27,"$141,818","$141,818"
"Jul 08, 2022",$11.89,$12.32,$10.57,$10.89,"$285,636","$285,636"
"Jul 07, 2022",$12.49,$12.76,$11.41,$11.89,"$185,089","$185,089"
"Jul 06, 2022",$13.81,$13.86,$11.61,$12.49,"$261,840","$261,840"
"Jul 05, 2022",$11.50,$14.80,$11.50,$13.81,"$258,081","$258,081"
"Jul 04, 2022",$12.09,$12.62,$10.39,$11.50,"$685,439","$685,439"
"Jul 03, 2022",$13.97,$15.25,$10.09,$12.09,"$704,630","$704,630"
"Jul 02, 2022",$14.70,$14.83,$13.10,$13.97,"$325,701","$325,701"
"Jul 01, 2022",$13.89,$16.27,$13.51,$14.70,"$433,872","$433,872"
"Jun 30, 2022",$14.09,$14.53,$13.13,$13.89,"$413,484","$413,484"
"Jun 29, 2022",$15.40,$15.93,$13.99,$14.09,"$332,900","$332,900"
"Jun 28, 2022",$14.88,$16.44,$14.66,$15.40,"$384,582","$384,582"
"Jun 27, 2022",$17.49,$17.92,$14.74,$14.88,"$497,294","$497,294"
"Jun 26, 2022",$17.50,$18.47,$17.37,$17.49,"$452,468","$452,468"
"Jun 25, 2022",$17.50,$17.83,$17.33,$17.50,"$182,607","$182,607"
"Jun 24, 2022",$17.79,$18.98,$16.99,$17.50,"$365,647","$365,647"
"Jun 23, 2022",$15.70,$17.92,$15.49,$17.79,"$477,391","$477,391"
"Jun 22, 2022",$16.78,$17.17,$15.44,$15.70,"$302,252","$302,252"
"Jun 21, 2022",$15.74,$17.38,$15.60,$16.78,"$262,050","$262,050"
"Jun 20, 2022",$17.19,$18.67,$14.53,$15.74,"$744,119","$744,119"
"Jun 19, 2022",$11.69,$17.99,$8.69,$17.19,"$1,160,543","$1,160,543"
"Jun 18, 2022",$17.39,$17.48,$7.89,$11.69,"$1,224,750","$1,224,750"
"Jun 17, 2022",$18.80,$19.01,$17.07,$17.39,"$384,618","$384,618"
"Jun 16, 2022",$19.31,$19.55,$18.48,$18.80,"$295,092","$295,092"
"Jun 15, 2022",$19.57,$20.44,$18.55,$19.31,"$629,339","$629,339"
"Jun 14, 2022",$19.51,$20.44,$18.20,$19.57,"$544,595","$544,595"
"Jun 13, 2022",$22.61,$22.61,$18.07,$19.51,"$1,135,659","$1,135,659"
"Jun 12, 2022",$23.11,$23.13,$21.24,$22.61,"$497,507","$497,507"
"Jun 11, 2022",$23.99,$24.02,$22.15,$23.11,"$551,976","$551,976"
"Jun 10, 2022",$24.67,$24.76,$23.82,$23.99,"$335,741","$335,741"
"Jun 09, 2022",$24.95,$24.95,$23.31,$24.67,"$469,800","$469,800"
"Jun 08, 2022",$25.56,$26.27,$24.07,$24.95,"$556,304","$556,304"
"Jun 07, 2022",$26.94,$26.98,$25.47,$25.56,"$615,173","$615,173"
"Jun 06, 2022",$27.00,$27.17,$26.77,$26.95,"$402,428","$402,428"
"Jun 05, 2022",$27.07,$27.35,$26.95,$27.00,"$401,460","$401,460"
"Jun 04, 2022",$27.08,$27.16,$26.86,$27.07,"$269,592","$269,592"
"Jun 03, 2022",$27.04,$27.47,$26.96,$27.08,"$331,212","$331,212"
"Jun 02, 2022",$27.22,$27.26,$26.80,$27.04,"$308,551","$308,551"
"Jun 01, 2022",$27.20,$27.68,$26.84,$27.22,"$416,544","$416,544"
"May 31, 2022",$27.22,$27.44,$26.57,$27.20,"$350,309","$350,309"
"May 30, 2022",$27.16,$27.66,$26.09,$27.22,"$464,843","$464,843"
"May 29, 2022",$28.15,$28.18,$25.52,$27.16,"$455,457","$455,457"
"May 28, 2022",$28.50,$28.77,$27.57,$28.15,"$538,062","$538,062"
"May 27, 2022",$28.18,$28.59,$27.47,$28.45,"$433,990","$433,990"
"May 26, 2022",$27.61,$29.97,$27.48,$28.18,"$713,641","$713,641"
"May 25, 2022",$27.28,$27.77,$27.07,$27.61,"$316,258","$316,258"
"May 24, 2022",$26.78,$27.66,$26.58,$27.28,"$395,664","$395,664"
"May 23, 2022",$26.77,$27.71,$26.18,$26.78,"$276,712","$276,712"
"May 22, 2022",$27.06,$27.73,$25.97,$26.77,"$291,893","$291,893"
"May 21, 2022",$26.28,$27.37,$25.70,$27.06,"$218,421","$218,421"
"May 20, 2022",$28.27,$28.43,$25.68,$26.28,$0,$0
"May 19, 2022",$26.95,$28.51,$24.97,$28.27,$0,$0
"May 18, 2022",$29.47,$31.98,$23.53,$26.95,$0,$0
"May 17, 2022",$23.79,$29.49,$23.78,$29.47,$0,$0
"May 16, 2022",$24.10,$24.70,$23.00,$23.79,$0,$0
"May 15, 2022",$32.44,$32.70,$21.80,$24.10,$0,$0
"May 14, 2022",$32.06,$33.82,$31.86,$32.44,$0,$0
"May 13, 2022",$33.36,$33.67,$31.35,$32.06,$0,$0
"May 12, 2022",$33.12,$33.58,$31.94,$33.36,$0,$0
"May 11, 2022",$34.16,$35.02,$33.05,$33.12,$0,$0
"May 10, 2022",$32.77,$34.98,$31.09,$34.16,"$1,080,028","$1,080,028"
"May 09, 2022",$36.03,$36.13,$32.77,$32.77,"$1,134,795","$1,134,795"
"May 08, 2022",$36.54,$36.69,$35.89,$36.02,"$519,839","$519,839"
"May 07, 2022",$36.25,$36.86,$35.95,$36.54,"$566,253","$566,253"
"May 06, 2022",$36.38,$36.77,$35.84,$36.25,"$539,493","$539,493"
"May 05, 2022",$37.26,$37.97,$36.12,$36.38,"$510,193","$510,193"
"May 04, 2022",$38.17,$38.57,$35.61,$37.26,"$441,416","$441,416"
"May 03, 2022",$36.76,$39.72,$36.76,$38.17,"$427,145","$427,145"
"May 02, 2022",$37.67,$38.49,$34.35,$36.76,"$1,017,942","$1,017,942"
"May 01, 2022",$40.10,$40.11,$36.65,$37.67,"$727,045","$727,045"
"Apr 30, 2022",$39.91,$40.98,$39.21,$40.10,"$497,572","$497,572"
"Apr 29, 2022",$41.52,$42.14,$39.01,$39.91,"$778,617","$778,617"
"Apr 28, 2022",$42.77,$42.79,$40.51,$41.52,"$727,606","$727,606"
