Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$0.009653,$0.009987,$0.009648,$0.00995,"$307,403","$307,403"
"Sep 21, 2022",$0.009913,$0.01,$0.009651,$0.009652,"$315,461","$315,461"
"Sep 20, 2022",$0.01002,$0.01042,$0.00991,$0.009912,"$309,284","$309,284"
"Sep 19, 2022",$0.01009,$0.0102,$0.009822,$0.01002,"$278,740","$278,740"
"Sep 18, 2022",$0.01036,$0.01036,$0.01008,$0.01009,"$291,034","$291,034"
"Sep 17, 2022",$0.01031,$0.01039,$0.0103,$0.01036,"$289,718","$289,718"
"Sep 16, 2022",$0.01014,$0.01031,$0.01002,$0.01031,"$285,566","$285,566"
"Sep 15, 2022",$0.01043,$0.01049,$0.01014,$0.01014,"$322,482","$322,482"
"Sep 14, 2022",$0.01052,$0.01059,$0.01024,$0.01044,"$304,824","$304,824"
"Sep 13, 2022",$0.01107,$0.01113,$0.01047,$0.01053,"$393,162","$393,162"
"Sep 12, 2022",$0.01101,$0.01113,$0.01091,$0.01107,"$303,314","$303,314"
"Sep 11, 2022",$0.01112,$0.01135,$0.0109,$0.01101,"$352,228","$352,228"
"Sep 10, 2022",$0.01093,$0.01115,$0.01092,$0.01112,"$288,642","$288,642"
"Sep 09, 2022",$0.01054,$0.01095,$0.01052,$0.01093,"$313,154","$313,154"
"Sep 08, 2022",$0.01046,$0.01069,$0.0104,$0.01054,"$267,783","$267,783"
"Sep 07, 2022",$0.01047,$0.01053,$0.01037,$0.01046,"$293,811","$293,811"
"Sep 06, 2022",$0.01055,$0.01092,$0.01047,$0.01047,"$297,829","$297,829"
"Sep 05, 2022",$0.01073,$0.01073,$0.01039,$0.01055,"$285,263","$285,263"
"Sep 04, 2022",$0.01085,$0.01092,$0.01067,$0.01073,"$286,861","$286,861"
"Sep 03, 2022",$0.01087,$0.01092,$0.01075,$0.01086,"$336,015","$336,015"
"Sep 02, 2022",$0.01073,$0.01093,$0.01066,$0.01088,"$461,397","$461,397"
"Sep 01, 2022",$0.01085,$0.01086,$0.01056,$0.01073,"$297,156","$297,156"
"Aug 31, 2022",$0.01073,$0.01096,$0.01072,$0.01085,"$353,515","$353,515"
"Aug 30, 2022",$0.01093,$0.01099,$0.01071,$0.01073,"$285,925","$285,925"
"Aug 29, 2022",$0.01086,$0.01096,$0.01058,$0.01093,"$299,515","$299,515"
"Aug 28, 2022",$0.01113,$0.01125,$0.01086,$0.01087,"$282,816","$282,816"
"Aug 27, 2022",$0.01138,$0.01139,$0.01107,$0.01113,"$275,761","$275,761"
