Day,Open,High,Low,Close,Volume,Market Cap
"Sep 26, 2022",$0.0452,$0.04935,$0.04495,$0.04796,"$39,205","$39,205"
"Sep 25, 2022",$0.04444,$0.04561,$0.04441,$0.04516,"$26,591","$26,591"
"Sep 24, 2022",$0.04474,$0.04495,$0.04421,$0.04444,"$16,580","$16,580"
"Sep 23, 2022",$0.04499,$0.04565,$0.04419,$0.04475,"$21,389","$21,389"
"Sep 22, 2022",$0.04478,$0.04543,$0.04412,$0.04499,"$24,628","$24,628"
"Sep 21, 2022",$0.04273,$0.0483,$0.04249,$0.04479,"$17,870","$17,870"
"Sep 20, 2022",$0.0434,$0.04386,$0.042,$0.04273,"$19,749","$19,749"
"Sep 19, 2022",$0.04373,$0.04439,$0.04308,$0.0434,"$16,967","$16,967"
"Sep 18, 2022",$0.04443,$0.04507,$0.04306,$0.04375,"$39,784","$39,784"
"Sep 17, 2022",$0.04225,$0.04455,$0.04197,$0.04449,"$33,518","$33,518"
"Sep 16, 2022",$0.04467,$0.04509,$0.04171,$0.04237,"$21,968","$21,968"
"Sep 15, 2022",$0.04859,$0.04885,$0.04454,$0.04455,"$14,152","$14,152"
"Sep 14, 2022",$0.0477,$0.07148,$0.04642,$0.04857,"$35,569","$35,569"
"Sep 13, 2022",$0.05329,$0.05414,$0.04559,$0.04804,"$33,476","$33,476"
"Sep 12, 2022",$0.04988,$0.05433,$0.04973,$0.05329,"$29,225","$29,225"
"Sep 11, 2022",$0.04997,$0.05027,$0.04894,$0.04988,"$20,035","$20,035"
"Sep 10, 2022",$0.04747,$0.0503,$0.04704,$0.04997,"$10,040","$10,040"
"Sep 09, 2022",$0.05098,$0.05181,$0.04593,$0.04748,"$25,583","$25,583"
"Sep 08, 2022",$0.06376,$0.06438,$0.04734,$0.04849,"$27,498","$27,498"
"Sep 07, 2022",$0.06395,$0.06547,$0.06211,$0.06376,"$21,863","$21,863"
"Sep 06, 2022",$0.0718,$0.07238,$0.06293,$0.06396,"$33,862","$33,862"
"Sep 05, 2022",$0.07664,$0.07898,$0.07105,$0.07193,"$25,978","$25,978"
"Sep 04, 2022",$0.0761,$0.07836,$0.07032,$0.07658,"$21,734","$21,734"
"Sep 03, 2022",$0.05015,$0.08057,$0.04897,$0.07604,"$54,872","$54,872"
"Sep 02, 2022",$0.04029,$0.05031,$0.0392,$0.05015,"$21,546","$21,546"
"Sep 01, 2022",$0.03815,$0.04523,$0.03772,$0.04029,"$30,010","$30,010"
"Aug 31, 2022",$0.03688,$0.03976,$0.03616,$0.03815,"$25,204","$25,204"
"Aug 30, 2022",$0.03764,$0.03784,$0.03654,$0.03688,"$23,810","$23,810"
"Aug 29, 2022",$0.0377,$0.03799,$0.03731,$0.03764,"$16,468","$16,468"
"Aug 28, 2022",$0.03792,$0.03815,$0.0375,$0.03769,"$25,410","$25,410"
"Aug 27, 2022",$0.03815,$0.03869,$0.03732,$0.03789,"$11,898","$11,898"
"Aug 26, 2022",$0.04036,$0.04074,$0.03766,$0.03815,"$28,665","$28,665"
"Aug 25, 2022",$0.04008,$0.04138,$0.03888,$0.04036,"$19,518","$19,518"
"Aug 24, 2022",$0.04025,$0.04172,$0.03845,$0.04001,"$21,058","$21,058"
"Aug 23, 2022",$0.04437,$0.04498,$0.03978,$0.04033,"$29,896","$29,896"
"Aug 22, 2022",$0.04337,$0.05576,$0.04258,$0.04438,"$26,438","$26,438"
"Aug 21, 2022",$0.04256,$0.04376,$0.04249,$0.04326,"$22,119","$22,119"
"Aug 20, 2022",$0.04329,$0.04555,$0.04233,$0.04258,"$31,304","$31,304"
"Aug 19, 2022",$0.04338,$0.05206,$0.04305,$0.04363,"$36,257","$36,257"
"Aug 18, 2022",$0.04322,$0.04374,$0.04302,$0.04338,"$19,613","$19,613"
"Aug 17, 2022",$0.04428,$0.04473,$0.04274,$0.04323,"$18,803","$18,803"
"Aug 16, 2022",$0.04395,$0.04458,$0.04364,$0.04427,"$15,108","$15,108"
"Aug 15, 2022",$0.04374,$0.04467,$0.04324,$0.04396,"$35,166","$35,166"
"Aug 14, 2022",$0.04305,$0.04446,$0.04264,$0.04374,"$27,583","$27,583"
"Aug 13, 2022",$0.04281,$0.04358,$0.04256,$0.04304,"$30,201","$30,201"
