Day,Open,High,Low,Close,Volume,Market Cap
"Sep 26, 2022",$0.00106,$0.00106,$0.001045,$0.001056,"$74,566","$74,566"
"Sep 25, 2022",$0.001073,$0.001073,$0.00106,$0.00106,"$59,685","$59,685"
"Sep 24, 2022",$0.001093,$0.001123,$0.001073,$0.001073,"$56,327","$56,327"
"Sep 23, 2022",$0.00113,$0.001135,$0.001079,$0.001093,"$55,939","$55,939"
"Sep 22, 2022",$0.001133,$0.00114,$0.001112,$0.00113,"$77,032","$77,032"
"Sep 21, 2022",$0.001207,$0.001236,$0.001132,$0.001133,"$63,285","$63,285"
"Sep 20, 2022",$0.001228,$0.001228,$0.001175,$0.001207,"$61,308","$61,308"
"Sep 19, 2022",$0.001228,$0.001244,$0.00117,$0.001228,"$58,394","$58,394"
"Sep 18, 2022",$0.001212,$0.001228,$0.00111,$0.001227,"$51,822","$51,822"
"Sep 17, 2022",$0.001213,$0.001223,$0.001164,$0.001212,"$27,011","$27,011"
"Sep 16, 2022",$0.001394,$0.001394,$0.001006,$0.001214,"$42,287","$42,287"
"Sep 15, 2022",$0.0006231,$0.001516,$0.0006092,$0.001392,"$57,033","$57,033"
"Sep 14, 2022",$0.0006059,$0.0006231,$0.0006058,$0.0006231,"$32,308","$32,308"
"Sep 13, 2022",$0.0006389,$0.0006432,$0.0006058,$0.0006059,"$25,136","$25,136"
"Sep 12, 2022",$0.0006311,$0.0006502,$0.0006302,$0.0006389,"$19,950","$19,950"
"Sep 11, 2022",$0.0006441,$0.0006441,$0.0006309,$0.0006311,"$18,738","$18,738"
"Sep 10, 2022",$0.0006355,$0.0006506,$0.0006345,$0.0006441,"$21,929","$21,929"
"Sep 09, 2022",$0.0006532,$0.0006856,$0.0006342,$0.0006355,"$23,576","$23,576"
"Sep 08, 2022",$0.0006509,$0.000655,$0.0006456,$0.0006532,"$24,495","$24,495"
"Sep 07, 2022",$0.0006175,$0.0006512,$0.00061,$0.0006509,"$22,214","$22,214"
"Sep 06, 2022",$0.0006362,$0.0006552,$0.0006174,$0.0006175,"$26,276","$26,276"
