Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$2.35,$2.35,$2.29,$2.31,"$2,725,937","$2,725,937"
"Sep 17, 2022",$2.30,$2.36,$2.30,$2.35,"$2,483,478","$2,483,478"
"Sep 16, 2022",$2.22,$2.35,$2.21,$2.30,"$2,655,569","$2,655,569"
"Sep 15, 2022",$2.41,$2.41,$2.21,$2.22,"$2,913,790","$2,913,790"
"Sep 14, 2022",$2.22,$2.44,$2.22,$2.41,"$3,696,376","$3,696,376"
"Sep 13, 2022",$2.46,$2.47,$2.22,$2.30,"$4,456,873","$4,456,873"
"Sep 12, 2022",$2.64,$2.66,$2.45,$2.46,"$4,839,013","$4,839,013"
"Sep 11, 2022",$2.83,$3.11,$2.60,$2.64,"$11,005,372","$11,005,372"
"Sep 10, 2022",$2.46,$2.83,$2.43,$2.83,"$4,560,154","$4,560,154"
"Sep 09, 2022",$2.29,$2.52,$2.28,$2.46,"$3,859,865","$3,859,865"
"Sep 08, 2022",$2.09,$2.29,$2.06,$2.29,"$3,843,535","$3,843,535"
"Sep 07, 2022",$2.01,$2.10,$1.97,$2.09,"$2,733,989","$2,733,989"
"Sep 06, 2022",$2.04,$2.13,$2.00,$2.01,"$2,794,109","$2,794,109"
"Sep 05, 2022",$2.02,$2.04,$1.99,$2.04,"$2,648,269","$2,648,269"
"Sep 04, 2022",$1.99,$2.03,$1.97,$2.02,"$2,440,813","$2,440,813"
"Sep 03, 2022",$2.02,$2.03,$1.98,$1.99,"$2,527,672","$2,527,672"
"Sep 02, 2022",$2.02,$2.07,$2.00,$2.03,"$2,765,019","$2,765,019"
"Sep 01, 2022",$2.05,$2.09,$1.98,$2.01,"$5,079,398","$5,079,398"
"Aug 31, 2022",$2.02,$2.13,$2.01,$2.05,"$3,857,349","$3,857,349"
"Aug 30, 2022",$1.99,$2.03,$1.92,$2.02,"$2,481,689","$2,481,689"
"Aug 29, 2022",$1.93,$1.99,$1.91,$1.99,"$2,307,866","$2,307,866"
"Aug 28, 2022",$1.96,$1.98,$1.93,$1.93,"$2,358,617","$2,358,617"
