Day,Open,High,Low,Close,Volume,Market Cap
"Sep 16, 2022",$0.7918,$0.7981,$0.7605,$0.7769,"$20,729,995","$20,729,995"
"Sep 15, 2022",$0.8309,$0.8309,$0.7798,$0.7918,"$24,532,210","$24,532,210"
"Sep 14, 2022",$0.8026,$0.8349,$0.8021,$0.8309,"$21,839,597","$21,839,597"
"Sep 13, 2022",$0.8693,$0.883,$0.7946,$0.8137,"$35,315,024","$35,315,024"
"Sep 12, 2022",$0.8581,$0.9088,$0.8404,$0.8693,"$42,204,794","$42,204,794"
"Sep 11, 2022",$0.8687,$0.8745,$0.8475,$0.8581,"$16,693,414","$16,693,414"
"Sep 10, 2022",$0.8611,$0.8775,$0.8519,$0.8687,"$19,969,302","$19,969,302"
"Sep 09, 2022",$0.8263,$0.8766,$0.8261,$0.8612,"$23,214,729","$23,214,729"
"Sep 08, 2022",$0.7923,$0.8318,$0.7842,$0.8263,"$24,804,344","$24,804,344"
"Sep 07, 2022",$0.7472,$0.7995,$0.7342,$0.7924,"$20,027,813","$20,027,813"
"Sep 06, 2022",$0.8055,$0.8226,$0.7472,$0.7473,"$23,678,911","$23,678,911"
"Sep 05, 2022",$0.8189,$0.8227,$0.7799,$0.8056,"$17,306,821","$17,306,821"
"Sep 04, 2022",$0.7796,$0.8263,$0.7796,$0.8188,"$17,041,135","$17,041,135"
"Sep 03, 2022",$0.7791,$0.7852,$0.7728,$0.7796,"$9,334,990","$9,334,990"
"Sep 02, 2022",$0.8007,$0.8072,$0.7743,$0.7791,"$15,823,510","$15,823,510"
"Sep 01, 2022",$0.7791,$0.8011,$0.7682,$0.8007,"$16,807,961","$16,807,961"
"Aug 31, 2022",$0.778,$0.805,$0.778,$0.7791,"$18,051,885","$18,051,885"
"Aug 30, 2022",$0.8006,$0.8092,$0.7622,$0.7781,"$22,030,718","$22,030,718"
"Aug 29, 2022",$0.7535,$0.8012,$0.7508,$0.8007,"$32,326,025","$32,326,025"
"Aug 28, 2022",$0.7748,$0.7874,$0.7535,$0.7535,"$24,399,318","$24,399,318"
"Aug 27, 2022",$0.7696,$0.7775,$0.7562,$0.7749,"$29,631,785","$29,631,785"
"Aug 26, 2022",$0.8527,$0.8533,$0.7646,$0.7695,"$47,446,077","$47,446,077"
"Aug 25, 2022",$0.8394,$0.8621,$0.8391,$0.853,"$32,582,794","$32,582,794"
"Aug 24, 2022",$0.8561,$0.8653,$0.8318,$0.8394,"$40,588,933","$40,588,933"
"Aug 23, 2022",$0.8255,$0.8593,$0.8023,$0.856,"$49,581,494","$49,581,494"
"Aug 22, 2022",$0.845,$0.845,$0.7985,$0.8254,"$38,279,273","$38,279,273"
"Aug 21, 2022",$0.8333,$0.8539,$0.8213,$0.8452,"$29,445,121","$29,445,121"
"Aug 20, 2022",$0.8353,$0.866,$0.8083,$0.8334,"$41,832,576","$41,832,576"
