Day,Open,High,Low,Close,Volume,Market Cap
"Sep 16, 2022",$0.003754,$0.003774,$0.00367,$0.003738,"$3,610,568","$3,610,568"
"Sep 15, 2022",$0.003885,$0.003897,$0.003735,$0.003754,"$4,206,109","$4,206,109"
"Sep 14, 2022",$0.00382,$0.003953,$0.003789,$0.003883,"$5,039,240","$5,039,240"
"Sep 13, 2022",$0.004208,$0.004213,$0.003789,$0.003822,"$6,860,451","$6,860,451"
"Sep 12, 2022",$0.0042,$0.004251,$0.004123,$0.004207,"$6,836,415","$6,836,415"
"Sep 11, 2022",$0.00414,$0.004251,$0.004073,$0.0042,"$6,212,114","$6,212,114"
"Sep 10, 2022",$0.00416,$0.004167,$0.00408,$0.004141,"$4,656,994","$4,656,994"
"Sep 09, 2022",$0.003999,$0.004168,$0.003995,$0.004161,"$4,867,264","$4,867,264"
"Sep 08, 2022",$0.003884,$0.004022,$0.003845,$0.004,"$4,540,493","$4,540,493"
"Sep 07, 2022",$0.003814,$0.003915,$0.003692,$0.003876,"$3,305,102","$3,305,102"
"Sep 06, 2022",$0.004007,$0.004089,$0.003787,$0.003791,"$6,734,494","$6,734,494"
"Sep 05, 2022",$0.004021,$0.00404,$0.003925,$0.004007,"$4,330,061","$4,330,061"
"Sep 04, 2022",$0.00397,$0.004042,$0.003933,$0.004021,"$1,644,771","$1,644,771"
"Sep 03, 2022",$0.003969,$0.004004,$0.003941,$0.003971,"$2,291,754","$2,291,754"
"Sep 02, 2022",$0.00403,$0.004068,$0.003921,$0.003965,"$3,517,828","$3,517,828"
"Sep 01, 2022",$0.004042,$0.004095,$0.003883,$0.00403,"$3,664,614","$3,664,614"
"Aug 31, 2022",$0.004016,$0.004205,$0.004002,$0.004042,"$6,403,072","$6,403,072"
"Aug 30, 2022",$0.004066,$0.004261,$0.003924,$0.004016,"$8,912,728","$8,912,728"
"Aug 29, 2022",$0.00392,$0.004081,$0.003868,$0.004065,"$6,928,164","$6,928,164"
"Aug 28, 2022",$0.003895,$0.004334,$0.003876,$0.00392,"$20,234,429","$20,234,429"
"Aug 27, 2022",$0.003922,$0.00394,$0.003832,$0.003894,"$2,284,404","$2,284,404"
"Aug 26, 2022",$0.004221,$0.004379,$0.003874,$0.003903,"$10,385,990","$10,385,990"
"Aug 25, 2022",$0.004111,$0.004354,$0.004095,$0.004223,"$6,192,506","$6,192,506"
"Aug 24, 2022",$0.004087,$0.004198,$0.003975,$0.004109,"$4,817,575","$4,817,575"
"Aug 23, 2022",$0.004093,$0.004111,$0.003927,$0.004086,"$3,486,167","$3,486,167"
"Aug 22, 2022",$0.00424,$0.00424,$0.003926,$0.004094,"$5,190,252","$5,190,252"
"Aug 21, 2022",$0.004156,$0.004313,$0.004116,$0.004239,"$3,292,163","$3,292,163"
"Aug 20, 2022",$0.004118,$0.004264,$0.004036,$0.004172,"$4,862,116","$4,862,116"
"Aug 19, 2022",$0.004677,$0.004677,$0.004112,$0.004132,"$8,397,058","$8,397,058"
"Aug 18, 2022",$0.004694,$0.004773,$0.004606,$0.004678,"$4,159,360","$4,159,360"
"Aug 17, 2022",$0.004772,$0.004891,$0.004654,$0.004684,"$5,477,293","$5,477,293"
"Aug 16, 2022",$0.004899,$0.004906,$0.004723,$0.004775,"$6,064,253","$6,064,253"
"Aug 15, 2022",$0.005012,$0.005101,$0.004847,$0.004901,"$7,712,064","$7,712,064"
"Aug 14, 2022",$0.005047,$0.005123,$0.004954,$0.005011,"$8,243,564","$8,243,564"
"Aug 13, 2022",$0.005161,$0.005162,$0.005009,$0.005047,"$10,271,802","$10,271,802"
"Aug 12, 2022",$0.00515,$0.005203,$0.005009,$0.005161,"$12,468,451","$12,468,451"
"Aug 11, 2022",$0.004855,$0.005216,$0.004821,$0.005142,"$43,830,878","$43,830,878"
"Aug 10, 2022",$0.004525,$0.005032,$0.00444,$0.004854,"$47,736,469","$47,736,469"
"Aug 09, 2022",$0.00475,$0.004757,$0.00446,$0.00452,"$4,860,874","$4,860,874"
"Aug 08, 2022",$0.00471,$0.004835,$0.00469,$0.004748,"$5,031,836","$5,031,836"
"Aug 07, 2022",$0.004691,$0.004748,$0.004627,$0.004709,"$3,710,441","$3,710,441"
"Aug 06, 2022",$0.004716,$0.004757,$0.004686,$0.004686,"$4,398,704","$4,398,704"
"Aug 05, 2022",$0.004543,$0.004718,$0.004542,$0.004699,"$5,010,135","$5,010,135"
"Aug 04, 2022",$0.004549,$0.004666,$0.004498,$0.004543,"$4,617,103","$4,617,103"
"Aug 03, 2022",$0.004609,$0.004672,$0.004495,$0.004549,"$4,362,233","$4,362,233"
"Aug 02, 2022",$0.004769,$0.004883,$0.004535,$0.004608,"$13,540,514","$13,540,514"
"Aug 01, 2022",$0.004551,$0.005068,$0.00454,$0.004771,"$31,023,797","$31,023,797"
"Jul 31, 2022",$0.004386,$0.004778,$0.004378,$0.004542,"$17,665,831","$17,665,831"
"Jul 30, 2022",$0.00439,$0.004574,$0.004357,$0.004389,"$5,745,713","$5,745,713"
"Jul 29, 2022",$0.004428,$0.004464,$0.004282,$0.004393,"$5,786,653","$5,786,653"
"Jul 28, 2022",$0.004243,$0.004451,$0.00419,$0.004426,"$4,921,596","$4,921,596"
"Jul 27, 2022",$0.003971,$0.004249,$0.003933,$0.004241,"$3,569,209","$3,569,209"
"Jul 26, 2022",$0.003967,$0.004072,$0.003841,$0.003972,"$4,604,854","$4,604,854"
"Jul 25, 2022",$0.004274,$0.004281,$0.003969,$0.003972,"$3,658,895","$3,658,895"
"Jul 24, 2022",$0.004255,$0.00434,$0.004229,$0.004271,"$2,925,287","$2,925,287"
"Jul 23, 2022",$0.00426,$0.004327,$0.004156,$0.004255,"$3,067,372","$3,067,372"
"Jul 22, 2022",$0.004353,$0.00446,$0.004219,$0.00426,"$4,263,666","$4,263,666"
"Jul 21, 2022",$0.004413,$0.00446,$0.004185,$0.004354,"$7,542,176","$7,542,176"
"Jul 20, 2022",$0.00448,$0.004963,$0.004381,$0.004412,"$36,074,168","$36,074,168"
"Jul 19, 2022",$0.004282,$0.004554,$0.004165,$0.004482,"$15,972,655","$15,972,655"
"Jul 18, 2022",$0.003948,$0.004497,$0.003948,$0.004286,"$24,488,482","$24,488,482"
"Jul 17, 2022",$0.004007,$0.004125,$0.003931,$0.003954,"$6,220,876","$6,220,876"
"Jul 16, 2022",$0.003906,$0.004045,$0.003902,$0.004007,"$8,180,703","$8,180,703"
"Jul 15, 2022",$0.003879,$0.003957,$0.003849,$0.003905,"$4,716,384","$4,716,384"
"Jul 14, 2022",$0.003904,$0.003908,$0.003741,$0.003877,"$4,056,498","$4,056,498"
"Jul 13, 2022",$0.003643,$0.003917,$0.003631,$0.003901,"$16,562,483","$16,562,483"
"Jul 12, 2022",$0.003769,$0.00378,$0.003642,$0.003644,"$3,915,106","$3,915,106"
"Jul 11, 2022",$0.004088,$0.00409,$0.00377,$0.003774,"$5,007,765","$5,007,765"
"Jul 10, 2022",$0.004153,$0.00446,$0.004068,$0.004092,"$26,438,942","$26,438,942"
"Jul 09, 2022",$0.003983,$0.004228,$0.003961,$0.004152,"$9,799,824","$9,799,824"
"Jul 08, 2022",$0.004005,$0.004075,$0.003891,$0.003983,"$5,285,356","$5,285,356"
"Jul 07, 2022",$0.003857,$0.004027,$0.003857,$0.004006,"$7,383,365","$7,383,365"
"Jul 06, 2022",$0.003806,$0.003885,$0.003755,$0.003859,"$5,379,283","$5,379,283"
"Jul 05, 2022",$0.003894,$0.003924,$0.003685,$0.003795,"$4,168,904","$4,168,904"
"Jul 04, 2022",$0.003865,$0.003909,$0.003726,$0.003896,"$4,411,459","$4,411,459"
"Jul 03, 2022",$0.003829,$0.004088,$0.003753,$0.00387,"$13,361,004","$13,361,004"
"Jul 02, 2022",$0.003685,$0.003962,$0.003676,$0.003831,"$10,499,964","$10,499,964"
"Jul 01, 2022",$0.003698,$0.003863,$0.003638,$0.003684,"$5,494,237","$5,494,237"
"Jun 30, 2022",$0.003835,$0.003836,$0.003463,$0.003694,"$4,619,678","$4,619,678"
"Jun 29, 2022",$0.003933,$0.003975,$0.003778,$0.003833,"$4,854,417","$4,854,417"
"Jun 28, 2022",$0.004069,$0.004205,$0.003924,$0.003932,"$7,318,092","$7,318,092"
