Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.002338,$0.002348,$0.002299,$0.0023,"$251,791","$251,791"
"Sep 24, 2022",$0.002322,$0.002377,$0.002314,$0.002338,"$354,931","$354,931"
"Sep 23, 2022",$0.002206,$0.002325,$0.002204,$0.002323,"$392,290","$392,290"
"Sep 22, 2022",$0.002252,$0.002253,$0.002097,$0.002206,"$547,320","$547,320"
"Sep 21, 2022",$0.002312,$0.002313,$0.002245,$0.002252,"$404,546","$404,546"
"Sep 20, 2022",$0.002444,$0.002453,$0.002304,$0.002312,"$359,771","$359,771"
"Sep 19, 2022",$0.002636,$0.002644,$0.002444,$0.002444,"$443,359","$443,359"
"Sep 18, 2022",$0.002739,$0.002743,$0.002632,$0.002635,"$400,111","$400,111"
"Sep 17, 2022",$0.002764,$0.002805,$0.002728,$0.002739,"$364,342","$364,342"
"Sep 16, 2022",$0.002704,$0.002817,$0.002671,$0.002764,"$502,446","$502,446"
"Sep 15, 2022",$0.002942,$0.00295,$0.002674,$0.002704,"$537,435","$537,435"
"Sep 14, 2022",$0.002917,$0.002965,$0.002873,$0.002942,"$362,038","$362,038"
"Sep 13, 2022",$0.002788,$0.002924,$0.002776,$0.002887,"$445,029","$445,029"
"Sep 12, 2022",$0.002817,$0.002828,$0.002764,$0.002788,"$286,051","$286,051"
"Sep 11, 2022",$0.002771,$0.002847,$0.002745,$0.002817,"$366,606","$366,606"
"Sep 10, 2022",$0.002836,$0.002845,$0.002741,$0.002771,"$318,603","$318,603"
"Sep 09, 2022",$0.002775,$0.002847,$0.00277,$0.002836,"$327,598","$327,598"
"Sep 08, 2022",$0.002893,$0.002925,$0.002738,$0.002775,"$505,597","$505,597"
"Sep 07, 2022",$0.002758,$0.002915,$0.002725,$0.002893,"$411,474","$411,474"
"Sep 06, 2022",$0.002744,$0.002836,$0.002738,$0.002758,"$391,665","$391,665"
"Sep 05, 2022",$0.002707,$0.002753,$0.002701,$0.002743,"$359,206","$359,206"
"Sep 04, 2022",$0.002698,$0.002756,$0.002665,$0.002705,"$379,019","$379,019"
"Sep 03, 2022",$0.002684,$0.002716,$0.002572,$0.002702,"$453,750","$453,750"
"Sep 02, 2022",$0.002752,$0.002765,$0.002661,$0.002685,"$478,162","$478,162"
"Sep 01, 2022",$0.002823,$0.002838,$0.002671,$0.002751,"$423,106","$423,106"
"Aug 31, 2022",$0.002664,$0.002968,$0.002632,$0.002821,"$1,168,703","$1,168,703"
"Aug 30, 2022",$0.00255,$0.002708,$0.00241,$0.002664,"$888,009","$888,009"
"Aug 29, 2022",$0.002456,$0.002573,$0.002447,$0.00255,"$352,248","$352,248"
"Aug 28, 2022",$0.002516,$0.002541,$0.002437,$0.002456,"$258,294","$258,294"
"Aug 27, 2022",$0.002572,$0.002587,$0.002455,$0.002517,"$329,285","$329,285"
"Aug 26, 2022",$0.002667,$0.002676,$0.002547,$0.002572,"$415,967","$415,967"
"Aug 25, 2022",$0.002531,$0.002682,$0.002515,$0.002667,"$437,172","$437,172"
"Aug 24, 2022",$0.002455,$0.002544,$0.002435,$0.002531,"$380,235","$380,235"
"Aug 23, 2022",$0.002439,$0.002478,$0.002378,$0.002455,"$316,366","$316,366"
"Aug 22, 2022",$0.002408,$0.002444,$0.002372,$0.002439,"$346,716","$346,716"
"Aug 21, 2022",$0.002403,$0.002459,$0.002343,$0.002407,"$387,871","$387,871"
"Aug 20, 2022",$0.002481,$0.002515,$0.00233,$0.002402,"$374,046","$374,046"
"Aug 19, 2022",$0.002563,$0.002563,$0.002345,$0.002481,"$589,227","$589,227"
"Aug 18, 2022",$0.002313,$0.00266,$0.002259,$0.002563,"$603,891","$603,891"
"Aug 17, 2022",$0.002472,$0.002488,$0.002311,$0.002312,"$426,762","$426,762"
"Aug 16, 2022",$0.002752,$0.002754,$0.00247,$0.002475,"$354,919","$354,919"
"Aug 15, 2022",$0.002925,$0.002929,$0.002732,$0.002752,"$402,076","$402,076"
"Aug 14, 2022",$0.002823,$0.002977,$0.002804,$0.002926,"$401,181","$401,181"
"Aug 13, 2022",$0.002939,$0.002997,$0.002821,$0.002824,"$475,988","$475,988"
"Aug 12, 2022",$0.002664,$0.00294,$0.002652,$0.00294,"$666,503","$666,503"
"Aug 11, 2022",$0.002801,$0.00285,$0.002622,$0.002664,"$416,176","$416,176"
"Aug 10, 2022",$0.002819,$0.002844,$0.002733,$0.0028,"$365,203","$365,203"
"Aug 09, 2022",$0.002786,$0.002943,$0.002774,$0.002818,"$535,722","$535,722"
"Aug 08, 2022",$0.002646,$0.002789,$0.00264,$0.002787,"$345,959","$345,959"
"Aug 07, 2022",$0.00273,$0.00273,$0.002621,$0.002646,"$245,590","$245,590"
"Aug 06, 2022",$0.002648,$0.00274,$0.002623,$0.002729,"$350,748","$350,748"
"Aug 05, 2022",$0.002557,$0.00265,$0.002555,$0.002648,"$352,684","$352,684"
"Aug 04, 2022",$0.002616,$0.002641,$0.002527,$0.002557,"$318,348","$318,348"
"Aug 03, 2022",$0.002571,$0.002674,$0.002544,$0.002616,"$362,309","$362,309"
"Aug 02, 2022",$0.002501,$0.00266,$0.002484,$0.002571,"$377,985","$377,985"
"Aug 01, 2022",$0.002682,$0.002697,$0.002465,$0.002501,"$383,876","$383,876"
"Jul 31, 2022",$0.002573,$0.002767,$0.002505,$0.002682,"$628,078","$628,078"
"Jul 30, 2022",$0.002439,$0.002586,$0.002421,$0.002574,"$475,437","$475,437"
"Jul 29, 2022",$0.002409,$0.002464,$0.002323,$0.002439,"$429,563","$429,563"
"Jul 28, 2022",$0.002437,$0.002494,$0.002302,$0.002409,"$516,658","$516,658"
"Jul 27, 2022",$0.002111,$0.002463,$0.002098,$0.002436,"$583,658","$583,658"
"Jul 26, 2022",$0.00215,$0.002182,$0.002091,$0.002112,"$385,885","$385,885"
"Jul 25, 2022",$0.002348,$0.002351,$0.002149,$0.00215,"$528,961","$528,961"
"Jul 24, 2022",$0.002292,$0.00237,$0.002269,$0.002348,"$465,323","$465,323"
"Jul 23, 2022",$0.002154,$0.002309,$0.002151,$0.002292,"$627,357","$627,357"
"Jul 22, 2022",$0.002056,$0.002214,$0.002032,$0.002154,"$498,324","$498,324"
"Jul 21, 2022",$0.001956,$0.002117,$0.001956,$0.002056,"$385,998","$385,998"
"Jul 20, 2022",$0.001959,$0.002051,$0.001926,$0.001956,"$375,368","$375,368"
"Jul 19, 2022",$0.001916,$0.001973,$0.001905,$0.001959,"$339,578","$339,578"
"Jul 18, 2022",$0.001854,$0.001943,$0.001851,$0.001916,"$441,080","$441,080"
"Jul 17, 2022",$0.001798,$0.001894,$0.001787,$0.001854,"$363,156","$363,156"
"Jul 16, 2022",$0.001866,$0.001886,$0.001784,$0.001798,"$487,544","$487,544"
"Jul 15, 2022",$0.001885,$0.001924,$0.001859,$0.001866,"$430,279","$430,279"
"Jul 14, 2022",$0.001903,$0.001913,$0.001875,$0.001885,"$357,923","$357,923"
"Jul 13, 2022",$0.001897,$0.002011,$0.00182,$0.001903,"$548,120","$548,120"
"Jul 12, 2022",$0.001845,$0.001917,$0.001829,$0.001897,"$398,868","$398,868"
"Jul 11, 2022",$0.001868,$0.00187,$0.001817,$0.001845,"$295,650","$295,650"
"Jul 10, 2022",$0.001905,$0.001913,$0.001854,$0.001868,"$323,679","$323,679"
"Jul 09, 2022",$0.001897,$0.001921,$0.001833,$0.001905,"$383,653","$383,653"
"Jul 08, 2022",$0.002012,$0.002065,$0.001881,$0.001897,"$464,991","$464,991"
"Jul 07, 2022",$0.001962,$0.002046,$0.001959,$0.002012,"$371,851","$371,851"
"Jul 06, 2022",$0.001986,$0.001987,$0.001945,$0.001962,"$343,859","$343,859"
"Jul 05, 2022",$0.001996,$0.002002,$0.001971,$0.001986,"$298,321","$298,321"
"Jul 04, 2022",$0.002029,$0.002032,$0.00196,$0.001997,"$331,563","$331,563"
"Jul 03, 2022",$0.002047,$0.002049,$0.001998,$0.002029,"$373,065","$373,065"
"Jul 02, 2022",$0.002071,$0.002103,$0.002014,$0.002047,"$428,926","$428,926"
"Jul 01, 2022",$0.002074,$0.002098,$0.00206,$0.002071,"$366,771","$366,771"
"Jun 30, 2022",$0.002126,$0.002139,$0.00205,$0.002073,"$320,893","$320,893"
"Jun 29, 2022",$0.002105,$0.002135,$0.002096,$0.002126,"$321,879","$321,879"
"Jun 28, 2022",$0.002109,$0.002168,$0.002005,$0.002105,"$373,192","$373,192"
"Jun 27, 2022",$0.002088,$0.002254,$0.00208,$0.002109,"$371,374","$371,374"
"Jun 26, 2022",$0.002184,$0.002213,$0.001991,$0.002088,"$342,110","$342,110"
"Jun 25, 2022",$0.001988,$0.002185,$0.001931,$0.002184,"$424,021","$424,021"
"Jun 24, 2022",$0.00216,$0.002182,$0.00187,$0.001988,"$374,160","$374,160"
"Jun 23, 2022",$0.002188,$0.002201,$0.002145,$0.002161,"$341,897","$341,897"
"Jun 22, 2022",$0.002292,$0.002301,$0.002177,$0.002188,"$329,423","$329,423"
"Jun 21, 2022",$0.002111,$0.002416,$0.002104,$0.002292,"$380,820","$380,820"
"Jun 20, 2022",$0.002121,$0.002171,$0.001992,$0.002111,"$372,672","$372,672"
"Jun 19, 2022",$0.001918,$0.00216,$0.001897,$0.002121,"$383,299","$383,299"
"Jun 18, 2022",$0.001932,$0.00207,$0.001701,$0.001918,"$372,226","$372,226"
"Jun 17, 2022",$0.002004,$0.002171,$0.001853,$0.001932,"$372,062","$372,062"
"Jun 16, 2022",$0.002314,$0.002347,$0.001997,$0.002004,"$312,776","$312,776"
"Jun 15, 2022",$0.002216,$0.002374,$0.001926,$0.002313,"$316,905","$316,905"
"Jun 14, 2022",$0.002445,$0.002498,$0.002063,$0.002216,"$481,979","$481,979"
"Jun 13, 2022",$0.002015,$0.002592,$0.001733,$0.002446,"$707,722","$707,722"
"Jun 12, 2022",$0.002627,$0.00263,$0.002013,$0.002015,"$437,176","$437,176"
"Jun 11, 2022",$0.002899,$0.0029,$0.002582,$0.002627,"$397,411","$397,411"
"Jun 10, 2022",$0.0029,$0.002944,$0.002896,$0.002899,"$394,395","$394,395"
"Jun 09, 2022",$0.002911,$0.002944,$0.00285,$0.0029,"$409,871","$409,871"
"Jun 08, 2022",$0.002934,$0.002938,$0.002886,$0.002911,"$405,142","$405,142"
"Jun 07, 2022",$0.003076,$0.003088,$0.002826,$0.002934,"$449,376","$449,376"
"Jun 06, 2022",$0.003008,$0.003136,$0.002967,$0.003076,"$447,662","$447,662"
"Jun 05, 2022",$0.003018,$0.003043,$0.002978,$0.003008,"$437,051","$437,051"
"Jun 04, 2022",$0.002993,$0.003019,$0.002935,$0.003018,"$462,878","$462,878"
"Jun 03, 2022",$0.003325,$0.00333,$0.002978,$0.002993,"$531,275","$531,275"
"Jun 02, 2022",$0.003212,$0.003331,$0.003199,$0.003325,"$450,780","$450,780"
"Jun 01, 2022",$0.003537,$0.003573,$0.003196,$0.003212,"$514,980","$514,980"
"May 31, 2022",$0.003656,$0.003656,$0.003397,$0.003537,"$577,081","$577,081"
"May 30, 2022",$0.003333,$0.003656,$0.003327,$0.003656,"$608,125","$608,125"
"May 29, 2022",$0.003237,$0.003367,$0.003199,$0.003333,"$496,058","$496,058"
"May 28, 2022",$0.003171,$0.003267,$0.003096,$0.003237,"$512,417","$512,417"
"May 27, 2022",$0.003167,$0.003396,$0.003037,$0.003171,"$604,538","$604,538"
"May 26, 2022",$0.003103,$0.003194,$0.002926,$0.003167,"$466,292","$466,292"
