Day,Open,High,Low,Close,Volume,Market Cap
"Sep 21, 2022",$0.05163,$0.05258,$0.05066,$0.05144,"$117,431","$117,431"
"Sep 20, 2022",$0.05287,$0.05353,$0.05091,$0.05163,"$130,741","$130,741"
"Sep 19, 2022",$0.05452,$0.05556,$0.05108,$0.05287,"$294,788","$294,788"
"Sep 18, 2022",$0.0572,$0.05847,$0.0543,$0.05537,"$174,875","$174,875"
"Sep 17, 2022",$0.05586,$0.05758,$0.05481,$0.0572,"$200,917","$200,917"
"Sep 16, 2022",$0.05561,$0.05679,$0.0546,$0.05586,"$186,911","$186,911"
"Sep 15, 2022",$0.0582,$0.059,$0.05493,$0.05562,"$170,020","$170,020"
"Sep 14, 2022",$0.05884,$0.05928,$0.05722,$0.0582,"$191,921","$191,921"
"Sep 13, 2022",$0.06113,$0.06133,$0.05809,$0.05828,"$340,530","$340,530"
"Sep 12, 2022",$0.06237,$0.06345,$0.06094,$0.06099,"$494,097","$494,097"
"Sep 11, 2022",$0.0611,$0.06519,$0.0607,$0.06235,"$811,617","$811,617"
"Sep 10, 2022",$0.06037,$0.06243,$0.06032,$0.0611,"$329,140","$329,140"
"Sep 09, 2022",$0.05975,$0.06231,$0.05958,$0.06037,"$613,610","$613,610"
"Sep 08, 2022",$0.0604,$0.06166,$0.0591,$0.05975,"$318,388","$318,388"
"Sep 07, 2022",$0.06115,$0.06119,$0.05868,$0.0604,"$297,680","$297,680"
"Sep 06, 2022",$0.0628,$0.06415,$0.06086,$0.06114,"$295,504","$295,504"
"Sep 05, 2022",$0.06422,$0.06472,$0.06247,$0.06283,"$334,402","$334,402"
"Sep 04, 2022",$0.06498,$0.06534,$0.06411,$0.06423,"$134,522","$134,522"
"Sep 03, 2022",$0.06515,$0.06712,$0.06408,$0.06497,"$277,876","$277,876"
"Sep 02, 2022",$0.06463,$0.06846,$0.06336,$0.06515,"$760,692","$760,692"
"Sep 01, 2022",$0.06543,$0.06587,$0.06349,$0.06463,"$345,250","$345,250"
"Aug 31, 2022",$0.06598,$0.06679,$0.06534,$0.06543,"$252,384","$252,384"
"Aug 30, 2022",$0.06752,$0.06804,$0.06568,$0.06581,"$509,307","$509,307"
"Aug 29, 2022",$0.07165,$0.07253,$0.06622,$0.06753,"$1,138,289","$1,138,289"
"Aug 28, 2022",$0.06821,$0.07724,$0.06802,$0.07165,"$2,628,918","$2,628,918"
"Aug 27, 2022",$0.06629,$0.07051,$0.06615,$0.06821,"$439,539","$439,539"
"Aug 26, 2022",$0.06791,$0.07125,$0.06561,$0.06629,"$587,045","$587,045"
"Aug 25, 2022",$0.07089,$0.07172,$0.06698,$0.06805,"$675,978","$675,978"
"Aug 24, 2022",$0.069,$0.07757,$0.06704,$0.07089,"$1,874,905","$1,874,905"
"Aug 23, 2022",$0.06501,$0.07102,$0.0648,$0.07102,"$403,005","$403,005"
"Aug 22, 2022",$0.06673,$0.06693,$0.06422,$0.06501,"$146,456","$146,456"
"Aug 21, 2022",$0.06559,$0.06864,$0.06524,$0.06673,"$237,861","$237,861"
"Aug 20, 2022",$0.06478,$0.06615,$0.06452,$0.06559,"$96,586","$96,586"
"Aug 19, 2022",$0.07031,$0.07054,$0.0643,$0.06478,"$361,518","$361,518"
"Aug 18, 2022",$0.07102,$0.07186,$0.06989,$0.0703,"$142,121","$142,121"
"Aug 17, 2022",$0.07236,$0.07357,$0.07052,$0.07062,"$304,576","$304,576"
"Aug 16, 2022",$0.07325,$0.07397,$0.07174,$0.07236,"$209,724","$209,724"
"Aug 15, 2022",$0.07428,$0.07532,$0.07174,$0.07325,"$404,745","$404,745"
"Aug 14, 2022",$0.07415,$0.07483,$0.07341,$0.07428,"$275,556","$275,556"
"Aug 13, 2022",$0.07493,$0.07547,$0.07398,$0.07415,"$266,584","$266,584"
"Aug 12, 2022",$0.07461,$0.07524,$0.07332,$0.07489,"$261,265","$261,265"
"Aug 11, 2022",$0.07478,$0.07593,$0.07394,$0.07461,"$627,996","$627,996"
"Aug 10, 2022",$0.07135,$0.07805,$0.07087,$0.07479,"$2,756,969","$2,756,969"
"Aug 09, 2022",$0.07214,$0.07253,$0.06962,$0.07064,"$531,764","$531,764"
"Aug 08, 2022",$0.07191,$0.07461,$0.07087,$0.07214,"$644,921","$644,921"
"Aug 07, 2022",$0.06864,$0.07664,$0.06823,$0.07191,"$2,542,114","$2,542,114"
"Aug 06, 2022",$0.06839,$0.06904,$0.06829,$0.06864,"$153,222","$153,222"
"Aug 05, 2022",$0.0686,$0.06953,$0.0679,$0.06839,"$176,045","$176,045"
"Aug 04, 2022",$0.06788,$0.07038,$0.06704,$0.0686,"$479,882","$479,882"
"Aug 03, 2022",$0.06782,$0.06867,$0.0671,$0.06788,"$171,930","$171,930"
"Aug 02, 2022",$0.06823,$0.06882,$0.05971,$0.06783,"$199,255","$199,255"
"Aug 01, 2022",$0.06792,$0.06871,$0.06694,$0.06824,"$252,792","$252,792"
"Jul 31, 2022",$0.0691,$0.06972,$0.06778,$0.0681,"$272,332","$272,332"
"Jul 30, 2022",$0.06819,$0.07087,$0.06776,$0.0691,"$354,638","$354,638"
"Jul 29, 2022",$0.06739,$0.06978,$0.06739,$0.06805,"$408,028","$408,028"
"Jul 28, 2022",$0.06913,$0.07038,$0.06625,$0.06741,"$642,595","$642,595"
"Jul 27, 2022",$0.06721,$0.06915,$0.06522,$0.06914,"$317,516","$317,516"
"Jul 26, 2022",$0.06666,$0.06967,$0.06248,$0.06725,"$190,416","$190,416"
"Jul 25, 2022",$0.06914,$0.07337,$0.06606,$0.06672,"$521,705","$521,705"
"Jul 24, 2022",$0.06842,$0.06952,$0.06679,$0.0692,"$129,981","$129,981"
"Jul 23, 2022",$0.06867,$0.06958,$0.06655,$0.06841,"$158,410","$158,410"
"Jul 22, 2022",$0.06802,$0.07191,$0.06799,$0.06869,"$275,830","$275,830"
"Jul 21, 2022",$0.0683,$0.06992,$0.06589,$0.06801,"$369,002","$369,002"
"Jul 20, 2022",$0.07165,$0.07337,$0.06804,$0.06825,"$686,281","$686,281"
"Jul 19, 2022",$0.07097,$0.07388,$0.0682,$0.07164,"$808,865","$808,865"
"Jul 18, 2022",$0.0675,$0.07821,$0.06716,$0.07097,"$776,539","$776,539"
"Jul 17, 2022",$0.06748,$0.07237,$0.06423,$0.06749,"$708,563","$708,563"
"Jul 16, 2022",$0.0654,$0.0693,$0.06509,$0.06748,"$347,724","$347,724"
"Jul 15, 2022",$0.06846,$0.07053,$0.06426,$0.0654,"$284,916","$284,916"
"Jul 14, 2022",$0.07164,$0.07243,$0.0626,$0.06851,"$995,505","$995,505"
"Jul 13, 2022",$0.06948,$0.07188,$0.06313,$0.07164,"$334,314","$334,314"
"Jul 12, 2022",$0.06869,$0.07163,$0.06576,$0.06948,"$279,314","$279,314"
"Jul 11, 2022",$0.07209,$0.07473,$0.06762,$0.06864,"$269,972","$269,972"
"Jul 10, 2022",$0.07462,$0.07662,$0.07194,$0.07209,"$315,942","$315,942"
"Jul 09, 2022",$0.07803,$0.0784,$0.07411,$0.07461,"$237,085","$237,085"
"Jul 08, 2022",$0.07791,$0.07993,$0.07427,$0.0781,"$598,370","$598,370"
"Jul 07, 2022",$0.08083,$0.08123,$0.07254,$0.07793,"$917,221","$917,221"
"Jul 06, 2022",$0.07481,$0.0813,$0.07328,$0.08078,"$948,191","$948,191"
"Jul 05, 2022",$0.08344,$0.08344,$0.07367,$0.07481,"$720,283","$720,283"
"Jul 04, 2022",$0.08282,$0.08864,$0.07441,$0.08393,"$2,870,446","$2,870,446"
"Jul 03, 2022",$0.0661,$0.09985,$0.0654,$0.07924,"$7,010,381","$7,010,381"
"Jul 02, 2022",$0.06878,$0.07279,$0.06467,$0.06608,"$443,882","$443,882"
"Jul 01, 2022",$0.06723,$0.07394,$0.06657,$0.0687,"$1,381,073","$1,381,073"
"Jun 30, 2022",$0.07673,$0.09835,$0.06528,$0.06688,"$8,214,436","$8,214,436"
"Jun 29, 2022",$0.06653,$0.08981,$0.0626,$0.07717,"$4,926,659","$4,926,659"
"Jun 28, 2022",$0.06785,$0.07019,$0.0655,$0.06652,"$477,498","$477,498"
"Jun 27, 2022",$0.06615,$0.07108,$0.06381,$0.06786,"$598,346","$598,346"
"Jun 26, 2022",$0.06969,$0.07579,$0.06593,$0.06619,"$1,729,706","$1,729,706"
"Jun 25, 2022",$0.06306,$0.07847,$0.06198,$0.06967,"$4,313,186","$4,313,186"
"Jun 24, 2022",$0.05996,$0.06306,$0.05942,$0.06305,"$336,042","$336,042"
"Jun 23, 2022",$0.0596,$0.0607,$0.05745,$0.05996,"$150,376","$150,376"
"Jun 22, 2022",$0.06103,$0.06197,$0.05825,$0.05961,"$194,449","$194,449"
"Jun 21, 2022",$0.05875,$0.0647,$0.05855,$0.06103,"$412,694","$412,694"
"Jun 20, 2022",$0.0593,$0.06032,$0.0575,$0.05876,"$244,307","$244,307"
"Jun 19, 2022",$0.05821,$0.06045,$0.05594,$0.0593,"$247,556","$247,556"
"Jun 18, 2022",$0.06214,$0.06258,$0.05689,$0.05822,"$257,148","$257,148"
"Jun 17, 2022",$0.06274,$0.06567,$0.05902,$0.06217,"$302,033","$302,033"
"Jun 16, 2022",$0.06424,$0.06523,$0.05943,$0.06263,"$493,140","$493,140"
"Jun 15, 2022",$0.06274,$0.06424,$0.05598,$0.06424,"$431,267","$431,267"
"Jun 14, 2022",$0.06076,$0.06411,$0.05666,$0.06274,"$645,257","$645,257"
"Jun 13, 2022",$0.07586,$0.07586,$0.06076,$0.0609,"$912,831","$912,831"
"Jun 12, 2022",$0.08212,$0.08487,$0.07377,$0.07586,"$463,862","$463,862"
"Jun 11, 2022",$0.08773,$0.09008,$0.08136,$0.08212,"$339,989","$339,989"
"Jun 10, 2022",$0.09174,$0.09181,$0.08675,$0.08772,"$304,134","$304,134"
"Jun 09, 2022",$0.09276,$0.09466,$0.09004,$0.09174,"$172,393","$172,393"
"Jun 08, 2022",$0.09235,$0.09891,$0.08975,$0.09278,"$203,617","$203,617"
"Jun 07, 2022",$0.09313,$0.09605,$0.08971,$0.09156,"$500,035","$500,035"
"Jun 06, 2022",$0.09326,$0.09553,$0.09215,$0.09313,"$440,416","$440,416"
"Jun 05, 2022",$0.09318,$0.09381,$0.09132,$0.09324,"$267,889","$267,889"
"Jun 04, 2022",$0.09279,$0.09435,$0.09103,$0.09323,"$229,921","$229,921"
"Jun 03, 2022",$0.09556,$0.09783,$0.09122,$0.09284,"$532,309","$532,309"
"Jun 02, 2022",$0.09348,$0.1127,$0.09073,$0.09582,"$1,872,653","$1,872,653"
"Jun 01, 2022",$0.09718,$0.09816,$0.09204,$0.09347,"$400,261","$400,261"
"May 31, 2022",$0.1005,$0.102,$0.09585,$0.09719,"$768,619","$768,619"
"May 30, 2022",$0.09511,$0.1017,$0.09328,$0.1005,"$1,053,986","$1,053,986"
"May 29, 2022",$0.09313,$0.09546,$0.09149,$0.0951,"$264,623","$264,623"
"May 28, 2022",$0.09373,$0.09735,$0.09148,$0.09313,"$457,785","$457,785"
"May 27, 2022",$0.09957,$0.101,$0.09449,$0.09637,"$440,095","$440,095"
"May 26, 2022",$0.1056,$0.1074,$0.09787,$0.09952,"$558,363","$558,363"
"May 25, 2022",$0.1112,$0.1119,$0.1055,$0.1056,"$647,872","$647,872"
"May 24, 2022",$0.1093,$0.1206,$0.1018,$0.1112,"$2,313,007","$2,313,007"
"May 23, 2022",$0.09962,$0.1224,$0.09939,$0.1093,"$3,775,763","$3,775,763"
"May 22, 2022",$0.09674,$0.1014,$0.09598,$0.09962,"$601,619","$601,619"
"May 21, 2022",$0.09713,$0.09908,$0.09529,$0.09675,"$239,027","$239,027"
"May 20, 2022",$0.09832,$0.1009,$0.09508,$0.09714,"$460,617","$460,617"
"May 19, 2022",$0.09296,$0.1035,$0.09113,$0.09832,"$796,024","$796,024"
"May 18, 2022",$0.09846,$0.1016,$0.09055,$0.09291,"$827,815","$827,815"
"May 17, 2022",$0.088,$0.1082,$0.08738,$0.09846,"$3,805,115","$3,805,115"
"May 16, 2022",$0.09044,$0.09132,$0.08585,$0.088,"$520,041","$520,041"
"May 15, 2022",$0.09212,$0.09398,$0.08692,$0.09044,"$730,443","$730,443"
"May 14, 2022",$0.09245,$0.09607,$0.08406,$0.09212,"$1,024,653","$1,024,653"
"May 13, 2022",$0.08797,$0.09909,$0.08368,$0.09245,"$1,681,861","$1,681,861"
"May 12, 2022",$0.1056,$0.1064,$0.08199,$0.08801,"$1,624,731","$1,624,731"
"May 11, 2022",$0.121,$0.14,$0.1007,$0.1057,"$3,348,064","$3,348,064"
"May 10, 2022",$0.1122,$0.1265,$0.1075,$0.121,"$1,514,796","$1,514,796"
"May 09, 2022",$0.139,$0.145,$0.1109,$0.112,"$1,530,521","$1,530,521"
"May 08, 2022",$0.1442,$0.1462,$0.1376,$0.1391,"$721,703","$721,703"
"May 07, 2022",$0.147,$0.1492,$0.1431,$0.1442,"$569,331","$569,331"
"May 06, 2022",$0.1542,$0.1558,$0.1425,$0.147,"$1,110,610","$1,110,610"
"May 05, 2022",$0.158,$0.1663,$0.148,$0.1542,"$1,665,437","$1,665,437"
"May 04, 2022",$0.1563,$0.1616,$0.1492,$0.1578,"$1,934,427","$1,934,427"
"May 03, 2022",$0.1543,$0.1589,$0.1494,$0.1563,"$1,182,132","$1,182,132"
"May 02, 2022",$0.1684,$0.1685,$0.153,$0.1544,"$1,788,416","$1,788,416"
"May 01, 2022",$0.1628,$0.1724,$0.1601,$0.1686,"$2,478,591","$2,478,591"
"Apr 30, 2022",$0.159,$0.1896,$0.1571,$0.1631,"$19,878,537","$19,878,537"
"Apr 29, 2022",$0.1649,$0.1681,$0.1525,$0.159,"$34,855,411","$34,855,411"
