Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$0.08022,$0.08451,$0.07935,$0.0837,"$1,384,629","$1,384,629"
"Sep 21, 2022",$0.08124,$0.08468,$0.08019,$0.08022,"$2,400,519","$2,400,519"
"Sep 20, 2022",$0.0849,$0.08511,$0.08124,$0.08124,"$2,257,075","$2,257,075"
"Sep 19, 2022",$0.08209,$0.08795,$0.08058,$0.0849,"$1,033,210","$1,033,210"
"Sep 18, 2022",$0.08823,$0.08889,$0.08205,$0.08208,"$939,507","$939,507"
"Sep 17, 2022",$0.08857,$0.09115,$0.086,$0.08819,"$1,024,353","$1,024,353"
"Sep 16, 2022",$0.09178,$0.0918,$0.08752,$0.08859,"$1,078,190","$1,078,190"
"Sep 15, 2022",$0.09591,$0.09643,$0.09145,$0.09185,"$1,499,318","$1,499,318"
"Sep 14, 2022",$0.09558,$0.09678,$0.09393,$0.09576,"$901,809","$901,809"
"Sep 13, 2022",$0.1042,$0.1086,$0.09511,$0.09568,"$2,053,263","$2,053,263"
"Sep 12, 2022",$0.1004,$0.1091,$0.1002,$0.1042,"$1,380,254","$1,380,254"
"Sep 11, 2022",$0.1033,$0.1039,$0.1001,$0.1004,"$1,373,101","$1,373,101"
"Sep 10, 2022",$0.1019,$0.1045,$0.1007,$0.1033,"$1,280,268","$1,280,268"
"Sep 09, 2022",$0.1012,$0.1073,$0.1011,$0.102,"$991,260","$991,260"
"Sep 08, 2022",$0.1013,$0.1034,$0.0984,$0.1012,"$1,684,375","$1,684,375"
"Sep 07, 2022",$0.09445,$0.1033,$0.09341,$0.1013,"$1,509,356","$1,509,356"
"Sep 06, 2022",$0.09701,$0.1015,$0.09445,$0.09447,"$1,743,515","$1,743,515"
"Sep 05, 2022",$0.09941,$0.1011,$0.0945,$0.09702,"$1,665,741","$1,665,741"
"Sep 04, 2022",$0.09858,$0.1008,$0.09846,$0.09947,"$1,608,852","$1,608,852"
"Sep 03, 2022",$0.09939,$0.101,$0.09814,$0.09858,"$1,621,807","$1,621,807"
"Sep 02, 2022",$0.1006,$0.1027,$0.09806,$0.09939,"$1,463,541","$1,463,541"
"Sep 01, 2022",$0.1007,$0.1043,$0.09832,$0.1007,"$1,226,200","$1,226,200"
"Aug 31, 2022",$0.1029,$0.1064,$0.1005,$0.1007,"$1,043,646","$1,043,646"
"Aug 30, 2022",$0.1076,$0.1108,$0.1015,$0.1029,"$1,149,096","$1,149,096"
"Aug 29, 2022",$0.1034,$0.1076,$0.0998,$0.1076,"$1,355,923","$1,355,923"
"Aug 28, 2022",$0.1008,$0.1086,$0.1003,$0.1034,"$1,753,796","$1,753,796"
"Aug 27, 2022",$0.101,$0.1019,$0.09967,$0.1008,"$930,174","$930,174"
"Aug 26, 2022",$0.1083,$0.1098,$0.101,$0.101,"$900,995","$900,995"
"Aug 25, 2022",$0.1093,$0.1128,$0.1081,$0.1083,"$1,215,661","$1,215,661"
"Aug 24, 2022",$0.1071,$0.113,$0.106,$0.1093,"$1,002,234","$1,002,234"
"Aug 23, 2022",$0.1089,$0.1133,$0.1072,$0.1072,"$1,161,952","$1,161,952"
"Aug 22, 2022",$0.1123,$0.1131,$0.1066,$0.1088,"$1,092,981","$1,092,981"
"Aug 21, 2022",$0.1099,$0.1137,$0.1083,$0.1123,"$1,118,101","$1,118,101"
"Aug 20, 2022",$0.11,$0.1132,$0.1067,$0.1099,"$1,331,628","$1,331,628"
"Aug 19, 2022",$0.1197,$0.1198,$0.1093,$0.11,"$1,399,561","$1,399,561"
"Aug 18, 2022",$0.1205,$0.1218,$0.1192,$0.1197,"$1,062,872","$1,062,872"
"Aug 17, 2022",$0.1259,$0.1292,$0.1174,$0.1206,"$1,331,993","$1,331,993"
"Aug 16, 2022",$0.1294,$0.1413,$0.1232,$0.1259,"$1,654,983","$1,654,983"
"Aug 15, 2022",$0.1316,$0.1391,$0.1285,$0.1293,"$1,184,325","$1,184,325"
"Aug 14, 2022",$0.1491,$0.1523,$0.1311,$0.1317,"$1,432,083","$1,432,083"
"Aug 13, 2022",$0.1268,$0.1519,$0.1267,$0.1491,"$2,058,506","$2,058,506"
"Aug 12, 2022",$0.116,$0.1281,$0.1152,$0.1267,"$1,278,663","$1,278,663"
"Aug 11, 2022",$0.1095,$0.1219,$0.1095,$0.116,"$1,353,673","$1,353,673"
"Aug 10, 2022",$0.1019,$0.1101,$0.09811,$0.1096,"$1,111,924","$1,111,924"
"Aug 09, 2022",$0.1062,$0.1066,$0.101,$0.1019,"$846,941","$846,941"
"Aug 08, 2022",$0.1009,$0.1085,$0.09657,$0.1062,"$796,395","$796,395"
"Aug 07, 2022",$0.09848,$0.102,$0.09685,$0.1009,"$511,841","$511,841"
"Aug 06, 2022",$0.09922,$0.1021,$0.09712,$0.09846,"$600,452","$600,452"
"Aug 05, 2022",$0.09243,$0.0999,$0.09205,$0.09927,"$602,333","$602,333"
"Aug 04, 2022",$0.09184,$0.09316,$0.09058,$0.09243,"$662,659","$662,659"
"Aug 03, 2022",$0.0945,$0.0945,$0.09026,$0.09183,"$933,689","$933,689"
"Aug 02, 2022",$0.09413,$0.09636,$0.09072,$0.09467,"$1,068,847","$1,068,847"
"Aug 01, 2022",$0.09659,$0.09712,$0.0935,$0.09421,"$1,033,423","$1,033,423"
"Jul 31, 2022",$0.09871,$0.1016,$0.09656,$0.09664,"$1,037,857","$1,037,857"
"Jul 30, 2022",$0.09888,$0.105,$0.09768,$0.09871,"$1,073,234","$1,073,234"
"Jul 29, 2022",$0.1031,$0.1038,$0.09886,$0.09886,"$923,422","$923,422"
"Jul 28, 2022",$0.09539,$0.105,$0.09513,$0.1029,"$968,541","$968,541"
"Jul 27, 2022",$0.08768,$0.09729,$0.0856,$0.09542,"$1,099,628","$1,099,628"
"Jul 26, 2022",$0.08964,$0.08968,$0.08433,$0.08768,"$1,268,640","$1,268,640"
