Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$13.49,$14.06,$12.23,$12.23,"$5,889,942","$5,889,942"
"Sep 17, 2022",$13.36,$14.35,$13.25,$13.49,"$6,930,989","$6,930,989"
"Sep 16, 2022",$14.46,$14.50,$12.54,$13.35,"$7,922,445","$7,922,445"
"Sep 15, 2022",$16.13,$16.99,$14.25,$14.46,"$12,808,697","$12,808,697"
"Sep 14, 2022",$16.67,$17.82,$15.29,$16.13,"$9,554,830","$9,554,830"
"Sep 13, 2022",$18.20,$20.11,$16.32,$16.55,"$20,419,460","$20,419,460"
"Sep 12, 2022",$16.91,$19.39,$16.67,$18.20,"$19,845,398","$19,845,398"
"Sep 11, 2022",$15.87,$18.00,$15.67,$16.91,"$15,310,540","$15,310,540"
"Sep 10, 2022",$15.63,$16.33,$15.39,$15.78,"$5,833,043","$5,833,043"
"Sep 09, 2022",$14.66,$16.24,$14.31,$15.64,"$9,182,655","$9,182,655"
"Sep 08, 2022",$14.98,$15.16,$14.14,$14.66,"$5,239,466","$5,239,466"
"Sep 07, 2022",$14.13,$15.07,$13.68,$14.98,"$6,342,372","$6,342,372"
"Sep 06, 2022",$15.37,$16.99,$14.12,$14.14,"$14,707,385","$14,707,385"
"Sep 05, 2022",$14.34,$15.53,$13.80,$15.35,"$6,857,636","$6,857,636"
"Sep 04, 2022",$14.76,$14.99,$13.77,$14.35,"$4,907,373","$4,907,373"
"Sep 03, 2022",$15.26,$15.87,$14.00,$14.76,"$8,855,397","$8,855,397"
"Sep 02, 2022",$12.67,$16.70,$12.53,$15.26,"$19,663,121","$19,663,121"
"Sep 01, 2022",$12.91,$13.03,$12.39,$12.67,"$4,554,868","$4,554,868"
"Aug 31, 2022",$12.82,$14.20,$12.79,$12.91,"$5,587,564","$5,587,564"
"Aug 30, 2022",$14.16,$14.61,$12.66,$12.79,"$5,416,126","$5,416,126"
"Aug 29, 2022",$13.50,$14.52,$13.36,$14.16,"$6,067,798","$6,067,798"
"Aug 28, 2022",$14.40,$14.76,$13.50,$13.50,"$4,789,257","$4,789,257"
"Aug 27, 2022",$14.37,$15.29,$13.70,$14.40,"$6,237,886","$6,237,886"
"Aug 26, 2022",$16.80,$18.45,$13.94,$14.39,"$15,891,720","$15,891,720"
"Aug 25, 2022",$16.34,$17.91,$15.72,$16.80,"$9,613,600","$9,613,600"
"Aug 24, 2022",$18.17,$18.53,$15.58,$16.37,"$13,036,587","$13,036,587"
"Aug 23, 2022",$15.28,$19.03,$14.91,$17.99,"$35,364,833","$35,364,833"
"Aug 22, 2022",$14.92,$16.96,$12.69,$15.21,"$21,109,080","$21,109,080"
"Aug 21, 2022",$9.46,$16.90,$9.41,$14.96,"$38,745,865","$38,745,865"
"Aug 20, 2022",$9.79,$10.13,$9.31,$9.48,"$2,565,591","$2,565,591"
"Aug 19, 2022",$12.07,$12.40,$9.65,$9.75,"$4,643,462","$4,643,462"
"Aug 18, 2022",$10.17,$13.12,$10.12,$12.07,"$3,325,026","$3,325,026"
"Aug 17, 2022",$10.82,$11.14,$10.05,$10.17,"$1,501,984","$1,501,984"
"Aug 16, 2022",$10.49,$11.06,$9.97,$10.82,"$1,513,552","$1,513,552"
"Aug 15, 2022",$10.93,$11.65,$10.15,$10.49,"$2,154,336","$2,154,336"
"Aug 14, 2022",$11.65,$12.52,$10.93,$10.93,"$1,847,835","$1,847,835"
"Aug 13, 2022",$11.49,$13.01,$11.47,$11.65,"$1,864,723","$1,864,723"
"Aug 12, 2022",$10.94,$11.49,$10.60,$11.49,"$1,805,363","$1,805,363"
"Aug 11, 2022",$10.51,$11.64,$10.51,$10.94,"$1,935,266","$1,935,266"
"Aug 10, 2022",$8.75,$10.51,$8.45,$10.51,"$2,514,506","$2,514,506"
"Aug 09, 2022",$9.63,$9.64,$8.46,$8.75,"$2,307,225","$2,307,225"
"Aug 08, 2022",$9.10,$10.37,$9.07,$9.63,"$2,589,935","$2,589,935"
"Aug 07, 2022",$8.64,$9.22,$8.52,$9.10,"$1,768,186","$1,768,186"
"Aug 06, 2022",$9.11,$9.19,$8.62,$8.64,"$1,209,250","$1,209,250"
"Aug 05, 2022",$8.34,$9.12,$8.31,$9.11,"$2,450,112","$2,450,112"
"Aug 04, 2022",$8.61,$9.67,$8.01,$8.34,"$2,140,340","$2,140,340"
"Aug 03, 2022",$8.38,$9.21,$8.13,$8.61,"$2,607,929","$2,607,929"
"Aug 02, 2022",$7.50,$8.70,$7.22,$8.38,"$2,942,611","$2,942,611"
"Aug 01, 2022",$8.23,$8.23,$7.43,$7.50,"$1,639,361","$1,639,361"
"Jul 31, 2022",$8.40,$8.67,$8.21,$8.23,"$1,120,962","$1,120,962"
"Jul 30, 2022",$8.88,$8.97,$8.40,$8.40,"$1,664,155","$1,664,155"
"Jul 29, 2022",$8.88,$9.84,$8.32,$8.88,"$3,044,192","$3,044,192"
"Jul 28, 2022",$7.68,$9.40,$7.66,$8.88,"$3,895,666","$3,895,666"
"Jul 27, 2022",$6.14,$7.75,$6.09,$7.68,"$1,896,219","$1,896,219"
"Jul 26, 2022",$6.37,$6.38,$5.89,$6.14,"$724,953","$724,953"
"Jul 25, 2022",$7.24,$7.25,$6.37,$6.37,"$901,020","$901,020"
"Jul 24, 2022",$7.27,$7.40,$7.10,$7.24,"$1,720,553","$1,720,553"
"Jul 23, 2022",$7.38,$7.83,$7.21,$7.27,"$1,561,951","$1,561,951"
"Jul 22, 2022",$7.50,$8.11,$7.34,$7.38,"$1,864,906","$1,864,906"
"Jul 21, 2022",$7.09,$7.60,$6.96,$7.50,"$1,986,638","$1,986,638"
"Jul 20, 2022",$7.69,$8.36,$7.09,$7.09,"$2,155,525","$2,155,525"
"Jul 19, 2022",$8.18,$8.42,$6.92,$7.69,"$2,835,035","$2,835,035"
"Jul 18, 2022",$7.32,$8.73,$7.32,$8.18,"$2,693,128","$2,693,128"
"Jul 17, 2022",$7.66,$9.75,$7.32,$7.32,"$3,000,404","$3,000,404"
"Jul 16, 2022",$6.84,$7.66,$6.08,$7.66,"$2,628,394","$2,628,394"
"Jul 15, 2022",$5.86,$7.82,$5.82,$6.84,"$3,204,173","$3,204,173"
"Jul 14, 2022",$5.87,$5.90,$5.19,$5.86,"$1,931,757","$1,931,757"
"Jul 13, 2022",$4.60,$5.90,$4.60,$5.87,"$2,304,856","$2,304,856"
"Jul 12, 2022",$4.83,$5.99,$4.60,$4.60,"$1,124,201","$1,124,201"
"Jul 11, 2022",$5.10,$5.11,$4.83,$4.83,"$826,715","$826,715"
"Jul 10, 2022",$5.25,$5.26,$5.06,$5.11,"$789,042","$789,042"
"Jul 09, 2022",$5.26,$5.30,$5.14,$5.25,"$717,784","$717,784"
"Jul 08, 2022",$5.07,$5.42,$5.02,$5.26,"$835,787","$835,787"
"Jul 07, 2022",$4.77,$5.08,$4.74,$5.07,"$901,415","$901,415"
"Jul 06, 2022",$4.50,$4.83,$4.46,$4.77,"$660,173","$660,173"
"Jul 05, 2022",$4.22,$4.57,$4.21,$4.50,"$806,318","$806,318"
"Jul 04, 2022",$4.11,$4.24,$3.93,$4.22,"$436,930","$436,930"
