Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.01172,$0.01179,$0.01143,$0.01144,"$18,517","$18,517"
"Sep 24, 2022",$0.01163,$0.01179,$0.0116,$0.01172,"$20,374","$20,374"
"Sep 23, 2022",$0.01147,$0.01169,$0.01138,$0.01163,"$16,985","$16,985"
"Sep 22, 2022",$0.01137,$0.01154,$0.01128,$0.01147,"$19,247","$19,247"
"Sep 21, 2022",$0.01154,$0.0117,$0.01128,$0.01137,"$26,688","$26,688"
"Sep 20, 2022",$0.01185,$0.01187,$0.01154,$0.01154,"$13,591","$13,591"
"Sep 19, 2022",$0.01187,$0.0119,$0.01147,$0.01186,"$25,357","$25,357"
"Sep 18, 2022",$0.01247,$0.01251,$0.01183,$0.01186,"$21,656","$21,656"
"Sep 17, 2022",$0.0125,$0.01259,$0.01233,$0.01247,"$16,664","$16,664"
"Sep 16, 2022",$0.01259,$0.0127,$0.01241,$0.0125,"$7,596","$7,596"
"Sep 15, 2022",$0.01279,$0.01295,$0.01246,$0.01257,"$16,076","$16,076"
"Sep 14, 2022",$0.01245,$0.01282,$0.01239,$0.0128,"$55,260","$55,260"
"Sep 13, 2022",$0.01371,$0.01383,$0.01245,$0.01247,"$54,205","$54,205"
"Sep 12, 2022",$0.01258,$0.01391,$0.01251,$0.01371,"$66,380","$66,380"
"Sep 11, 2022",$0.01274,$0.01274,$0.01251,$0.01258,"$4,523","$4,523"
"Sep 10, 2022",$0.01268,$0.01275,$0.01249,$0.01274,"$8,260","$8,260"
"Sep 09, 2022",$0.01242,$0.01276,$0.01242,$0.01268,"$9,825","$9,825"
"Sep 08, 2022",$0.0124,$0.01249,$0.01239,$0.01242,"$8,731","$8,731"
"Sep 07, 2022",$0.01195,$0.0124,$0.01185,$0.0124,"$17,158","$17,158"
"Sep 06, 2022",$0.01311,$0.01333,$0.01192,$0.01195,"$52,904","$52,904"
"Sep 05, 2022",$0.01306,$0.01312,$0.01291,$0.01311,"$5,861","$5,861"
"Sep 04, 2022",$0.01307,$0.01324,$0.013,$0.01306,"$14,756","$14,756"
"Sep 03, 2022",$0.01315,$0.01318,$0.01306,$0.01307,"$3,269","$3,269"
"Sep 02, 2022",$0.01318,$0.01349,$0.01305,$0.01315,"$33,803","$33,803"
"Sep 01, 2022",$0.01357,$0.01359,$0.013,$0.01318,"$29,310","$29,310"
"Aug 31, 2022",$0.01393,$0.01419,$0.01353,$0.01357,"$21,194","$21,194"
"Aug 30, 2022",$0.01419,$0.01463,$0.01393,$0.01393,"$41,078","$41,078"
"Aug 29, 2022",$0.01498,$0.01502,$0.01317,$0.0142,"$103,586","$103,586"
"Aug 28, 2022",$0.01522,$0.01528,$0.01499,$0.01499,"$11,369","$11,369"
"Aug 27, 2022",$0.01508,$0.01533,$0.01507,$0.01522,"$12,387","$12,387"
"Aug 26, 2022",$0.01584,$0.01593,$0.01506,$0.01508,"$23,998","$23,998"
"Aug 25, 2022",$0.0159,$0.01641,$0.01582,$0.01585,"$26,073","$26,073"
"Aug 24, 2022",$0.01627,$0.01629,$0.01581,$0.0159,"$17,434","$17,434"
"Aug 23, 2022",$0.01621,$0.01644,$0.01603,$0.01626,"$19,056","$19,056"
"Aug 22, 2022",$0.01641,$0.01642,$0.01582,$0.01622,"$36,885","$36,885"
"Aug 21, 2022",$0.0159,$0.01644,$0.0159,$0.01641,"$28,484","$28,484"
"Aug 20, 2022",$0.01633,$0.0166,$0.0159,$0.0159,"$30,844","$30,844"
"Aug 19, 2022",$0.01777,$0.01777,$0.01632,$0.01633,"$46,734","$46,734"
"Aug 18, 2022",$0.01919,$0.01924,$0.01756,$0.01778,"$130,217","$130,217"
"Aug 17, 2022",$0.01983,$0.02063,$0.01917,$0.01919,"$79,266","$79,266"
"Aug 16, 2022",$0.01979,$0.02025,$0.01933,$0.01983,"$89,926","$89,926"
"Aug 15, 2022",$0.02035,$0.02073,$0.01956,$0.01979,"$39,183","$39,183"
"Aug 14, 2022",$0.02132,$0.02148,$0.01989,$0.02036,"$95,507","$95,507"
"Aug 13, 2022",$0.02121,$0.02213,$0.02111,$0.02132,"$73,791","$73,791"
"Aug 12, 2022",$0.01918,$0.02128,$0.01911,$0.0212,"$150,173","$150,173"
"Aug 11, 2022",$0.01825,$0.01921,$0.01823,$0.01918,"$96,716","$96,716"
"Aug 10, 2022",$0.01743,$0.0189,$0.01703,$0.01825,"$74,570","$74,570"
"Aug 09, 2022",$0.01675,$0.01751,$0.01649,$0.01743,"$56,830","$56,830"
"Aug 08, 2022",$0.01655,$0.01717,$0.01648,$0.01675,"$35,100","$35,100"
"Aug 07, 2022",$0.01653,$0.01662,$0.01637,$0.01655,"$7,962","$7,962"
"Aug 06, 2022",$0.01674,$0.01692,$0.01652,$0.01653,"$18,518","$18,518"
"Aug 05, 2022",$0.01645,$0.01702,$0.01629,$0.01674,"$36,332","$36,332"
"Aug 04, 2022",$0.01635,$0.01667,$0.01633,$0.01645,"$15,952","$15,952"
"Aug 03, 2022",$0.0162,$0.01662,$0.01601,$0.01635,"$34,938","$34,938"
"Aug 02, 2022",$0.01617,$0.0163,$0.01585,$0.0162,"$28,657","$28,657"
"Aug 01, 2022",$0.01759,$0.01783,$0.01614,$0.01617,"$83,604","$83,604"
"Jul 31, 2022",$0.01767,$0.01809,$0.01749,$0.01759,"$22,538","$22,538"
"Jul 30, 2022",$0.01787,$0.01822,$0.01761,$0.01767,"$28,914","$28,914"
"Jul 29, 2022",$0.01853,$0.01861,$0.01762,$0.01787,"$65,896","$65,896"
"Jul 28, 2022",$0.01808,$0.01861,$0.01783,$0.01853,"$52,643","$52,643"
"Jul 27, 2022",$0.01701,$0.01808,$0.01698,$0.01808,"$38,698","$38,698"
"Jul 26, 2022",$0.01714,$0.01723,$0.01687,$0.01701,"$28,855","$28,855"
"Jul 25, 2022",$0.0179,$0.01815,$0.01714,$0.01714,"$40,569","$40,569"
"Jul 24, 2022",$0.01811,$0.01851,$0.01785,$0.0179,"$28,519","$28,519"
"Jul 23, 2022",$0.01823,$0.01855,$0.01782,$0.01811,"$27,224","$27,224"
"Jul 22, 2022",$0.01845,$0.01856,$0.01816,$0.01823,"$20,262","$20,262"
"Jul 21, 2022",$0.01806,$0.01843,$0.01777,$0.01843,"$58,218","$58,218"
"Jul 20, 2022",$0.01823,$0.01919,$0.01792,$0.01806,"$149,240","$149,240"
"Jul 19, 2022",$0.01881,$0.01904,$0.01799,$0.01823,"$98,731","$98,731"
"Jul 18, 2022",$0.01753,$0.01883,$0.01753,$0.01881,"$170,071","$170,071"
"Jul 17, 2022",$0.01832,$0.01852,$0.01709,$0.01753,"$109,683","$109,683"
"Jul 16, 2022",$0.01778,$0.01842,$0.01761,$0.01832,"$42,527","$42,527"
"Jul 15, 2022",$0.01824,$0.01843,$0.01754,$0.01778,"$36,825","$36,825"
"Jul 14, 2022",$0.01774,$0.01856,$0.01771,$0.01824,"$67,883","$67,883"
