Day,Open,High,Low,Close,Volume,Market Cap
"Sep 10, 2022",$0.3816,$0.3945,$0.3749,$0.3841,"$13,110,218","$13,110,218"
"Sep 09, 2022",$0.3614,$0.3873,$0.3608,$0.3815,"$15,900,098","$15,900,098"
"Sep 08, 2022",$0.3508,$0.3985,$0.3476,$0.3614,"$30,691,813","$30,691,813"
"Sep 07, 2022",$0.3418,$0.3532,$0.3335,$0.3508,"$9,141,823","$9,141,823"
"Sep 06, 2022",$0.3684,$0.3722,$0.3403,$0.3418,"$13,848,100","$13,848,100"
"Sep 05, 2022",$0.3676,$0.3719,$0.3576,$0.3683,"$10,135,182","$10,135,182"
"Sep 04, 2022",$0.3614,$0.3676,$0.3578,$0.3675,"$6,517,193","$6,517,193"
"Sep 03, 2022",$0.3626,$0.3634,$0.3578,$0.3613,"$6,117,599","$6,117,599"
"Sep 02, 2022",$0.3628,$0.3679,$0.3581,$0.3627,"$10,322,686","$10,322,686"
"Sep 01, 2022",$0.3641,$0.3667,$0.3527,$0.3629,"$14,033,365","$14,033,365"
"Aug 31, 2022",$0.3612,$0.3713,$0.3612,$0.3638,"$11,228,772","$11,228,772"
"Aug 30, 2022",$0.3696,$0.3759,$0.3544,$0.3611,"$13,282,614","$13,282,614"
"Aug 29, 2022",$0.3548,$0.3697,$0.3539,$0.3696,"$25,481,207","$25,481,207"
"Aug 28, 2022",$0.3631,$0.369,$0.355,$0.355,"$6,926,581","$6,926,581"
"Aug 27, 2022",$0.3638,$0.3699,$0.3583,$0.3631,"$9,349,506","$9,349,506"
"Aug 26, 2022",$0.3999,$0.4034,$0.3624,$0.3638,"$20,054,781","$20,054,781"
"Aug 25, 2022",$0.3878,$0.4192,$0.3874,$0.3999,"$17,121,099","$17,121,099"
"Aug 24, 2022",$0.3893,$0.3984,$0.3794,$0.3878,"$10,735,540","$10,735,540"
"Aug 23, 2022",$0.3865,$0.3907,$0.3739,$0.3893,"$10,623,073","$10,623,073"
"Aug 22, 2022",$0.3962,$0.3962,$0.37,$0.385,"$14,225,144","$14,225,144"
"Aug 21, 2022",$0.3898,$0.402,$0.3874,$0.3963,"$11,084,500","$11,084,500"
"Aug 20, 2022",$0.3928,$0.4004,$0.3828,$0.3897,"$9,614,929","$9,614,929"
"Aug 19, 2022",$0.4472,$0.4473,$0.3924,$0.3929,"$18,652,080","$18,652,080"
"Aug 18, 2022",$0.4577,$0.4676,$0.4473,$0.4476,"$13,564,083","$13,564,083"
"Aug 17, 2022",$0.4763,$0.491,$0.4561,$0.4577,"$14,654,222","$14,654,222"
"Aug 16, 2022",$0.4864,$0.488,$0.4719,$0.4762,"$11,601,627","$11,601,627"
"Aug 15, 2022",$0.4926,$0.5073,$0.4815,$0.4867,"$19,190,593","$19,190,593"
"Aug 14, 2022",$0.5085,$0.515,$0.4903,$0.4923,"$15,519,817","$15,519,817"
