Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.3415,$0.3445,$0.3348,$0.3372,"$526,937","$526,937"
"Sep 24, 2022",$0.3381,$0.3453,$0.3374,$0.3415,"$457,647","$457,647"
"Sep 23, 2022",$0.3413,$0.3468,$0.3328,$0.3381,"$523,944","$523,944"
"Sep 22, 2022",$0.334,$0.3423,$0.3316,$0.3412,"$574,177","$574,177"
"Sep 21, 2022",$0.3334,$0.3424,$0.3308,$0.334,"$371,372","$371,372"
"Sep 20, 2022",$0.3413,$0.3424,$0.3329,$0.3333,"$499,224","$499,224"
"Sep 19, 2022",$0.338,$0.3435,$0.3257,$0.3413,"$738,207","$738,207"
"Sep 18, 2022",$0.3552,$0.357,$0.3379,$0.338,"$289,466","$289,466"
"Sep 17, 2022",$0.3525,$0.3555,$0.3487,$0.3552,"$517,098","$517,098"
"Sep 16, 2022",$0.3522,$0.3567,$0.3489,$0.3525,"$577,913","$577,913"
"Sep 15, 2022",$0.3665,$0.3668,$0.3502,$0.3522,"$595,918","$595,918"
"Sep 14, 2022",$0.3658,$0.3726,$0.3615,$0.3665,"$354,467","$354,467"
"Sep 13, 2022",$0.3925,$0.3935,$0.3637,$0.3661,"$555,311","$555,311"
"Sep 12, 2022",$0.405,$0.4081,$0.3887,$0.3925,"$797,201","$797,201"
"Sep 11, 2022",$0.4118,$0.414,$0.404,$0.405,"$551,551","$551,551"
"Sep 10, 2022",$0.4042,$0.4117,$0.4019,$0.4117,"$685,529","$685,529"
"Sep 09, 2022",$0.4029,$0.4113,$0.3989,$0.4042,"$767,450","$767,450"
"Sep 08, 2022",$0.386,$0.4034,$0.3848,$0.4029,"$538,720","$538,720"
"Sep 07, 2022",$0.379,$0.3882,$0.3699,$0.386,"$457,380","$457,380"
"Sep 06, 2022",$0.378,$0.3947,$0.378,$0.379,"$455,972","$455,972"
"Sep 05, 2022",$0.3776,$0.3793,$0.3736,$0.378,"$332,679","$332,679"
"Sep 04, 2022",$0.3703,$0.3781,$0.3703,$0.3776,"$301,998","$301,998"
"Sep 03, 2022",$0.3639,$0.3731,$0.3589,$0.3703,"$678,969","$678,969"
"Sep 02, 2022",$0.3758,$0.3793,$0.3621,$0.3639,"$692,540","$692,540"
"Sep 01, 2022",$0.3863,$0.3871,$0.3663,$0.3757,"$695,363","$695,363"
"Aug 31, 2022",$0.3905,$0.3971,$0.3844,$0.3863,"$650,540","$650,540"
"Aug 30, 2022",$0.3916,$0.4006,$0.3847,$0.3905,"$407,274","$407,274"
"Aug 29, 2022",$0.378,$0.3937,$0.376,$0.3916,"$642,727","$642,727"
"Aug 28, 2022",$0.3908,$0.395,$0.3781,$0.3781,"$727,041","$727,041"
"Aug 27, 2022",$0.3968,$0.4071,$0.3864,$0.3907,"$961,227","$961,227"
"Aug 26, 2022",$0.4406,$0.443,$0.3943,$0.396,"$955,601","$955,601"
"Aug 25, 2022",$0.4384,$0.4478,$0.4342,$0.4407,"$677,715","$677,715"
"Aug 24, 2022",$0.4357,$0.4392,$0.4275,$0.4384,"$677,686","$677,686"
"Aug 23, 2022",$0.4413,$0.4431,$0.4317,$0.4358,"$977,751","$977,751"
"Aug 22, 2022",$0.4392,$0.4537,$0.4252,$0.4418,"$1,283,724","$1,283,724"
"Aug 21, 2022",$0.4386,$0.442,$0.4328,$0.4392,"$568,197","$568,197"
"Aug 20, 2022",$0.455,$0.455,$0.4349,$0.4386,"$1,041,940","$1,041,940"
"Aug 19, 2022",$0.4741,$0.4741,$0.4318,$0.455,"$1,134,726","$1,134,726"
"Aug 18, 2022",$0.4921,$0.4943,$0.471,$0.4741,"$1,093,387","$1,093,387"
"Aug 17, 2022",$0.5126,$0.5236,$0.4892,$0.4921,"$963,261","$963,261"
"Aug 16, 2022",$0.503,$0.5159,$0.501,$0.5126,"$1,421,123","$1,421,123"
"Aug 15, 2022",$0.5593,$0.5712,$0.5005,$0.503,"$1,676,956","$1,676,956"
"Aug 14, 2022",$0.5759,$0.5914,$0.5523,$0.5593,"$1,829,695","$1,829,695"
"Aug 13, 2022",$0.5859,$0.5965,$0.5695,$0.5759,"$1,292,608","$1,292,608"
"Aug 12, 2022",$0.5691,$0.5903,$0.558,$0.5859,"$876,312","$876,312"
"Aug 11, 2022",$0.5934,$0.6079,$0.5659,$0.5687,"$1,016,162","$1,016,162"
"Aug 10, 2022",$0.5678,$0.6023,$0.5596,$0.5934,"$765,772","$765,772"
"Aug 09, 2022",$0.5882,$0.5921,$0.5628,$0.5678,"$779,245","$779,245"
"Aug 08, 2022",$0.5934,$0.6032,$0.5843,$0.5882,"$713,818","$713,818"
"Aug 07, 2022",$0.5861,$0.5989,$0.5802,$0.5934,"$643,057","$643,057"
"Aug 06, 2022",$0.5908,$0.6007,$0.5844,$0.5861,"$889,584","$889,584"
"Aug 05, 2022",$0.541,$0.5911,$0.5374,$0.5908,"$948,190","$948,190"
"Aug 04, 2022",$0.5358,$0.5486,$0.5318,$0.5412,"$1,047,919","$1,047,919"
"Aug 03, 2022",$0.5612,$0.5663,$0.5285,$0.5358,"$1,555,508","$1,555,508"
"Aug 02, 2022",$0.6066,$0.6079,$0.5613,$0.5613,"$1,623,815","$1,623,815"
"Aug 01, 2022",$0.5553,$0.6085,$0.551,$0.6066,"$2,523,210","$2,523,210"
"Jul 31, 2022",$0.5452,$0.5652,$0.5428,$0.5553,"$1,955,283","$1,955,283"
"Jul 30, 2022",$0.5375,$0.5598,$0.5345,$0.5452,"$1,134,188","$1,134,188"
"Jul 29, 2022",$0.5557,$0.5671,$0.532,$0.5376,"$1,738,580","$1,738,580"
"Jul 28, 2022",$0.5196,$0.5702,$0.4959,$0.5557,"$2,339,994","$2,339,994"
"Jul 27, 2022",$0.4643,$0.521,$0.4516,$0.5196,"$1,945,109","$1,945,109"
"Jul 26, 2022",$0.5023,$0.5023,$0.4371,$0.4633,"$1,695,049","$1,695,049"
"Jul 25, 2022",$0.5663,$0.5689,$0.4919,$0.5024,"$1,504,768","$1,504,768"
"Jul 24, 2022",$0.5577,$0.5864,$0.554,$0.5663,"$2,017,751","$2,017,751"
"Jul 23, 2022",$0.5518,$0.5722,$0.5317,$0.5577,"$2,501,207","$2,501,207"
"Jul 22, 2022",$0.5699,$0.6368,$0.5469,$0.5518,"$2,611,150","$2,611,150"
"Jul 21, 2022",$0.5912,$0.6129,$0.5418,$0.5697,"$2,900,744","$2,900,744"
"Jul 20, 2022",$0.588,$0.6156,$0.5733,$0.5912,"$1,740,922","$1,740,922"
"Jul 19, 2022",$0.555,$0.5936,$0.5497,$0.588,"$1,740,514","$1,740,514"
"Jul 18, 2022",$0.5025,$0.5639,$0.5002,$0.555,"$1,896,666","$1,896,666"
"Jul 17, 2022",$0.5277,$0.5312,$0.5011,$0.5025,"$1,075,218","$1,075,218"
"Jul 16, 2022",$0.483,$0.5287,$0.4693,$0.5276,"$1,643,093","$1,643,093"
"Jul 15, 2022",$0.4727,$0.4876,$0.4617,$0.4832,"$1,581,558","$1,581,558"
"Jul 14, 2022",$0.4497,$0.4779,$0.4359,$0.4726,"$1,028,414","$1,028,414"
"Jul 13, 2022",$0.4173,$0.4497,$0.4045,$0.4497,"$1,044,976","$1,044,976"
"Jul 12, 2022",$0.4061,$0.4272,$0.3954,$0.4171,"$1,062,615","$1,062,615"
"Jul 11, 2022",$0.4255,$0.4305,$0.4026,$0.4061,"$736,474","$736,474"
"Jul 10, 2022",$0.4214,$0.4387,$0.4186,$0.4255,"$1,168,169","$1,168,169"
"Jul 09, 2022",$0.4032,$0.4222,$0.4005,$0.4214,"$823,041","$823,041"
"Jul 08, 2022",$0.4067,$0.4122,$0.3982,$0.4032,"$902,370","$902,370"
"Jul 07, 2022",$0.3963,$0.4118,$0.3948,$0.4067,"$990,176","$990,176"
"Jul 06, 2022",$0.3879,$0.3963,$0.3828,$0.3963,"$898,415","$898,415"
"Jul 05, 2022",$0.3844,$0.3929,$0.3705,$0.388,"$897,721","$897,721"
"Jul 04, 2022",$0.3736,$0.3849,$0.3681,$0.3844,"$755,980","$755,980"
"Jul 03, 2022",$0.3636,$0.3739,$0.3609,$0.3736,"$595,590","$595,590"
"Jul 02, 2022",$0.361,$0.3636,$0.3564,$0.3636,"$597,318","$597,318"
"Jul 01, 2022",$0.3545,$0.362,$0.3518,$0.361,"$659,201","$659,201"
"Jun 30, 2022",$0.3565,$0.3576,$0.3424,$0.3545,"$620,727","$620,727"
"Jun 29, 2022",$0.375,$0.3762,$0.3544,$0.3565,"$906,016","$906,016"
"Jun 28, 2022",$0.381,$0.3903,$0.3748,$0.3748,"$645,392","$645,392"
"Jun 27, 2022",$0.4056,$0.4082,$0.379,$0.381,"$867,623","$867,623"
"Jun 26, 2022",$0.4105,$0.4209,$0.4056,$0.4056,"$539,525","$539,525"
"Jun 25, 2022",$0.4119,$0.419,$0.4048,$0.4104,"$819,415","$819,415"
"Jun 24, 2022",$0.3916,$0.413,$0.3877,$0.412,"$820,625","$820,625"
"Jun 23, 2022",$0.376,$0.3918,$0.376,$0.3916,"$501,099","$501,099"
"Jun 22, 2022",$0.3911,$0.3911,$0.3727,$0.3759,"$778,111","$778,111"
"Jun 21, 2022",$0.3806,$0.3981,$0.3804,$0.391,"$670,076","$670,076"
