Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$0.004588,$0.00474,$0.004575,$0.004685,"$1,339,439","$1,339,439"
"Sep 21, 2022",$0.004571,$0.004792,$0.004544,$0.004589,"$1,831,500","$1,831,500"
"Sep 20, 2022",$0.004709,$0.00473,$0.004561,$0.004571,"$1,187,841","$1,187,841"
"Sep 19, 2022",$0.004712,$0.004727,$0.004554,$0.004708,"$1,627,535","$1,627,535"
"Sep 18, 2022",$0.005047,$0.005063,$0.00469,$0.004718,"$1,518,728","$1,518,728"
"Sep 17, 2022",$0.004947,$0.005059,$0.004946,$0.005045,"$1,318,447","$1,318,447"
"Sep 16, 2022",$0.004964,$0.005003,$0.004865,$0.004947,"$1,761,917","$1,761,917"
"Sep 15, 2022",$0.005289,$0.005312,$0.004964,$0.004964,"$2,095,931","$2,095,931"
"Sep 14, 2022",$0.005302,$0.005389,$0.005206,$0.005289,"$1,889,778","$1,889,778"
"Sep 13, 2022",$0.005632,$0.005672,$0.005273,$0.005312,"$1,989,023","$1,989,023"
"Sep 12, 2022",$0.005663,$0.005724,$0.005606,$0.005633,"$1,937,283","$1,937,283"
"Sep 11, 2022",$0.005754,$0.00577,$0.005614,$0.005664,"$1,680,173","$1,680,173"
"Sep 10, 2022",$0.005672,$0.005775,$0.005657,$0.005753,"$1,595,570","$1,595,570"
"Sep 09, 2022",$0.005519,$0.005723,$0.005464,$0.005672,"$1,883,003","$1,883,003"
"Sep 08, 2022",$0.005559,$0.005625,$0.005419,$0.005513,"$1,503,708","$1,503,708"
"Sep 07, 2022",$0.005545,$0.005634,$0.005389,$0.005559,"$1,854,813","$1,854,813"
"Sep 06, 2022",$0.005773,$0.005862,$0.005411,$0.005545,"$1,655,864","$1,655,864"
"Sep 05, 2022",$0.005809,$0.005856,$0.005674,$0.005772,"$1,541,758","$1,541,758"
"Sep 04, 2022",$0.00581,$0.005824,$0.005742,$0.005809,"$1,385,721","$1,385,721"
"Sep 03, 2022",$0.005664,$0.00582,$0.005637,$0.005811,"$1,835,764","$1,835,764"
"Sep 02, 2022",$0.005851,$0.005903,$0.005613,$0.005663,"$2,499,686","$2,499,686"
"Sep 01, 2022",$0.005827,$0.005894,$0.005716,$0.005851,"$1,109,878","$1,109,878"
"Aug 31, 2022",$0.005797,$0.006012,$0.005792,$0.005827,"$1,214,399","$1,214,399"
"Aug 30, 2022",$0.005864,$0.006037,$0.005653,$0.005798,"$1,803,528","$1,803,528"
"Aug 29, 2022",$0.005721,$0.005911,$0.005605,$0.005866,"$1,425,333","$1,425,333"
"Aug 28, 2022",$0.005812,$0.005907,$0.005721,$0.005721,"$949,463","$949,463"
"Aug 27, 2022",$0.005834,$0.006084,$0.005712,$0.005813,"$1,511,202","$1,511,202"
"Aug 26, 2022",$0.006443,$0.006449,$0.005833,$0.005839,"$2,183,840","$2,183,840"
"Aug 25, 2022",$0.006469,$0.00658,$0.006388,$0.006444,"$1,607,306","$1,607,306"
"Aug 24, 2022",$0.006483,$0.006539,$0.006388,$0.006469,"$1,879,089","$1,879,089"
"Aug 23, 2022",$0.006473,$0.006506,$0.006241,$0.006482,"$1,991,535","$1,991,535"
"Aug 22, 2022",$0.006756,$0.006756,$0.006333,$0.006474,"$1,942,577","$1,942,577"
"Aug 21, 2022",$0.006309,$0.006866,$0.006291,$0.006758,"$2,497,184","$2,497,184"
"Aug 20, 2022",$0.006435,$0.006682,$0.006194,$0.006308,"$1,548,388","$1,548,388"
"Aug 19, 2022",$0.007194,$0.007202,$0.006415,$0.006436,"$2,181,709","$2,181,709"
"Aug 18, 2022",$0.007266,$0.007385,$0.007193,$0.007194,"$1,668,853","$1,668,853"
"Aug 17, 2022",$0.007614,$0.007794,$0.007265,$0.007268,"$1,720,091","$1,720,091"
"Aug 16, 2022",$0.00764,$0.007717,$0.007536,$0.007613,"$1,404,183","$1,404,183"
"Aug 15, 2022",$0.007843,$0.00803,$0.007563,$0.007641,"$2,525,657","$2,525,657"
"Aug 14, 2022",$0.007841,$0.008097,$0.007728,$0.007842,"$3,084,198","$3,084,198"
"Aug 13, 2022",$0.007845,$0.007938,$0.007722,$0.007841,"$2,672,212","$2,672,212"
"Aug 12, 2022",$0.007805,$0.007894,$0.007662,$0.007846,"$1,704,241","$1,704,241"
