Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$0.992,$0.9941,$0.99,$0.9923,"$10,545,803","$10,545,803"
"Sep 17, 2022",$0.9897,$0.9937,$0.9894,$0.992,"$12,121,613","$12,121,613"
"Sep 16, 2022",$0.9895,$0.9939,$0.9813,$0.9897,"$20,352,135","$20,352,135"
"Sep 15, 2022",$0.986,$0.9928,$0.9824,$0.9895,"$22,248,150","$22,248,150"
"Sep 14, 2022",$0.9887,$0.9928,$0.9846,$0.986,"$22,698,820","$22,698,820"
"Sep 13, 2022",$1.00,$1.01,$0.9833,$0.9894,"$24,648,466","$24,648,466"
"Sep 12, 2022",$1.00,$1.01,$1.00,$1.00,"$21,103,916","$21,103,916"
"Sep 11, 2022",$1.00,$1.00,$0.9994,$1.00,"$13,809,377","$13,809,377"
"Sep 10, 2022",$1.00,$1.00,$0.9993,$1.00,"$18,830,131","$18,830,131"
"Sep 09, 2022",$0.9975,$1.01,$0.9961,$1.00,"$23,360,205","$23,360,205"
"Sep 08, 2022",$0.9963,$0.9988,$0.9889,$0.9975,"$20,585,100","$20,585,100"
"Sep 07, 2022",$0.9864,$0.9982,$0.9851,$0.9963,"$18,417,870","$18,417,870"
"Sep 06, 2022",$0.9924,$0.9953,$0.9851,$0.9864,"$19,277,487","$19,277,487"
"Sep 05, 2022",$0.9898,$0.9924,$0.9871,$0.9924,"$12,738,641","$12,738,641"
"Sep 04, 2022",$0.9928,$0.9942,$0.9897,$0.9898,"$6,487,279","$6,487,279"
"Sep 03, 2022",$0.993,$0.9938,$0.9914,$0.9928,"$8,556,502","$8,556,502"
"Sep 02, 2022",$0.9927,$1.00,$0.9913,$0.993,"$13,601,096","$13,601,096"
"Sep 01, 2022",$1.00,$1.00,$0.9897,$0.9927,"$16,439,042","$16,439,042"
"Aug 31, 2022",$0.9982,$1.00,$0.9948,$1.00,"$17,195,727","$17,195,727"
"Aug 30, 2022",$0.9972,$1.00,$0.9946,$0.9982,"$18,661,041","$18,661,041"
"Aug 29, 2022",$0.9916,$0.9998,$0.9891,$0.9972,"$16,469,925","$16,469,925"
"Aug 28, 2022",$0.9928,$0.9939,$0.9913,$0.9916,"$7,907,955","$7,907,955"
"Aug 27, 2022",$0.9917,$0.9937,$0.991,$0.9928,"$14,752,722","$14,752,722"
"Aug 26, 2022",$0.994,$1.00,$0.9915,$0.9917,"$22,376,318","$22,376,318"
"Aug 25, 2022",$0.9945,$0.9971,$0.9921,$0.994,"$18,829,313","$18,829,313"
"Aug 24, 2022",$0.9943,$0.9954,$0.9907,$0.9944,"$19,372,156","$19,372,156"
"Aug 23, 2022",$0.9915,$0.9983,$0.9901,$0.9943,"$19,021,498","$19,021,498"
"Aug 22, 2022",$0.9999,$1.00,$0.9908,$0.9915,"$19,591,232","$19,591,232"
"Aug 21, 2022",$1.00,$1.00,$0.9986,$0.9999,"$12,876,615","$12,876,615"
"Aug 20, 2022",$0.9999,$1.00,$0.9996,$1.00,"$16,283,909","$16,283,909"
"Aug 19, 2022",$1.00,$1.01,$0.9984,$0.9999,"$22,385,751","$22,385,751"
"Aug 18, 2022",$1.01,$1.02,$1.00,$1.00,"$19,865,600","$19,865,600"
"Aug 17, 2022",$1.01,$1.02,$1.01,$1.01,"$21,998,196","$21,998,196"
"Aug 16, 2022",$1.01,$1.02,$1.01,$1.01,"$20,783,854","$20,783,854"
"Aug 15, 2022",$1.02,$1.02,$1.01,$1.01,"$20,575,211","$20,575,211"
"Aug 14, 2022",$1.02,$1.02,$1.02,$1.02,"$12,624,581","$12,624,581"
"Aug 13, 2022",$1.02,$1.02,$1.02,$1.02,"$14,404,812","$14,404,812"
"Aug 12, 2022",$1.03,$1.03,$1.02,$1.02,"$22,709,928","$22,709,928"
"Aug 11, 2022",$1.03,$1.03,$1.02,$1.03,"$27,816,082","$27,816,082"
"Aug 10, 2022",$1.02,$1.03,$1.02,$1.03,"$21,643,158","$21,643,158"
"Aug 09, 2022",$1.02,$1.02,$1.02,$1.02,"$19,050,659","$19,050,659"
"Aug 08, 2022",$1.02,$1.02,$1.01,$1.02,"$20,198,335","$20,198,335"
"Aug 07, 2022",$1.02,$1.02,$1.02,$1.02,"$7,955,776","$7,955,776"
"Aug 06, 2022",$1.02,$1.02,$1.02,$1.02,"$12,518,253","$12,518,253"
"Aug 05, 2022",$1.02,$1.02,$1.01,$1.02,"$21,796,359","$21,796,359"
"Aug 04, 2022",$1.01,$1.02,$1.01,$1.02,"$21,582,966","$21,582,966"
"Aug 03, 2022",$1.01,$1.02,$1.01,$1.01,"$24,732,490","$24,732,490"
"Aug 02, 2022",$1.02,$1.03,$1.01,$1.01,"$24,629,757","$24,629,757"
"Aug 01, 2022",$1.02,$1.03,$1.02,$1.02,"$18,639,911","$18,639,911"
"Jul 31, 2022",$1.02,$1.02,$1.02,$1.02,"$10,429,502","$10,429,502"
"Jul 30, 2022",$1.02,$1.02,$1.02,$1.02,"$17,483,378","$17,483,378"
"Jul 29, 2022",$1.02,$1.02,$1.01,$1.02,"$29,241,952","$29,241,952"
"Jul 28, 2022",$1.02,$1.02,$1.01,$1.02,"$29,601,433","$29,601,433"
"Jul 27, 2022",$1.01,$1.02,$1.01,$1.02,"$24,358,738","$24,358,738"
"Jul 26, 2022",$1.02,$1.02,$1.01,$1.01,"$19,939,787","$19,939,787"
"Jul 25, 2022",$1.02,$1.02,$1.02,$1.02,"$19,393,684","$19,393,684"
"Jul 24, 2022",$1.02,$1.02,$1.02,$1.02,"$11,791,698","$11,791,698"
"Jul 23, 2022",$1.02,$1.02,$1.02,$1.02,"$14,522,115","$14,522,115"
"Jul 22, 2022",$1.02,$1.02,$1.01,$1.02,"$24,453,762","$24,453,762"
"Jul 21, 2022",$1.01,$1.02,$1.01,$1.02,"$28,279,333","$28,279,333"
"Jul 20, 2022",$1.02,$1.02,$1.01,$1.01,"$30,501,960","$30,501,960"
"Jul 19, 2022",$1.01,$1.02,$1.01,$1.02,"$29,357,724","$29,357,724"
"Jul 18, 2022",$1.01,$1.02,$1.00,$1.01,"$22,224,354","$22,224,354"
"Jul 17, 2022",$1.00,$1.01,$1.00,$1.01,"$11,517,099","$11,517,099"
"Jul 16, 2022",$1.00,$1.01,$1.00,$1.00,"$14,125,306","$14,125,306"
"Jul 15, 2022",$1.01,$1.01,$1.00,$1.00,"$18,589,429","$18,589,429"
"Jul 14, 2022",$1.00,$1.01,$0.9962,$1.01,"$23,987,105","$23,987,105"
"Jul 13, 2022",$0.997,$1.01,$0.9923,$1.00,"$22,267,119","$22,267,119"
"Jul 12, 2022",$0.9993,$1.00,$0.9943,$0.997,"$21,499,332","$21,499,332"
"Jul 11, 2022",$1.01,$1.01,$0.9975,$0.9993,"$21,697,879","$21,697,879"
"Jul 10, 2022",$1.01,$1.02,$1.01,$1.01,"$15,769,964","$15,769,964"
"Jul 09, 2022",$1.01,$1.02,$1.01,$1.01,"$15,536,976","$15,536,976"
"Jul 08, 2022",$1.01,$1.02,$1.01,$1.01,"$22,941,800","$22,941,800"
"Jul 07, 2022",$1.01,$1.02,$1.01,$1.01,"$23,658,137","$23,658,137"
"Jul 06, 2022",$1.02,$1.02,$1.01,$1.01,"$33,810,655","$33,810,655"
"Jul 05, 2022",$1.04,$1.04,$1.02,$1.02,"$38,194,300","$38,194,300"
"Jul 04, 2022",$1.04,$1.04,$1.04,$1.04,"$22,223,152","$22,223,152"
"Jul 03, 2022",$1.04,$1.04,$1.04,$1.04,"$14,810,943","$14,810,943"
"Jul 02, 2022",$1.04,$1.04,$1.04,$1.04,"$18,541,924","$18,541,924"
"Jul 01, 2022",$1.05,$1.05,$1.03,$1.04,"$28,886,824","$28,886,824"
"Jun 30, 2022",$1.04,$1.05,$1.03,$1.05,"$27,880,227","$27,880,227"
"Jun 29, 2022",$1.05,$1.05,$1.04,$1.04,"$24,567,702","$24,567,702"
"Jun 28, 2022",$1.05,$1.05,$1.05,$1.05,"$25,307,730","$25,307,730"
"Jun 27, 2022",$1.05,$1.06,$1.05,$1.05,"$25,446,876","$25,446,876"
"Jun 26, 2022",$1.05,$1.05,$1.05,$1.05,"$14,350,481","$14,350,481"
"Jun 25, 2022",$1.05,$1.05,$1.05,$1.05,"$18,493,646","$18,493,646"
"Jun 24, 2022",$1.05,$1.05,$1.05,$1.05,"$25,898,818","$25,898,818"
"Jun 23, 2022",$1.05,$1.05,$1.04,$1.05,"$21,747,592","$21,747,592"
"Jun 22, 2022",$1.05,$1.05,$1.04,$1.05,"$24,089,125","$24,089,125"
"Jun 21, 2022",$1.05,$1.05,$1.05,$1.05,"$33,890,981","$33,890,981"
"Jun 20, 2022",$1.05,$1.05,$1.04,$1.05,"$37,532,564","$37,532,564"
"Jun 19, 2022",$1.05,$1.05,$1.04,$1.05,"$24,558,098","$24,558,098"
"Jun 18, 2022",$1.05,$1.05,$1.04,$1.05,"$28,098,251","$28,098,251"
"Jun 17, 2022",$1.05,$1.05,$1.05,$1.05,"$24,712,559","$24,712,559"
"Jun 16, 2022",$1.04,$1.05,$1.04,$1.05,"$39,276,683","$39,276,683"
"Jun 15, 2022",$1.04,$1.05,$1.04,$1.04,"$48,473,760","$48,473,760"
"Jun 14, 2022",$1.04,$1.05,$1.04,$1.04,"$44,729,772","$44,729,772"
"Jun 13, 2022",$1.05,$1.05,$1.04,$1.04,"$35,920,116","$35,920,116"
"Jun 12, 2022",$1.05,$1.05,$1.05,$1.05,"$16,490,078","$16,490,078"
"Jun 11, 2022",$1.05,$1.05,$1.05,$1.05,"$16,486,746","$16,486,746"
"Jun 10, 2022",$1.06,$1.06,$1.05,$1.05,"$23,968,837","$23,968,837"
"Jun 09, 2022",$1.07,$1.07,$1.06,$1.06,"$24,672,666","$24,672,666"
"Jun 08, 2022",$1.07,$1.07,$1.06,$1.07,"$23,784,304","$23,784,304"
"Jun 07, 2022",$1.07,$1.07,$1.06,$1.07,"$24,945,172","$24,945,172"
"Jun 06, 2022",$1.07,$1.07,$1.07,$1.07,"$19,121,295","$19,121,295"
"Jun 05, 2022",$1.07,$1.07,$1.07,$1.07,"$9,926,116","$9,926,116"
"Jun 04, 2022",$1.07,$1.07,$1.07,$1.07,"$14,854,444","$14,854,444"
"Jun 03, 2022",$1.07,$1.07,$1.07,$1.07,"$21,597,937","$21,597,937"
"Jun 02, 2022",$1.06,$1.07,$1.06,$1.07,"$29,424,006","$29,424,006"
"Jun 01, 2022",$1.07,$1.07,$1.06,$1.06,"$25,479,103","$25,479,103"
"May 31, 2022",$1.07,$1.07,$1.06,$1.07,"$28,322,415","$28,322,415"
"May 30, 2022",$1.07,$1.07,$1.07,$1.07,"$25,526,777","$25,526,777"
"May 29, 2022",$1.07,$1.07,$1.07,$1.07,"$11,066,469","$11,066,469"
"May 28, 2022",$1.07,$1.07,$1.07,$1.07,"$19,763,665","$19,763,665"
"May 27, 2022",$1.07,$1.07,$1.07,$1.07,"$29,072,265","$29,072,265"
"May 26, 2022",$1.06,$1.07,$1.06,$1.07,"$25,992,810","$25,992,810"
"May 25, 2022",$1.07,$1.07,$1.06,$1.06,"$23,664,180","$23,664,180"
"May 24, 2022",$1.06,$1.07,$1.06,$1.07,"$35,040,776","$35,040,776"
"May 23, 2022",$1.05,$1.06,$1.05,$1.06,"$31,206,997","$31,206,997"
"May 22, 2022",$1.05,$1.05,$1.05,$1.05,"$14,333,392","$14,333,392"
"May 21, 2022",$1.05,$1.05,$1.05,$1.05,"$17,798,178","$17,798,178"
"May 20, 2022",$1.05,$1.05,$1.05,$1.05,"$29,725,707","$29,725,707"
"May 19, 2022",$1.04,$1.05,$1.04,$1.05,"$30,694,722","$30,694,722"
"May 18, 2022",$1.05,$1.05,$1.04,$1.04,"$29,664,247","$29,664,247"
"May 17, 2022",$1.04,$1.05,$1.04,$1.05,"$31,036,960","$31,036,960"
"May 16, 2022",$1.03,$1.04,$1.03,$1.04,"$24,702,294","$24,702,294"
"May 15, 2022",$1.03,$1.04,$1.03,$1.03,"$16,922,893","$16,922,893"
"May 14, 2022",$1.03,$1.03,$1.03,$1.03,"$21,289,093","$21,289,093"
"May 13, 2022",$1.03,$1.03,$1.02,$1.03,"$60,104,470","$60,104,470"
"May 12, 2022",$1.04,$1.10,$0.9987,$1.03,"$89,505,896","$89,505,896"
"May 11, 2022",$1.05,$1.07,$1.04,$1.04,"$58,707,880","$58,707,880"
"May 10, 2022",$1.05,$1.06,$1.05,$1.05,"$48,916,218","$48,916,218"
"May 09, 2022",$1.05,$1.05,$1.05,$1.05,"$41,602,675","$41,602,675"
"May 08, 2022",$1.05,$1.05,$1.05,$1.05,"$24,200,790","$24,200,790"
"May 07, 2022",$1.05,$1.05,$1.05,$1.05,"$24,692,930","$24,692,930"
"May 06, 2022",$1.05,$1.06,$1.05,$1.05,"$32,124,285","$32,124,285"
"May 05, 2022",$1.06,$1.06,$1.05,$1.05,"$34,939,627","$34,939,627"
"May 04, 2022",$1.05,$1.06,$1.05,$1.06,"$30,552,718","$30,552,718"
"May 03, 2022",$1.05,$1.05,$1.05,$1.05,"$34,920,608","$34,920,608"
"May 02, 2022",$1.05,$1.05,$1.05,$1.05,"$23,424,767","$23,424,767"
"May 01, 2022",$1.05,$1.05,$1.05,$1.05,"$19,995,692","$19,995,692"
"Apr 30, 2022",$1.05,$1.05,$1.05,$1.05,"$21,456,379","$21,456,379"
"Apr 29, 2022",$1.05,$1.06,$1.05,$1.05,"$28,524,376","$28,524,376"
"Apr 28, 2022",$1.05,$1.05,$1.05,$1.05,"$28,240,648","$28,240,648"
"Apr 27, 2022",$1.06,$1.06,$1.05,$1.05,"$26,551,120","$26,551,120"
"Apr 26, 2022",$1.07,$1.07,$1.06,$1.06,"$30,370,558","$30,370,558"
"Apr 25, 2022",$1.08,$1.08,$1.07,$1.07,"$20,527,774","$20,527,774"
"Apr 24, 2022",$1.08,$1.08,$1.08,$1.08,"$6,665,860","$6,665,860"
"Apr 23, 2022",$1.07,$1.08,$1.07,$1.08,"$8,608,431","$8,608,431"
"Apr 22, 2022",$1.07,$1.07,$1.07,$1.07,"$16,386,069","$16,386,069"
"Apr 21, 2022",$1.07,$1.08,$1.07,$1.07,"$23,431,554","$23,431,554"
"Apr 20, 2022",$1.07,$1.08,$1.07,$1.07,"$22,091,776","$22,091,776"
"Apr 19, 2022",$1.08,$1.08,$1.07,$1.07,"$29,627,224","$29,627,224"
"Apr 18, 2022",$1.08,$1.09,$1.07,$1.08,"$3,721,347","$3,721,347"
"Apr 17, 2022",$1.08,$1.08,$1.08,$1.08,"$2,493,919","$2,493,919"
"Apr 16, 2022",$1.08,$1.08,$1.08,$1.08,"$3,916,331","$3,916,331"
"Apr 15, 2022",$1.08,$1.08,$1.07,$1.08,"$7,970,884","$7,970,884"
"Apr 14, 2022",$1.09,$1.09,$1.07,$1.08,"$12,403,499","$12,403,499"
"Apr 13, 2022",$1.08,$1.09,$1.08,$1.09,"$9,709,373","$9,709,373"
"Apr 12, 2022",$1.08,$1.09,$1.08,$1.08,"$11,902,035","$11,902,035"
"Apr 11, 2022",$1.09,$1.09,$1.08,$1.08,"$11,604,435","$11,604,435"
"Apr 10, 2022",$1.09,$1.09,$1.08,$1.09,"$8,306,494","$8,306,494"
"Apr 09, 2022",$1.08,$1.09,$1.08,$1.09,"$8,003,839","$8,003,839"
"Apr 08, 2022",$1.09,$1.09,$1.08,$1.08,"$12,331,689","$12,331,689"
"Apr 07, 2022",$1.09,$1.09,$1.09,$1.09,"$10,925,102","$10,925,102"
"Apr 06, 2022",$1.09,$1.09,$1.09,$1.09,"$9,664,212","$9,664,212"
"Apr 05, 2022",$1.09,$1.09,$1.09,$1.09,"$12,417,798","$12,417,798"
