Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$0.007581,$0.007634,$0.00703,$0.007087,"$8,254,940","$8,254,940"
"Sep 17, 2022",$0.007372,$0.007606,$0.007359,$0.007581,"$6,500,416","$6,500,416"
"Sep 16, 2022",$0.007025,$0.007455,$0.006963,$0.007374,"$10,099,608","$10,099,608"
"Sep 15, 2022",$0.007299,$0.00732,$0.00681,$0.007025,"$10,935,314","$10,935,314"
"Sep 14, 2022",$0.007351,$0.007479,$0.007112,$0.007303,"$8,305,709","$8,305,709"
"Sep 13, 2022",$0.00794,$0.008316,$0.007316,$0.007385,"$17,374,969","$17,374,969"
"Sep 12, 2022",$0.008231,$0.008443,$0.007922,$0.007943,"$13,260,745","$13,260,745"
"Sep 11, 2022",$0.008106,$0.0084,$0.00798,$0.008232,"$24,941,023","$24,941,023"
"Sep 10, 2022",$0.008143,$0.008278,$0.007977,$0.008107,"$6,367,817","$6,367,817"
"Sep 09, 2022",$0.007946,$0.008309,$0.00789,$0.008147,"$12,520,601","$12,520,601"
"Sep 08, 2022",$0.007499,$0.007958,$0.00745,$0.007958,"$10,172,891","$10,172,891"
"Sep 07, 2022",$0.00726,$0.007561,$0.007197,$0.007499,"$5,295,444","$5,295,444"
"Sep 06, 2022",$0.007878,$0.007973,$0.007269,$0.007269,"$7,951,592","$7,951,592"
"Sep 05, 2022",$0.007984,$0.008042,$0.007719,$0.007875,"$6,158,159","$6,158,159"
"Sep 04, 2022",$0.007675,$0.008034,$0.007665,$0.007988,"$6,978,219","$6,978,219"
"Sep 03, 2022",$0.007673,$0.007749,$0.007603,$0.007681,"$3,019,693","$3,019,693"
"Sep 02, 2022",$0.007705,$0.007854,$0.007563,$0.007673,"$7,450,635","$7,450,635"
"Sep 01, 2022",$0.007924,$0.008004,$0.007473,$0.007706,"$7,355,581","$7,355,581"
"Aug 31, 2022",$0.00811,$0.008214,$0.00785,$0.007922,"$14,566,906","$14,566,906"
"Aug 30, 2022",$0.007633,$0.008126,$0.007421,$0.008126,"$15,930,234","$15,930,234"
"Aug 29, 2022",$0.007277,$0.007636,$0.007156,$0.007635,"$7,477,832","$7,477,832"
"Aug 28, 2022",$0.007561,$0.007729,$0.007275,$0.007275,"$5,973,291","$5,973,291"
"Aug 27, 2022",$0.007773,$0.007837,$0.007418,$0.007563,"$7,325,265","$7,325,265"
"Aug 26, 2022",$0.008673,$0.008812,$0.007732,$0.007772,"$13,499,673","$13,499,673"
"Aug 25, 2022",$0.008305,$0.008702,$0.008299,$0.008673,"$7,814,970","$7,814,970"
"Aug 24, 2022",$0.008264,$0.008755,$0.008169,$0.008307,"$21,726,078","$21,726,078"
"Aug 23, 2022",$0.008125,$0.0083,$0.007902,$0.008266,"$5,430,349","$5,430,349"
"Aug 22, 2022",$0.008257,$0.008263,$0.007768,$0.008125,"$7,962,359","$7,962,359"
"Aug 21, 2022",$0.007999,$0.008297,$0.007971,$0.008256,"$6,514,488","$6,514,488"
"Aug 20, 2022",$0.007835,$0.008291,$0.007785,$0.008,"$11,816,963","$11,816,963"
"Aug 19, 2022",$0.008893,$0.008893,$0.007735,$0.007827,"$18,580,522","$18,580,522"
"Aug 18, 2022",$0.009405,$0.009478,$0.008788,$0.008892,"$7,344,647","$7,344,647"
"Aug 17, 2022",$0.009948,$0.01013,$0.009374,$0.009411,"$7,802,657","$7,802,657"
"Aug 16, 2022",$0.009806,$0.0101,$0.009694,$0.009949,"$8,450,324","$8,450,324"
"Aug 15, 2022",$0.009683,$0.01033,$0.009617,$0.009809,"$28,438,176","$28,438,176"
