Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$0.0757,$0.07951,$0.07519,$0.07822,"$884,928","$884,928"
"Sep 21, 2022",$0.07587,$0.0791,$0.07534,$0.07573,"$912,104","$912,104"
"Sep 20, 2022",$0.07914,$0.07947,$0.07561,$0.07582,"$918,272","$918,272"
"Sep 19, 2022",$0.07796,$0.08442,$0.07463,$0.07915,"$1,283,272","$1,283,272"
"Sep 18, 2022",$0.08113,$0.08713,$0.0765,$0.07796,"$1,183,789","$1,183,789"
"Sep 17, 2022",$0.0815,$0.08274,$0.07961,$0.08112,"$1,067,412","$1,067,412"
"Sep 16, 2022",$0.08063,$0.0832,$0.07965,$0.08148,"$799,614","$799,614"
"Sep 15, 2022",$0.08091,$0.08107,$0.07912,$0.08056,"$926,712","$926,712"
"Sep 14, 2022",$0.08035,$0.0832,$0.0792,$0.08086,"$1,207,978","$1,207,978"
"Sep 13, 2022",$0.08641,$0.08741,$0.0792,$0.08056,"$1,144,127","$1,144,127"
"Sep 12, 2022",$0.08755,$0.08926,$0.08484,$0.08637,"$1,186,849","$1,186,849"
"Sep 11, 2022",$0.08925,$0.08932,$0.08671,$0.08755,"$1,365,114","$1,365,114"
"Sep 10, 2022",$0.0884,$0.09211,$0.0862,$0.08929,"$1,847,698","$1,847,698"
"Sep 09, 2022",$0.08174,$0.09047,$0.08161,$0.08839,"$6,845,093","$6,845,093"
"Sep 08, 2022",$0.08406,$0.08429,$0.08126,$0.08175,"$7,303,791","$7,303,791"
"Sep 07, 2022",$0.08078,$0.08773,$0.07968,$0.08405,"$7,496,609","$7,496,609"
"Sep 06, 2022",$0.08779,$0.08838,$0.08031,$0.08076,"$7,457,284","$7,457,284"
"Sep 05, 2022",$0.08376,$0.09564,$0.08311,$0.08779,"$9,335,151","$9,335,151"
"Sep 04, 2022",$0.08016,$0.09114,$0.0799,$0.08371,"$6,842,653","$6,842,653"
"Sep 03, 2022",$0.08221,$0.08241,$0.07968,$0.08027,"$6,882,553","$6,882,553"
"Sep 02, 2022",$0.08158,$0.08435,$0.07954,$0.08219,"$7,033,948","$7,033,948"
"Sep 01, 2022",$0.08436,$0.08564,$0.07957,$0.08157,"$7,082,705","$7,082,705"
"Aug 31, 2022",$0.08879,$0.09062,$0.08369,$0.08429,"$7,718,897","$7,718,897"
"Aug 30, 2022",$0.09053,$0.1,$0.08561,$0.0888,"$8,519,373","$8,519,373"
"Aug 29, 2022",$0.09258,$0.1153,$0.08863,$0.09036,"$13,122,544","$13,122,544"
"Aug 28, 2022",$0.0755,$0.116,$0.07547,$0.09166,"$14,016,883","$14,016,883"
"Aug 27, 2022",$0.07695,$0.07704,$0.07436,$0.07547,"$6,782,832","$6,782,832"
"Aug 26, 2022",$0.08038,$0.08172,$0.07643,$0.07689,"$6,985,594","$6,985,594"
"Aug 25, 2022",$0.08206,$0.08244,$0.07942,$0.08025,"$6,912,855","$6,912,855"
"Aug 24, 2022",$0.08136,$0.08327,$0.08052,$0.08211,"$6,658,996","$6,658,996"
"Aug 23, 2022",$0.08032,$0.0822,$0.08023,$0.08135,"$6,907,929","$6,907,929"
"Aug 22, 2022",$0.08233,$0.08855,$0.07875,$0.08027,"$7,238,100","$7,238,100"
"Aug 21, 2022",$0.07811,$0.08376,$0.07811,$0.08233,"$6,914,208","$6,914,208"
