Day,Open,High,Low,Close,Volume,Market Cap
"Sep 16, 2022",$1.11,$1.14,$1.10,$1.13,"$35,351,998","$35,351,998"
"Sep 15, 2022",$1.19,$1.19,$1.11,$1.11,"$39,790,146","$39,790,146"
"Sep 14, 2022",$1.17,$1.21,$1.16,$1.19,"$39,105,482","$39,105,482"
"Sep 13, 2022",$1.27,$1.28,$1.17,$1.19,"$62,510,900","$62,510,900"
"Sep 12, 2022",$1.30,$1.35,$1.26,$1.27,"$53,547,247","$53,547,247"
"Sep 11, 2022",$1.33,$1.36,$1.28,$1.30,"$43,555,226","$43,555,226"
"Sep 10, 2022",$1.33,$1.37,$1.30,$1.33,"$58,047,758","$58,047,758"
"Sep 09, 2022",$1.32,$1.35,$1.30,$1.33,"$69,195,772","$69,195,772"
"Sep 08, 2022",$1.25,$1.33,$1.19,$1.32,"$79,090,087","$79,090,087"
"Sep 07, 2022",$1.15,$1.26,$1.09,$1.25,"$48,647,751","$48,647,751"
"Sep 06, 2022",$1.24,$1.26,$1.13,$1.15,"$44,248,824","$44,248,824"
"Sep 05, 2022",$1.15,$1.24,$1.12,$1.24,"$53,784,694","$53,784,694"
"Sep 04, 2022",$1.13,$1.15,$1.11,$1.15,"$23,994,721","$23,994,721"
"Sep 03, 2022",$1.11,$1.14,$1.09,$1.13,"$38,707,337","$38,707,337"
"Sep 02, 2022",$1.06,$1.14,$1.05,$1.11,"$48,603,782","$48,603,782"
"Sep 01, 2022",$1.04,$1.06,$1.01,$1.06,"$27,236,466","$27,236,466"
"Aug 31, 2022",$1.05,$1.09,$1.04,$1.04,"$30,499,553","$30,499,553"
"Aug 30, 2022",$1.10,$1.11,$1.02,$1.05,"$44,548,359","$44,548,359"
"Aug 29, 2022",$1.00,$1.10,$1.00,$1.10,"$32,324,237","$32,324,237"
"Aug 28, 2022",$1.06,$1.07,$1.00,$1.00,"$31,157,565","$31,157,565"
"Aug 27, 2022",$1.07,$1.08,$1.05,$1.06,"$33,867,812","$33,867,812"
"Aug 26, 2022",$1.20,$1.21,$1.06,$1.07,"$56,438,094","$56,438,094"
"Aug 25, 2022",$1.20,$1.26,$1.18,$1.20,"$62,566,450","$62,566,450"
"Aug 24, 2022",$1.21,$1.23,$1.18,$1.20,"$40,985,038","$40,985,038"
"Aug 23, 2022",$1.19,$1.22,$1.16,$1.21,"$53,957,040","$53,957,040"
"Aug 22, 2022",$1.20,$1.20,$1.13,$1.19,"$44,878,598","$44,878,598"
"Aug 21, 2022",$1.17,$1.22,$1.17,$1.20,"$36,901,847","$36,901,847"
"Aug 20, 2022",$1.18,$1.22,$1.14,$1.17,"$45,574,535","$45,574,535"
"Aug 19, 2022",$1.31,$1.31,$1.17,$1.18,"$71,934,182","$71,934,182"
"Aug 18, 2022",$1.37,$1.40,$1.30,$1.31,"$41,085,277","$41,085,277"
"Aug 17, 2022",$1.42,$1.47,$1.36,$1.37,"$46,329,509","$46,329,509"
"Aug 16, 2022",$1.45,$1.46,$1.41,$1.42,"$44,858,034","$44,858,034"
"Aug 15, 2022",$1.48,$1.54,$1.43,$1.45,"$62,001,734","$62,001,734"
"Aug 14, 2022",$1.53,$1.60,$1.47,$1.48,"$55,412,372","$55,412,372"
"Aug 13, 2022",$1.57,$1.59,$1.53,$1.53,"$36,900,960","$36,900,960"
"Aug 12, 2022",$1.54,$1.57,$1.51,$1.57,"$53,984,034","$53,984,034"
"Aug 11, 2022",$1.58,$1.61,$1.53,$1.54,"$94,632,026","$94,632,026"
"Aug 10, 2022",$1.43,$1.60,$1.39,$1.57,"$95,533,915","$95,533,915"
"Aug 09, 2022",$1.56,$1.57,$1.43,$1.43,"$61,025,547","$61,025,547"
"Aug 08, 2022",$1.50,$1.62,$1.50,$1.56,"$51,739,266","$51,739,266"
"Aug 07, 2022",$1.50,$1.54,$1.48,$1.50,"$36,254,672","$36,254,672"
"Aug 06, 2022",$1.51,$1.56,$1.50,$1.50,"$48,403,150","$48,403,150"
"Aug 05, 2022",$1.46,$1.54,$1.46,$1.51,"$77,735,360","$77,735,360"
"Aug 04, 2022",$1.43,$1.52,$1.42,$1.46,"$87,374,849","$87,374,849"
"Aug 03, 2022",$1.36,$1.49,$1.32,$1.43,"$81,792,229","$81,792,229"
"Aug 02, 2022",$1.43,$1.44,$1.33,$1.37,"$71,096,717","$71,096,717"
"Aug 01, 2022",$1.45,$1.49,$1.40,$1.43,"$54,679,865","$54,679,865"
"Jul 31, 2022",$1.49,$1.57,$1.43,$1.45,"$90,349,205","$90,349,205"
"Jul 30, 2022",$1.50,$1.58,$1.46,$1.49,"$113,525,841","$113,525,841"
"Jul 29, 2022",$1.57,$1.58,$1.46,$1.50,"$122,329,267","$122,329,267"
"Jul 28, 2022",$1.39,$1.66,$1.36,$1.57,"$190,871,373","$190,871,373"
"Jul 27, 2022",$1.27,$1.39,$1.25,$1.39,"$89,780,788","$89,780,788"
"Jul 26, 2022",$1.37,$1.37,$1.22,$1.27,"$102,691,396","$102,691,396"
"Jul 25, 2022",$1.35,$1.44,$1.27,$1.37,"$117,171,094","$117,171,094"
"Jul 24, 2022",$1.35,$1.39,$1.33,$1.35,"$64,939,342","$64,939,342"
"Jul 23, 2022",$1.33,$1.38,$1.29,$1.35,"$66,044,071","$66,044,071"
"Jul 22, 2022",$1.42,$1.45,$1.32,$1.33,"$85,005,339","$85,005,339"
"Jul 21, 2022",$1.33,$1.43,$1.28,$1.42,"$116,335,869","$116,335,869"
"Jul 20, 2022",$1.42,$1.46,$1.32,$1.32,"$112,358,718","$112,358,718"
"Jul 19, 2022",$1.51,$1.52,$1.40,$1.42,"$123,457,435","$123,457,435"
"Jul 18, 2022",$1.40,$1.57,$1.40,$1.51,"$101,308,321","$101,308,321"
"Jul 17, 2022",$1.45,$1.48,$1.36,$1.40,"$70,980,417","$70,980,417"
"Jul 16, 2022",$1.41,$1.46,$1.35,$1.45,"$88,600,197","$88,600,197"
"Jul 15, 2022",$1.39,$1.43,$1.36,$1.41,"$94,996,074","$94,996,074"
"Jul 14, 2022",$1.24,$1.40,$1.21,$1.39,"$89,904,662","$89,904,662"
"Jul 13, 2022",$1.12,$1.24,$1.11,$1.24,"$75,431,684","$75,431,684"
"Jul 12, 2022",$1.14,$1.17,$1.11,$1.12,"$64,456,852","$64,456,852"
"Jul 11, 2022",$1.31,$1.32,$1.14,$1.14,"$104,779,148","$104,779,148"
"Jul 10, 2022",$1.24,$1.31,$1.21,$1.31,"$122,149,057","$122,149,057"
"Jul 09, 2022",$1.16,$1.25,$1.16,$1.24,"$63,922,911","$63,922,911"
"Jul 08, 2022",$1.18,$1.22,$1.14,$1.16,"$62,677,701","$62,677,701"
"Jul 07, 2022",$1.15,$1.21,$1.14,$1.18,"$65,490,952","$65,490,952"
"Jul 06, 2022",$1.09,$1.16,$1.08,$1.15,"$67,524,076","$67,524,076"
"Jul 05, 2022",$1.09,$1.12,$1.02,$1.09,"$64,623,359","$64,623,359"
"Jul 04, 2022",$1.02,$1.09,$0.991,$1.09,"$69,061,014","$69,061,014"
"Jul 03, 2022",$0.9794,$1.03,$0.946,$1.02,"$57,117,059","$57,117,059"
"Jul 02, 2022",$0.9674,$0.9932,$0.9496,$0.9794,"$53,832,928","$53,832,928"
"Jul 01, 2022",$0.9878,$1.02,$0.9544,$0.9651,"$66,036,536","$66,036,536"
"Jun 30, 2022",$1.05,$1.06,$0.9342,$0.987,"$62,452,258","$62,452,258"
"Jun 29, 2022",$1.09,$1.11,$1.04,$1.05,"$52,922,863","$52,922,863"
"Jun 28, 2022",$1.15,$1.18,$1.08,$1.09,"$49,688,883","$49,688,883"
"Jun 27, 2022",$1.15,$1.21,$1.13,$1.15,"$47,672,595","$47,672,595"
"Jun 26, 2022",$1.25,$1.28,$1.14,$1.15,"$60,799,035","$60,799,035"
"Jun 25, 2022",$1.29,$1.31,$1.20,$1.25,"$64,950,394","$64,950,394"
"Jun 24, 2022",$1.25,$1.33,$1.23,$1.29,"$80,208,350","$80,208,350"
"Jun 23, 2022",$1.19,$1.29,$1.18,$1.25,"$78,207,576","$78,207,576"
"Jun 22, 2022",$1.24,$1.31,$1.14,$1.19,"$109,889,940","$109,889,940"
"Jun 21, 2022",$1.11,$1.28,$1.08,$1.24,"$112,937,647","$112,937,647"
"Jun 20, 2022",$1.04,$1.17,$1.01,$1.11,"$112,346,698","$112,346,698"
"Jun 19, 2022",$0.929,$1.04,$0.8933,$1.04,"$86,025,552","$86,025,552"
"Jun 18, 2022",$1.02,$1.05,$0.8679,$0.9292,"$91,298,494","$91,298,494"
"Jun 17, 2022",$0.9528,$1.03,$0.9449,$1.02,"$62,766,047","$62,766,047"
"Jun 16, 2022",$1.11,$1.13,$0.9335,$0.9525,"$69,669,304","$69,669,304"
"Jun 15, 2022",$1.01,$1.12,$0.8816,$1.11,"$111,802,085","$111,802,085"
"Jun 14, 2022",$0.9653,$1.02,$0.8935,$1.01,"$128,797,975","$128,797,975"
"Jun 13, 2022",$1.14,$1.14,$0.9108,$0.965,"$161,707,436","$161,707,436"
"Jun 12, 2022",$1.19,$1.22,$1.11,$1.14,"$116,684,919","$116,684,919"
"Jun 11, 2022",$1.38,$1.40,$1.17,$1.19,"$102,026,956","$102,026,956"
"Jun 10, 2022",$1.49,$1.50,$1.36,$1.37,"$81,214,358","$81,214,358"
"Jun 09, 2022",$1.50,$1.54,$1.46,$1.49,"$135,317,520","$135,317,520"
"Jun 08, 2022",$1.56,$1.57,$1.48,$1.50,"$74,544,878","$74,544,878"
"Jun 07, 2022",$1.61,$1.61,$1.48,$1.56,"$109,582,197","$109,582,197"
"Jun 06, 2022",$1.55,$1.69,$1.55,$1.61,"$106,352,372","$106,352,372"
"Jun 05, 2022",$1.58,$1.60,$1.52,$1.55,"$75,772,356","$75,772,356"
"Jun 04, 2022",$1.55,$1.59,$1.51,$1.58,"$92,868,836","$92,868,836"
"Jun 03, 2022",$1.68,$1.68,$1.54,$1.55,"$94,568,844","$94,568,844"
"Jun 02, 2022",$1.63,$1.69,$1.58,$1.68,"$128,908,999","$128,908,999"
"Jun 01, 2022",$1.88,$1.88,$1.61,$1.63,"$184,138,050","$184,138,050"
"May 31, 2022",$1.69,$1.89,$1.62,$1.88,"$233,703,682","$233,703,682"
"May 30, 2022",$1.49,$1.70,$1.49,$1.69,"$124,456,939","$124,456,939"
"May 29, 2022",$1.53,$1.54,$1.46,$1.49,"$85,129,920","$85,129,920"
"May 28, 2022",$1.45,$1.53,$1.42,$1.53,"$94,889,121","$94,889,121"
"May 27, 2022",$1.48,$1.54,$1.40,$1.42,"$148,334,996","$148,334,996"
"May 26, 2022",$1.65,$1.70,$1.44,$1.48,"$159,411,622","$159,411,622"
"May 25, 2022",$1.67,$1.75,$1.60,$1.65,"$183,003,185","$183,003,185"
"May 24, 2022",$1.53,$1.68,$1.52,$1.67,"$186,338,466","$186,338,466"
"May 23, 2022",$1.46,$1.69,$1.45,$1.53,"$224,161,674","$224,161,674"
