Day,Open,High,Low,Close,Volume,Market Cap
"Sep 26, 2022",$0.000839,$0.0008698,$0.000782,$0.0008698,"$123,924","$123,924"
"Sep 25, 2022",$0.0008454,$0.00102,$0.0008191,$0.0008389,"$288,436","$288,436"
"Sep 24, 2022",$0.000849,$0.0008974,$0.000837,$0.0008454,"$131,241","$131,241"
"Sep 23, 2022",$0.0009385,$0.0009627,$0.0008436,$0.000849,"$148,440","$148,440"
"Sep 22, 2022",$0.001007,$0.001024,$0.000912,$0.0009392,"$492,958","$492,958"
"Sep 21, 2022",$0.0006424,$0.001423,$0.0006419,$0.001003,"$3,452,951","$3,452,951"
"Sep 20, 2022",$0.0006684,$0.000688,$0.0006329,$0.0006424,"$35,491","$35,491"
"Sep 19, 2022",$0.0007437,$0.0007622,$0.0006603,$0.0006684,"$51,194","$51,194"
"Sep 18, 2022",$0.0007817,$0.0007933,$0.00069,$0.0007495,"$63,742","$63,742"
"Sep 17, 2022",$0.0007604,$0.0008443,$0.000745,$0.0007815,"$95,931","$95,931"
"Sep 16, 2022",$0.0008477,$0.0008483,$0.0007373,$0.0007604,"$146,613","$146,613"
"Sep 15, 2022",$0.0008791,$0.001472,$0.0008429,$0.0008478,"$1,461,190","$1,461,190"
"Sep 14, 2022",$0.0007312,$0.001027,$0.0007073,$0.0008846,"$877,208","$877,208"
"Sep 13, 2022",$0.0008653,$0.0009429,$0.0006744,$0.0007342,"$283,164","$283,164"
"Sep 12, 2022",$0.0009403,$0.0009442,$0.0008048,$0.0008692,"$176,850","$176,850"
"Sep 11, 2022",$0.0009848,$0.0009995,$0.0009365,$0.0009403,"$137,754","$137,754"
"Sep 10, 2022",$0.001001,$0.001289,$0.0009472,$0.0009849,"$716,561","$716,561"
"Sep 09, 2022",$0.001285,$0.001369,$0.0009818,$0.001001,"$1,082,723","$1,082,723"
"Sep 08, 2022",$0.001064,$0.002088,$0.001064,$0.001285,"$8,812,721","$8,812,721"
"Sep 07, 2022",$0.0005737,$0.001973,$0.0005034,$0.001066,"$5,148,445","$5,148,445"
"Sep 06, 2022",$0.0004389,$0.0007377,$0.0004313,$0.000575,"$392,917","$392,917"
"Sep 05, 2022",$0.0004869,$0.0005202,$0.0004124,$0.0004392,"$62,454","$62,454"
"Sep 04, 2022",$0.0004954,$0.0004954,$0.0004803,$0.0004869,"$21,407","$21,407"
"Sep 03, 2022",$0.0004858,$0.0005967,$0.0004752,$0.0004954,"$90,621","$90,621"
"Sep 02, 2022",$0.0004775,$0.0004957,$0.0004734,$0.0004859,"$17,864","$17,864"
"Sep 01, 2022",$0.0005019,$0.0005161,$0.0004765,$0.0004775,"$26,938","$26,938"
"Aug 31, 2022",$0.0005079,$0.0005387,$0.0004973,$0.0005019,"$24,329","$24,329"
"Aug 30, 2022",$0.0005131,$0.0005304,$0.0005022,$0.0005078,"$22,270","$22,270"
"Aug 29, 2022",$0.0005221,$0.0005614,$0.0005124,$0.0005131,"$27,673","$27,673"
"Aug 28, 2022",$0.0005295,$0.0005442,$0.00052,$0.0005221,"$13,491","$13,491"
"Aug 27, 2022",$0.000528,$0.0005673,$0.0005226,$0.0005295,"$41,651","$41,651"
"Aug 26, 2022",$0.000549,$0.0005675,$0.0005273,$0.000528,"$27,918","$27,918"
"Aug 25, 2022",$0.0005726,$0.0005802,$0.0005377,$0.0005491,"$35,007","$35,007"
"Aug 24, 2022",$0.0005817,$0.0005903,$0.0005683,$0.0005726,"$17,450","$17,450"
"Aug 23, 2022",$0.0005765,$0.0006937,$0.0005691,$0.0005817,"$72,740","$72,740"
