Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$0.006376,$0.006624,$0.006327,$0.006526,"$47,098","$47,098"
"Sep 21, 2022",$0.00636,$0.00682,$0.006342,$0.006376,"$26,591","$26,591"
"Sep 20, 2022",$0.006494,$0.006521,$0.006312,$0.006361,"$22,678","$22,678"
"Sep 19, 2022",$0.006678,$0.0067,$0.006339,$0.006488,"$35,878","$35,878"
"Sep 18, 2022",$0.006859,$0.00687,$0.006505,$0.006735,"$58,354","$58,354"
"Sep 17, 2022",$0.006394,$0.00693,$0.006391,$0.006857,"$77,994","$77,994"
"Sep 16, 2022",$0.006495,$0.006504,$0.006306,$0.006393,"$69,746","$69,746"
"Sep 15, 2022",$0.006191,$0.006698,$0.00609,$0.006495,"$45,301","$45,301"
"Sep 14, 2022",$0.006388,$0.006472,$0.006134,$0.006191,"$40,899","$40,899"
"Sep 13, 2022",$0.006901,$0.006921,$0.006118,$0.006362,"$56,099","$56,099"
"Sep 12, 2022",$0.006877,$0.007062,$0.006688,$0.006901,"$53,450","$53,450"
"Sep 11, 2022",$0.006855,$0.006976,$0.006817,$0.006877,"$42,036","$42,036"
"Sep 10, 2022",$0.006595,$0.007081,$0.006495,$0.006855,"$40,036","$40,036"
"Sep 09, 2022",$0.006201,$0.006772,$0.005926,$0.006595,"$61,602","$61,602"
"Sep 08, 2022",$0.005998,$0.006226,$0.005761,$0.006194,"$45,138","$45,138"
"Sep 07, 2022",$0.006136,$0.006585,$0.005841,$0.006116,"$67,065","$67,065"
"Sep 06, 2022",$0.00578,$0.007035,$0.00569,$0.006137,"$54,699","$54,699"
"Sep 05, 2022",$0.00575,$0.006015,$0.005523,$0.00578,"$16,879","$16,879"
"Sep 04, 2022",$0.005807,$0.005841,$0.005579,$0.005713,"$22,127","$22,127"
"Sep 03, 2022",$0.005729,$0.005847,$0.005646,$0.005807,"$22,284","$22,284"
"Sep 02, 2022",$0.005543,$0.005964,$0.005475,$0.005729,"$20,468","$20,468"
"Sep 01, 2022",$0.005576,$0.005624,$0.005341,$0.005543,"$36,415","$36,415"
"Aug 31, 2022",$0.005351,$0.006043,$0.005162,$0.005576,"$35,599","$35,599"
"Aug 30, 2022",$0.005419,$0.00562,$0.005295,$0.00535,"$49,024","$49,024"
