Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.002923,$0.002932,$0.002745,$0.002807,"$275,272","$275,272"
"Sep 24, 2022",$0.002945,$0.003059,$0.002912,$0.002923,"$260,121","$260,121"
"Sep 23, 2022",$0.003039,$0.003043,$0.002933,$0.002946,"$133,488","$133,488"
"Sep 22, 2022",$0.003048,$0.003135,$0.002991,$0.003039,"$147,823","$147,823"
"Sep 21, 2022",$0.003197,$0.003199,$0.00299,$0.003052,"$188,599","$188,599"
"Sep 20, 2022",$0.003252,$0.003881,$0.003079,$0.003195,"$1,327,143","$1,327,143"
"Sep 19, 2022",$0.003055,$0.003253,$0.00282,$0.003253,"$346,989","$346,989"
"Sep 18, 2022",$0.003183,$0.003273,$0.003042,$0.003056,"$176,883","$176,883"
"Sep 17, 2022",$0.003141,$0.003185,$0.003127,$0.003183,"$170,511","$170,511"
"Sep 16, 2022",$0.003153,$0.0032,$0.003119,$0.00314,"$370,256","$370,256"
"Sep 15, 2022",$0.003133,$0.003244,$0.003109,$0.003153,"$252,917","$252,917"
"Sep 14, 2022",$0.003221,$0.003258,$0.003123,$0.003133,"$176,140","$176,140"
"Sep 13, 2022",$0.003391,$0.0034,$0.003182,$0.003211,"$237,836","$237,836"
"Sep 12, 2022",$0.003454,$0.003466,$0.003388,$0.003393,"$295,405","$295,405"
"Sep 11, 2022",$0.003536,$0.003545,$0.00344,$0.003452,"$258,564","$258,564"
"Sep 10, 2022",$0.003525,$0.00355,$0.003523,$0.003536,"$182,876","$182,876"
"Sep 09, 2022",$0.00354,$0.003566,$0.003508,$0.003525,"$433,640","$433,640"
"Sep 08, 2022",$0.003573,$0.003592,$0.003539,$0.00354,"$554,131","$554,131"
"Sep 07, 2022",$0.003594,$0.003602,$0.003543,$0.003573,"$312,119","$312,119"
"Sep 06, 2022",$0.003729,$0.003838,$0.003594,$0.003594,"$439,588","$439,588"
"Sep 05, 2022",$0.00358,$0.003751,$0.003566,$0.003729,"$448,495","$448,495"
"Sep 04, 2022",$0.003955,$0.004346,$0.003515,$0.003579,"$1,798,295","$1,798,295"
"Sep 03, 2022",$0.00331,$0.00397,$0.003308,$0.00397,"$1,211,256","$1,211,256"
"Sep 02, 2022",$0.003346,$0.003365,$0.003296,$0.003311,"$361,760","$361,760"
"Sep 01, 2022",$0.003385,$0.003423,$0.00331,$0.003345,"$412,615","$412,615"
"Aug 31, 2022",$0.00334,$0.003388,$0.00334,$0.003383,"$335,973","$335,973"
"Aug 30, 2022",$0.003431,$0.003446,$0.003327,$0.00334,"$323,047","$323,047"
"Aug 29, 2022",$0.003388,$0.00344,$0.003337,$0.003432,"$375,150","$375,150"
"Aug 28, 2022",$0.003474,$0.003481,$0.003388,$0.003388,"$222,962","$222,962"
"Aug 27, 2022",$0.003501,$0.003585,$0.003459,$0.003474,"$323,991","$323,991"
"Aug 26, 2022",$0.003549,$0.003555,$0.003432,$0.003501,"$530,552","$530,552"
"Aug 25, 2022",$0.003572,$0.003602,$0.00354,$0.003547,"$276,849","$276,849"
"Aug 24, 2022",$0.003622,$0.00367,$0.003573,$0.003573,"$312,301","$312,301"
"Aug 23, 2022",$0.003644,$0.003654,$0.003591,$0.003624,"$265,993","$265,993"
"Aug 22, 2022",$0.003713,$0.003718,$0.003594,$0.003653,"$331,404","$331,404"
"Aug 21, 2022",$0.003659,$0.003923,$0.003644,$0.003715,"$454,294","$454,294"
"Aug 20, 2022",$0.003724,$0.00376,$0.003632,$0.003659,"$283,012","$283,012"
"Aug 19, 2022",$0.003933,$0.003936,$0.003725,$0.003725,"$319,020","$319,020"
"Aug 18, 2022",$0.004022,$0.004047,$0.00393,$0.003933,"$256,165","$256,165"
"Aug 17, 2022",$0.003992,$0.004168,$0.003913,$0.004022,"$845,305","$845,305"
"Aug 16, 2022",$0.004056,$0.004061,$0.00395,$0.003992,"$371,707","$371,707"
"Aug 15, 2022",$0.004198,$0.004347,$0.004016,$0.004051,"$637,940","$637,940"
"Aug 14, 2022",$0.004625,$0.004637,$0.00409,$0.004139,"$1,117,521","$1,117,521"
"Aug 13, 2022",$0.004007,$0.004857,$0.003973,$0.00465,"$1,409,719","$1,409,719"
"Aug 12, 2022",$0.003989,$0.004038,$0.003965,$0.004007,"$302,702","$302,702"
"Aug 11, 2022",$0.00405,$0.004145,$0.003977,$0.003989,"$426,204","$426,204"
"Aug 10, 2022",$0.004075,$0.004251,$0.003918,$0.004058,"$600,580","$600,580"
"Aug 09, 2022",$0.004191,$0.00434,$0.004008,$0.004076,"$1,112,015","$1,112,015"
"Aug 08, 2022",$0.00444,$0.005447,$0.004162,$0.004197,"$3,659,715","$3,659,715"
"Aug 07, 2022",$0.003874,$0.005204,$0.003831,$0.004423,"$2,881,365","$2,881,365"
"Aug 06, 2022",$0.00394,$0.003971,$0.003867,$0.003874,"$528,362","$528,362"
"Aug 05, 2022",$0.003705,$0.00394,$0.003705,$0.00394,"$413,501","$413,501"
"Aug 04, 2022",$0.003733,$0.003794,$0.003694,$0.003705,"$365,265","$365,265"
"Aug 03, 2022",$0.003851,$0.00388,$0.003727,$0.00373,"$429,956","$429,956"
"Aug 02, 2022",$0.003901,$0.003913,$0.003734,$0.003851,"$533,897","$533,897"
"Aug 01, 2022",$0.004032,$0.004066,$0.003902,$0.003903,"$403,279","$403,279"
"Jul 31, 2022",$0.004066,$0.004193,$0.004011,$0.004025,"$581,946","$581,946"
"Jul 30, 2022",$0.004115,$0.004187,$0.003995,$0.004062,"$527,290","$527,290"
"Jul 29, 2022",$0.004166,$0.004252,$0.004023,$0.004115,"$612,378","$612,378"
"Jul 28, 2022",$0.004058,$0.004279,$0.00388,$0.004167,"$965,533","$965,533"
"Jul 27, 2022",$0.003877,$0.004063,$0.003805,$0.004057,"$723,951","$723,951"
"Jul 26, 2022",$0.004223,$0.004228,$0.003779,$0.003882,"$891,839","$891,839"
"Jul 25, 2022",$0.004754,$0.004771,$0.004226,$0.004229,"$731,761","$731,761"
