Day,Open,High,Low,Close,Volume,Market Cap
"Sep 17, 2022",$1.44,$1.58,$1.42,$1.51,"$3,011,811","$3,011,811"
"Sep 16, 2022",$1.39,$1.44,$1.36,$1.44,"$2,190,400","$2,190,400"
"Sep 15, 2022",$1.48,$1.50,$1.39,$1.39,"$4,721,508","$4,721,508"
"Sep 14, 2022",$1.55,$1.64,$1.42,$1.48,"$4,231,110","$4,231,110"
"Sep 13, 2022",$1.80,$1.87,$1.54,$1.59,"$6,596,039","$6,596,039"
"Sep 12, 2022",$1.89,$1.91,$1.73,$1.80,"$4,411,446","$4,411,446"
"Sep 11, 2022",$1.87,$1.98,$1.76,$1.89,"$6,452,336","$6,452,336"
"Sep 10, 2022",$1.74,$1.88,$1.72,$1.87,"$2,651,949","$2,651,949"
"Sep 09, 2022",$1.61,$1.89,$1.61,$1.74,"$6,073,626","$6,073,626"
"Sep 08, 2022",$1.49,$1.83,$1.49,$1.62,"$11,122,828","$11,122,828"
"Sep 07, 2022",$1.43,$1.52,$1.29,$1.49,"$5,983,951","$5,983,951"
"Sep 06, 2022",$1.62,$1.63,$1.41,$1.43,"$5,564,629","$5,564,629"
"Sep 05, 2022",$1.27,$1.68,$1.27,$1.61,"$9,513,416","$9,513,416"
"Sep 04, 2022",$1.26,$1.28,$1.21,$1.27,"$1,010,754","$1,010,754"
"Sep 03, 2022",$1.28,$1.29,$1.23,$1.26,"$953,044","$953,044"
"Sep 02, 2022",$1.26,$1.30,$1.23,$1.28,"$1,542,826","$1,542,826"
"Sep 01, 2022",$1.22,$1.26,$1.20,$1.26,"$1,603,951","$1,603,951"
"Aug 31, 2022",$1.25,$1.30,$1.21,$1.22,"$1,908,466","$1,908,466"
"Aug 30, 2022",$1.25,$1.34,$1.22,$1.26,"$3,123,184","$3,123,184"
"Aug 29, 2022",$1.11,$1.26,$1.11,$1.25,"$2,924,906","$2,924,906"
"Aug 28, 2022",$1.19,$1.19,$1.11,$1.12,"$1,483,192","$1,483,192"
"Aug 27, 2022",$1.22,$1.22,$1.18,$1.19,"$1,285,967","$1,285,967"
"Aug 26, 2022",$1.36,$1.36,$1.21,$1.22,"$2,711,220","$2,711,220"
"Aug 25, 2022",$1.25,$1.40,$1.25,$1.36,"$4,638,216","$4,638,216"
"Aug 24, 2022",$1.27,$1.27,$1.18,$1.24,"$3,530,697","$3,530,697"
"Aug 23, 2022",$1.21,$1.28,$1.20,$1.27,"$3,304,291","$3,304,291"
"Aug 22, 2022",$1.32,$1.34,$1.19,$1.21,"$7,756,595","$7,756,595"
"Aug 21, 2022",$1.30,$1.35,$1.28,$1.32,"$6,606,364","$6,606,364"
"Aug 20, 2022",$1.32,$1.36,$1.27,$1.30,"$7,378,602","$7,378,602"
"Aug 19, 2022",$1.51,$1.51,$1.29,$1.32,"$10,434,686","$10,434,686"
"Aug 18, 2022",$1.44,$1.54,$1.44,$1.51,"$6,622,212","$6,622,212"
"Aug 17, 2022",$1.45,$1.53,$1.39,$1.45,"$6,757,498","$6,757,498"
"Aug 16, 2022",$1.49,$1.50,$1.43,$1.45,"$5,272,039","$5,272,039"
"Aug 15, 2022",$1.58,$1.68,$1.47,$1.49,"$7,024,871","$7,024,871"
"Aug 14, 2022",$1.61,$1.73,$1.56,$1.58,"$6,439,073","$6,439,073"
"Aug 13, 2022",$1.64,$1.66,$1.59,$1.61,"$5,106,152","$5,106,152"
"Aug 12, 2022",$1.50,$1.69,$1.46,$1.64,"$8,198,418","$8,198,418"
"Aug 11, 2022",$1.46,$1.65,$1.44,$1.50,"$9,517,964","$9,517,964"
"Aug 10, 2022",$1.32,$1.47,$1.29,$1.46,"$6,864,780","$6,864,780"
"Aug 09, 2022",$1.44,$1.46,$1.29,$1.32,"$7,119,595","$7,119,595"
"Aug 08, 2022",$1.41,$1.54,$1.40,$1.44,"$7,481,785","$7,481,785"
"Aug 07, 2022",$1.35,$1.41,$1.34,$1.41,"$4,767,981","$4,767,981"
"Aug 06, 2022",$1.40,$1.42,$1.35,$1.35,"$6,250,087","$6,250,087"
"Aug 05, 2022",$1.35,$1.52,$1.33,$1.40,"$7,356,849","$7,356,849"
"Aug 04, 2022",$1.29,$1.37,$1.28,$1.35,"$7,280,089","$7,280,089"
"Aug 03, 2022",$1.15,$1.36,$1.15,$1.29,"$8,443,788","$8,443,788"
"Aug 02, 2022",$1.32,$1.45,$1.15,$1.15,"$12,850,197","$12,850,197"
"Aug 01, 2022",$1.43,$1.45,$1.29,$1.32,"$7,183,242","$7,183,242"
"Jul 31, 2022",$1.58,$1.58,$1.43,$1.43,"$6,240,489","$6,240,489"
"Jul 30, 2022",$1.59,$1.72,$1.51,$1.58,"$7,332,786","$7,332,786"
"Jul 29, 2022",$1.64,$1.64,$1.38,$1.59,"$17,028,726","$17,028,726"
"Jul 28, 2022",$1.23,$1.80,$1.17,$1.65,"$29,394,774","$29,394,774"
"Jul 27, 2022",$0.9755,$1.23,$0.9718,$1.23,"$6,205,846","$6,205,846"
"Jul 26, 2022",$1.03,$1.03,$0.9254,$0.9754,"$2,927,806","$2,927,806"
"Jul 25, 2022",$1.13,$1.13,$1.01,$1.03,"$5,157,193","$5,157,193"
"Jul 24, 2022",$1.09,$1.15,$1.07,$1.13,"$4,974,142","$4,974,142"
"Jul 23, 2022",$1.14,$1.14,$1.06,$1.10,"$4,008,581","$4,008,581"
