Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.05699,$0.05816,$0.05478,$0.05806,"$161,172","$161,172"
"Sep 18, 2022",$0.05873,$0.05948,$0.05647,$0.05699,"$120,445","$120,445"
"Sep 17, 2022",$0.05712,$0.05996,$0.05712,$0.05872,"$73,033","$73,033"
"Sep 16, 2022",$0.05788,$0.05825,$0.05687,$0.05711,"$139,155","$139,155"
"Sep 15, 2022",$0.06085,$0.06116,$0.05699,$0.05763,"$106,021","$106,021"
"Sep 14, 2022",$0.06033,$0.06378,$0.05908,$0.06084,"$341,429","$341,429"
"Sep 13, 2022",$0.0614,$0.07242,$0.0596,$0.06025,"$688,986","$688,986"
"Sep 12, 2022",$0.06274,$0.06425,$0.06104,$0.06144,"$130,379","$130,379"
"Sep 11, 2022",$0.05999,$0.06407,$0.05949,$0.06272,"$137,568","$137,568"
"Sep 10, 2022",$0.05899,$0.06141,$0.05849,$0.06002,"$64,345","$64,345"
"Sep 09, 2022",$0.05615,$0.05963,$0.05615,$0.05899,"$81,262","$81,262"
"Sep 08, 2022",$0.05634,$0.05743,$0.0556,$0.05616,"$84,002","$84,002"
"Sep 07, 2022",$0.05476,$0.057,$0.05354,$0.05638,"$79,214","$79,214"
"Sep 06, 2022",$0.05717,$0.0582,$0.05468,$0.05475,"$107,680","$107,680"
"Sep 05, 2022",$0.05768,$0.05863,$0.05588,$0.05718,"$100,134","$100,134"
"Sep 04, 2022",$0.0575,$0.05923,$0.05721,$0.05767,"$74,410","$74,410"
"Sep 03, 2022",$0.05789,$0.05806,$0.05636,$0.0575,"$45,903","$45,903"
"Sep 02, 2022",$0.05771,$0.05927,$0.05655,$0.05792,"$84,918","$84,918"
"Sep 01, 2022",$0.05781,$0.05802,$0.05585,$0.05757,"$105,672","$105,672"
"Aug 31, 2022",$0.05905,$0.06105,$0.05763,$0.05777,"$221,488","$221,488"
"Aug 30, 2022",$0.06434,$0.06637,$0.05774,$0.05905,"$233,622","$233,622"
"Aug 29, 2022",$0.06241,$0.06517,$0.0605,$0.06434,"$104,932","$104,932"
"Aug 28, 2022",$0.06387,$0.06528,$0.06166,$0.06241,"$103,327","$103,327"
"Aug 27, 2022",$0.06511,$0.0745,$0.06132,$0.06388,"$491,896","$491,896"
"Aug 26, 2022",$0.06877,$0.06928,$0.06484,$0.06511,"$159,428","$159,428"
"Aug 25, 2022",$0.07429,$0.07517,$0.06879,$0.06879,"$171,404","$171,404"
"Aug 24, 2022",$0.07269,$0.07511,$0.06566,$0.07432,"$370,676","$370,676"
"Aug 23, 2022",$0.06986,$0.07347,$0.06751,$0.07269,"$105,842","$105,842"
"Aug 22, 2022",$0.06938,$0.06994,$0.06702,$0.06991,"$121,860","$121,860"
"Aug 21, 2022",$0.06895,$0.07061,$0.06854,$0.06935,"$96,146","$96,146"
"Aug 20, 2022",$0.06922,$0.07111,$0.06766,$0.06896,"$107,679","$107,679"
"Aug 19, 2022",$0.07928,$0.07946,$0.06923,$0.06924,"$144,538","$144,538"
"Aug 18, 2022",$0.07684,$0.08002,$0.07663,$0.07928,"$66,479","$66,479"
"Aug 17, 2022",$0.07997,$0.08203,$0.07587,$0.07686,"$115,177","$115,177"
"Aug 16, 2022",$0.07993,$0.08123,$0.07856,$0.07997,"$137,272","$137,272"
"Aug 15, 2022",$0.08089,$0.08207,$0.07768,$0.0801,"$229,240","$229,240"
"Aug 14, 2022",$0.08387,$0.08422,$0.08072,$0.08091,"$140,921","$140,921"
"Aug 13, 2022",$0.08183,$0.08423,$0.08152,$0.08384,"$109,937","$109,937"
"Aug 12, 2022",$0.07574,$0.08176,$0.07542,$0.08176,"$177,727","$177,727"
"Aug 11, 2022",$0.07988,$0.08445,$0.07565,$0.07585,"$295,040","$295,040"
"Aug 10, 2022",$0.07631,$0.08094,$0.07456,$0.07987,"$180,627","$180,627"
