Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$14.15,$14.99,$13.80,$14.84,"$17,817,482","$17,817,482"
"Sep 18, 2022",$17.08,$17.25,$14.12,$14.15,"$19,788,385","$19,788,385"
"Sep 17, 2022",$16.36,$17.32,$16.32,$17.08,"$21,227,479","$21,227,479"
"Sep 16, 2022",$15.81,$16.56,$15.50,$16.35,"$16,460,547","$16,460,547"
"Sep 15, 2022",$18.15,$18.17,$15.73,$15.81,"$30,536,866","$30,536,866"
"Sep 14, 2022",$15.23,$18.89,$15.11,$18.14,"$69,692,239","$69,692,239"
"Sep 13, 2022",$16.61,$16.81,$15.09,$15.52,"$19,173,154","$19,173,154"
"Sep 12, 2022",$16.62,$17.42,$16.26,$16.61,"$17,186,208","$17,186,208"
"Sep 11, 2022",$17.47,$17.64,$16.42,$16.62,"$16,280,725","$16,280,725"
"Sep 10, 2022",$17.31,$18.09,$17.12,$17.46,"$25,298,783","$25,298,783"
"Sep 09, 2022",$16.00,$18.07,$15.82,$17.27,"$35,633,412","$35,633,412"
"Sep 08, 2022",$17.09,$17.27,$15.92,$16.00,"$19,318,884","$19,318,884"
"Sep 07, 2022",$15.94,$17.26,$15.66,$17.07,"$28,308,691","$28,308,691"
"Sep 06, 2022",$18.29,$18.70,$15.74,$15.94,"$48,411,077","$48,411,077"
"Sep 05, 2022",$18.92,$18.96,$18.06,$18.29,"$19,911,036","$19,911,036"
"Sep 04, 2022",$18.95,$18.99,$18.06,$18.91,"$21,783,107","$21,783,107"
"Sep 03, 2022",$19.29,$19.78,$18.73,$18.95,"$24,869,594","$24,869,594"
"Sep 02, 2022",$21.39,$21.39,$18.97,$19.29,"$49,272,924","$49,272,924"
"Sep 01, 2022",$19.00,$23.02,$18.08,$21.36,"$131,017,419","$131,017,419"
"Aug 31, 2022",$22.24,$23.74,$18.63,$18.99,"$114,171,918","$114,171,918"
"Aug 30, 2022",$35.16,$35.93,$21.09,$22.30,"$186,704,179","$186,704,179"
"Aug 29, 2022",$37.08,$37.66,$34.51,$35.16,"$27,935,704","$27,935,704"
"Aug 28, 2022",$38.06,$40.25,$36.68,$37.04,"$23,113,967","$23,113,967"
"Aug 27, 2022",$37.37,$39.31,$36.77,$38.07,"$22,894,714","$22,894,714"
"Aug 26, 2022",$37.83,$40.09,$35.97,$37.37,"$38,954,988","$38,954,988"
"Aug 25, 2022",$37.42,$38.29,$36.39,$37.82,"$28,067,387","$28,067,387"
"Aug 24, 2022",$41.27,$41.51,$37.34,$37.41,"$33,815,115","$33,815,115"
"Aug 23, 2022",$45.30,$45.30,$41.16,$41.26,"$23,855,064","$23,855,064"
"Aug 22, 2022",$44.38,$45.61,$42.14,$45.30,"$25,975,265","$25,975,265"
"Aug 21, 2022",$41.51,$44.89,$41.06,$44.38,"$31,890,488","$31,890,488"
"Aug 20, 2022",$41.61,$42.29,$39.69,$41.52,"$27,456,648","$27,456,648"
