Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$0.1785,$0.1791,$0.176,$0.1761,"$2,976,376","$2,976,376"
"Sep 17, 2022",$0.1782,$0.1787,$0.1779,$0.1786,"$3,006,603","$3,006,603"
"Sep 16, 2022",$0.1797,$0.18,$0.1778,$0.1781,"$3,796,270","$3,796,270"
"Sep 15, 2022",$0.1807,$0.1809,$0.1791,$0.1797,"$3,653,547","$3,653,547"
"Sep 14, 2022",$0.1804,$0.1813,$0.1797,$0.1807,"$3,905,092","$3,905,092"
"Sep 13, 2022",$0.1859,$0.186,$0.1801,$0.1808,"$3,885,500","$3,885,500"
"Sep 12, 2022",$0.1889,$0.191,$0.1858,$0.1859,"$3,763,601","$3,763,601"
"Sep 11, 2022",$0.1892,$0.1892,$0.1881,$0.1889,"$3,179,809","$3,179,809"
"Sep 10, 2022",$0.1859,$0.1893,$0.1853,$0.1892,"$3,296,279","$3,296,279"
"Sep 09, 2022",$0.182,$0.1861,$0.1817,$0.1859,"$3,102,908","$3,102,908"
"Sep 08, 2022",$0.1823,$0.1826,$0.1811,$0.182,"$2,405,820","$2,405,820"
"Sep 07, 2022",$0.1802,$0.1828,$0.1794,$0.1823,"$2,594,101","$2,594,101"
"Sep 06, 2022",$0.1828,$0.185,$0.1801,$0.1802,"$2,125,065","$2,125,065"
"Sep 05, 2022",$0.1808,$0.1833,$0.1798,$0.183,"$1,454,299","$1,454,299"
"Sep 04, 2022",$0.1816,$0.1817,$0.1804,$0.1808,"$1,148,485","$1,148,485"
"Sep 03, 2022",$0.1834,$0.1839,$0.1807,$0.1816,"$1,035,352","$1,035,352"
"Sep 02, 2022",$0.1835,$0.1853,$0.1826,$0.1834,"$1,152,044","$1,152,044"
"Sep 01, 2022",$0.184,$0.185,$0.1817,$0.1836,"$1,382,480","$1,382,480"
"Aug 31, 2022",$0.1904,$0.1918,$0.1839,$0.1841,"$1,739,954","$1,739,954"
"Aug 30, 2022",$0.1929,$0.1959,$0.1903,$0.1903,"$1,748,907","$1,748,907"
"Aug 29, 2022",$0.1919,$0.1939,$0.1912,$0.1929,"$1,401,851","$1,401,851"
"Aug 28, 2022",$0.1932,$0.194,$0.1917,$0.1919,"$1,204,037","$1,204,037"
"Aug 27, 2022",$0.1975,$0.1975,$0.1921,$0.1932,"$1,464,255","$1,464,255"
"Aug 26, 2022",$0.2065,$0.2067,$0.1971,$0.1975,"$2,875,722","$2,875,722"
"Aug 25, 2022",$0.206,$0.2099,$0.2052,$0.2065,"$1,689,537","$1,689,537"
"Aug 24, 2022",$0.2078,$0.2079,$0.2006,$0.206,"$3,810,420","$3,810,420"
"Aug 23, 2022",$0.2003,$0.2079,$0.1995,$0.2078,"$2,693,674","$2,693,674"
"Aug 22, 2022",$0.2019,$0.2026,$0.1976,$0.2003,"$1,899,275","$1,899,275"
"Aug 21, 2022",$0.1935,$0.2028,$0.1934,$0.2019,"$2,690,195","$2,690,195"
"Aug 20, 2022",$0.1937,$0.1948,$0.1919,$0.1936,"$3,404,438","$3,404,438"
"Aug 19, 2022",$0.2132,$0.2132,$0.1937,$0.1937,"$2,801,367","$2,801,367"
"Aug 18, 2022",$0.2073,$0.2167,$0.207,$0.2131,"$1,889,472","$1,889,472"
"Aug 17, 2022",$0.2144,$0.2189,$0.2072,$0.2073,"$1,950,918","$1,950,918"
"Aug 16, 2022",$0.2121,$0.2146,$0.2106,$0.2144,"$1,729,811","$1,729,811"
"Aug 15, 2022",$0.2064,$0.2123,$0.2047,$0.2122,"$2,208,304","$2,208,304"
"Aug 14, 2022",$0.2098,$0.2105,$0.2055,$0.2064,"$2,031,029","$2,031,029"
"Aug 13, 2022",$0.2113,$0.2179,$0.2096,$0.2098,"$2,087,695","$2,087,695"
"Aug 12, 2022",$0.19,$0.2165,$0.189,$0.2113,"$2,686,623","$2,686,623"
"Aug 11, 2022",$0.1878,$0.1916,$0.1878,$0.19,"$1,467,637","$1,467,637"
"Aug 10, 2022",$0.1831,$0.1889,$0.1817,$0.1878,"$1,396,574","$1,396,574"
"Aug 09, 2022",$0.1887,$0.1891,$0.1825,$0.183,"$1,247,143","$1,247,143"
"Aug 08, 2022",$0.1901,$0.1947,$0.1883,$0.1887,"$2,229,297","$2,229,297"
"Aug 07, 2022",$0.1887,$0.1909,$0.1881,$0.1901,"$1,306,754","$1,306,754"
"Aug 06, 2022",$0.1888,$0.1893,$0.1884,$0.1887,"$1,337,614","$1,337,614"
