Day,Open,High,Low,Close,Volume,Market Cap
"Sep 10, 2022",$5.13,$7.06,$4.87,$6.42,"$3,972,403,390","$3,972,403,390"
"Sep 09, 2022",$1.91,$6.91,$1.91,$5.14,"$5,818,198,901","$5,818,198,901"
"Sep 08, 2022",$1.88,$2.07,$1.88,$1.91,"$258,116,350","$258,116,350"
"Sep 07, 2022",$1.85,$1.97,$1.78,$1.88,"$172,498,727","$172,498,727"
"Sep 06, 2022",$2.00,$2.15,$1.82,$1.85,"$295,328,763","$295,328,763"
"Sep 05, 2022",$1.81,$2.00,$1.78,$2.00,"$198,225,022","$198,225,022"
"Sep 04, 2022",$1.86,$1.87,$1.77,$1.81,"$63,066,976","$63,066,976"
"Sep 03, 2022",$1.85,$1.91,$1.80,$1.86,"$93,687,630","$93,687,630"
"Sep 02, 2022",$1.99,$2.06,$1.83,$1.85,"$184,618,793","$184,618,793"
"Sep 01, 2022",$1.78,$2.19,$1.76,$1.99,"$575,427,785","$575,427,785"
"Aug 31, 2022",$1.73,$1.84,$1.66,$1.78,"$165,122,340","$165,122,340"
"Aug 30, 2022",$1.65,$1.76,$1.58,$1.73,"$96,350,469","$96,350,469"
"Aug 29, 2022",$1.54,$1.65,$1.53,$1.65,"$41,714,282","$41,714,282"
"Aug 28, 2022",$1.61,$1.63,$1.54,$1.54,"$33,705,488","$33,705,488"
"Aug 27, 2022",$1.61,$1.65,$1.58,$1.61,"$42,957,648","$42,957,648"
"Aug 26, 2022",$1.82,$1.84,$1.59,$1.61,"$97,109,240","$97,109,240"
"Aug 25, 2022",$1.72,$1.84,$1.72,$1.82,"$110,425,005","$110,425,005"
"Aug 24, 2022",$1.81,$1.81,$1.72,$1.72,"$49,877,135","$49,877,135"
"Aug 23, 2022",$1.68,$1.83,$1.63,$1.81,"$107,059,541","$107,059,541"
"Aug 22, 2022",$1.68,$1.74,$1.60,$1.68,"$48,554,699","$48,554,699"
"Aug 21, 2022",$1.62,$1.69,$1.62,$1.68,"$45,661,037","$45,661,037"
"Aug 20, 2022",$1.60,$1.68,$1.58,$1.62,"$49,408,980","$49,408,980"
"Aug 19, 2022",$1.76,$1.78,$1.55,$1.60,"$117,893,267","$117,893,267"
"Aug 18, 2022",$1.93,$1.95,$1.60,$1.76,"$74,249,172","$74,249,172"
"Aug 17, 2022",$2.00,$2.05,$1.91,$1.93,"$57,339,332","$57,339,332"
"Aug 16, 2022",$1.99,$2.01,$1.94,$2.00,"$43,976,274","$43,976,274"
"Aug 15, 2022",$2.05,$2.16,$1.94,$1.99,"$130,611,913","$130,611,913"
"Aug 14, 2022",$2.00,$2.18,$1.99,$2.05,"$109,049,991","$109,049,991"
"Aug 13, 2022",$2.05,$2.07,$1.99,$2.00,"$36,697,237","$36,697,237"
"Aug 12, 2022",$1.97,$2.09,$1.95,$2.05,"$51,665,421","$51,665,421"
"Aug 11, 2022",$2.02,$2.07,$1.96,$1.97,"$45,789,802","$45,789,802"
"Aug 10, 2022",$1.98,$2.06,$1.92,$2.02,"$58,168,101","$58,168,101"
"Aug 09, 2022",$2.11,$2.20,$1.88,$1.98,"$89,431,661","$89,431,661"
"Aug 08, 2022",$2.10,$2.17,$2.08,$2.10,"$50,156,819","$50,156,819"
"Aug 07, 2022",$2.11,$2.14,$2.04,$2.10,"$44,547,036","$44,547,036"
"Aug 06, 2022",$2.13,$2.21,$2.09,$2.11,"$56,805,915","$56,805,915"
"Aug 05, 2022",$2.09,$2.14,$2.07,$2.13,"$60,479,490","$60,479,490"
"Aug 04, 2022",$2.08,$2.23,$2.02,$2.09,"$88,554,152","$88,554,152"
"Aug 03, 2022",$2.14,$2.19,$2.01,$2.08,"$101,332,159","$101,332,159"
"Aug 02, 2022",$2.28,$2.33,$2.10,$2.14,"$185,635,018","$185,635,018"
"Aug 01, 2022",$1.89,$2.60,$1.87,$2.28,"$648,431,142","$648,431,142"
"Jul 31, 2022",$1.85,$2.10,$1.85,$1.89,"$132,541,183","$132,541,183"
"Jul 30, 2022",$1.92,$1.99,$1.83,$1.85,"$75,797,658","$75,797,658"
"Jul 29, 2022",$1.86,$2.11,$1.84,$1.92,"$133,751,553","$133,751,553"
"Jul 28, 2022",$1.81,$1.90,$1.79,$1.86,"$84,495,880","$84,495,880"
"Jul 27, 2022",$1.71,$1.82,$1.70,$1.81,"$62,026,449","$62,026,449"
"Jul 26, 2022",$1.68,$1.71,$1.63,$1.71,"$53,965,562","$53,965,562"
"Jul 25, 2022",$1.87,$1.87,$1.66,$1.68,"$63,157,338","$63,157,338"
"Jul 24, 2022",$1.86,$1.92,$1.86,$1.87,"$41,406,214","$41,406,214"
"Jul 23, 2022",$1.86,$1.92,$1.81,$1.86,"$55,449,898","$55,449,898"
"Jul 22, 2022",$1.91,$1.94,$1.83,$1.86,"$53,816,587","$53,816,587"
"Jul 21, 2022",$1.90,$1.95,$1.81,$1.91,"$72,077,452","$72,077,452"
"Jul 20, 2022",$2.00,$2.17,$1.88,$1.90,"$150,034,343","$150,034,343"
"Jul 19, 2022",$2.06,$2.12,$1.88,$2.00,"$154,052,497","$154,052,497"
"Jul 18, 2022",$1.77,$2.19,$1.76,$2.07,"$231,941,828","$231,941,828"
"Jul 17, 2022",$1.79,$1.85,$1.75,$1.77,"$80,285,041","$80,285,041"
"Jul 16, 2022",$1.81,$1.82,$1.73,$1.79,"$88,326,910","$88,326,910"
"Jul 15, 2022",$1.77,$1.87,$1.74,$1.81,"$113,508,370","$113,508,370"
"Jul 14, 2022",$1.80,$1.83,$1.70,$1.76,"$99,864,399","$99,864,399"
"Jul 13, 2022",$1.82,$1.88,$1.57,$1.80,"$129,166,948","$129,166,948"
"Jul 12, 2022",$1.89,$1.92,$1.81,$1.82,"$96,072,499","$96,072,499"
"Jul 11, 2022",$2.11,$2.11,$1.86,$1.89,"$101,845,375","$101,845,375"
"Jul 10, 2022",$2.27,$2.27,$2.06,$2.12,"$87,484,537","$87,484,537"
"Jul 09, 2022",$2.27,$2.28,$2.23,$2.27,"$69,898,871","$69,898,871"
"Jul 08, 2022",$2.19,$2.44,$2.19,$2.27,"$171,240,883","$171,240,883"
"Jul 07, 2022",$2.15,$2.20,$2.13,$2.19,"$74,350,836","$74,350,836"
"Jul 06, 2022",$2.16,$2.17,$2.13,$2.15,"$71,096,937","$71,096,937"
"Jul 05, 2022",$2.25,$2.25,$2.11,$2.16,"$108,652,009","$108,652,009"
