Day,Open,High,Low,Close,Volume,Market Cap
"Sep 09, 2022",$1.00,$1.00,$1.00,$1.00,"$70,683,518,131","$70,683,518,131"
"Sep 08, 2022",$1.00,$1.00,$1.00,$1.00,"$49,640,976,411","$49,640,976,411"
"Sep 07, 2022",$1.00,$1.00,$1,$1.00,"$52,755,357,561","$52,755,357,561"
"Sep 06, 2022",$1.00,$1.00,$1,$1.00,"$64,015,343,588","$64,015,343,588"
"Sep 05, 2022",$1.00,$1.00,$1,$1.00,"$39,598,045,837","$39,598,045,837"
"Sep 04, 2022",$1.00,$1.00,$1,$1.00,"$31,495,577,330","$31,495,577,330"
"Sep 03, 2022",$1.00,$1.00,$1.00,$1.00,"$30,873,646,175","$30,873,646,175"
"Sep 02, 2022",$1,$1.00,$0.9999,$1.00,"$44,468,235,183","$44,468,235,183"
"Sep 01, 2022",$1.00,$1.00,$1,$1.00,"$44,702,355,872","$44,702,355,872"
"Aug 31, 2022",$1.00,$1.00,$1,$1.00,"$48,405,934,722","$48,405,934,722"
"Aug 30, 2022",$1.00,$1.00,$1,$1.00,"$50,170,084,207","$50,170,084,207"
"Aug 29, 2022",$1.00,$1.00,$1,$1.00,"$45,837,060,552","$45,837,060,552"
"Aug 28, 2022",$1.00,$1.00,$1,$1.00,"$34,337,927,087","$34,337,927,087"
"Aug 27, 2022",$1.00,$1.00,$1,$1.00,"$43,316,381,517","$43,316,381,517"
"Aug 26, 2022",$1.00,$1.00,$1,$1.00,"$62,406,193,046","$62,406,193,046"
"Aug 25, 2022",$1.00,$1.00,$1,$1.00,"$45,854,093,190","$45,854,093,190"
"Aug 24, 2022",$1,$1.00,$1,$1.00,"$48,708,536,003","$48,708,536,003"
"Aug 23, 2022",$1,$1.00,$0.9999,$1,"$52,978,066,914","$52,978,066,914"
"Aug 22, 2022",$1,$1.00,$0.9999,$1,"$51,710,064,329","$51,710,064,329"
"Aug 21, 2022",$1,$1.00,$0.9999,$1,"$45,699,064,002","$45,699,064,002"
"Aug 20, 2022",$1.00,$1.00,$1,$1,"$64,302,127,382","$64,302,127,382"
"Aug 19, 2022",$1,$1.00,$0.9999,$1.00,"$64,302,127,382","$64,302,127,382"
"Aug 18, 2022",$1.00,$1.00,$0.9999,$1,"$43,149,679,443","$43,149,679,443"
"Aug 17, 2022",$1.00,$1.00,$1,$1.00,"$53,355,167,557","$53,355,167,557"
"Aug 16, 2022",$1.00,$1.00,$1.00,$1.00,"$46,945,222,159","$46,945,222,159"
"Aug 15, 2022",$1.00,$1.00,$1.00,$1.00,"$57,703,388,667","$57,703,388,667"
"Aug 14, 2022",$1.00,$1.00,$1.00,$1.00,"$43,866,838,979","$43,866,838,979"
"Aug 13, 2022",$1.00,$1.00,$1.00,$1.00,"$41,593,883,061","$41,593,883,061"
"Aug 12, 2022",$1.00,$1.00,$1.00,$1.00,"$46,783,370,955","$46,783,370,955"
"Aug 11, 2022",$1.00,$1.00,$1.00,$1.00,"$64,445,391,375","$64,445,391,375"
"Aug 10, 2022",$1.00,$1.00,$1.00,$1.00,"$60,085,173,824","$60,085,173,824"
"Aug 09, 2022",$1.00,$1.00,$1.00,$1.00,"$46,070,684,571","$46,070,684,571"
"Aug 08, 2022",$1.00,$1.00,$1.00,$1.00,"$50,243,147,547","$50,243,147,547"
"Aug 07, 2022",$1.00,$1.00,$1.00,$1.00,"$29,901,528,651","$29,901,528,651"
"Aug 06, 2022",$1.00,$1.00,$1.00,$1.00,"$32,961,917,502","$32,961,917,502"
"Aug 05, 2022",$1.00,$1.00,$1.00,$1.00,"$49,723,473,321","$49,723,473,321"
"Aug 04, 2022",$1.00,$1.00,$1.00,$1.00,"$44,526,180,493","$44,526,180,493"
"Aug 03, 2022",$1.00,$1.00,$1.00,$1.00,"$47,717,439,471","$47,717,439,471"
"Aug 02, 2022",$1.00,$1.00,$1.00,$1.00,"$54,793,315,279","$54,793,315,279"
"Aug 01, 2022",$1.00,$1.00,$1.00,$1.00,"$50,882,756,969","$50,882,756,969"
"Jul 31, 2022",$1.00,$1.00,$1.00,$1.00,"$52,267,348,020","$52,267,348,020"
"Jul 30, 2022",$1.00,$1.00,$1.00,$1.00,"$57,489,826,931","$57,489,826,931"
"Jul 29, 2022",$1.00,$1.00,$1.00,$1.00,"$72,013,108,986","$72,013,108,986"
"Jul 28, 2022",$1.00,$1.00,$1.00,$1.00,"$75,754,591,120","$75,754,591,120"
"Jul 27, 2022",$1.00,$1.00,$1,$1.00,"$60,104,591,185","$60,104,591,185"
"Jul 26, 2022",$1.00,$1.00,$1,$1.00,"$48,266,723,630","$48,266,723,630"
"Jul 25, 2022",$1.00,$1.00,$1.00,$1.00,"$56,307,512,994","$56,307,512,994"
"Jul 24, 2022",$1.00,$1.00,$0.9999,$1.00,"$41,955,275,140","$41,955,275,140"
"Jul 23, 2022",$1.00,$1.00,$1,$1.00,"$43,014,917,183","$43,014,917,183"
"Jul 22, 2022",$1.00,$1.00,$1.00,$1.00,"$51,645,071,119","$51,645,071,119"
"Jul 21, 2022",$1.00,$1.00,$0.9999,$1.00,"$55,292,189,306","$55,292,189,306"
"Jul 20, 2022",$1.00,$1.00,$1.00,$1.00,"$68,306,872,702","$68,306,872,702"
"Jul 19, 2022",$0.9998,$1.00,$0.9998,$1.00,"$77,160,548,741","$77,160,548,741"
"Jul 18, 2022",$0.9997,$1,$0.9997,$0.9998,"$70,390,606,911","$70,390,606,911"
"Jul 17, 2022",$0.9998,$0.9999,$0.9997,$0.9997,"$42,189,248,625","$42,189,248,625"
"Jul 16, 2022",$0.9997,$0.9999,$0.9997,$0.9998,"$44,126,749,597","$44,126,749,597"
"Jul 15, 2022",$0.9994,$0.9997,$0.9993,$0.9997,"$45,982,487,607","$45,982,487,607"
"Jul 14, 2022",$0.9994,$0.9995,$0.9993,$0.9994,"$49,222,660,233","$49,222,660,233"
"Jul 13, 2022",$0.9993,$0.9994,$0.9992,$0.9994,"$51,757,860,849","$51,757,860,849"
"Jul 12, 2022",$0.9992,$0.9994,$0.9991,$0.9993,"$40,368,791,506","$40,368,791,506"
"Jul 11, 2022",$0.9995,$0.9996,$0.9991,$0.9992,"$38,726,869,251","$38,726,869,251"
"Jul 10, 2022",$0.9995,$0.9996,$0.9994,$0.9995,"$40,170,710,077","$40,170,710,077"
"Jul 09, 2022",$0.9994,$0.9996,$0.9993,$0.9995,"$38,957,001,478","$38,957,001,478"
"Jul 08, 2022",$0.9994,$0.9996,$0.9993,$0.9994,"$64,720,676,603","$64,720,676,603"
"Jul 07, 2022",$0.9991,$0.9995,$0.999,$0.9994,"$41,395,542,117","$41,395,542,117"
"Jul 06, 2022",$0.9991,$0.9992,$0.999,$0.9991,"$41,932,894,214","$41,932,894,214"
"Jul 05, 2022",$0.9991,$0.9992,$0.9989,$0.9991,"$46,794,873,591","$46,794,873,591"
"Jul 04, 2022",$0.9991,$0.9992,$0.999,$0.9991,"$37,816,157,114","$37,816,157,114"
"Jul 03, 2022",$0.999,$0.9991,$0.9989,$0.9991,"$27,890,770,459","$27,890,770,459"
"Jul 02, 2022",$0.9989,$0.9991,$0.9988,$0.999,"$31,666,712,588","$31,666,712,588"
"Jul 01, 2022",$0.9989,$0.9991,$0.9987,$0.9989,"$49,683,415,220","$49,683,415,220"
"Jun 30, 2022",$0.9989,$0.9991,$0.9988,$0.9988,"$45,578,518,327","$45,578,518,327"
"Jun 29, 2022",$0.9988,$0.9991,$0.9985,$0.9989,"$44,380,636,377","$44,380,636,377"
"Jun 28, 2022",$0.9991,$0.9991,$0.9988,$0.9988,"$40,773,930,242","$40,773,930,242"
"Jun 27, 2022",$0.9995,$0.9996,$0.999,$0.9991,"$39,296,953,700","$39,296,953,700"
"Jun 26, 2022",$0.9996,$0.9996,$0.9994,$0.9994,"$37,228,683,270","$37,228,683,270"
"Jun 25, 2022",$0.9993,$0.9996,$0.9993,$0.9995,"$36,390,241,725","$36,390,241,725"
"Jun 24, 2022",$0.9993,$0.9995,$0.9991,$0.9993,"$46,919,267,632","$46,919,267,632"
"Jun 23, 2022",$0.9991,$0.9993,$0.9989,$0.9993,"$43,198,538,082","$43,198,538,082"
"Jun 22, 2022",$0.9991,$0.9991,$0.9989,$0.9991,"$46,130,025,676","$46,130,025,676"
"Jun 21, 2022",$0.999,$0.9992,$0.9989,$0.9991,"$50,165,859,626","$50,165,859,626"
"Jun 20, 2022",$0.9989,$0.9991,$0.9986,$0.999,"$52,157,987,688","$52,157,987,688"
"Jun 19, 2022",$0.9987,$0.999,$0.9985,$0.999,"$55,603,476,684","$55,603,476,684"
"Jun 18, 2022",$0.999,$0.999,$0.9985,$0.9987,"$61,973,128,141","$61,973,128,141"
"Jun 17, 2022",$0.999,$0.9991,$0.9987,$0.999,"$43,836,219,287","$43,836,219,287"
"Jun 16, 2022",$0.9989,$0.9991,$0.9986,$0.9989,"$52,400,892,767","$52,400,892,767"
"Jun 15, 2022",$0.9989,$0.999,$0.9982,$0.9989,"$89,017,006,423","$89,017,006,423"
"Jun 14, 2022",$0.9986,$0.9991,$0.9986,$0.999,"$81,024,425,505","$81,024,425,505"
"Jun 13, 2022",$0.9991,$0.9991,$0.9975,$0.9986,"$107,410,569,162","$107,410,569,162"
"Jun 12, 2022",$0.999,$0.9991,$0.9988,$0.9991,"$59,051,274,983","$59,051,274,983"
"Jun 11, 2022",$0.9992,$0.9993,$0.999,$0.999,"$48,736,816,876","$48,736,816,876"
"Jun 10, 2022",$0.9994,$0.9994,$0.9991,$0.9992,"$49,685,289,881","$49,685,289,881"
"Jun 09, 2022",$0.9993,$0.9995,$0.9992,$0.9993,"$42,359,067,750","$42,359,067,750"
"Jun 08, 2022",$0.9994,$0.9996,$0.9992,$0.9993,"$52,176,620,958","$52,176,620,958"
"Jun 07, 2022",$0.9993,$0.9996,$0.9991,$0.9994,"$67,008,901,675","$67,008,901,675"
"Jun 06, 2022",$0.9993,$0.9995,$0.9992,$0.9993,"$51,540,243,030","$51,540,243,030"
"Jun 05, 2022",$0.9993,$0.9994,$0.9992,$0.9993,"$30,872,185,296","$30,872,185,296"
"Jun 04, 2022",$0.9992,$0.9994,$0.999,$0.9993,"$30,834,183,068","$30,834,183,068"
"Jun 03, 2022",$0.9993,$0.9995,$0.999,$0.9992,"$43,789,145,735","$43,789,145,735"
"Jun 02, 2022",$0.9992,$0.9995,$0.9991,$0.9993,"$50,520,845,556","$50,520,845,556"
"Jun 01, 2022",$0.9994,$0.9995,$0.9989,$0.9993,"$68,866,735,590","$68,866,735,590"
"May 31, 2022",$0.9994,$0.9995,$0.9993,$0.9994,"$62,841,794,272","$62,841,794,272"
"May 30, 2022",$0.9992,$0.9995,$0.999,$0.9994,"$65,155,466,235","$65,155,466,235"
"May 29, 2022",$0.999,$0.9992,$0.9989,$0.9992,"$34,572,061,153","$34,572,061,153"
"May 28, 2022",$0.999,$0.9992,$0.9988,$0.999,"$37,159,842,905","$37,159,842,905"
"May 27, 2022",$0.9989,$0.9992,$0.9988,$0.9989,"$67,961,870,830","$67,961,870,830"
"May 26, 2022",$0.999,$0.9992,$0.9988,$0.9989,"$67,771,285,444","$67,771,285,444"
"May 25, 2022",$0.9991,$0.9992,$0.9988,$0.999,"$50,311,844,127","$50,311,844,127"
"May 24, 2022",$0.999,$0.9992,$0.9988,$0.9991,"$51,053,417,289","$51,053,417,289"
"May 23, 2022",$0.9991,$0.9993,$0.9988,$0.9991,"$58,585,612,765","$58,585,612,765"
"May 22, 2022",$0.9988,$0.9991,$0.9986,$0.9991,"$40,965,864,100","$40,965,864,100"
"May 21, 2022",$0.9989,$0.999,$0.9986,$0.9988,"$34,924,240,134","$34,924,240,134"
"May 20, 2022",$0.999,$0.9994,$0.9987,$0.9988,"$54,960,961,209","$54,960,961,209"
"May 19, 2022",$0.9988,$0.9991,$0.9985,$0.999,"$59,651,836,770","$59,651,836,770"
"May 18, 2022",$0.9989,$0.9991,$0.9985,$0.9988,"$56,067,250,693","$56,067,250,693"
"May 17, 2022",$0.9988,$0.9991,$0.9987,$0.9989,"$55,745,978,864","$55,745,978,864"
"May 16, 2022",$0.9991,$0.9992,$0.9987,$0.9988,"$62,504,490,441","$62,504,490,441"
"May 15, 2022",$0.9988,$0.9991,$0.9985,$0.9991,"$53,979,914,930","$53,979,914,930"
"May 14, 2022",$0.9982,$0.999,$0.9978,$0.9988,"$60,781,876,668","$60,781,876,668"
"May 13, 2022",$0.9975,$0.9992,$0.9969,$0.9982,"$87,009,885,196","$87,009,885,196"
"May 12, 2022",$0.9959,$0.9977,$0.9485,$0.9976,"$141,052,751,792","$141,052,751,792"
"May 11, 2022",$0.9998,$1,$0.9935,$0.9959,"$159,700,404,396","$159,700,404,396"
"May 10, 2022",$0.9999,$1.00,$0.9997,$0.9998,"$128,692,083,965","$128,692,083,965"
"May 09, 2022",$0.9999,$1.00,$0.9998,$0.9999,"$120,710,294,040","$120,710,294,040"
"May 08, 2022",$0.9999,$1.00,$0.9997,$0.9999,"$77,900,163,502","$77,900,163,502"
"May 07, 2022",$1,$1.00,$0.9998,$0.9999,"$57,202,594,793","$57,202,594,793"
"May 06, 2022",$1,$1.00,$0.9999,$1,"$81,327,879,764","$81,327,879,764"
"May 05, 2022",$1.00,$1.00,$0.9999,$1,"$85,679,638,685","$85,679,638,685"
"May 04, 2022",$1.00,$1.00,$0.9999,$1.00,"$72,222,517,203","$72,222,517,203"
"May 03, 2022",$1,$1.00,$0.9999,$1.00,"$52,924,035,065","$52,924,035,065"
"May 02, 2022",$1.00,$1.00,$0.9999,$1,"$63,751,566,652","$63,751,566,652"
"May 01, 2022",$1.00,$1.00,$1.00,$1.00,"$61,420,362,842","$61,420,362,842"
"Apr 30, 2022",$1.00,$1.00,$1,$1.00,"$57,266,339,850","$57,266,339,850"
"Apr 29, 2022",$1.00,$1.00,$1,$1.00,"$67,899,674,445","$67,899,674,445"
"Apr 28, 2022",$1.00,$1.00,$1.00,$1.00,"$68,392,086,439","$68,392,086,439"
