Day,Open,High,Low,Close,Volume,Market Cap
"Sep 26, 2022",$0.03912,$0.03982,$0.03893,$0.03909,$108,$108
"Sep 25, 2022",$0.03894,$0.03912,$0.0389,$0.03912,$88,$88
"Sep 24, 2022",$0.03894,$0.03895,$0.03894,$0.03894,$85,$85
"Sep 23, 2022",$0.0394,$0.0394,$0.03894,$0.03894,$93,$93
"Sep 22, 2022",$0.03949,$0.04034,$0.0394,$0.0394,$104,$104
"Sep 21, 2022",$0.04549,$0.04549,$0.03567,$0.03949,$109,$109
"Sep 20, 2022",$0.04495,$0.04612,$0.03486,$0.04549,$232,$232
"Sep 19, 2022",$0.04625,$0.04627,$0.04049,$0.04495,$145,$145
"Sep 18, 2022",$0.04156,$0.04625,$0.0413,$0.04625,$194,$194
"Sep 17, 2022",$0.04102,$0.04534,$0.03403,$0.04156,$163,$163
"Sep 16, 2022",$0.04014,$0.04692,$0.04014,$0.04102,$245,$245
"Sep 15, 2022",$0.04796,$0.04941,$0.04013,$0.04014,"$1,002","$1,002"
"Sep 14, 2022",$0.04678,$0.05381,$0.0419,$0.04796,"$1,119","$1,119"
"Sep 13, 2022",$0.05852,$0.05853,$0.04333,$0.04708,"$1,754","$1,754"
"Sep 12, 2022",$0.04348,$0.05853,$0.03959,$0.05853,"$8,669","$8,669"
"Sep 11, 2022",$0.04915,$0.05027,$0.04007,$0.04348,"$11,291","$11,291"
"Sep 10, 2022",$0.05151,$0.05153,$0.0466,$0.04915,"$1,037","$1,037"
"Sep 09, 2022",$0.05423,$0.05444,$0.04946,$0.05151,"$2,203","$2,203"
"Sep 08, 2022",$0.05899,$0.05899,$0.05242,$0.05423,"$2,100","$2,100"
"Sep 07, 2022",$0.05065,$0.05976,$0.05001,$0.05899,"$2,250","$2,250"
"Sep 06, 2022",$0.05605,$0.06584,$0.05002,$0.05065,"$1,971","$1,971"
"Sep 05, 2022",$0.04737,$0.07069,$0.04729,$0.05605,"$3,892","$3,892"
"Sep 04, 2022",$0.05229,$0.05569,$0.04737,$0.04737,"$1,936","$1,936"
"Sep 03, 2022",$0.05165,$0.0525,$0.04476,$0.05229,"$1,074","$1,074"
"Sep 02, 2022",$0.04753,$0.05529,$0.0436,$0.05165,"$2,946","$2,946"
"Sep 01, 2022",$0.04709,$0.05023,$0.04158,$0.04753,"$1,333","$1,333"
"Aug 31, 2022",$0.05616,$0.05925,$0.04483,$0.04709,"$1,303","$1,303"
"Aug 30, 2022",$0.05827,$0.06309,$0.0477,$0.05616,"$1,722","$1,722"
"Aug 29, 2022",$0.03849,$0.05999,$0.0372,$0.05827,$646,$646
"Aug 28, 2022",$0.04599,$0.04772,$0.03844,$0.03849,$983,$983
"Aug 27, 2022",$0.04502,$0.04641,$0.04027,$0.04599,"$1,175","$1,175"
"Aug 26, 2022",$0.05,$0.0507,$0.0308,$0.04502,"$1,149","$1,149"
"Aug 25, 2022",$0.04937,$0.05602,$0.0309,$0.05,"$1,602","$1,602"
"Aug 24, 2022",$0.06036,$0.06948,$0.04766,$0.04937,"$3,437","$3,437"
"Aug 23, 2022",$0.05029,$0.08814,$0.04929,$0.06036,"$4,020","$4,020"
"Aug 22, 2022",$0.05002,$0.05042,$0.05,$0.05029,"$6,637","$6,637"
"Aug 21, 2022",$0.05015,$0.05022,$0.05001,$0.05002,"$6,458","$6,458"
"Aug 20, 2022",$0.05019,$0.05027,$0.04969,$0.05015,"$6,505","$6,505"
"Aug 19, 2022",$0.05074,$0.05074,$0.05019,$0.05019,"$6,526","$6,526"
"Aug 18, 2022",$0.0507,$0.0511,$0.05047,$0.05074,"$6,647","$6,647"
"Aug 17, 2022",$0.05024,$0.05076,$0.05015,$0.0507,"$6,649","$6,649"
"Aug 16, 2022",$0.05012,$0.05034,$0.05007,$0.05024,"$6,545","$6,545"
"Aug 15, 2022",$0.05038,$0.05039,$0.05006,$0.05012,"$6,478","$6,478"
"Aug 14, 2022",$0.05393,$0.05393,$0.05027,$0.05038,"$6,656","$6,656"
"Aug 13, 2022",$0.05113,$0.05451,$0.05038,$0.05393,"$7,772","$7,772"
"Aug 12, 2022",$0.05149,$0.06098,$0.05053,$0.05113,"$6,817","$6,817"
"Aug 11, 2022",$0.07106,$0.08215,$0.05101,$0.05149,"$9,843","$9,843"
"Aug 10, 2022",$0.1736,$0.22,$0.06201,$0.07106,"$32,636","$32,636"
"Aug 09, 2022",$4.04,$4.10,$0.1727,$0.1736,"$338,518","$338,518"
"Aug 08, 2022",$3.93,$4.14,$3.91,$4.04,"$392,672","$392,672"
"Aug 07, 2022",$3.88,$3.96,$3.86,$3.93,"$215,672","$215,672"
"Aug 06, 2022",$3.97,$4.02,$3.88,$3.88,"$572,459","$572,459"
"Aug 05, 2022",$3.76,$3.97,$3.76,$3.97,"$136,440","$136,440"
"Aug 04, 2022",$3.79,$3.87,$3.72,$3.76,"$365,098","$365,098"
"Aug 03, 2022",$3.75,$3.92,$3.68,$3.79,"$604,795","$604,795"
"Aug 02, 2022",$3.48,$3.83,$3.36,$3.75,"$472,692","$472,692"
"Aug 01, 2022",$3.54,$3.57,$3.43,$3.48,"$374,867","$374,867"
"Jul 31, 2022",$3.57,$3.66,$3.52,$3.54,"$139,725","$139,725"
"Jul 30, 2022",$3.70,$3.78,$3.56,$3.57,"$367,069","$367,069"
"Jul 29, 2022",$3.71,$3.79,$3.61,$3.70,"$711,028","$711,028"
"Jul 28, 2022",$3.54,$3.79,$3.48,$3.71,"$459,637","$459,637"
"Jul 27, 2022",$3.20,$3.54,$3.16,$3.54,"$383,029","$383,029"
"Jul 26, 2022",$2.87,$3.20,$2.82,$3.20,"$391,346","$391,346"
"Jul 25, 2022",$3.01,$3.02,$2.86,$2.87,"$308,842","$308,842"
"Jul 24, 2022",$2.96,$3.09,$2.94,$3.01,"$315,554","$315,554"
"Jul 23, 2022",$2.96,$3.03,$2.88,$2.96,"$287,868","$287,868"
"Jul 22, 2022",$3.03,$3.12,$2.93,$2.96,"$330,159","$330,159"
"Jul 21, 2022",$2.97,$3.05,$2.89,$3.03,"$355,628","$355,628"
"Jul 20, 2022",$3.01,$3.12,$2.94,$2.97,"$304,533","$304,533"
"Jul 19, 2022",$3.10,$3.15,$2.86,$3.01,"$343,098","$343,098"
"Jul 18, 2022",$2.73,$3.10,$2.73,$3.10,"$326,076","$326,076"
"Jul 17, 2022",$2.92,$2.96,$2.73,$2.73,"$282,496","$282,496"
"Jul 16, 2022",$2.74,$2.93,$2.68,$2.92,"$85,712","$85,712"
"Jul 15, 2022",$2.77,$2.84,$2.70,$2.74,"$322,755","$322,755"
"Jul 14, 2022",$2.30,$2.80,$2.27,$2.77,"$297,298","$297,298"
"Jul 13, 2022",$2.17,$2.30,$2.13,$2.30,"$216,727","$216,727"
"Jul 12, 2022",$2.27,$2.28,$2.16,$2.17,"$336,865","$336,865"
"Jul 11, 2022",$2.38,$2.38,$2.27,$2.27,"$215,173","$215,173"
"Jul 10, 2022",$2.48,$2.49,$2.37,$2.38,"$81,711","$81,711"
"Jul 09, 2022",$2.49,$2.51,$2.46,$2.48,"$334,935","$334,935"
"Jul 08, 2022",$2.50,$2.57,$2.44,$2.49,"$72,668","$72,668"
"Jul 07, 2022",$2.35,$2.52,$2.32,$2.50,"$256,183","$256,183"
"Jul 06, 2022",$2.37,$2.39,$2.26,$2.35,"$211,327","$211,327"
