Day,Open,High,Low,Close,Volume,Market Cap
"Sep 16, 2022",$0.05482,$0.05579,$0.05431,$0.05516,"$11,605,492","$11,605,492"
"Sep 15, 2022",$0.05862,$0.05866,$0.05461,$0.05482,"$14,059,408","$14,059,408"
"Sep 14, 2022",$0.05684,$0.05959,$0.05618,$0.0586,"$33,120,680","$33,120,680"
"Sep 13, 2022",$0.06051,$0.06502,$0.05618,$0.05906,"$109,803,855","$109,803,855"
"Sep 12, 2022",$0.05908,$0.06301,$0.05826,$0.0605,"$42,380,875","$42,380,875"
"Sep 11, 2022",$0.05885,$0.05941,$0.05773,$0.05908,"$8,228,724","$8,228,724"
"Sep 10, 2022",$0.05882,$0.05998,$0.05773,$0.0588,"$14,180,119","$14,180,119"
"Sep 09, 2022",$0.05578,$0.05946,$0.05559,$0.05882,"$17,040,190","$17,040,190"
"Sep 08, 2022",$0.05477,$0.05578,$0.05376,$0.05578,"$11,265,126","$11,265,126"
"Sep 07, 2022",$0.05224,$0.05532,$0.05174,$0.05478,"$25,113,983","$25,113,983"
"Sep 06, 2022",$0.05666,$0.05748,$0.05225,$0.05225,"$9,335,084","$9,335,084"
"Sep 05, 2022",$0.05738,$0.05747,$0.05531,$0.05666,"$7,443,799","$7,443,799"
"Sep 04, 2022",$0.05705,$0.05742,$0.05631,$0.05738,"$6,565,993","$6,565,993"
"Sep 03, 2022",$0.05831,$0.0585,$0.05663,$0.05703,"$9,013,878","$9,013,878"
"Sep 02, 2022",$0.05923,$0.05987,$0.05786,$0.0583,"$9,244,867","$9,244,867"
"Sep 01, 2022",$0.05993,$0.06133,$0.05727,$0.05921,"$15,324,074","$15,324,074"
"Aug 31, 2022",$0.05786,$0.06435,$0.05771,$0.05992,"$52,032,895","$52,032,895"
"Aug 30, 2022",$0.05952,$0.05988,$0.05643,$0.05785,"$13,730,747","$13,730,747"
"Aug 29, 2022",$0.05773,$0.05955,$0.05558,$0.05951,"$25,149,222","$25,149,222"
"Aug 28, 2022",$0.06201,$0.06454,$0.05772,$0.05772,"$36,218,975","$36,218,975"
"Aug 27, 2022",$0.06387,$0.06657,$0.06024,$0.06197,"$44,978,157","$44,978,157"
"Aug 26, 2022",$0.06235,$0.07423,$0.06226,$0.0636,"$197,968,477","$197,968,477"
"Aug 25, 2022",$0.05738,$0.0678,$0.05736,$0.06236,"$104,402,815","$104,402,815"
"Aug 24, 2022",$0.05638,$0.05812,$0.05484,$0.05737,"$10,730,673","$10,730,673"
"Aug 23, 2022",$0.05641,$0.05653,$0.05436,$0.05644,"$8,716,016","$8,716,016"
"Aug 22, 2022",$0.05828,$0.05828,$0.05463,$0.05636,"$10,972,218","$10,972,218"
"Aug 21, 2022",$0.05706,$0.05855,$0.05635,$0.05827,"$5,890,352","$5,890,352"
"Aug 20, 2022",$0.05788,$0.05979,$0.05542,$0.05704,"$11,432,988","$11,432,988"
"Aug 19, 2022",$0.06665,$0.06667,$0.05786,$0.05789,"$19,753,421","$19,753,421"
"Aug 18, 2022",$0.06793,$0.06977,$0.06653,$0.06666,"$12,705,859","$12,705,859"
"Aug 17, 2022",$0.07226,$0.0732,$0.06777,$0.06789,"$21,285,909","$21,285,909"
"Aug 16, 2022",$0.07477,$0.07589,$0.07141,$0.07225,"$26,577,954","$26,577,954"
"Aug 15, 2022",$0.0733,$0.07755,$0.07248,$0.07478,"$47,241,179","$47,241,179"
"Aug 14, 2022",$0.07501,$0.07632,$0.07258,$0.07328,"$19,747,812","$19,747,812"
