Day,Open,High,Low,Close,Volume,Market Cap
"Sep 10, 2022",$1.19,$1.21,$1.17,$1.19,"$35,780,761","$35,780,761"
"Sep 09, 2022",$1.13,$1.20,$1.12,$1.19,"$43,082,415","$43,082,415"
"Sep 08, 2022",$1.11,$1.13,$1.09,$1.13,"$29,703,562","$29,703,562"
"Sep 07, 2022",$1.07,$1.12,$1.06,$1.11,"$28,673,259","$28,673,259"
"Sep 06, 2022",$1.18,$1.21,$1.07,$1.07,"$38,346,519","$38,346,519"
"Sep 05, 2022",$1.17,$1.18,$1.15,$1.18,"$23,544,456","$23,544,456"
"Sep 04, 2022",$1.15,$1.17,$1.13,$1.17,"$17,682,021","$17,682,021"
"Sep 03, 2022",$1.13,$1.15,$1.12,$1.15,"$16,129,053","$16,129,053"
"Sep 02, 2022",$1.16,$1.18,$1.12,$1.13,"$27,697,379","$27,697,379"
"Sep 01, 2022",$1.16,$1.17,$1.12,$1.16,"$30,448,866","$30,448,866"
"Aug 31, 2022",$1.15,$1.20,$1.15,$1.16,"$30,160,062","$30,160,062"
"Aug 30, 2022",$1.18,$1.20,$1.12,$1.15,"$29,160,011","$29,160,011"
"Aug 29, 2022",$1.09,$1.19,$1.09,$1.18,"$38,614,695","$38,614,695"
"Aug 28, 2022",$1.13,$1.15,$1.09,$1.09,"$25,552,586","$25,552,586"
"Aug 27, 2022",$1.15,$1.16,$1.11,$1.13,"$36,294,031","$36,294,031"
"Aug 26, 2022",$1.26,$1.30,$1.14,$1.15,"$87,312,111","$87,312,111"
"Aug 25, 2022",$1.23,$1.29,$1.23,$1.26,"$34,567,195","$34,567,195"
"Aug 24, 2022",$1.24,$1.26,$1.20,$1.23,"$29,755,078","$29,755,078"
"Aug 23, 2022",$1.22,$1.24,$1.17,$1.24,"$24,609,667","$24,609,667"
"Aug 22, 2022",$1.23,$1.23,$1.16,$1.22,"$27,919,688","$27,919,688"
