Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$0.09013,$0.09161,$0.08869,$0.09126,"$1,071,754","$1,071,754"
"Sep 21, 2022",$0.08888,$0.09171,$0.0871,$0.09004,"$1,052,410","$1,052,410"
"Sep 20, 2022",$0.09585,$0.09817,$0.08904,$0.08981,"$1,300,417","$1,300,417"
"Sep 19, 2022",$0.09078,$0.1274,$0.09043,$0.0958,"$2,245,645","$2,245,645"
"Sep 18, 2022",$0.09559,$0.1091,$0.09048,$0.09073,"$1,591,968","$1,591,968"
"Sep 17, 2022",$0.09149,$0.09808,$0.09119,$0.09555,"$1,099,219","$1,099,219"
"Sep 16, 2022",$0.09124,$0.09282,$0.08646,$0.09148,"$1,309,064","$1,309,064"
"Sep 15, 2022",$0.09145,$0.09565,$0.08979,$0.09112,"$998,301","$998,301"
"Sep 14, 2022",$0.09177,$0.09203,$0.0874,$0.09145,"$1,147,328","$1,147,328"
"Sep 13, 2022",$0.09394,$0.09489,$0.09092,$0.09132,"$886,622","$886,622"
"Sep 12, 2022",$0.09325,$0.09493,$0.0919,$0.09392,"$1,201,854","$1,201,854"
"Sep 11, 2022",$0.09679,$0.0972,$0.09267,$0.09323,"$1,144,458","$1,144,458"
"Sep 10, 2022",$0.09601,$0.09691,$0.09249,$0.0967,"$1,147,107","$1,147,107"
"Sep 09, 2022",$0.09616,$0.1012,$0.09491,$0.09604,"$1,421,739","$1,421,739"
"Sep 08, 2022",$0.1002,$0.1088,$0.09289,$0.09611,"$1,819,214","$1,819,214"
"Sep 07, 2022",$0.1308,$0.1351,$0.09764,$0.1002,"$3,347,893","$3,347,893"
"Sep 06, 2022",$0.09312,$0.1315,$0.0922,$0.131,"$3,410,058","$3,410,058"
"Sep 05, 2022",$0.09229,$0.0942,$0.0908,$0.09312,"$1,184,006","$1,184,006"
"Sep 04, 2022",$0.09078,$0.09231,$0.08837,$0.09231,"$1,195,914","$1,195,914"
"Sep 03, 2022",$0.09272,$0.09325,$0.08921,$0.09079,"$1,140,172","$1,140,172"
"Sep 02, 2022",$0.09102,$0.09482,$0.09031,$0.09277,"$1,163,290","$1,163,290"
"Sep 01, 2022",$0.09127,$0.09246,$0.0891,$0.09101,"$1,058,751","$1,058,751"
"Aug 31, 2022",$0.09091,$0.09368,$0.0903,$0.09126,"$1,220,086","$1,220,086"
"Aug 30, 2022",$0.09331,$0.09453,$0.08944,$0.09038,"$1,050,258","$1,050,258"
"Aug 29, 2022",$0.09262,$0.09416,$0.0887,$0.0933,"$1,102,981","$1,102,981"
"Aug 28, 2022",$0.0869,$0.0935,$0.08584,$0.09268,"$1,226,458","$1,226,458"
"Aug 27, 2022",$0.089,$0.09747,$0.0854,$0.08687,"$1,523,788","$1,523,788"
"Aug 26, 2022",$0.0876,$0.09756,$0.08222,$0.08901,"$1,807,762","$1,807,762"
"Aug 25, 2022",$0.08649,$0.09153,$0.08613,$0.08754,"$1,534,903","$1,534,903"
"Aug 24, 2022",$0.08459,$0.08705,$0.08338,$0.08649,"$1,615,500","$1,615,500"
"Aug 23, 2022",$0.08785,$0.08842,$0.08391,$0.08459,"$1,544,293","$1,544,293"
"Aug 22, 2022",$0.08821,$0.08876,$0.08434,$0.08791,"$1,701,946","$1,701,946"
"Aug 21, 2022",$0.0832,$0.08824,$0.08308,$0.08824,"$1,585,130","$1,585,130"
"Aug 20, 2022",$0.08161,$0.08363,$0.08129,$0.08314,"$1,502,670","$1,502,670"
