Day,Open,High,Low,Close,Volume,Market Cap
"Sep 10, 2022",$2.01,$2.05,$1.98,$2.04,"$64,405,412","$64,405,412"
"Sep 09, 2022",$1.84,$2.02,$1.84,$2.01,"$84,136,385","$84,136,385"
"Sep 08, 2022",$1.84,$1.88,$1.81,$1.84,"$60,124,514","$60,124,514"
"Sep 07, 2022",$1.76,$1.86,$1.73,$1.84,"$49,212,380","$49,212,380"
"Sep 06, 2022",$1.92,$1.97,$1.76,$1.76,"$90,788,368","$90,788,368"
"Sep 05, 2022",$1.94,$1.96,$1.86,$1.92,"$39,660,803","$39,660,803"
"Sep 04, 2022",$1.89,$1.94,$1.89,$1.94,"$30,029,864","$30,029,864"
"Sep 03, 2022",$1.90,$1.91,$1.87,$1.89,"$24,880,561","$24,880,561"
"Sep 02, 2022",$1.94,$1.98,$1.88,$1.91,"$53,617,088","$53,617,088"
"Sep 01, 2022",$1.91,$1.94,$1.85,$1.94,"$52,885,755","$52,885,755"
"Aug 31, 2022",$1.89,$1.98,$1.89,$1.92,"$64,147,321","$64,147,321"
"Aug 30, 2022",$1.96,$1.99,$1.85,$1.89,"$74,238,690","$74,238,690"
"Aug 29, 2022",$1.84,$1.96,$1.84,$1.96,"$64,218,602","$64,218,602"
"Aug 28, 2022",$1.95,$1.97,$1.84,$1.84,"$56,533,539","$56,533,539"
"Aug 27, 2022",$1.95,$1.97,$1.91,$1.95,"$68,111,953","$68,111,953"
"Aug 26, 2022",$2.19,$2.20,$1.93,$1.95,"$132,219,287","$132,219,287"
"Aug 25, 2022",$2.19,$2.28,$2.16,$2.19,"$81,692,224","$81,692,224"
"Aug 24, 2022",$2.17,$2.25,$2.10,$2.19,"$88,351,717","$88,351,717"
"Aug 23, 2022",$2.13,$2.19,$2.06,$2.17,"$91,008,633","$91,008,633"
"Aug 22, 2022",$2.17,$2.17,$2.04,$2.13,"$81,913,792","$81,913,792"
"Aug 21, 2022",$2.09,$2.20,$2.09,$2.17,"$81,184,350","$81,184,350"
"Aug 20, 2022",$2.09,$2.19,$2.03,$2.09,"$106,011,527","$106,011,527"
"Aug 19, 2022",$2.40,$2.40,$2.09,$2.09,"$154,881,286","$154,881,286"
"Aug 18, 2022",$2.48,$2.57,$2.40,$2.40,"$93,375,939","$93,375,939"
"Aug 17, 2022",$2.64,$2.79,$2.48,$2.48,"$135,730,600","$135,730,600"
