Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.006295,$0.006324,$0.006261,$0.006309,"$400,184","$400,184"
"Sep 18, 2022",$0.006294,$0.006329,$0.006214,$0.006295,"$278,063","$278,063"
"Sep 17, 2022",$0.006235,$0.006318,$0.006209,$0.0063,"$345,410","$345,410"
"Sep 16, 2022",$0.006112,$0.006248,$0.006079,$0.006233,"$367,565","$367,565"
"Sep 15, 2022",$0.006168,$0.006195,$0.005851,$0.00612,"$385,559","$385,559"
"Sep 14, 2022",$0.006189,$0.006205,$0.006001,$0.00617,"$430,549","$430,549"
"Sep 13, 2022",$0.006169,$0.006233,$0.006122,$0.006136,"$538,874","$538,874"
"Sep 12, 2022",$0.006119,$0.006187,$0.006099,$0.006172,"$654,976","$654,976"
"Sep 11, 2022",$0.006112,$0.006129,$0.006054,$0.006116,"$674,779","$674,779"
"Sep 10, 2022",$0.006024,$0.006133,$0.00602,$0.006108,"$649,909","$649,909"
"Sep 09, 2022",$0.006017,$0.006094,$0.005929,$0.006026,"$830,381","$830,381"
"Sep 08, 2022",$0.005957,$0.006032,$0.005775,$0.006018,"$717,811","$717,811"
"Sep 07, 2022",$0.005839,$0.006049,$0.005786,$0.005959,"$752,309","$752,309"
"Sep 06, 2022",$0.005944,$0.006065,$0.005813,$0.005836,"$751,491","$751,491"
"Sep 05, 2022",$0.005843,$0.005952,$0.005804,$0.005952,"$755,994","$755,994"
"Sep 04, 2022",$0.00576,$0.005854,$0.005639,$0.005843,"$659,628","$659,628"
"Sep 03, 2022",$0.005716,$0.005776,$0.005702,$0.005755,"$604,478","$604,478"
"Sep 02, 2022",$0.005716,$0.005753,$0.00565,$0.005727,"$555,460","$555,460"
"Sep 01, 2022",$0.005684,$0.005757,$0.005624,$0.005715,"$583,182","$583,182"
"Aug 31, 2022",$0.00561,$0.005694,$0.005518,$0.005684,"$689,062","$689,062"
"Aug 30, 2022",$0.005646,$0.005692,$0.005548,$0.005618,"$599,444","$599,444"
"Aug 29, 2022",$0.005551,$0.005656,$0.00545,$0.005652,"$711,562","$711,562"
"Aug 28, 2022",$0.005688,$0.005694,$0.0055,$0.005551,"$444,477","$444,477"
"Aug 27, 2022",$0.00567,$0.005692,$0.00503,$0.005692,"$912,264","$912,264"
"Aug 26, 2022",$0.005671,$0.00569,$0.00548,$0.005674,"$802,948","$802,948"
"Aug 25, 2022",$0.005686,$0.005696,$0.005375,$0.005674,"$807,435","$807,435"
"Aug 24, 2022",$0.005692,$0.005714,$0.005559,$0.005688,"$765,402","$765,402"
"Aug 23, 2022",$0.005655,$0.005706,$0.005616,$0.005689,"$775,952","$775,952"
"Aug 22, 2022",$0.005619,$0.005701,$0.005551,$0.005653,"$741,346","$741,346"
"Aug 21, 2022",$0.005713,$0.005729,$0.005495,$0.005612,"$722,466","$722,466"
"Aug 20, 2022",$0.005688,$0.005751,$0.005023,$0.005713,"$849,424","$849,424"
"Aug 19, 2022",$0.005736,$0.005749,$0.005592,$0.005666,"$770,828","$770,828"
"Aug 18, 2022",$0.005648,$0.00574,$0.005563,$0.00574,"$582,947","$582,947"
"Aug 17, 2022",$0.005716,$0.005759,$0.005462,$0.005648,"$136,690","$136,690"
"Aug 16, 2022",$0.005723,$0.005739,$0.005634,$0.005716,"$34,694","$34,694"
"Aug 15, 2022",$0.005751,$0.005819,$0.005599,$0.005726,"$271,868","$271,868"
"Aug 14, 2022",$0.00582,$0.005847,$0.005699,$0.005745,"$396,604","$396,604"
"Aug 13, 2022",$0.005807,$0.005838,$0.005664,$0.005819,"$388,250","$388,250"
"Aug 12, 2022",$0.005818,$0.00583,$0.005555,$0.005812,"$370,752","$370,752"
"Aug 11, 2022",$0.005825,$0.005843,$0.005614,$0.005812,"$299,705","$299,705"
"Aug 10, 2022",$0.005809,$0.005849,$0.005692,$0.005823,"$370,079","$370,079"
"Aug 09, 2022",$0.005755,$0.005858,$0.005528,$0.005814,"$141,634","$141,634"
"Aug 08, 2022",$0.005698,$0.005982,$0.00552,$0.005777,"$298,651","$298,651"
"Aug 07, 2022",$0.005516,$0.005798,$0.005512,$0.005697,"$285,263","$285,263"
"Aug 06, 2022",$0.005778,$0.005806,$0.005516,$0.005516,"$139,143","$139,143"
"Aug 05, 2022",$0.005799,$0.005836,$0.005732,$0.005774,"$227,687","$227,687"
"Aug 04, 2022",$0.005819,$0.005907,$0.005613,$0.005778,"$317,582","$317,582"
"Aug 03, 2022",$0.005804,$0.005837,$0.005633,$0.005819,"$383,250","$383,250"
"Aug 02, 2022",$0.005789,$0.005815,$0.00575,$0.005802,"$402,368","$402,368"
"Aug 01, 2022",$0.00575,$0.005886,$0.005675,$0.00578,"$165,402","$165,402"
"Jul 31, 2022",$0.005747,$0.005798,$0.005587,$0.005766,"$240,662","$240,662"
"Jul 30, 2022",$0.005683,$0.005797,$0.005566,$0.005747,"$251,477","$251,477"
"Jul 29, 2022",$0.005607,$0.005857,$0.005538,$0.005689,"$514,587","$514,587"
"Jul 28, 2022",$0.005676,$0.005779,$0.005544,$0.005607,"$149,846","$149,846"
"Jul 27, 2022",$0.00563,$0.005703,$0.005394,$0.005675,$105,$105
"Jul 26, 2022",$0.005537,$0.005643,$0.00545,$0.005629,$34,$34
"Jul 25, 2022",$0.005598,$0.005687,$0.00541,$0.005537,$0,$0
"Jul 24, 2022",$0.005658,$0.005658,$0.005296,$0.005598,$0,$0
"Jul 23, 2022",$0.005803,$0.005973,$0.005555,$0.005658,$0,$0
"Jul 22, 2022",$0.005931,$0.006127,$0.005764,$0.005806,$357,$357
"Jul 21, 2022",$0.005523,$0.005989,$0.005523,$0.005931,$77,$77
"Jul 20, 2022",$0.005513,$0.005621,$0.005187,$0.005523,"$365,213","$365,213"
"Jul 19, 2022",$0.005648,$0.00577,$0.005453,$0.00551,"$445,188","$445,188"
"Jul 18, 2022",$0.005511,$0.005645,$0.005479,$0.005645,"$187,728","$187,728"
"Jul 17, 2022",$0.005491,$0.005545,$0.005381,$0.005522,"$354,899","$354,899"
"Jul 16, 2022",$0.005468,$0.005582,$0.005365,$0.005475,"$344,169","$344,169"
"Jul 15, 2022",$0.005491,$0.005556,$0.005347,$0.005469,"$396,611","$396,611"
"Jul 14, 2022",$0.005575,$0.005587,$0.005303,$0.005498,"$250,271","$250,271"
"Jul 13, 2022",$0.005381,$0.005578,$0.005313,$0.005575,"$216,696","$216,696"
"Jul 12, 2022",$0.005429,$0.005496,$0.005295,$0.005379,"$308,307","$308,307"
"Jul 11, 2022",$0.005419,$0.005462,$0.005395,$0.005421,"$75,210","$75,210"
"Jul 10, 2022",$0.005395,$0.005525,$0.005365,$0.005418,"$339,406","$339,406"
"Jul 09, 2022",$0.005337,$0.005408,$0.005299,$0.005394,"$66,896","$66,896"
"Jul 08, 2022",$0.005355,$0.005477,$0.005214,$0.005319,"$265,251","$265,251"
"Jul 07, 2022",$0.005366,$0.005394,$0.005294,$0.005354,"$96,408","$96,408"
"Jul 06, 2022",$0.005269,$0.005381,$0.005247,$0.005369,"$156,642","$156,642"
"Jul 05, 2022",$0.005295,$0.005299,$0.005159,$0.005264,"$397,579","$397,579"
"Jul 04, 2022",$0.005189,$0.005294,$0.005147,$0.00529,"$157,998","$157,998"
"Jul 03, 2022",$0.005206,$0.005242,$0.005164,$0.00519,"$261,097","$261,097"
"Jul 02, 2022",$0.005169,$0.005249,$0.005123,$0.005206,"$107,154","$107,154"
"Jul 01, 2022",$0.005095,$0.005181,$0.005033,$0.005167,"$307,435","$307,435"
"Jun 30, 2022",$0.005006,$0.005157,$0.004931,$0.005133,"$340,466","$340,466"
"Jun 29, 2022",$0.004853,$0.005052,$0.004836,$0.00501,"$299,074","$299,074"
"Jun 28, 2022",$0.004931,$0.005067,$0.004843,$0.004853,"$189,995","$189,995"
"Jun 27, 2022",$0.004931,$0.00504,$0.0049,$0.004922,"$109,128","$109,128"
"Jun 26, 2022",$0.004879,$0.005026,$0.004863,$0.004948,"$129,496","$129,496"
"Jun 25, 2022",$0.004742,$0.004884,$0.004659,$0.004873,"$257,148","$257,148"
"Jun 24, 2022",$0.004735,$0.004864,$0.004733,$0.004744,"$163,285","$163,285"
"Jun 23, 2022",$0.004696,$0.004759,$0.004649,$0.004739,"$212,674","$212,674"
"Jun 22, 2022",$0.004643,$0.004754,$0.004465,$0.004697,"$239,050","$239,050"
"Jun 21, 2022",$0.004624,$0.004676,$0.004548,$0.004633,"$254,570","$254,570"
"Jun 20, 2022",$0.004722,$0.00474,$0.00438,$0.004606,"$338,608","$338,608"
