Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$1.14,$1.18,$1.03,$1.06,"$8,088,262","$8,088,262"
"Sep 17, 2022",$1.09,$1.18,$1.09,$1.14,"$10,061,403","$10,061,403"
"Sep 16, 2022",$1.08,$1.13,$1.07,$1.09,"$9,238,266","$9,238,266"
"Sep 15, 2022",$1.10,$1.12,$1.05,$1.08,"$6,978,628","$6,978,628"
"Sep 14, 2022",$1.03,$1.11,$1.01,$1.10,"$7,521,352","$7,521,352"
"Sep 13, 2022",$1.06,$1.09,$0.9966,$1.03,"$5,241,927","$5,241,927"
"Sep 12, 2022",$1.06,$1.08,$1.05,$1.06,"$6,177,840","$6,177,840"
"Sep 11, 2022",$1.06,$1.11,$1.05,$1.06,"$8,003,294","$8,003,294"
"Sep 10, 2022",$1.07,$1.13,$1.03,$1.06,"$9,310,463","$9,310,463"
"Sep 09, 2022",$1.02,$1.11,$1.00,$1.07,"$8,936,494","$8,936,494"
"Sep 08, 2022",$1.00,$1.04,$0.9721,$1.02,"$8,270,933","$8,270,933"
"Sep 07, 2022",$0.9817,$1.01,$0.9563,$1.00,"$4,591,011","$4,591,011"
"Sep 06, 2022",$1.01,$1.03,$0.9749,$0.9791,"$6,074,995","$6,074,995"
"Sep 05, 2022",$1.02,$1.03,$1.00,$1.01,"$6,739,537","$6,739,537"
"Sep 04, 2022",$1.03,$1.04,$1.01,$1.03,"$7,295,776","$7,295,776"
"Sep 03, 2022",$1.07,$1.08,$1.03,$1.03,"$6,806,244","$6,806,244"
"Sep 02, 2022",$1.05,$1.13,$1.04,$1.06,"$15,212,660","$15,212,660"
"Sep 01, 2022",$1.07,$1.07,$1.03,$1.05,"$5,927,297","$5,927,297"
"Aug 31, 2022",$1.06,$1.08,$1.05,$1.07,"$5,713,285","$5,713,285"
"Aug 30, 2022",$1.06,$1.09,$1.05,$1.06,"$5,970,458","$5,970,458"
"Aug 29, 2022",$1.07,$1.08,$1.04,$1.06,"$5,410,004","$5,410,004"
"Aug 28, 2022",$1.09,$1.10,$1.07,$1.08,"$7,864,813","$7,864,813"
"Aug 27, 2022",$1.10,$1.11,$1.08,$1.09,"$4,063,464","$4,063,464"
"Aug 26, 2022",$1.12,$1.16,$1.10,$1.10,"$3,508,598","$3,508,598"
"Aug 25, 2022",$1.11,$1.13,$1.11,$1.12,"$3,720,314","$3,720,314"
"Aug 24, 2022",$1.12,$1.13,$1.10,$1.11,"$4,573,855","$4,573,855"
"Aug 23, 2022",$1.10,$1.15,$1.10,$1.11,"$6,504,897","$6,504,897"
"Aug 22, 2022",$1.14,$1.14,$1.08,$1.10,"$6,358,844","$6,358,844"
"Aug 21, 2022",$1.12,$1.14,$1.11,$1.14,"$5,433,421","$5,433,421"
"Aug 20, 2022",$1.11,$1.15,$1.10,$1.12,"$4,222,029","$4,222,029"
"Aug 19, 2022",$1.21,$1.25,$1.06,$1.11,"$11,532,124","$11,532,124"
"Aug 18, 2022",$1.13,$1.23,$1.11,$1.21,"$8,999,790","$8,999,790"
"Aug 17, 2022",$1.22,$1.22,$1.11,$1.13,"$5,795,057","$5,795,057"
"Aug 16, 2022",$1.19,$1.26,$1.16,$1.22,"$6,195,398","$6,195,398"
"Aug 15, 2022",$1.36,$1.41,$1.14,$1.19,"$6,759,105","$6,759,105"
"Aug 14, 2022",$1.38,$1.40,$1.35,$1.36,"$6,531,680","$6,531,680"
"Aug 13, 2022",$1.36,$1.45,$1.34,$1.38,"$12,288,273","$12,288,273"
"Aug 12, 2022",$1.55,$1.56,$1.34,$1.36,"$17,871,616","$17,871,616"
"Aug 11, 2022",$1.32,$1.59,$1.29,$1.55,"$31,763,300","$31,763,300"
"Aug 10, 2022",$1.29,$1.35,$1.26,$1.31,"$23,312,874","$23,312,874"
"Aug 09, 2022",$1.23,$1.39,$1.17,$1.29,"$24,158,407","$24,158,407"
"Aug 08, 2022",$1.12,$1.39,$1.11,$1.23,"$15,387,043","$15,387,043"
"Aug 07, 2022",$1.07,$1.18,$1.07,$1.12,"$6,309,800","$6,309,800"
"Aug 06, 2022",$1.08,$1.09,$1.07,$1.07,"$2,860,234","$2,860,234"
