Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.0007477,$0.001085,$0.0007348,$0.001043,"$918,010","$918,010"
"Sep 24, 2022",$0.0007953,$0.0007956,$0.0002494,$0.0007477,"$778,153","$778,153"
"Sep 23, 2022",$0.0005541,$0.0008098,$0.0005419,$0.0007953,"$852,370","$852,370"
"Sep 22, 2022",$0.0007745,$0.0007879,$0.0005315,$0.0005541,"$586,261","$586,261"
"Sep 21, 2022",$0.0008729,$0.0008753,$0.0006748,$0.0007751,"$872,929","$872,929"
"Sep 20, 2022",$0.00085,$0.000957,$0.0008272,$0.0008728,"$855,078","$855,078"
"Sep 19, 2022",$0.0008135,$0.0008768,$0.0007297,$0.0008499,"$767,432","$767,432"
"Sep 18, 2022",$0.0008845,$0.001106,$0.0007811,$0.0008136,"$696,126","$696,126"
"Sep 17, 2022",$0.0006805,$0.0009073,$0.0006449,$0.0008845,"$934,181","$934,181"
"Sep 16, 2022",$0.0005385,$0.0007725,$0.0005372,$0.0006804,"$776,027","$776,027"
"Sep 15, 2022",$0.0008751,$0.0009037,$0.0005079,$0.0005385,"$626,990","$626,990"
"Sep 14, 2022",$0.001018,$0.001049,$0.0008289,$0.0008751,"$611,683","$611,683"
"Sep 13, 2022",$0.001003,$0.001137,$0.0009679,$0.0009922,"$793,248","$793,248"
"Sep 12, 2022",$0.0009122,$0.0011,$0.0008771,$0.001003,"$902,031","$902,031"
"Sep 11, 2022",$0.0009172,$0.0009914,$0.000853,$0.0009122,"$791,501","$791,501"
"Sep 10, 2022",$0.000776,$0.0009336,$0.0007258,$0.0009172,"$780,454","$780,454"
"Sep 09, 2022",$0.0008533,$0.0008647,$0.0007602,$0.0007761,"$791,304","$791,304"
"Sep 08, 2022",$0.0009488,$0.001023,$0.0008403,$0.0008534,"$836,233","$836,233"
"Sep 07, 2022",$0.001109,$0.001109,$0.000919,$0.0009488,"$789,002","$789,002"
"Sep 06, 2022",$0.001421,$0.001539,$0.001006,$0.001109,"$808,633","$808,633"
"Sep 05, 2022",$0.0009998,$0.001481,$0.0009047,$0.001421,"$783,131","$783,131"
