Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.02462,$0.02488,$0.02428,$0.02481,$635,$635
"Sep 24, 2022",$0.02496,$0.02503,$0.02462,$0.02462,"$1,309","$1,309"
"Sep 23, 2022",$0.02522,$0.02524,$0.02443,$0.02496,"$2,702","$2,702"
"Sep 22, 2022",$0.0252,$0.02539,$0.02396,$0.02522,"$5,170","$5,170"
"Sep 21, 2022",$0.02395,$0.02831,$0.02395,$0.0252,"$18,505","$18,505"
"Sep 20, 2022",$0.0246,$0.02461,$0.02375,$0.02395,"$4,839","$4,839"
"Sep 19, 2022",$0.02532,$0.02753,$0.02352,$0.0246,"$5,242","$5,242"
"Sep 18, 2022",$0.0252,$0.02532,$0.02513,$0.02532,$504,$504
"Sep 17, 2022",$0.02433,$0.0252,$0.02433,$0.0252,"$1,691","$1,691"
"Sep 16, 2022",$0.02621,$0.02655,$0.02296,$0.02433,"$6,176","$6,176"
"Sep 15, 2022",$0.02709,$0.02736,$0.02618,$0.0262,"$4,043","$4,043"
"Sep 14, 2022",$0.02766,$0.02766,$0.02709,$0.02709,"$4,814","$4,814"
"Sep 13, 2022",$0.02745,$0.02801,$0.02733,$0.02733,"$7,785","$7,785"
"Sep 12, 2022",$0.02764,$0.02783,$0.02737,$0.02745,$711,$711
"Sep 11, 2022",$0.02764,$0.02778,$0.02724,$0.02764,"$1,962","$1,962"
"Sep 10, 2022",$0.02819,$0.02866,$0.02764,$0.02764,$647,$647
"Sep 09, 2022",$0.02739,$0.02831,$0.02732,$0.02819,"$4,288","$4,288"
"Sep 08, 2022",$0.02715,$0.02797,$0.02709,$0.02739,"$14,594","$14,594"
"Sep 07, 2022",$0.02737,$0.02785,$0.02684,$0.02715,"$30,028","$30,028"
"Sep 06, 2022",$0.02767,$0.02834,$0.02652,$0.02737,"$29,384","$29,384"
"Sep 05, 2022",$0.0278,$0.028,$0.02682,$0.02767,"$3,754","$3,754"
"Sep 04, 2022",$0.0276,$0.02807,$0.0276,$0.0278,$742,$742
"Sep 03, 2022",$0.02814,$0.02827,$0.0276,$0.0276,"$3,631","$3,631"
