Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.2545,$0.2583,$0.2483,$0.2565,"$2,210,701","$2,210,701"
"Sep 18, 2022",$0.2659,$0.2691,$0.2523,$0.2545,"$2,821,079","$2,821,079"
"Sep 17, 2022",$0.2625,$0.2673,$0.2613,$0.2659,"$2,098,239","$2,098,239"
"Sep 16, 2022",$0.2606,$0.2624,$0.2576,$0.2624,"$1,626,045","$1,626,045"
"Sep 15, 2022",$0.2691,$0.2692,$0.2583,$0.2605,"$2,569,124","$2,569,124"
"Sep 14, 2022",$0.263,$0.2704,$0.2629,$0.269,"$1,743,558","$1,743,558"
"Sep 13, 2022",$0.2752,$0.2781,$0.2629,$0.2647,"$3,258,264","$3,258,264"
"Sep 12, 2022",$0.2846,$0.2848,$0.2732,$0.2751,"$4,037,328","$4,037,328"
"Sep 11, 2022",$0.2858,$0.2936,$0.2776,$0.2846,"$5,659,239","$5,659,239"
"Sep 10, 2022",$0.2773,$0.31,$0.2701,$0.2859,"$16,341,979","$16,341,979"
"Sep 09, 2022",$0.2629,$0.2786,$0.2627,$0.2771,"$3,334,419","$3,334,419"
"Sep 08, 2022",$0.2631,$0.2776,$0.2596,$0.2629,"$3,666,523","$3,666,523"
"Sep 07, 2022",$0.2509,$0.2661,$0.2472,$0.2631,"$2,193,448","$2,193,448"
"Sep 06, 2022",$0.2706,$0.2758,$0.251,$0.251,"$3,108,281","$3,108,281"
"Sep 05, 2022",$0.2691,$0.2706,$0.2659,$0.2704,"$1,652,727","$1,652,727"
"Sep 04, 2022",$0.2699,$0.2703,$0.2668,$0.2692,"$2,013,658","$2,013,658"
"Sep 03, 2022",$0.2699,$0.2719,$0.2687,$0.2698,"$1,832,887","$1,832,887"
"Sep 02, 2022",$0.276,$0.2811,$0.2673,$0.2701,"$3,205,944","$3,205,944"
"Sep 01, 2022",$0.2829,$0.2839,$0.2673,$0.2761,"$3,309,584","$3,309,584"
"Aug 31, 2022",$0.2844,$0.2906,$0.2791,$0.2828,"$3,510,008","$3,510,008"
"Aug 30, 2022",$0.2837,$0.3004,$0.2835,$0.2844,"$5,219,708","$5,219,708"
"Aug 29, 2022",$0.2752,$0.2851,$0.2744,$0.2837,"$3,187,992","$3,187,992"
"Aug 28, 2022",$0.2802,$0.2892,$0.2752,$0.2752,"$4,469,911","$4,469,911"
"Aug 27, 2022",$0.2749,$0.2808,$0.2739,$0.2802,"$3,037,152","$3,037,152"
"Aug 26, 2022",$0.2959,$0.3017,$0.2746,$0.2748,"$5,212,390","$5,212,390"
"Aug 25, 2022",$0.2859,$0.3049,$0.2856,$0.296,"$5,317,367","$5,317,367"
"Aug 24, 2022",$0.2881,$0.291,$0.282,$0.2859,"$3,875,541","$3,875,541"
"Aug 23, 2022",$0.2806,$0.2898,$0.2765,$0.288,"$4,346,551","$4,346,551"
"Aug 22, 2022",$0.2894,$0.2904,$0.2736,$0.2806,"$3,494,325","$3,494,325"
"Aug 21, 2022",$0.2902,$0.3045,$0.2881,$0.2893,"$4,023,362","$4,023,362"
"Aug 20, 2022",$0.2728,$0.3102,$0.2728,$0.2903,"$5,793,914","$5,793,914"
"Aug 19, 2022",$0.2977,$0.2977,$0.2716,$0.2728,"$3,994,385","$3,994,385"
"Aug 18, 2022",$0.303,$0.3065,$0.2978,$0.2978,"$3,062,250","$3,062,250"
"Aug 17, 2022",$0.3171,$0.326,$0.3007,$0.303,"$4,316,502","$4,316,502"
"Aug 16, 2022",$0.3256,$0.3273,$0.3167,$0.3172,"$3,290,542","$3,290,542"
"Aug 15, 2022",$0.3265,$0.334,$0.3222,$0.3257,"$5,149,416","$5,149,416"
"Aug 14, 2022",$0.3337,$0.3506,$0.3236,$0.3265,"$6,526,120","$6,526,120"
"Aug 13, 2022",$0.329,$0.3388,$0.3274,$0.3336,"$4,933,437","$4,933,437"
"Aug 12, 2022",$0.3197,$0.3292,$0.3172,$0.329,"$4,290,178","$4,290,178"
"Aug 11, 2022",$0.3396,$0.3431,$0.3144,$0.3197,"$6,578,849","$6,578,849"
"Aug 10, 2022",$0.3275,$0.3396,$0.3187,$0.3394,"$3,801,010","$3,801,010"
"Aug 09, 2022",$0.3377,$0.3533,$0.3273,$0.3275,"$4,854,775","$4,854,775"
"Aug 08, 2022",$0.3383,$0.3498,$0.3352,$0.3377,"$5,036,402","$5,036,402"
"Aug 07, 2022",$0.3381,$0.3425,$0.3346,$0.3384,"$3,675,797","$3,675,797"
"Aug 06, 2022",$0.3363,$0.3401,$0.3323,$0.3381,"$3,511,650","$3,511,650"
"Aug 05, 2022",$0.3341,$0.3398,$0.3324,$0.3362,"$4,046,603","$4,046,603"
"Aug 04, 2022",$0.3327,$0.3396,$0.3293,$0.3342,"$5,192,418","$5,192,418"
"Aug 03, 2022",$0.3293,$0.3408,$0.3185,$0.3327,"$6,757,925","$6,757,925"
"Aug 02, 2022",$0.3356,$0.3372,$0.3116,$0.3291,"$6,093,481","$6,093,481"
"Aug 01, 2022",$0.3433,$0.3486,$0.3277,$0.3354,"$10,946,742","$10,946,742"
"Jul 31, 2022",$0.3104,$0.3804,$0.3089,$0.3433,"$28,973,818","$28,973,818"
"Jul 30, 2022",$0.3049,$0.3254,$0.3047,$0.3105,"$9,678,870","$9,678,870"
"Jul 29, 2022",$0.3041,$0.3116,$0.2985,$0.3048,"$10,070,863","$10,070,863"
"Jul 28, 2022",$0.295,$0.3075,$0.2911,$0.3042,"$10,556,773","$10,556,773"
"Jul 27, 2022",$0.2779,$0.2951,$0.2767,$0.295,"$8,639,285","$8,639,285"
"Jul 26, 2022",$0.2816,$0.2829,$0.2709,$0.2779,"$7,024,648","$7,024,648"
"Jul 25, 2022",$0.2882,$0.3142,$0.2765,$0.2817,"$11,361,555","$11,361,555"
"Jul 24, 2022",$0.2868,$0.294,$0.2863,$0.2881,"$6,772,843","$6,772,843"
"Jul 23, 2022",$0.2926,$0.2998,$0.2822,$0.2868,"$6,280,502","$6,280,502"
"Jul 22, 2022",$0.2993,$0.3091,$0.2906,$0.2927,"$9,658,477","$9,658,477"
"Jul 21, 2022",$0.3,$0.3034,$0.2809,$0.2992,"$9,880,233","$9,880,233"
"Jul 20, 2022",$0.3214,$0.3444,$0.2988,$0.3,"$13,323,757","$13,323,757"
"Jul 19, 2022",$0.3154,$0.3281,$0.3047,$0.3214,"$15,200,251","$15,200,251"
"Jul 18, 2022",$0.2837,$0.3274,$0.2837,$0.3156,"$14,440,002","$14,440,002"
"Jul 17, 2022",$0.2918,$0.3034,$0.2837,$0.2837,"$9,446,509","$9,446,509"
"Jul 16, 2022",$0.2862,$0.2948,$0.2782,$0.2918,"$7,891,533","$7,891,533"
"Jul 15, 2022",$0.2852,$0.3039,$0.2808,$0.2863,"$10,527,510","$10,527,510"
"Jul 14, 2022",$0.2812,$0.2897,$0.2755,$0.2853,"$9,243,250","$9,243,250"
"Jul 13, 2022",$0.2606,$0.2815,$0.2545,$0.2811,"$8,447,175","$8,447,175"
