Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.1611,$0.1612,$0.1516,$0.1518,"$8,190","$8,190"
"Sep 24, 2022",$0.1615,$0.1623,$0.1611,$0.1611,"$14,845","$14,845"
"Sep 23, 2022",$0.1617,$0.1715,$0.1609,$0.1615,"$15,315","$15,315"
"Sep 22, 2022",$0.1626,$0.1661,$0.1609,$0.1617,"$21,837","$21,837"
"Sep 21, 2022",$0.1623,$0.1736,$0.1615,$0.1626,"$16,412","$16,412"
"Sep 20, 2022",$0.1788,$0.1797,$0.1621,$0.1623,"$17,567","$17,567"
"Sep 19, 2022",$0.1785,$0.1857,$0.1629,$0.1795,"$19,500","$19,500"
"Sep 18, 2022",$0.1756,$0.1836,$0.1586,$0.1785,"$19,177","$19,177"
"Sep 17, 2022",$0.1806,$0.1821,$0.1732,$0.1756,"$15,624","$15,624"
"Sep 16, 2022",$0.1804,$0.1813,$0.1796,$0.1806,"$19,060","$19,060"
"Sep 15, 2022",$0.1891,$0.1897,$0.1802,$0.1804,"$18,582","$18,582"
"Sep 14, 2022",$0.1916,$0.193,$0.186,$0.1891,"$22,918","$22,918"
"Sep 13, 2022",$0.1875,$0.1972,$0.1819,$0.1911,"$24,693","$24,693"
"Sep 12, 2022",$0.189,$0.1899,$0.187,$0.1875,"$26,394","$26,394"
"Sep 11, 2022",$0.1891,$0.1933,$0.187,$0.189,"$19,282","$19,282"
"Sep 10, 2022",$0.1948,$0.1953,$0.1888,$0.1891,"$21,190","$21,190"
"Sep 09, 2022",$0.1797,$0.1958,$0.1793,$0.1948,"$22,748","$22,748"
"Sep 08, 2022",$0.1792,$0.1807,$0.1781,$0.1797,"$20,017","$20,017"
"Sep 07, 2022",$0.1718,$0.1797,$0.1709,$0.1792,"$22,495","$22,495"
"Sep 06, 2022",$0.1682,$0.18,$0.1676,$0.1718,"$22,019","$22,019"
"Sep 05, 2022",$0.159,$0.169,$0.1562,$0.1682,"$22,141","$22,141"
"Sep 04, 2022",$0.1706,$0.1706,$0.1589,$0.1591,"$22,181","$22,181"
"Sep 03, 2022",$0.1798,$0.1806,$0.17,$0.1706,"$22,748","$22,748"
"Sep 02, 2022",$0.1737,$0.1814,$0.1732,$0.1798,"$20,501","$20,501"
"Sep 01, 2022",$0.1567,$0.1899,$0.1504,$0.1737,"$29,784","$29,784"
"Aug 31, 2022",$0.177,$0.1915,$0.1567,$0.1567,"$25,131","$25,131"
"Aug 30, 2022",$0.185,$0.1869,$0.1748,$0.1769,"$34,087","$34,087"
"Aug 29, 2022",$0.1763,$0.1854,$0.1757,$0.185,"$29,775","$29,775"
"Aug 28, 2022",$0.1765,$0.178,$0.1756,$0.1763,"$21,355","$21,355"
"Aug 27, 2022",$0.1658,$0.1784,$0.1653,$0.1765,"$23,417","$23,417"
"Aug 26, 2022",$0.1797,$0.1822,$0.1625,$0.1658,"$31,016","$31,016"
"Aug 25, 2022",$0.1739,$0.1955,$0.1733,$0.1797,"$21,657","$21,657"
"Aug 24, 2022",$0.1822,$0.2073,$0.1671,$0.1739,"$21,462","$21,462"
"Aug 23, 2022",$0.1825,$0.2165,$0.1804,$0.1822,"$27,697","$27,697"
"Aug 22, 2022",$0.1604,$0.2033,$0.1562,$0.1825,"$30,476","$30,476"
"Aug 21, 2022",$0.1642,$0.1663,$0.1555,$0.1604,"$17,442","$17,442"
"Aug 20, 2022",$0.1654,$0.1695,$0.1511,$0.1642,"$17,238","$17,238"
"Aug 19, 2022",$0.1804,$0.1804,$0.1653,$0.1654,"$25,330","$25,330"
"Aug 18, 2022",$0.1813,$0.1818,$0.1798,$0.1804,"$33,317","$33,317"
