Day,Open,High,Low,Close,Volume,Market Cap
"Sep 17, 2022",$1.65,$1.66,$1.61,$1.64,"$15,512,024","$15,512,024"
"Sep 16, 2022",$1.66,$1.69,$1.64,$1.65,"$28,938,179","$28,938,179"
"Sep 15, 2022",$1.73,$1.75,$1.66,$1.66,"$34,730,927","$34,730,927"
"Sep 14, 2022",$1.78,$1.80,$1.72,$1.73,"$32,146,112","$32,146,112"
"Sep 13, 2022",$1.84,$1.87,$1.78,$1.78,"$28,671,458","$28,671,458"
"Sep 12, 2022",$1.86,$1.87,$1.81,$1.84,"$18,394,865","$18,394,865"
"Sep 11, 2022",$1.92,$1.93,$1.85,$1.86,"$16,992,287","$16,992,287"
"Sep 10, 2022",$1.88,$1.95,$1.88,$1.92,"$19,363,802","$19,363,802"
"Sep 09, 2022",$1.85,$1.90,$1.85,$1.88,"$20,361,410","$20,361,410"
"Sep 08, 2022",$1.87,$2.00,$1.81,$1.85,"$22,092,807","$22,092,807"
"Sep 07, 2022",$1.67,$2.04,$1.65,$1.87,"$32,909,639","$32,909,639"
"Sep 06, 2022",$1.68,$1.77,$1.63,$1.67,"$8,758,776","$8,758,776"
"Sep 05, 2022",$1.47,$1.69,$1.46,$1.68,"$10,031,178","$10,031,178"
"Sep 04, 2022",$1.47,$1.48,$1.46,$1.47,"$2,538,935","$2,538,935"
"Sep 03, 2022",$1.48,$1.49,$1.46,$1.47,"$1,932,076","$1,932,076"
"Sep 02, 2022",$1.48,$1.49,$1.46,$1.48,"$2,527,065","$2,527,065"
"Sep 01, 2022",$1.49,$1.50,$1.45,$1.48,"$2,895,551","$2,895,551"
"Aug 31, 2022",$1.47,$1.51,$1.46,$1.49,"$5,941,029","$5,941,029"
"Aug 30, 2022",$1.40,$1.47,$1.39,$1.47,"$4,166,898","$4,166,898"
"Aug 29, 2022",$1.34,$1.42,$1.34,$1.40,"$2,775,203","$2,775,203"
"Aug 28, 2022",$1.35,$1.37,$1.34,$1.34,"$1,852,145","$1,852,145"
"Aug 27, 2022",$1.35,$1.36,$1.32,$1.35,"$2,105,038","$2,105,038"
"Aug 26, 2022",$1.51,$1.51,$1.35,$1.35,"$5,264,116","$5,264,116"
"Aug 25, 2022",$1.45,$1.51,$1.44,$1.51,"$5,336,627","$5,336,627"
"Aug 24, 2022",$1.47,$1.48,$1.41,$1.45,"$6,090,625","$6,090,625"
"Aug 23, 2022",$1.31,$1.48,$1.30,$1.47,"$9,884,129","$9,884,129"
"Aug 22, 2022",$1.16,$1.35,$1.12,$1.31,"$8,807,483","$8,807,483"
"Aug 21, 2022",$1.17,$1.18,$1.16,$1.16,"$1,254,635","$1,254,635"
"Aug 20, 2022",$1.17,$1.19,$1.16,$1.17,"$1,781,080","$1,781,080"
"Aug 19, 2022",$1.26,$1.26,$1.13,$1.17,"$6,910,878","$6,910,878"
