Day,Open,High,Low,Close,Volume,Market Cap
"Sep 26, 2022",$1.57,$1.58,$1.53,$1.56,"$910,843","$910,843"
"Sep 25, 2022",$1.61,$1.62,$1.55,$1.57,"$872,365","$872,365"
"Sep 24, 2022",$1.60,$1.65,$1.57,$1.61,"$1,013,873","$1,013,873"
"Sep 23, 2022",$1.60,$1.66,$1.55,$1.60,"$1,265,864","$1,265,864"
"Sep 22, 2022",$1.54,$1.62,$1.53,$1.60,"$929,599","$929,599"
"Sep 21, 2022",$1.54,$1.57,$1.50,$1.54,"$1,556,197","$1,556,197"
"Sep 20, 2022",$1.59,$1.60,$1.54,$1.55,"$1,385,394","$1,385,394"
"Sep 19, 2022",$1.58,$1.61,$1.53,$1.58,"$1,363,508","$1,363,508"
"Sep 18, 2022",$1.67,$1.69,$1.57,$1.57,"$1,463,090","$1,463,090"
"Sep 17, 2022",$1.66,$1.68,$1.64,$1.67,"$1,172,090","$1,172,090"
"Sep 16, 2022",$1.65,$1.71,$1.62,$1.65,"$1,393,857","$1,393,857"
"Sep 15, 2022",$1.69,$1.71,$1.64,$1.65,"$1,423,876","$1,423,876"
"Sep 14, 2022",$1.71,$1.73,$1.69,$1.69,"$781,908","$781,908"
"Sep 13, 2022",$1.81,$1.82,$1.70,$1.72,"$1,125,312","$1,125,312"
"Sep 12, 2022",$1.84,$1.85,$1.78,$1.81,"$1,152,593","$1,152,593"
"Sep 11, 2022",$1.83,$1.88,$1.81,$1.84,"$1,095,894","$1,095,894"
"Sep 10, 2022",$1.82,$1.85,$1.81,$1.83,"$1,480,332","$1,480,332"
"Sep 09, 2022",$1.80,$1.87,$1.78,$1.82,"$1,882,153","$1,882,153"
"Sep 08, 2022",$1.86,$1.87,$1.80,$1.80,"$1,303,728","$1,303,728"
"Sep 07, 2022",$1.83,$1.86,$1.78,$1.86,"$1,108,501","$1,108,501"
"Sep 06, 2022",$1.92,$1.95,$1.80,$1.83,"$1,181,713","$1,181,713"
"Sep 05, 2022",$1.94,$1.95,$1.91,$1.92,"$1,247,654","$1,247,654"
"Sep 04, 2022",$1.97,$1.98,$1.93,$1.94,"$1,132,524","$1,132,524"
"Sep 03, 2022",$1.97,$2.01,$1.95,$1.97,"$1,342,468","$1,342,468"
"Sep 02, 2022",$1.98,$2.00,$1.96,$1.97,"$1,614,988","$1,614,988"
"Sep 01, 2022",$1.97,$2.04,$1.93,$1.98,"$2,180,305","$2,180,305"
"Aug 31, 2022",$1.89,$2.01,$1.89,$1.97,"$2,169,332","$2,169,332"
"Aug 30, 2022",$1.92,$1.95,$1.84,$1.89,"$1,607,640","$1,607,640"
"Aug 29, 2022",$1.95,$1.95,$1.88,$1.92,"$1,231,589","$1,231,589"
"Aug 28, 2022",$1.99,$2.06,$1.94,$1.96,"$1,347,532","$1,347,532"
"Aug 27, 2022",$2.04,$2.05,$1.92,$1.99,"$1,455,069","$1,455,069"
"Aug 26, 2022",$2.28,$2.30,$2.04,$2.04,"$1,623,955","$1,623,955"
"Aug 25, 2022",$2.29,$2.31,$2.27,$2.28,"$1,849,913","$1,849,913"
"Aug 24, 2022",$2.41,$2.48,$2.27,$2.29,"$3,270,303","$3,270,303"
"Aug 23, 2022",$2.47,$2.47,$2.36,$2.41,"$1,414,056","$1,414,056"
"Aug 22, 2022",$2.33,$2.48,$2.32,$2.47,"$1,323,955","$1,323,955"
"Aug 21, 2022",$2.32,$2.36,$2.30,$2.33,"$1,034,170","$1,034,170"
"Aug 20, 2022",$2.33,$2.39,$2.27,$2.32,"$1,448,637","$1,448,637"
"Aug 19, 2022",$2.42,$2.44,$2.30,$2.33,"$1,870,872","$1,870,872"
"Aug 18, 2022",$2.37,$2.48,$2.33,$2.42,"$2,629,984","$2,629,984"
"Aug 17, 2022",$2.36,$2.41,$2.32,$2.37,"$1,307,481","$1,307,481"
"Aug 16, 2022",$2.50,$2.57,$2.35,$2.36,"$2,806,527","$2,806,527"
"Aug 15, 2022",$2.42,$2.57,$2.42,$2.50,"$3,755,072","$3,755,072"
"Aug 14, 2022",$2.43,$2.50,$2.38,$2.43,"$2,354,938","$2,354,938"
"Aug 13, 2022",$2.27,$2.48,$2.26,$2.43,"$5,211,750","$5,211,750"
"Aug 12, 2022",$2.23,$2.30,$2.21,$2.27,"$1,495,777","$1,495,777"
"Aug 11, 2022",$2.25,$2.28,$2.21,$2.23,"$1,086,370","$1,086,370"
"Aug 10, 2022",$2.21,$2.27,$2.16,$2.25,"$1,201,118","$1,201,118"
"Aug 09, 2022",$2.23,$2.26,$2.16,$2.21,"$1,256,672","$1,256,672"
"Aug 08, 2022",$2.23,$2.25,$2.21,$2.23,"$1,368,440","$1,368,440"
"Aug 07, 2022",$2.23,$2.27,$2.22,$2.23,"$1,627,993","$1,627,993"
"Aug 06, 2022",$2.17,$2.25,$2.15,$2.22,"$2,605,682","$2,605,682"
"Aug 05, 2022",$2.13,$2.24,$2.13,$2.17,"$2,200,725","$2,200,725"
"Aug 04, 2022",$2.16,$2.19,$2.11,$2.13,"$1,594,735","$1,594,735"
"Aug 03, 2022",$2.14,$2.20,$2.13,$2.16,"$1,768,764","$1,768,764"
"Aug 02, 2022",$2.15,$2.21,$2.10,$2.14,"$2,838,758","$2,838,758"
"Aug 01, 2022",$2.03,$2.21,$2.02,$2.15,"$2,991,775","$2,991,775"
"Jul 31, 2022",$2.00,$2.08,$2.00,$2.02,"$1,407,068","$1,407,068"
"Jul 30, 2022",$2.08,$2.15,$2.00,$2.00,"$3,132,093","$3,132,093"
"Jul 29, 2022",$2.03,$2.17,$2.00,$2.08,"$2,873,503","$2,873,503"
"Jul 28, 2022",$1.98,$2.03,$1.96,$2.02,"$1,944,160","$1,944,160"
"Jul 27, 2022",$1.86,$2.05,$1.85,$1.98,"$2,572,381","$2,572,381"
"Jul 26, 2022",$1.87,$1.87,$1.80,$1.86,"$1,419,093","$1,419,093"
"Jul 25, 2022",$1.94,$1.95,$1.86,$1.87,"$1,138,928","$1,138,928"
"Jul 24, 2022",$1.93,$1.97,$1.93,$1.94,"$1,187,453","$1,187,453"
"Jul 23, 2022",$1.97,$2.04,$1.92,$1.93,"$1,952,018","$1,952,018"
"Jul 22, 2022",$1.93,$2.10,$1.89,$1.97,"$2,739,115","$2,739,115"
"Jul 21, 2022",$1.94,$1.95,$1.90,$1.93,"$1,260,196","$1,260,196"
"Jul 20, 2022",$1.97,$2.16,$1.89,$1.94,"$3,241,830","$3,241,830"
"Jul 19, 2022",$1.96,$1.99,$1.93,$1.97,"$1,688,438","$1,688,438"
"Jul 18, 2022",$1.88,$1.98,$1.88,$1.95,"$1,419,354","$1,419,354"
