Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.7511,$0.7634,$0.7189,$0.7522,"$2,694,820","$2,694,820"
"Sep 18, 2022",$0.7975,$0.7975,$0.7505,$0.7512,"$2,036,192","$2,036,192"
"Sep 17, 2022",$0.7407,$0.8214,$0.7405,$0.7976,"$3,375,976","$3,375,976"
"Sep 16, 2022",$0.7783,$0.7792,$0.7287,$0.7406,"$2,374,168","$2,374,168"
"Sep 15, 2022",$0.8131,$0.8138,$0.771,$0.7783,"$1,914,359","$1,914,359"
"Sep 14, 2022",$0.8128,$0.8295,$0.7829,$0.8128,"$2,386,733","$2,386,733"
"Sep 13, 2022",$0.8518,$0.8732,$0.7985,$0.8137,"$3,942,083","$3,942,083"
"Sep 12, 2022",$0.8705,$0.8823,$0.85,$0.8516,"$2,880,311","$2,880,311"
"Sep 11, 2022",$0.857,$0.8774,$0.8556,$0.8704,"$2,212,275","$2,212,275"
"Sep 10, 2022",$0.8787,$0.8787,$0.8451,$0.857,"$2,789,858","$2,789,858"
"Sep 09, 2022",$0.8434,$0.8812,$0.8434,$0.8787,"$3,462,773","$3,462,773"
"Sep 08, 2022",$0.8356,$0.846,$0.8281,$0.8435,"$1,723,061","$1,723,061"
"Sep 07, 2022",$0.8098,$0.8395,$0.7927,$0.8358,"$1,971,238","$1,971,238"
"Sep 06, 2022",$0.8436,$0.8577,$0.8054,$0.8099,"$2,508,730","$2,508,730"
"Sep 05, 2022",$0.8591,$0.8618,$0.835,$0.8434,"$1,386,453","$1,386,453"
"Sep 04, 2022",$0.873,$0.8733,$0.849,$0.8592,"$1,785,494","$1,785,494"
"Sep 03, 2022",$0.8597,$0.8731,$0.8537,$0.873,"$1,784,193","$1,784,193"
"Sep 02, 2022",$0.8334,$0.8962,$0.8293,$0.8598,"$5,357,186","$5,357,186"
"Sep 01, 2022",$0.8483,$0.8589,$0.8233,$0.8333,"$2,102,362","$2,102,362"
"Aug 31, 2022",$0.862,$0.8735,$0.8401,$0.8483,"$4,529,153","$4,529,153"
"Aug 30, 2022",$0.8248,$0.8978,$0.8126,$0.862,"$10,625,387","$10,625,387"
"Aug 29, 2022",$0.8064,$0.8364,$0.805,$0.8248,"$3,328,969","$3,328,969"
"Aug 28, 2022",$0.8263,$0.8446,$0.8003,$0.8065,"$4,940,197","$4,940,197"
"Aug 27, 2022",$0.7549,$0.9246,$0.7533,$0.8262,"$28,904,434","$28,904,434"
"Aug 26, 2022",$0.8315,$0.8318,$0.7502,$0.7546,"$7,108,376","$7,108,376"
"Aug 25, 2022",$0.849,$0.8997,$0.8289,$0.8316,"$12,626,485","$12,626,485"
"Aug 24, 2022",$0.7537,$1.18,$0.7328,$0.8489,"$63,805,948","$63,805,948"
"Aug 23, 2022",$0.7036,$0.7537,$0.6917,$0.7537,"$2,783,452","$2,783,452"
"Aug 22, 2022",$0.7345,$0.7345,$0.6915,$0.7032,"$2,416,873","$2,416,873"
"Aug 21, 2022",$0.7346,$0.7522,$0.7297,$0.7345,"$2,856,483","$2,856,483"
"Aug 20, 2022",$0.7309,$0.7812,$0.7212,$0.7347,"$3,261,828","$3,261,828"
"Aug 19, 2022",$0.8055,$0.8116,$0.7224,$0.731,"$4,379,994","$4,379,994"
"Aug 18, 2022",$0.7595,$0.8452,$0.7579,$0.8058,"$5,581,558","$5,581,558"
"Aug 17, 2022",$0.8098,$0.8237,$0.759,$0.7595,"$2,712,038","$2,712,038"
"Aug 16, 2022",$0.8309,$0.8331,$0.8,$0.8099,"$3,114,423","$3,114,423"
"Aug 15, 2022",$0.8541,$0.8657,$0.8264,$0.831,"$2,597,645","$2,597,645"
"Aug 14, 2022",$0.875,$0.8779,$0.8521,$0.8539,"$2,934,628","$2,934,628"
"Aug 13, 2022",$0.8703,$0.9036,$0.8583,$0.875,"$4,805,454","$4,805,454"
"Aug 12, 2022",$0.8474,$0.8709,$0.8384,$0.8707,"$3,154,867","$3,154,867"
"Aug 11, 2022",$0.8617,$0.9092,$0.8446,$0.8476,"$5,657,284","$5,657,284"
"Aug 10, 2022",$0.8194,$0.8796,$0.8005,$0.8616,"$5,070,973","$5,070,973"
"Aug 09, 2022",$0.8879,$0.907,$0.8042,$0.8193,"$6,370,928","$6,370,928"
"Aug 08, 2022",$0.8166,$0.9695,$0.8161,$0.8881,"$19,746,226","$19,746,226"
"Aug 07, 2022",$0.8114,$0.8273,$0.8059,$0.8167,"$3,364,528","$3,364,528"
"Aug 06, 2022",$0.832,$0.8404,$0.8109,$0.8113,"$3,612,590","$3,612,590"
"Aug 05, 2022",$0.8171,$0.8423,$0.8159,$0.832,"$4,153,090","$4,153,090"
"Aug 04, 2022",$0.8138,$0.8517,$0.809,$0.8171,"$6,031,534","$6,031,534"
"Aug 03, 2022",$0.8955,$0.9151,$0.7997,$0.814,"$15,293,295","$15,293,295"
"Aug 02, 2022",$1.01,$1.01,$0.8933,$0.8955,"$8,329,164","$8,329,164"
"Aug 01, 2022",$1.06,$1.32,$0.9249,$1.01,"$69,684,307","$69,684,307"
"Jul 31, 2022",$0.6859,$1.36,$0.6856,$1.06,"$111,313,427","$111,313,427"
"Jul 30, 2022",$0.6867,$0.7179,$0.6798,$0.6857,"$8,995,896","$8,995,896"
"Jul 29, 2022",$0.704,$0.7113,$0.6652,$0.6866,"$9,897,733","$9,897,733"
"Jul 28, 2022",$0.6856,$0.7158,$0.663,$0.7042,"$11,168,557","$11,168,557"
"Jul 27, 2022",$0.5917,$0.7077,$0.5916,$0.6854,"$15,723,106","$15,723,106"
"Jul 26, 2022",$0.6166,$0.6166,$0.5759,$0.5916,"$3,823,175","$3,823,175"
"Jul 25, 2022",$0.6386,$0.6389,$0.6167,$0.6169,"$3,937,610","$3,937,610"
"Jul 24, 2022",$0.6275,$0.66,$0.6213,$0.6386,"$5,324,165","$5,324,165"
"Jul 23, 2022",$0.632,$0.643,$0.618,$0.6272,"$3,421,715","$3,421,715"
"Jul 22, 2022",$0.6575,$0.6797,$0.6294,$0.6322,"$5,237,248","$5,237,248"
"Jul 21, 2022",$0.6392,$0.6695,$0.63,$0.6575,"$5,595,900","$5,595,900"
"Jul 20, 2022",$0.6563,$0.6886,$0.6388,$0.6389,"$6,171,399","$6,171,399"
"Jul 19, 2022",$0.6308,$0.667,$0.612,$0.6555,"$7,379,093","$7,379,093"
"Jul 18, 2022",$0.5828,$0.7111,$0.5828,$0.6314,"$11,820,709","$11,820,709"
"Jul 17, 2022",$0.6018,$0.6097,$0.5689,$0.5826,"$5,119,907","$5,119,907"
"Jul 16, 2022",$0.6112,$0.6331,$0.5815,$0.6018,"$8,113,674","$8,113,674"
"Jul 15, 2022",$0.7117,$0.766,$0.6069,$0.6112,"$20,479,262","$20,479,262"
"Jul 14, 2022",$0.5121,$0.898,$0.5013,$0.7127,"$73,354,080","$73,354,080"
"Jul 13, 2022",$0.4931,$0.5131,$0.4753,$0.5121,"$2,949,170","$2,949,170"
"Jul 12, 2022",$0.5139,$0.5165,$0.493,$0.4931,"$3,932,772","$3,932,772"
"Jul 11, 2022",$0.5491,$0.5491,$0.5127,$0.5139,"$2,669,628","$2,669,628"
"Jul 10, 2022",$0.5898,$0.59,$0.5384,$0.5492,"$3,585,530","$3,585,530"
"Jul 09, 2022",$0.5838,$0.5931,$0.5799,$0.5897,"$3,856,558","$3,856,558"
"Jul 08, 2022",$0.5949,$0.6049,$0.5813,$0.5839,"$4,715,195","$4,715,195"
"Jul 07, 2022",$0.613,$0.6142,$0.5878,$0.595,"$5,704,233","$5,704,233"
"Jul 06, 2022",$0.5928,$0.6198,$0.5839,$0.6131,"$3,703,723","$3,703,723"
"Jul 05, 2022",$0.5988,$0.6079,$0.5787,$0.5926,"$2,966,465","$2,966,465"
"Jul 04, 2022",$0.5737,$0.5989,$0.5635,$0.5989,"$2,656,897","$2,656,897"
"Jul 03, 2022",$0.5839,$0.5944,$0.5638,$0.5738,"$3,582,148","$3,582,148"
"Jul 02, 2022",$0.5624,$0.5851,$0.5521,$0.5838,"$2,264,793","$2,264,793"
"Jul 01, 2022",$0.5415,$0.5696,$0.5392,$0.5623,"$3,778,142","$3,778,142"
"Jun 30, 2022",$0.5685,$0.5714,$0.5303,$0.541,"$3,943,867","$3,943,867"
"Jun 29, 2022",$0.5578,$0.6095,$0.5463,$0.5683,"$5,377,183","$5,377,183"
"Jun 28, 2022",$0.5806,$0.5822,$0.557,$0.5578,"$2,778,113","$2,778,113"
"Jun 27, 2022",$0.6103,$0.6225,$0.5791,$0.5807,"$3,096,572","$3,096,572"
"Jun 26, 2022",$0.6323,$0.6438,$0.6098,$0.61,"$3,231,860","$3,231,860"
"Jun 25, 2022",$0.5849,$0.674,$0.5822,$0.6323,"$5,694,061","$5,694,061"
"Jun 24, 2022",$0.5509,$0.5915,$0.5508,$0.5848,"$3,545,255","$3,545,255"
"Jun 23, 2022",$0.5223,$0.555,$0.5214,$0.5509,"$3,663,972","$3,663,972"
"Jun 22, 2022",$0.5507,$0.5513,$0.5221,$0.5221,"$2,758,674","$2,758,674"
"Jun 21, 2022",$0.5403,$0.566,$0.5377,$0.5505,"$3,030,795","$3,030,795"
"Jun 20, 2022",$0.5207,$0.5417,$0.5074,$0.5403,"$3,671,860","$3,671,860"
"Jun 19, 2022",$0.4799,$0.5427,$0.475,$0.5209,"$8,761,832","$8,761,832"
"Jun 18, 2022",$0.4884,$0.4915,$0.4598,$0.48,"$4,714,122","$4,714,122"
"Jun 17, 2022",$0.4839,$0.5022,$0.4822,$0.4885,"$2,826,551","$2,826,551"
"Jun 16, 2022",$0.5358,$0.5433,$0.4814,$0.4836,"$3,624,558","$3,624,558"
"Jun 15, 2022",$0.531,$0.5478,$0.4766,$0.5358,"$4,586,854","$4,586,854"
"Jun 14, 2022",$0.511,$0.5406,$0.4842,$0.5313,"$4,430,876","$4,430,876"
"Jun 13, 2022",$0.5793,$0.5793,$0.5029,$0.5108,"$5,128,792","$5,128,792"
"Jun 12, 2022",$0.6207,$0.6218,$0.5792,$0.5794,"$4,362,763","$4,362,763"
"Jun 11, 2022",$0.6798,$0.6875,$0.6172,$0.6204,"$3,776,552","$3,776,552"
"Jun 10, 2022",$0.7055,$0.7055,$0.675,$0.6799,"$3,881,719","$3,881,719"
"Jun 09, 2022",$0.7329,$0.742,$0.7046,$0.7054,"$3,918,293","$3,918,293"
"Jun 08, 2022",$0.7364,$0.7686,$0.7273,$0.7329,"$5,370,353","$5,370,353"
"Jun 07, 2022",$0.74,$0.752,$0.6966,$0.7363,"$5,244,278","$5,244,278"
"Jun 06, 2022",$0.6913,$0.7792,$0.6913,$0.7399,"$7,171,136","$7,171,136"
"Jun 05, 2022",$0.6816,$0.7036,$0.6783,$0.6912,"$3,506,888","$3,506,888"
"Jun 04, 2022",$0.6679,$0.6815,$0.6572,$0.6815,"$3,403,009","$3,403,009"
"Jun 03, 2022",$0.6985,$0.6985,$0.6588,$0.6677,"$3,872,782","$3,872,782"
"Jun 02, 2022",$0.687,$0.7,$0.6787,$0.6987,"$2,928,612","$2,928,612"
"Jun 01, 2022",$0.7516,$0.7766,$0.6785,$0.6871,"$5,458,132","$5,458,132"
"May 31, 2022",$0.7169,$0.7657,$0.7092,$0.7517,"$5,719,059","$5,719,059"
"May 30, 2022",$0.6687,$0.7221,$0.6678,$0.717,"$4,027,117","$4,027,117"
"May 29, 2022",$0.6463,$0.6717,$0.6435,$0.6687,"$4,763,184","$4,763,184"
"May 28, 2022",$0.6443,$0.6486,$0.6384,$0.6464,"$4,213,223","$4,213,223"
"May 27, 2022",$0.6696,$0.6698,$0.6333,$0.6412,"$5,997,502","$5,997,502"
"May 26, 2022",$0.7154,$0.7945,$0.6696,$0.6696,"$9,837,403","$9,837,403"
"May 25, 2022",$0.741,$0.7415,$0.7032,$0.7154,"$6,110,450","$6,110,450"
